business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,photos,plus_code,url
OPERATIONAL,"RQVW+RCQ, Gading, Suruhan Lor, Kec. Bandung, Kabupaten Tulungagung, Jawa Timur 66274, Indonesia","{'location': {'lat': -8.1556, 'lng': 111.7956717}, 'viewport': {'northeast': {'lat': -8.154325070107278, 'lng': 111.7972767298927}, 'southwest': {'lat': -8.157024729892722, 'lng': 111.7945770701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gading suruhanlor Bandung,ChIJnydPzvsfeS4RifFJEFATXpA,0.0,ChIJnydPzvsfeS4RifFJEFATXpA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJnydPzvsfeS4RifFJEFATXpA
OPERATIONAL,"VR32+8CP, Sambi, Kesambi, Kec. Bandung, Kabupaten Tulungagung, Jawa Timur 66274, Indonesia","{'location': {'lat': -8.1466617, 'lng': 111.8010924}, 'viewport': {'northeast': {'lat': -8.145309720107278, 'lng': 111.8024080298927}, 'southwest': {'lat': -8.148009379892722, 'lng': 111.7997083701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bulak PASHAK,ChIJN0-oFQAfeS4RnhILU1vKxHg,0.0,ChIJN0-oFQAfeS4RnhILU1vKxHg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJN0-oFQAfeS4RnhILU1vKxHg
CLOSED_TEMPORARILY,"RPFC+MC9, Danau Ngebakan, Kedung Gundel, Nglampir, Kec. Bandung, Kabupaten Tulungagung, Jawa Timur 66274, Indonesia","{'location': {'lat': -8.175833299999999, 'lng': 111.7211111}, 'viewport': {'northeast': {'lat': -8.174248620107276, 'lng': 111.7217873}, 'southwest': {'lat': -8.17694827989272, 'lng': 111.7190825}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mblobangan,ChIJL9xM9gcZeS4ROTgaWcwLDjg,1.0,ChIJL9xM9gcZeS4ROTgaWcwLDjg,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,True,,,https://www.google.com/maps/place/?q=place_id:ChIJL9xM9gcZeS4ROTgaWcwLDjg
CLOSED_TEMPORARILY,"RQJQ+HQ7, Bakalan, Suruhan Kidul, Kec. Bandung, Kabupaten Tulungagung, Jawa Timur 66274, Indonesia","{'location': {'lat': -8.1687882, 'lng': 111.7890066}, 'viewport': {'northeast': {'lat': -8.167607070107277, 'lng': 111.7905587298927}, 'southwest': {'lat': -8.17030672989272, 'lng': 111.7878590701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Andin ayahe dafa,ChIJJ3DNUJYfeS4RWFQJY49zBOM,0.0,ChIJJ3DNUJYfeS4RWFQJY49zBOM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,,,https://www.google.com/maps/place/?q=place_id:ChIJJ3DNUJYfeS4RWFQJY49zBOM
OPERATIONAL,"Jl. Srabah No.54, Srabah, Karanganom, Kec. Kauman, Kabupaten Tulungagung, Jawa Timur 66261, Indonesia","{'location': {'lat': -8.043501599999999, 'lng': 111.8538315}, 'viewport': {'northeast': {'lat': -8.042133620107279, 'lng': 111.8551345298927}, 'southwest': {'lat': -8.044833279892723, 'lng': 111.8524348701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DOKAR Dreamland,ChIJxSSbA6sCeS4R4JyL7CoYhoc,4.0,ChIJxSSbA6sCeS4R4JyL7CoYhoc,"['tourist_attraction', 'point_of_interest', 'establishment']",873,{'open_now': False},,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100951054408911003040"">Diyah Risnanda</a>'], 'photo_reference': 'AUGGfZlFjH6UNQ97NXPE-J_jlwDB9Y8eb2EVcnMKIQUtt8ceoSE5wZmWNFZfAdtT6NRtf_2rtRkN9jgtYiFh9ow2fWD64WRKbAytMyfh7mrEC7Rq-wdwg7Zgnuh-lY2INKjOwznQ-NGwE1udi4CAo9plSST9MgKGWvoLKzFfFnqe7C18dKDL', 'width': 3264}]","{'compound_code': 'XV43+HG Karanganom, Tulungagung Regency, East Java, Indonesia', 'global_code': '6P3HXV43+HG'}",https://www.google.com/maps/place/?q=place_id:ChIJxSSbA6sCeS4R4JyL7CoYhoc
OPERATIONAL,"RQFW+WG5, Jl. Dusun Kebonsari, RT.2/RW/RW.Rawa 3, Kebonsari, Ngunggahan, Kec. Bandung, Kabupaten Tulungagung, Jawa Timur 66274, Indonesia","{'location': {'lat': -8.1752117, 'lng': 111.7965635}, 'viewport': {'northeast': {'lat': -8.173860720107278, 'lng': 111.7979368298927}, 'southwest': {'lat': -8.176560379892722, 'lng': 111.7952371701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KAWASAN PAGAR NUSA,ChIJOZgvKAAfeS4R-6rhKMcxLFM,0.0,ChIJOZgvKAAfeS4R-6rhKMcxLFM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJOZgvKAAfeS4R-6rhKMcxLFM
OPERATIONAL,"VQ49+F85, Kendal, Soko, Kec. Bandung, Kabupaten Tulungagung, Jawa Timur 66274, Indonesia","{'location': {'lat': -8.143553299999999, 'lng': 111.7675883}, 'viewport': {'northeast': {'lat': -8.14223067010728, 'lng': 111.7689603798927}, 'southwest': {'lat': -8.144930329892723, 'lng': 111.7662607201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Makan Mbah Kung,ChIJTdudjG4feS4R1akKnYd0mnc,0.0,ChIJTdudjG4feS4R1akKnYd0mnc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJTdudjG4feS4R1akKnYd0mnc
OPERATIONAL,"RQR3+G2, Sirah Kandang, Sebalor, Kec. Bandung, Kabupaten Tulungagung, Jawa Timur, Indonesia","{'location': {'lat': -8.1588453, 'lng': 111.7525036}, 'viewport': {'northeast': {'lat': -8.157273570107277, 'lng': 111.7538912298927}, 'southwest': {'lat': -8.15997322989272, 'lng': 111.7511915701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Syafiq miniatur,ChIJ4SuJfVsZeS4RviOq6TEaztk,0.0,ChIJ4SuJfVsZeS4RviOq6TEaztk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4SuJfVsZeS4RviOq6TEaztk
OPERATIONAL,"RPPV+7JG, Jeruk, Bantengan, Kec. Bandung, Kabupaten Tulungagung, Jawa Timur 66274, Indonesia","{'location': {'lat': -8.164319299999999, 'lng': 111.7440858}, 'viewport': {'northeast': {'lat': -8.1617429, 'lng': 111.7453862298927}, 'southwest': {'lat': -8.1651781, 'lng': 111.7426865701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Kayu Gede,ChIJg2Bl1wIZeS4RjSenEb9pBH0,4.0,ChIJg2Bl1wIZeS4RjSenEb9pBH0,"['tourist_attraction', 'point_of_interest', 'establishment']",2,{'open_now': True},,"[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105980487167863272186"">ndoro RA livinks</a>'], 'photo_reference': 'AUGGfZmdvs3o15HoZUKlbYtixsUvh8Ir30365AZu-m2aao6UNj50vSJlLA4geXsrueZ7tQvM8UcACcW-EMHTWpYrvSAFu4Yic7hGZUBQM3-9Yf2EE_-bLhIkKcaM660btKAzS1DTjxWcAUPdizRvE3hlJCFihZsw0T-zsXgchYRHcl20wTQ_', 'width': 4618}]",,https://www.google.com/maps/place/?q=place_id:ChIJg2Bl1wIZeS4RjSenEb9pBH0
OPERATIONAL,"VQ2V+9VH, Jambe, Kesambi, Kec. Bandung, Kabupaten Tulungagung, Jawa Timur 66274, Indonesia","{'location': {'lat': -8.1495448, 'lng': 111.794922}, 'viewport': {'northeast': {'lat': -8.148189320107278, 'lng': 111.7962441798927}, 'southwest': {'lat': -8.150888979892722, 'lng': 111.7935445201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PASAR TENGAH SAWAH KESAMBI,ChIJSzUr4IYfeS4REQiKktqlHSE,4.0,ChIJSzUr4IYfeS4REQiKktqlHSE,"['tourist_attraction', 'point_of_interest', 'establishment']",3,{'open_now': False},,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107161479592236910534"">A Google User</a>'], 'photo_reference': 'AUGGfZkY5325JDEBG646mnW34Do-CCjo_hkoj5Qd3SsDF2v3zJI4agMCnvVaadGCLROD1tA2yCB1O0pj32PKjC4nqp3EsiLWft-3INhuxTzXGdmI6u4BoVtPRfKBm_0NqvyqTwGOE91tCkLre-kVRaWNpGOLxmJ9RlQSyJ0FZrCvMMkoH_Ug', 'width': 1920}]",,https://www.google.com/maps/place/?q=place_id:ChIJSzUr4IYfeS4REQiKktqlHSE
