business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours,photos,price_level,permanently_closed,url
OPERATIONAL,"P492+Q3P, Coyudan Utara, Parakan Kauman, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56254, Indonesia","{'location': {'lat': -7.280579299999999, 'lng': 110.1002303}, 'viewport': {'northeast': {'lat': -7.279235670107278, 'lng': 110.1015899798927}, 'southwest': {'lat': -7.281935329892722, 'lng': 110.0988903201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pertigaan Kemalangan Parakan,ChIJWWxkVRJ3cC4Rl0V0s9SsYqM,0.0,ChIJWWxkVRJ3cC4Rl0V0s9SsYqM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJWWxkVRJ3cC4Rl0V0s9SsYqM
OPERATIONAL,"Jl. Nasional 9 No.226, Jetis Kauman, Parakan Kauman, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56254, Indonesia","{'location': {'lat': -7.2854435, 'lng': 110.0972581}, 'viewport': {'northeast': {'lat': -7.284092120107277, 'lng': 110.0986186798927}, 'southwest': {'lat': -7.286791779892721, 'lng': 110.0959190201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Naik Delman,ChIJcX5gjdt3cC4Rk2J4ETXNYlA,5.0,ChIJcX5gjdt3cC4Rk2J4ETXNYlA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"{'compound_code': 'P37W+RW Parakan Kauman, Temanggung Regency, Central Java, Indonesia', 'global_code': '6P4GP37W+RW'}",,,,,https://www.google.com/maps/place/?q=place_id:ChIJcX5gjdt3cC4Rk2J4ETXNYlA
OPERATIONAL,"Jl. Raya Parakan - Wonosobo No.KM 11, Kalianggrung, Kledung, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264, Indonesia","{'location': {'lat': -7.3338285, 'lng': 110.0374018}, 'viewport': {'northeast': {'lat': -7.332693020107279, 'lng': 110.0390470298927}, 'southwest': {'lat': -7.335392679892723, 'lng': 110.0363473701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kledung Park Sindoro Coffee House,ChIJn2p8UNqfei4R_l0497TRdXE,4.4,ChIJn2p8UNqfei4R_l0497TRdXE,"['tourist_attraction', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",2360,"{'compound_code': 'M28P+FX Kledung, Temanggung Regency, Central Java, Indonesia', 'global_code': '6P4GM28P+FX'}",{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108848558793167203797"">ecko shendy</a>'], 'photo_reference': 'AUGGfZnxpSwBO1_vZjg1vvz6i376Lrtg77OZPm01MeEjaUOHt-qUyBdsukZQ2Y4iTKbivFdv7kk2Yeh6KDb5EK5NqB1PFpFTyzFSipxI_h51NfD_q5SRTVPv6N2Z7hI44QbxMHGM566IPhAfqyKBUPhcrzIOnFtRMe5-fydS4dJI0UrlQ2AS', 'width': 3264}]",2.0,,https://www.google.com/maps/place/?q=place_id:ChIJn2p8UNqfei4R_l0497TRdXE
OPERATIONAL,"Jl. Pahlawan No.6, Ngemplak, Parakan Wetan, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56254, Indonesia","{'location': {'lat': -7.284772, 'lng': 110.1047622}, 'viewport': {'northeast': {'lat': -7.283432120107279, 'lng': 110.1061412798927}, 'southwest': {'lat': -7.286131779892723, 'lng': 110.1034416201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Tugu Galeh,ChIJ5cV3V6V3cC4Rp0vctIcY42U,4.7,ChIJ5cV3V6V3cC4Rp0vctIcY42U,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",36,"{'compound_code': 'P483+3W Parakan Wetan, Temanggung Regency, Central Java, Indonesia', 'global_code': '6P4GP483+3W'}",{'open_now': True},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110058571072526489713"">110058571072526489713</a>'], 'photo_reference': 'AUGGfZkAhvh8jpJ-InYK9mVeBX8e7kpAt4V7ujNYwoe4126g2r7ZXTtkHa-4RCO6-JkR0xKKX3uE5fkUKVNCQnhNV_9xGc0769_Qoq-POZelPZL7ryTRPjh0aYuYezg7gMyHTZrMwOIh6lvQeI8QEGTnALao8BelKBgB50dm-jW2SwZUP8Vg', 'width': 1920}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ5cV3V6V3cC4Rp0vctIcY42U
OPERATIONAL,"Unnamed Road, Petarangan 3, Petarangan, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264, Indonesia","{'location': {'lat': -7.319590799999999, 'lng': 110.0602747}, 'viewport': {'northeast': {'lat': -7.316995649999999, 'lng': 110.06537275}, 'southwest': {'lat': -7.320455849999999, 'lng': 110.05857535}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam Bukit Botorono Petarangan,ChIJiY2mYICdei4R4hSee3Ptzio,4.4,ChIJiY2mYICdei4R4hSee3Ptzio,"['tourist_attraction', 'point_of_interest', 'establishment']",332,"{'compound_code': 'M3J6+54 Petarangan, Temanggung Regency, Central Java, Indonesia', 'global_code': '6P4GM3J6+54'}",{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114740789672996241206"">qosim nur ajib</a>'], 'photo_reference': 'AUGGfZlSmuzDv4sgbSAhkT8z2JK2NQMDJjPgVOi0TYDKxVTMDj-sPsH35zQNSYDvkIDqHAetSzyMD1-g93sdGEBt2GSe3UDvHfHPzXkP6-IZ-7pWkaWjcAqHMG8U3sNXjbjzCgG_vz1f96nYV_0j2ONo7NGSomFTt6rk5lZsqFLFxObb3SWd', 'width': 3024}]",,,https://www.google.com/maps/place/?q=place_id:ChIJiY2mYICdei4R4hSee3Ptzio
OPERATIONAL,"Jl. Gambiran No.3, Besaran, Parakan Wetan, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56254, Indonesia","{'location': {'lat': -7.282689200000001, 'lng': 110.102626}, 'viewport': {'northeast': {'lat': -7.281348970107278, 'lng': 110.1039768798927}, 'southwest': {'lat': -7.284048629892721, 'lng': 110.1012772201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Heritage House keluarga Siek,ChIJn3o8t9l3cC4RQoLrDTxLj68,4.7,ChIJn3o8t9l3cC4RQoLrDTxLj68,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"{'compound_code': 'P483+W3 Parakan Wetan, Temanggung Regency, Central Java, Indonesia', 'global_code': '6P4GP483+W3'}",,"[{'height': 1728, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109018619681207458169"">fadkus s</a>'], 'photo_reference': 'AUGGfZml7PtCy-GfDM6OohOq8zfakAmNo-eZbFnlYSuQjs62kOfjIeIUA3do0A1gJYYSAHKhEcxxcDe__ylJlFwE4f0LLWzOr8kSFa6yRA8z7VxbWu1ekVWrJHdklo7VfrSOLf1-Wbm5D86Yxc6sqWoU-dGzXTsBq5g4lZ_7XaFnRO997fx5', 'width': 3840}]",,,https://www.google.com/maps/place/?q=place_id:ChIJn3o8t9l3cC4RQoLrDTxLj68
OPERATIONAL,"P35R+3F4, Area Sawah, Diwek, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah, Indonesia","{'location': {'lat': -7.292365800000001, 'lng': 110.0911906}, 'viewport': {'northeast': {'lat': -7.288776299999999, 'lng': 110.09409835}, 'southwest': {'lat': -7.293562300000002, 'lng': 110.09022135}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hutan sawah,ChIJ2zDFZL13cC4RGTliHHpmtu0,0.0,ChIJ2zDFZL13cC4RGTliHHpmtu0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2zDFZL13cC4RGTliHHpmtu0
OPERATIONAL,"Jalan Raya Parakan - Wonosobo No.KM.12, Area Sawah, Kledung, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56264, Indonesia","{'location': {'lat': -7.334116999999999, 'lng': 110.0318809}, 'viewport': {'northeast': {'lat': -7.332917220107279, 'lng': 110.0332910798927}, 'southwest': {'lat': -7.335616879892723, 'lng': 110.0305914201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung Kledung,ChIJ-2v-8BGeei4R8vw0hPQx76w,4.5,ChIJ-2v-8BGeei4R8vw0hPQx76w,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",4952,"{'compound_code': 'M28J+9Q Kledung, Temanggung Regency, Central Java, Indonesia', 'global_code': '6P4GM28J+9Q'}",{'open_now': True},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104817746566844728254"">Sigit Solo</a>'], 'photo_reference': 'AUGGfZkPJrClYrAmTsB0vT13PwGvY4LtKlKpq95VGjsKWCZnqCahOFQkxlKaDDk3T22kPH8Bgpzq9G5NcPtJVPqRvsVcpSAR8Ao980__g3XzUj64a9Ia4jmmwvcjXqvzwFxXN1NsCuroA2FkK8IBbdyxp4lxJ8uKKDI_Hsbcwtdw3qnSlKM4', 'width': 4624}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ-2v-8BGeei4R8vw0hPQx76w
OPERATIONAL,"Unnamed Road, Sawah, Bansari, Kec. Bansari, Kabupaten Temanggung, Jawa Tengah 56265, Indonesia","{'location': {'lat': -7.2891692, 'lng': 110.0343401}, 'viewport': {'northeast': {'lat': -7.288151870107278, 'lng': 110.0360805798927}, 'southwest': {'lat': -7.290851529892722, 'lng': 110.0333809201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung Bansari,ChIJzbjv47R1cC4RF6hSZmfCjpA,4.6,ChIJzbjv47R1cC4RF6hSZmfCjpA,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",832,"{'compound_code': 'P26M+8P Bansari, Temanggung Regency, Central Java, Indonesia', 'global_code': '6P4GP26M+8P'}",{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107858316911476334059"">M Talifun</a>'], 'photo_reference': 'AUGGfZn8XHCzoW3Tb6Z7hDatRvr-dJPq4xyfLu_80wf6l1BMnBajRFACURXs_rRY6xIXB_3d5nywnl4y208j267PqTRy3lbsrSEhXPe54e1jkzrAnOTnk-vzSWO8QLpFTDhIJShXfCsELIgXcGQd9AdWpVtb9XZb5GH9Z0Pk4n_Sn94ZMkag', 'width': 4208}]",,,https://www.google.com/maps/place/?q=place_id:ChIJzbjv47R1cC4RF6hSZmfCjpA
OPERATIONAL,"P3WH+FGR, Gemblok, Traji, Kec. Parakan, Kabupaten Temanggung, Jawa Tengah 56255, Indonesia","{'location': {'lat': -7.253771, 'lng': 110.0787639}, 'viewport': {'northeast': {'lat': -7.25257445, 'lng': 110.0800337298927}, 'southwest': {'lat': -7.257360649999999, 'lng': 110.0773340701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ereng - ereng,ChIJUTTEzg93cC4RmXgq3GmWp24,5.0,ChIJUTTEzg93cC4RmXgq3GmWp24,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101639004726352810037"">agus sammi</a>'], 'photo_reference': 'AUGGfZngcMt38dFUeVNvNrY5HgTNrB0a-QzZDiGe_RfEgdxIpWjAoUWlI1krOLL-6YTZ7D8s1e-hfBLWSPfGr3lYX8q4pumBaKTfuqGWg7h-6aq5W9oLGJp9LIMEtVNtn4TU-MMrvq95UNFI1jorpbCWfJ5g4KYXHtfDCfbl-csc8-ob5t59', 'width': 900}]",,,https://www.google.com/maps/place/?q=place_id:ChIJUTTEzg93cC4RmXgq3GmWp24
