formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,photos,rating,user_ratings_total,permanently_closed,opening_hours,plus_code,url
"Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.6534355, 'lng': 114.001226}, 'viewport': {'northeast': {'lat': -0.375093, 'lng': 114.1841981}, 'southwest': {'lat': -0.8571679999999999, 'lng': 113.83072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mandau Talawang,ChIJmY_njeDa_i0RXWbeXIl0BAo,ChIJmY_njeDa_i0RXWbeXIl0BAo,"['administrative_area_level_3', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJmY_njeDa_i0RXWbeXIl0BAo
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tinanggea( sultra),ChIJH6BnAnnH_i0RxSNgJyVY0OI,ChIJH6BnAnnH_i0RxSNgJyVY0OI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114298386207423122980"">andi ukky</a>'], 'photo_reference': 'AUGGfZm3JJERzUUoyb0JRi1oijJtSETuCPsdNz26ER6ARTMxLRsYo8eY1hUkAPh4B9oaTi5LjialDVwvGGOC9N1TbvEzoDrbWSarApD5axYxco82964NZV3h4gZD_JsIRuXPfIOReKHwwzKfNCgEyJv31Zvhibq7Nd3vzMRLiD3dKkNuE-ds', 'width': 4000}]",4.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJH6BnAnnH_i0RxSNgJyVY0OI
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Talang cikwi,Yurham",ChIJq7RgFi3H_i0RWbc9-KyPJlA,ChIJq7RgFi3H_i0RWbc9-KyPJlA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJq7RgFi3H_i0RWbc9-KyPJlA
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bengkulu dan sekitar nya,ChIJcaZAMwDH_i0Re0_bLeRuId8,ChIJcaZAMwDH_i0Re0_bLeRuId8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJcaZAMwDH_i0Re0_bLeRuId8
"CV9W+45, Tumbang Bokoi, Mandau Talawang, Kapuas Regency, Central Kalimantan 74581, Indonesia","{'location': {'lat': -0.5821775, 'lng': 113.8954162}, 'viewport': {'northeast': {'lat': -0.5808113201072778, 'lng': 113.8968617798927}, 'southwest': {'lat': -0.5835109798927223, 'lng': 113.8941621201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tiang langit,ChIJGwJztVHZ_i0RAdCEdZ5lT78,ChIJGwJztVHZ_i0RAdCEdZ5lT78,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116328855292359208367"">A Ri</a>'], 'photo_reference': 'AUGGfZm88crhRvG-JEOFypiu3ueSs0hf9o-S5eHfdZN_C-Ivtrk2BDaEQiZmwdvmWipoaD3zpm8FWjm5a_u-C4Obep8HRt7JmeTvr5eqqVMGkxWP_JYkQTrbDb9m9hQMBFmrrCrIu4lIdZ1L58s5nmxegvkfDEvx4V_fOUba2nk_7BSY_vMW', 'width': 3120}]",4.5,2.0,True,,,https://www.google.com/maps/place/?q=place_id:ChIJGwJztVHZ_i0RAdCEdZ5lT78
"6W6C+7G, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan 74511, Indonesia","{'location': {'lat': -0.7892751, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879252701072778, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906249298927223, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sari ater hot spring ciater,ChIJjeEfmr3H_i0Rge7z2tEsi0o,ChIJjeEfmr3H_i0Rge7z2tEsi0o,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103563133243207732077"">A Google User</a>'], 'photo_reference': 'AUGGfZnt13wwcdBpL6ev0AUfxBegL0mAJxMZictExHd4Awqn-8bNhDr7AfOgqEtS8ugKK6aWnYGIoEj5OX_1Fx83whOzH9ChDol1jFjRIZ5ac-3x7L94M09m_Fq6mhzXSol921zlXcIfCKhahMdKeeEAqRYdMDtkoFECer8O4-jV9ZoeFM0h', 'width': 4608}]",5.0,3.0,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJjeEfmr3H_i0Rge7z2tEsi0o
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan 74511, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wayak raja ampat,ChIJR8Ytb7DH_i0RdASroyb4cNE,ChIJR8Ytb7DH_i0RdASroyb4cNE,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJR8Ytb7DH_i0RdASroyb4cNE
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Selangan Tanak Hills,ChIJj1ZTjGnH_i0RyzidyzhURfE,ChIJj1ZTjGnH_i0RyzidyzhURfE,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJj1ZTjGnH_i0RyzidyzhURfE
"Dusun Jakatan Masupa, Desa Tumbang Manyarung, Tumbang Manyarung, Mandau Talawang, Kabupaten Kapuas, Kalimantan Tengah 74581, Indonesia","{'location': {'lat': -0.566672, 'lng': 114.025014}, 'viewport': {'northeast': {'lat': -0.5653221701072777, 'lng': 114.0263638298927}, 'southwest': {'lat': -0.5680218298927222, 'lng': 114.0236641701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sella Adventure & Travelling,ChIJkUp5WQHX_i0RXXAc8Hmti3U,ChIJkUp5WQHX_i0RXXAc8Hmti3U,"['tourist_attraction', 'lodging', 'travel_agency', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115937736007584165545"">A Google User</a>'], 'photo_reference': 'AUGGfZkJKu34Hn0mt0On_iPZ9z9jPcs-4Yq7XohiXVNHQDJgGXbLGDsJ3aO7OMcxj1ZME3aOX4cvPyqb_Ge12j843tXAGbh2SuqSBMHacwvySWjdxcRHU9qy_Fx0ew2oruKsPZEnX95C_G4GAtiWS6a7ChoSIflxstmdUn56_arhkhmdEjs3', 'width': 720}]",5.0,1.0,,{'open_now': False},"{'compound_code': 'C2MG+82 Tumbang Manyarung, Kapuas Regency, Central Kalimantan, Indonesia', 'global_code': '6PFPC2MG+82'}",https://www.google.com/maps/place/?q=place_id:ChIJkUp5WQHX_i0RXXAc8Hmti3U
"6W6C+7GP, Sei Pinang, Mandau Talawang, Kapuas Regency, Central Kalimantan 74511, Indonesia","{'location': {'lat': -0.789275, 'lng': 113.921327}, 'viewport': {'northeast': {'lat': -0.7879251701072777, 'lng': 113.9226768298927}, 'southwest': {'lat': -0.7906248298927221, 'lng': 113.9199771701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,Kalimantan tengah,ChIJJ5IVSHbH_i0RFYyWOSphrRk,ChIJJ5IVSHbH_i0RFYyWOSphrRk,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115093473222492140857"">A Google User</a>'], 'photo_reference': 'AUGGfZnG4sSE9eC7k3hwTc8EbSTOLAx4ruc3E46xwm3wZHcnDJhndCwaFRNWwm30IaRF3-q4rk4nICLv24C3vmNqzs4hkE4KntXiNgOrZJJelo9fMtN95xCHLeLp0GoKVcwFH2ep5-Am5VTFuHA3OFFH3_LK1WezwB_P48Y91WSQeZCaak3Y', 'width': 1872}]",4.8,6.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJ5IVSHbH_i0RFYyWOSphrRk
