business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,place_id,rating,reference,types,user_ratings_total,photos,plus_code,opening_hours,url
CLOSED_TEMPORARILY,"MF8V+598, Wirayuda, Central Ketungau, Sintang Regency, West Kalimantan 78653, Indonesia","{'location': {'lat': 0.6654066, 'lng': 111.4934497}, 'viewport': {'northeast': {'lat': 0.6668313798927221, 'lng': 111.4948171798927}, 'southwest': {'lat': 0.6641317201072776, 'lng': 111.4921175201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,bukit loreng,True,ChIJY3YJunXz_jERHg3BHo4vBdU,0.0,ChIJY3YJunXz_jERHg3BHo4vBdU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJY3YJunXz_jERHg3BHo4vBdU
CLOSED_TEMPORARILY,"CCQ8+69, Betung Permai, Ketungau Hilir, Sintang Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.438029, 'lng': 111.4159148}, 'viewport': {'northeast': {'lat': 0.4394979000000001, 'lng': 111.4196831}, 'southwest': {'lat': 0.4336223, 'lng': 111.4146587}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Enteli sungai entebai hulu,True,ChIJJ2IUSKNn_jERahhfAQ9gC88,0.0,ChIJJ2IUSKNn_jERahhfAQ9gC88,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJJ2IUSKNn_jERahhfAQ9gC88
OPERATIONAL,"MGR6+2C, Wirayuda, Central Ketungau, Sintang Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.6900495999999999, 'lng': 111.5110186}, 'viewport': {'northeast': {'lat': 0.6925084000000002, 'lng': 111.5123303298927}, 'southwest': {'lat': 0.6892299999999998, 'lng': 111.5096306701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SUNGAI MERAKAI,,ChIJWZZgvszz_jERfRA5LqgC6so,5.0,ChIJWZZgvszz_jERfRA5LqgC6so,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJWZZgvszz_jERfRA5LqgC6so
OPERATIONAL,"CCG9+MF, Betung Permai, Ketungau Hilir, Sintang Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.4271543, 'lng': 111.4189732}, 'viewport': {'northeast': {'lat': 0.4283718298927223, 'lng': 111.4204301798927}, 'southwest': {'lat': 0.4256721701072778, 'lng': 111.4177305201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang tiga,,ChIJWfI5WQBn_jERHIkDuQYVfT4,0.0,ChIJWfI5WQBn_jERHIkDuQYVfT4,"['point_of_interest', 'establishment']",0.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115121887018233508089"">A Google User</a>'], 'photo_reference': 'AUGGfZkMVFzROoxIl0pXeVVs2kUTSWSoNcv-DtKkwXuQPqzPMkBza48qeNDttHxXMD0eQgo57QwZr8eK12TDMvdCbaPkIsM-CKUrT0g5xFwRT0_tBnp7tOc3GuE_pI9hhcofPk4CHxL-8FmkJfUEQB_Ct_w4sCylX5S0fsUbZzANxxr3aqnq', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJWfI5WQBn_jERHIkDuQYVfT4
CLOSED_TEMPORARILY,"MGM8+Q5, Wirayuda, Central Ketungau, Sintang Regency, West Kalimantan 78653, Indonesia","{'location': {'lat': 0.6846068, 'lng': 111.5162958}, 'viewport': {'northeast': {'lat': 0.6859458298927221, 'lng': 111.5176830298927}, 'southwest': {'lat': 0.6832461701072777, 'lng': 111.5149833701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ruko Rbw,True,ChIJ0X7udTnz_jERS0YteTqaGxM,0.0,ChIJ0X7udTnz_jERS0YteTqaGxM,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0X7udTnz_jERS0YteTqaGxM
CLOSED_TEMPORARILY,"MGQ6+3JQ, Wirayuda, Central Ketungau, Sintang Regency, West Kalimantan 78653, Indonesia","{'location': {'lat': 0.6879929000000001, 'lng': 111.5115215}, 'viewport': {'northeast': {'lat': 0.6892620798927223, 'lng': 111.5129067298927}, 'southwest': {'lat': 0.6865624201072779, 'lng': 111.5102070701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SUNGAI LISUT,True,ChIJ1Zxmfi_z_jERZ0Gb3Ps4-2A,5.0,ChIJ1Zxmfi_z_jERZ0Gb3Ps4-2A,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1Zxmfi_z_jERZ0Gb3Ps4-2A
OPERATIONAL,"CJ5F+7M, Nanga Ketungau, Ketungau Hilir, Sintang Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.408211, 'lng': 111.6242152}, 'viewport': {'northeast': {'lat': 0.4095608298927222, 'lng': 111.6255650298927}, 'southwest': {'lat': 0.4068611701072777, 'lng': 111.6228653701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,CAMP divisi MAET,,ChIJ00JoVgBF_jERNn317sMoEHk,4.0,ChIJ00JoVgBF_jERNn317sMoEHk,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ00JoVgBF_jERNn317sMoEHk
OPERATIONAL,"dusun Sungai Puang No.Rt. 04, Kayu Dujung, Kec. Ketungau Tengah, Kabupaten Sintang, Kalimantan Barat 78653, Indonesia","{'location': {'lat': 0.7348007999999999, 'lng': 111.7270064}, 'viewport': {'northeast': {'lat': 0.7361506298927223, 'lng': 111.7283562298927}, 'southwest': {'lat': 0.7334509701072779, 'lng': 111.7256565701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Sekapat,,ChIJ84FS0T7l_jERTqWbrRw2YLs,0.0,ChIJ84FS0T7l_jERTqWbrRw2YLs,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,"{'compound_code': 'PPMG+WR Kayu Dujung, Sintang Regency, West Kalimantan, Indonesia', 'global_code': '6PGHPPMG+WR'}",,https://www.google.com/maps/place/?q=place_id:ChIJ84FS0T7l_jERTqWbrRw2YLs
OPERATIONAL,"6GHC+X7, Mensiku, Binjai Hulu, Sintang Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.2299653, 'lng': 111.5207312}, 'viewport': {'northeast': {'lat': 0.2313151298927223, 'lng': 111.5220810298927}, 'southwest': {'lat': 0.2286154701072778, 'lng': 111.5193813701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DANAU MENSIKU,,ChIJSz60Ec4__jERCrIY2ALPE8M,4.5,ChIJSz60Ec4__jERCrIY2ALPE8M,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111240490577068641973"">A Google User</a>'], 'photo_reference': 'AUGGfZnMxa9gckJBZURFtSBzGotS6S0GNnEOuc5iIaSnO8km0ls1gFqZ2UoaEbLT3yY2yhK8fmdo2lZ1TflcrXwOWIEfV_CRvSuPrUMuMFwOwQTeXE1tJrwA7qaoyQKya4dK3SNg99MFfUkgsiBPNoGTEomKKYzuzp1UfTXV392U2SNIHy6a', 'width': 720}]",,,https://www.google.com/maps/place/?q=place_id:ChIJSz60Ec4__jERCrIY2ALPE8M
,"Ketungau Hilir, Sintang Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.4889609, 'lng': 111.5706786}, 'viewport': {'northeast': {'lat': 0.65171, 'lng': 111.74086}, 'southwest': {'lat': 0.2411449, 'lng': 111.217191}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ketungau Hilir,,ChIJnyIB6Hxd_jER6mbo00qxRrg,,ChIJnyIB6Hxd_jER6mbo00qxRrg,"['administrative_area_level_3', 'political']",,"[{'height': 2366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101582836697573383762"">Dody Fahrudin</a>'], 'photo_reference': 'AUGGfZm9U2-8u3J6GH6oSPsPGeRZBuI03omvCKyK3K8-eWp4ehrjR_lL9h34l1JbXXM2PWmNqzhdF-uNxQEncT6JUMff5gXP9phsW6sGBLmiZGZ9-QTyutlvj-Z51T2LK-Eb6Q9hovkjfqXdKUa7lO5RQBP_OZE27INJbAkCawsPk6Ot1plt', 'width': 1813}]",,,https://www.google.com/maps/place/?q=place_id:ChIJnyIB6Hxd_jER6mbo00qxRrg
