business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,plus_code,photos,permanently_closed,url
OPERATIONAL,"2QWR+WF, Workwana, Arso, Keerom Regency, Papua, Indonesia","{'location': {'lat': -2.9527152, 'lng': 140.7911625}, 'viewport': {'northeast': {'lat': -2.951365370107277, 'lng': 140.7925123298927}, 'southwest': {'lat': -2.954065029892722, 'lng': 140.7898126701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Tami,ChIJa6ZM_VGHa2gRxdXPn4RyexA,0.0,ChIJa6ZM_VGHa2gRxdXPn4RyexA,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJa6ZM_VGHa2gRxdXPn4RyexA
OPERATIONAL,"Jl. Klp., Asiaman, Kec. Arso, Kabupaten Keerom, Papua 99471, Indonesia","{'location': {'lat': -2.8707194, 'lng': 140.7444809}, 'viewport': {'northeast': {'lat': -2.869291970107278, 'lng': 140.7458231298927}, 'southwest': {'lat': -2.871991629892722, 'lng': 140.7431234701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pariwisata Keerom,ChIJtVn3gzJ_bGgRdI2hMOvo0Q4,0.0,ChIJtVn3gzJ_bGgRdI2hMOvo0Q4,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"{'compound_code': '4PHV+PQ Asiaman, Keerom Regency, Papua, Indonesia', 'global_code': '6R924PHV+PQ'}",,,https://www.google.com/maps/place/?q=place_id:ChIJtVn3gzJ_bGgRdI2hMOvo0Q4
OPERATIONAL,"5QQ6+QH, Arso I. / Sanggaria, Arso, Keerom Regency, Papua, Indonesia","{'location': {'lat': -2.8105886, 'lng': 140.761448}, 'viewport': {'northeast': {'lat': -2.808838020107278, 'lng': 140.7629810298927}, 'southwest': {'lat': -2.811537679892723, 'lng': 140.7602813701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Uncle Sam Garden,ChIJqRd5Ksx9bGgRTUk4USzwuSU,0.0,ChIJqRd5Ksx9bGgRTUk4USzwuSU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJqRd5Ksx9bGgRTUk4USzwuSU
OPERATIONAL,"MQ46+2X8, Jln langsat, kampung Wonorejo, Senggi, Kabupaten Keerom, Papua, Indonesia","{'location': {'lat': -3.3449536, 'lng': 140.7624493}, 'viewport': {'northeast': {'lat': -3.343603770107278, 'lng': 140.7637991298927}, 'southwest': {'lat': -3.346303429892723, 'lng': 140.7610994701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Wonorejo kecamatan Arso timur,ChIJrxPjJgCpa2gRy9v5nv7_rQU,0.0,ChIJrxPjJgCpa2gRy9v5nv7_rQU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJrxPjJgCpa2gRy9v5nv7_rQU
OPERATIONAL,"6QMX+R3, Arso Kota, Arso, Keerom Regency, Papua, Indonesia","{'location': {'lat': -2.7654794, 'lng': 140.7976903}, 'viewport': {'northeast': {'lat': -2.764129570107277, 'lng': 140.7990401298927}, 'southwest': {'lat': -2.766829229892722, 'lng': 140.7963404701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Buffur,ChIJ-b-R5P9lbGgRxS15tif6TAI,5.0,ChIJ-b-R5P9lbGgRxS15tif6TAI,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-b-R5P9lbGgRxS15tif6TAI
,"Arso Timur, Keerom Regency, Papua, Indonesia","{'location': {'lat': -2.9996892, 'lng': 140.8239949}, 'viewport': {'northeast': {'lat': -2.8083809, 'lng': 140.9999996}, 'southwest': {'lat': -3.0768862, 'lng': 140.7929539}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Arso Timur,ChIJZzMvLgSJa2gRSkWCSfWpOq4,,ChIJZzMvLgSJa2gRSkWCSfWpOq4,"['administrative_area_level_3', 'political']",,,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115562746987399172512"">pabu wahyudin</a>'], 'photo_reference': 'AUGGfZkosNEnbGLSOIB0-XozJb24k_c4E7dx5gt9osS3eTKRIGBejKE5LXJOreohP91hBhWBTtZa-Lf95mvSljPLxQxdRSLCfqMsdhDbivJGqxjl8qnHqHSm_KMASu1QU-0BVI9JK5qR_NG2T-2folNzrhzUS5rjny-NntUIZFtGN0AdXbU', 'width': 3456}]",,https://www.google.com/maps/place/?q=place_id:ChIJZzMvLgSJa2gRSkWCSfWpOq4
OPERATIONAL,"2RR9+H66, Unnamed Road, Upt Pir V. / Yamara, Arso Tim., Kabupaten Keerom, Papua 99468, Indonesia","{'location': {'lat': -2.9585752, 'lng': 140.8180179}, 'viewport': {'northeast': {'lat': -2.957342820107278, 'lng': 140.8193596798927}, 'southwest': {'lat': -2.960042479892723, 'lng': 140.8166600201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RUMAH KELUARGA RASIWAN,ChIJDR4pQYyHa2gRV-1AEtPRVCo,5.0,ChIJDR4pQYyHa2gRV-1AEtPRVCo,"['point_of_interest', 'establishment']",2.0,,"[{'height': 1506, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110910587834684125947"">Gus Carbon</a>'], 'photo_reference': 'AUGGfZnEuWPmGT92iWQTN8trmACz2h5jEIEPLG4arh-egMT4VamQ9DGetXDG8DEoU1zNh3RDcpo1AdTA6oNmCuVS-Mu4x0jtuo45A3BVpOnvodR-q0FrBRPuc7iLFgcsZf3pi2Eea3Y6BOpNCX5sFJffP4ANAFhSa7iSAP_cwO-gqz4J7eRI', 'width': 3264}]",,https://www.google.com/maps/place/?q=place_id:ChIJDR4pQYyHa2gRV-1AEtPRVCo
CLOSED_TEMPORARILY,"6Q52+965, Unnamed Road, Arso I. / Sanggaria, Kec. Arso, Kabupaten Keerom, Papua 99468, Indonesia","{'location': {'lat': -2.7916068, 'lng': 140.7506099}, 'viewport': {'northeast': {'lat': -2.790260670107278, 'lng': 140.7519596298927}, 'southwest': {'lat': -2.792960329892722, 'lng': 140.7492599701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ARGOPUA,ChIJ1fG494R9bGgRhilacykfuOM,5.0,ChIJ1fG494R9bGgRhilacykfuOM,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115015860005747996658"">ulin persipura</a>'], 'photo_reference': 'AUGGfZntYI-rycu0WUZDZfSysgAZmJBrDrgO0w6uQAYonMHIWuglVhAve5bjMfF-4n58FCeXZinMfzRassOcJTEhTN11Wt0S4BEhPoI2a5mtaZy5EPEb0BUBh6HcXjbNcF4kbsH17SUP_424xL03zkwzo62ikHTT2Q2qxvhA8xX_W5-lPUbt', 'width': 3472}]",True,https://www.google.com/maps/place/?q=place_id:ChIJ1fG494R9bGgRhilacykfuOM
CLOSED_TEMPORARILY,"4M5M+HR4, Upt Arso X/Yaturaharja, Arso, Keerom Regency, Papua, Indonesia","{'location': {'lat': -2.8911147, 'lng': 140.6845819}, 'viewport': {'northeast': {'lat': -2.889438649999999, 'lng': 140.6857249798927}, 'southwest': {'lat': -2.89614285, 'lng': 140.6830253201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun wisata P. Maryanus Koba Toyo,ChIJk8aiLcZ_bGgRkLikIwqM6nI,0.0,ChIJk8aiLcZ_bGgRkLikIwqM6nI,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,True,https://www.google.com/maps/place/?q=place_id:ChIJk8aiLcZ_bGgRkLikIwqM6nI
CLOSED_TEMPORARILY,"5M4Q+MCG, Unnamed Road, Upt Arso XI / Ifia-Fia, Kec. Arso, Kabupaten Keerom, Papua 99468, Indonesia","{'location': {'lat': -2.8433233, 'lng': 140.6885767}, 'viewport': {'northeast': {'lat': -2.841885220107277, 'lng': 140.6898853798927}, 'southwest': {'lat': -2.844584879892722, 'lng': 140.6871857201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kedai arisan farhan,ChIJ6wJ5oEB_bGgROKunNvPtZZA,0.0,ChIJ6wJ5oEB_bGgROKunNvPtZZA,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,True,https://www.google.com/maps/place/?q=place_id:ChIJ6wJ5oEB_bGgROKunNvPtZZA
