business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,opening_hours,url
OPERATIONAL,"HF89+248, Katakeja, Atadei, Lembata Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.4349536, 'lng': 123.4678297}, 'viewport': {'northeast': {'lat': -8.433607270107277, 'lng': 123.4691778298927}, 'southwest': {'lat': -8.436306929892721, 'lng': 123.4664781701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lewo Alang,ChIJSyALeQANqy0R0AZUlrZ6Y8Y,0.0,ChIJSyALeQANqy0R0AZUlrZ6Y8Y,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJSyALeQANqy0R0AZUlrZ6Y8Y
OPERATIONAL,"FGWM+PX6, Watuwawer, Nusa Tenggara Tim., Atakore, Kec. Atadei, Kabupaten Lembata, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.5032029, 'lng': 123.5348898}, 'viewport': {'northeast': {'lat': -8.501904170107277, 'lng': 123.5367398298928}, 'southwest': {'lat': -8.504603829892721, 'lng': 123.5340401701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Dapur Alam Atakore Watuwawer,ChIJe_tua1MRqy0RXB8d8WVitN4,4.5,ChIJe_tua1MRqy0RXB8d8WVitN4,"['tourist_attraction', 'point_of_interest', 'establishment']",19,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111433112697050073282"">A Google User</a>'], 'photo_reference': 'AUGGfZnO_nGm2sf5AbYdr0tsD5eEZ5PMi0-IFlZNPRrurNpYKDp7I4hU0YRWgn4YMwrL2cCaJrHbQTmyVLXAKa6sMTQgZxSbFIISB0WKixmFhYbxOLaPXuQhKaD9_vcNuMZ6f-sdIsTVXy4e4K-FxAql-LBn7S6Vr6uw19C1ISD-ZdsYyCOw', 'width': 3016}]",,,https://www.google.com/maps/place/?q=place_id:ChIJe_tua1MRqy0RXB8d8WVitN4
OPERATIONAL,"HHHJ+9P, Banitobo, Lebatukan, Lembata Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.4215091, 'lng': 123.5818034}, 'viewport': {'northeast': {'lat': -8.420159270107279, 'lng': 123.5831532298927}, 'southwest': {'lat': -8.422858929892723, 'lng': 123.5804535701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batas ulayat besei dan benalar,ChIJN0TnTwAPqy0RP2A_8zewzjA,0.0,ChIJN0TnTwAPqy0RP2A_8zewzjA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJN0TnTwAPqy0RP2A_8zewzjA
CLOSED_TEMPORARILY,"HG66+8P Kia Bote Mote, Tubuk Rajan, Kec. Atadei, Kabupaten Lembata, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.4385356, 'lng': 123.5129232}, 'viewport': {'northeast': {'lat': -8.43661702010728, 'lng': 123.5138585298927}, 'southwest': {'lat': -8.439316679892723, 'lng': 123.5111588701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kepala Kebun Tengah,ChIJnU0a03sTqy0Rs6Y6PhTJ1DM,0.0,ChIJnU0a03sTqy0Rs6Y6PhTJ1DM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,,https://www.google.com/maps/place/?q=place_id:ChIJnU0a03sTqy0Rs6Y6PhTJ1DM
CLOSED_TEMPORARILY,"HGW8+MXF, Unnamed Road, Katakeja, Kec. Atadei, Kabupaten Lembata, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.4033002, 'lng': 123.5174223}, 'viewport': {'northeast': {'lat': -8.40195037010728, 'lng': 123.5187721298927}, 'southwest': {'lat': -8.404650029892723, 'lng': 123.5160724701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sumber mata wairan,ChIJ6eZebDkNqy0RrQ8Uu2rY8Ek,0.0,ChIJ6eZebDkNqy0RrQ8Uu2rY8Ek,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,,https://www.google.com/maps/place/?q=place_id:ChIJ6eZebDkNqy0RrQ8Uu2rY8Ek
OPERATIONAL,"F9H5+7R, Lusiduawutun, Nagawutung, Lembata Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.521753, 'lng': 123.359514}, 'viewport': {'northeast': {'lat': -8.52040317010728, 'lng': 123.3608638298927}, 'southwest': {'lat': -8.523102829892723, 'lng': 123.3581641701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung Atawai,ChIJA8zoAVprqy0RwEcZT3XbHCs,0.0,ChIJA8zoAVprqy0RwEcZT3XbHCs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJA8zoAVprqy0RwEcZT3XbHCs
OPERATIONAL,"FF97+PRC, Pantai Harapan, Wulandoni, Lembata Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.5306967, 'lng': 123.4645281}, 'viewport': {'northeast': {'lat': -8.528395249999999, 'lng': 123.4657407798927}, 'southwest': {'lat': -8.53146385, 'lng': 123.4630411201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Boto Bure-Tanjung Leworaja,ChIJqY6VA3gVqy0RQliOPtPEH6Q,5.0,ChIJqY6VA3gVqy0RQliOPtPEH6Q,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106447193209793414728"">Ahmad Rasyid</a>'], 'photo_reference': 'AUGGfZnG-NmKx4iuU_zr0zn3RgZ1gQuhmBGRHhmQvQ0sfkJ0Ijrh9ZFqJNDzaxXosfYBSPS6jUHYLKoLYQKxX5p00TEdgo4jynPkOMA2h8FyKH7U5AvfCU7MD_CE3aXJQZu9nt_I_p_weRFVbXp2j7vnIUz-AtKDCnr-5BR_Uvj5Huyl6cx6', 'width': 1440}]",,,https://www.google.com/maps/place/?q=place_id:ChIJqY6VA3gVqy0RQliOPtPEH6Q
OPERATIONAL,"F9QF+XQ, Puor, Wulandoni, Lembata Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.5103873, 'lng': 123.3744589}, 'viewport': {'northeast': {'lat': -8.509485220107278, 'lng': 123.3759073798927}, 'southwest': {'lat': -8.512184879892722, 'lng': 123.3732077201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Air Panas Boto,ChIJF5uEGwBtqy0RSmMTOXcfQMY,5.0,ChIJF5uEGwBtqy0RSmMTOXcfQMY,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107030666107496021414"">FELZON LABAONA</a>'], 'photo_reference': 'AUGGfZkSLf9W5yNjHPa3B13RqNZZUWlqr1F6x7PEvfOwNkpn2GgNtId6e9DO_cvUhFQxbXgvHQcvQCVVeNyXkRaq4zBvvVIUPDVUwd6urZH_2ZOyCFvH7q7sMCvy25iHcjAJuAM6wwiAautKhOVELC7XCyC09qXsAtoNXm2HJQx1vNpamUqT', 'width': 2340}]",,,https://www.google.com/maps/place/?q=place_id:ChIJF5uEGwBtqy0RSmMTOXcfQMY
OPERATIONAL,"J92H+7Q9, West Lewoleba, Nubatukan, Lembata Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.3993375, 'lng': 123.3794844}, 'viewport': {'northeast': {'lat': -8.398638720107277, 'lng': 123.38191005}, 'southwest': {'lat': -8.40133837989272, 'lng': 123.37867585}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pada,ChIJO-DrZlNzqy0RP-lvQVLKfxc,0.0,ChIJO-DrZlNzqy0RP-lvQVLKfxc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJO-DrZlNzqy0RP-lvQVLKfxc
OPERATIONAL,"MF3C+5H, Muruona, Ile Ape, Lembata Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.3470497, 'lng': 123.4714586}, 'viewport': {'northeast': {'lat': -8.345631620107278, 'lng': 123.4728718298927}, 'southwest': {'lat': -8.348331279892722, 'lng': 123.4701721701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok OLA TAKE Waimatan,ChIJqSP_fgALqy0REiZt6mw0KYE,0.0,ChIJqSP_fgALqy0REiZt6mw0KYE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110375941589616988798"">A Google User</a>'], 'photo_reference': 'AUGGfZnem9avopZwLAWiWqXMPn4Y-9vU_cQ-Hi8hnFsPhiCJ92MjPD_Foo8vrFK4_-T6kkTdeYrUuzHzeCZcXVWoMjdwmRzwFsv5XY3bPWoAu-KE5hy3Ijp4XnIQpJER3Aef4cEszr9BXdkuTz_Uxqk-U5sPoTQKkQ5REuxxWomdzSoJN8yG', 'width': 8160}]",,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJqSP_fgALqy0REiZt6mw0KYE
