formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,plus_code,opening_hours,permanently_closed,url
"Balai Riam, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.3413411, 'lng': 111.1294996}, 'viewport': {'northeast': {'lat': -2.284314, 'lng': 111.200591}, 'southwest': {'lat': -2.3738021, 'lng': 111.073522}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Balai Riam,"[{'height': 8000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117105097063067064481"">A Google User</a>'], 'photo_reference': 'AUGGfZmajOCJv2SoG2UTF3hEtk0aN3dB_Y6GZqh3n2r6RBzd1Q0IQCc7TU3ZO0whMKgTyS7kRUJZst3UXa2osy_dmv4oKkrGWPgqZ3B9yY63iA-7sTJcnxo-4qunZAL99lRt-AxFTARl4wLQYQw3l-A8TlxnTKtCrGgTKRQi0eltVMJ0FYjy', 'width': 6000}]",ChIJM_Zo7f6qCC4RgVsqAe41PE0,ChIJM_Zo7f6qCC4RgVsqAe41PE0,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJM_Zo7f6qCC4RgVsqAe41PE0
"Bukit Sungkai, Balai Riam, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.3630133, 'lng': 111.2189233}, 'viewport': {'northeast': {'lat': -2.3109309, 'lng': 111.236624}, 'southwest': {'lat': -2.380366, 'lng': 111.18994}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Sungkai,"[{'height': 1040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115680246947333801310"">A Google User</a>'], 'photo_reference': 'AUGGfZnTAu4bNSgY8-wLP68T_UD_4ZaUuCwtwPx1u5eIBFQINAd63-0JIm_xqGgTj1Gyy20l9sj1gSJ2JS_pDfC7B0OcwHvp3CrqRfYMxx5C5K4gJoMKQMGjO39XeyTjTkP8xFJmiAiark6L9e5Sl_soGrlhIxsIgaDJniMVQR8vRfuHz33G', 'width': 780}]",ChIJN2vNtRSpCC4RxFufhGjGvCQ,ChIJN2vNtRSpCC4RxFufhGjGvCQ,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJN2vNtRSpCC4RxFufhGjGvCQ
"Jihing, Balai Riam, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.4153038, 'lng': 111.1294996}, 'viewport': {'northeast': {'lat': -2.381613, 'lng': 111.204098}, 'southwest': {'lat': -2.45418, 'lng': 111.093737}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jihing,"[{'height': 1808, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109293523495728699182"">A Google User</a>'], 'photo_reference': 'AUGGfZlmtSIN5fqE3niBl5B1Iq7nwxQ0_cEgmBj6mQ2HwCfI05tpt7jV-zqNpdroaEuNXaiEtA3u2iIUpJl6QmvwHBADowj-7sKPG4RlA-IIKh5V2V82eYwcJYPSKClYJoG00S28KFNJuRZgqTLLHqbwGzOKOkeS5fuKGPuRQYjxjpmrbrKq', 'width': 4000}]",ChIJUab8R6StCC4RqdTE7M7-npc,ChIJUab8R6StCC4RqdTE7M7-npc,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJUab8R6StCC4RqdTE7M7-npc
"M4XX+9V, Balai Riam, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.3015034, 'lng': 111.1496959}, 'viewport': {'northeast': {'lat': -2.300153570107278, 'lng': 111.1510457298927}, 'southwest': {'lat': -2.302853229892722, 'lng': 111.1483460701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun silingan,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117774314089806665978"">A Google User</a>'], 'photo_reference': 'AUGGfZmH2VIWI4xXuGNyAVK36p6Yd5nKQlhJeSqqF6TvmFgT6Yzft-d7QrdX6GanqPmY5Rp8cwe6BxttHjG8gHXWS2lfCJAXXR0trQEtuWFXh_3lCY3m0-v-79pYkaMLDgIpsXpQGpLmDCZbWZzPMYHLqoXqnzzu0YysEotXSfmlDovPvrL2', 'width': 4032}]",ChIJu78f5QGrCC4Rez-HqKLN_Qc,ChIJu78f5QGrCC4Rez-HqKLN_Qc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJu78f5QGrCC4Rez-HqKLN_Qc
"Balai Riam, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.3330996, 'lng': 111.1544784}, 'viewport': {'northeast': {'lat': -2.265247, 'lng': 111.3169351}, 'southwest': {'lat': -2.45418, 'lng': 111.05631}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Balai Riam,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117170001492596088389"">A Google User</a>'], 'photo_reference': 'AUGGfZl33oV40y4yM5DcvqplTmSPTfH8MepjrVxnQO430HCUico8oap7pkX9SlqJW9Yca_VrjUmF35vAKXzUINGlWol_JtpmfSFrxaqxWuEWUOO0DxuTFfsVLULUvut0jhovylE7Z3IzRVTgsK3lkbkq99hkV7-MU35Aev8vVNp9oMT-Gfzp', 'width': 720}]",ChIJ2dRrJP2rCC4RnEf_KyOuYjw,ChIJ2dRrJP2rCC4RnEf_KyOuYjw,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2dRrJP2rCC4RnEf_KyOuYjw
"M5GM+CMQ, Sekuningan Baru, Balai Riam, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.3239114, 'lng': 111.1842407}, 'viewport': {'northeast': {'lat': -2.322591470107278, 'lng': 111.1855936798927}, 'southwest': {'lat': -2.325291129892722, 'lng': 111.1828940201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Bundaran Burung,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116420861082809950041"">Fideliz Roy</a>'], 'photo_reference': 'AUGGfZm_ficMLlksPOnPGc9D9B84caABPAW8iJvfmNHQFRWVFbV20qleHYQy3MdnD4QAwpOWjtopv6SolmYydgUqfMGbpz-GW2wJn5SIYtw_IWQdqTtcoZ6-KQb8T1uUt40sZ6S73j0Jzmn72Ot9j7YPPtBaOmOL2-hV9b-1YanihWRCLA-h', 'width': 2342}]",ChIJo-depourCC4RyCInXTIapfw,ChIJo-depourCC4RyCInXTIapfw,"['park', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,67.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJo-depourCC4RyCInXTIapfw
"Sp 3, RT.10/RW.02, Bangun Jaya, Kec. Balai Riam, Indonesia","{'location': {'lat': -2.2956019, 'lng': 111.1923135}, 'viewport': {'northeast': {'lat': -2.294261070107277, 'lng': 111.1937218798927}, 'southwest': {'lat': -2.296960729892722, 'lng': 111.1910222201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Agro wisata hidroponik,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113373319492703134894"">A Google User</a>'], 'photo_reference': 'AUGGfZkL-jmBxgfNYnq70mQ97jbOrbt72MvhaTd2R6zBXuNnxYHgss94k_4T19rJtWTZxSO5g-YCcOShtzPTtLfCIkm6RNpS2nKZNcUfmAx1HLTmsZW6CQz6mwWc19c540oEU9VOjOC_nTA2qP0gjOsbEeJpWIUldFYDuIeIIneSxAlc3Ezo', 'width': 4608}]",ChIJ6WD4sj6pCC4Rf0ICxXF8oR4,ChIJ6WD4sj6pCC4Rf0ICxXF8oR4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,"{'compound_code': 'P53R+QW Bangun Jaya, Sukamara Regency, Central Kalimantan, Indonesia', 'global_code': '6P9HP53R+QW'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ6WD4sj6pCC4Rf0ICxXF8oR4
"P555+724, Bangun Jaya, Balai Riam, Sukamara Regency, Central Kalimantan, Indonesia","{'location': {'lat': -2.2918632, 'lng': 111.1575859}, 'viewport': {'northeast': {'lat': -2.290513370107278, 'lng': 111.1589357298927}, 'southwest': {'lat': -2.293213029892723, 'lng': 111.1562360701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Bukit patung balai riam,"[{'height': 1952, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114366711902259151065"">A Google User</a>'], 'photo_reference': 'AUGGfZlWxkWv3OzbFZuCHxKyeZfm9B0uL1D2O_IT4YYIqw4fUEQdlEiie0Q9uNVjvTtiSqIlHhcqlBafn1B2gn5tcdygxQZB6QEzHWWHWgZBXFwf-C2WKEKXwmEfIbqEg60GYPbSVjLY6JjcHwwLX33cTAm1qwQHptAglGLh8fAy_isjM7Q_', 'width': 4160}]",ChIJaxzDVRcBBi4RJ-LoT7sjHxs,ChIJaxzDVRcBBi4RJ-LoT7sjHxs,"['park', 'point_of_interest', 'establishment']",OPERATIONAL,4.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJaxzDVRcBBi4RJ-LoT7sjHxs
"H4MH+WQ2, Jihing, Balai Riam, Sukamara Regency, Central Kalimantan 74172, Indonesia","{'location': {'lat': -2.4152345, 'lng': 111.1294006}, 'viewport': {'northeast': {'lat': -2.413884670107278, 'lng': 111.1307504298927}, 'southwest': {'lat': -2.416584329892722, 'lng': 111.1280507701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Jalungga,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107381350707400215674"">Martina Kurniarum</a>'], 'photo_reference': 'AUGGfZn9ajHlgjfSFzAGC31dpxFU_6LSNQBALXFcL68Rdn9dxN17yaBPjMV9FPYorNjVbCUp4uXVm_wqoUCPoIzLWNp4OE2WJFJ0qhvykDj6jJjIO61ymWVXZLrEU_aMuReR4-CXPr40c1js8HcKvqGBx6CI_0ryq5r3T9yPIW3xDxugTb3m', 'width': 4608}]",ChIJo_BQPSKtCC4R2hP5nSh5Iec,ChIJo_BQPSKtCC4R2hP5nSh5Iec,"['point_of_interest', 'establishment']",OPERATIONAL,4.7,11.0,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJo_BQPSKtCC4R2hP5nSh5Iec
"Lupu, Jl. Poros No.Km 3, RW.5, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173, Indonesia","{'location': {'lat': -2.3228642, 'lng': 111.1848234}, 'viewport': {'northeast': {'lat': -2.321666270107278, 'lng': 111.1863212798927}, 'southwest': {'lat': -2.324365929892722, 'lng': 111.1836216201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,WISMA UNGG4L,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103627926113706480408"">surya.briam Baleri</a>'], 'photo_reference': 'AUGGfZkX29_8eQpAtbL2XNVB9jnb_gPY62gF3kl8ASoYGQU4sWxPELWKp3_4jy0obaKuVfWLmdsNEOdcUNaZwaspTGhKIoAltrbVrSf05b0lcczw6KvH5kIj1rTSpBiqcE8RqhmHUtGn0pG_mXPyGhtMgR8iFu6GHnFKf81AhlaA8a82PLUj', 'width': 1080}]",ChIJDUBWwWerCC4Rmk1skm2LzyA,ChIJDUBWwWerCC4Rmk1skm2LzyA,"['lodging', 'point_of_interest', 'establishment']",OPERATIONAL,4.0,43.0,"{'compound_code': 'M5GM+VW Bangun Jaya, Sukamara Regency, Central Kalimantan, Indonesia', 'global_code': '6P9HM5GM+VW'}",,,https://www.google.com/maps/place/?q=place_id:ChIJDUBWwWerCC4Rmk1skm2LzyA
