business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,opening_hours,url
OPERATIONAL,"Mbilur Pangadu, Umbu Ratu Nggay, Central Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6464926, 'lng': 119.7492788}, 'viewport': {'northeast': {'lat': -9.645154120107279, 'lng': 119.7506634798927}, 'southwest': {'lat': -9.647853779892722, 'lng': 119.7479638201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KAMPUNG WACUPATIJANG,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101025223730437956938"">Umbu Andry</a>'], 'photo_reference': 'AUGGfZlcY5sz0CnFkB5DHXxKv2jkA_xgQywcLK5fkF5TRPrJhLg1Bnx7nte_Lk8jI3aYrisQECMk83L9RVzTU-YNSCJ-xN2DW6FXp0wxkiKEgSQnEIJH4_xdRRY8bKlnv3WmPLMk8jaLoDwGsx8AUGfF4X4l01SeQmw_GCn7ZtY6zvCp7Ork', 'width': 1080}]",ChIJe9MY4wATSywRe7stlNmw5TE,"{'compound_code': '9P3X+9P Mbilur Pangadu, Central Sumba Regency, East Nusa Tenggara, Indonesia', 'global_code': '6P2X9P3X+9P'}",5.0,ChIJe9MY4wATSywRe7stlNmw5TE,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,https://www.google.com/maps/place/?q=place_id:ChIJe9MY4wATSywRe7stlNmw5TE
OPERATIONAL,"JQ2Q+8V3, Unnamed Road, Lenang, Kec. Umbu Ratu Nggay, Kabupaten Sumba Tengah, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.3992464, 'lng': 119.7896748}, 'viewport': {'northeast': {'lat': -9.398466820107277, 'lng': 119.7915298798927}, 'southwest': {'lat': -9.401166479892721, 'lng': 119.7888302201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pahar beach,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106551105899637850784"">Rido Asri Iskandar</a>'], 'photo_reference': 'AUGGfZk35U7y7QOvg8LXbYf59SvVejtX0_n4bif57j6T6ProBOI4u0yLkC2gjrpuFzTC9a5I80lBRd_XGtLszEmc14tVOSaSop4mYN0pLQra1GhVVQKKnMFhOCi8Mgi2sLoz33fkT3yexuDLexZiDdm-_Ja6bHEi6ojHNSCgBkhkMk6q70Rp', 'width': 4608}]",ChIJQ1pJyo5JSywRip9C2F6CfTI,,4.1,ChIJQ1pJyo5JSywRip9C2F6CfTI,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,https://www.google.com/maps/place/?q=place_id:ChIJQ1pJyo5JSywRip9C2F6CfTI
OPERATIONAL,"FJFM+2F6, Wangga Waiyengu, Umbu Ratu Nggay Barat, Central Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.5274524, 'lng': 119.6336279}, 'viewport': {'northeast': {'lat': -9.526270349999997, 'lng': 119.6348600298927}, 'southwest': {'lat': -9.530998549999998, 'lng': 119.6321603701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata air terjunbola,,ChIJLbuOqRA9SywRZD7NopZb9Gs,,0.0,ChIJLbuOqRA9SywRZD7NopZb9Gs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJLbuOqRA9SywRZD7NopZb9Gs
OPERATIONAL,"FRGH+F3W, Soru, Umbu Ratu Nggay, Central Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.523750800000002, 'lng': 119.8276978}, 'viewport': {'northeast': {'lat': -9.52240097010728, 'lng': 119.8290476298927}, 'southwest': {'lat': -9.525100629892723, 'lng': 119.8263479701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Soru,"[{'height': 2256, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113540397705218273552"">Umbu Awang</a>'], 'photo_reference': 'AUGGfZnP4qYU8aJTp2QxdqPtgKeRX8NfndfH5U2io0p8-gfs6E6nbB_DZWORGo4UNrs-1YryBMEwsJGTpVp-onvq7Q2-7Mz3ntFXszc8aDMJlryhJNXbEo01oVZz5JgeXqE7kkS5o4rbVENxfLwk_SktTGl_jNUeguHbi-WWLG5quEP6ORlF', 'width': 4000}]",ChIJ-ycAotdBSywRevLSXAdq34I,,5.0,ChIJ-ycAotdBSywRevLSXAdq34I,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJ-ycAotdBSywRevLSXAdq34I
OPERATIONAL,"9P4X+G7J, Mbilur Pangadu, Umbu Ratu Nggay, Central Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6436592, 'lng': 119.7481411}, 'viewport': {'northeast': {'lat': -9.64233662010728, 'lng': 119.7496501798928}, 'southwest': {'lat': -9.645036279892723, 'lng': 119.7469505201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Matawai Palamung,,ChIJKwd8kL8TSywRzAb3_UnGKMc,,5.0,ChIJKwd8kL8TSywRzAb3_UnGKMc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJKwd8kL8TSywRzAb3_UnGKMc
OPERATIONAL,"FR3F+VFC, Soru, Umbu Ratu Nggay, Central Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.545315800000001, 'lng': 119.8236554}, 'viewport': {'northeast': {'lat': -9.54437545, 'lng': 119.82505305}, 'southwest': {'lat': -9.548136849999997, 'lng': 119.81946245}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Harunda Baiyi,,ChIJRTVaNwBBSywRIRa_SZqkHlE,,0.0,ChIJRTVaNwBBSywRIRa_SZqkHlE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJRTVaNwBBSywRIRa_SZqkHlE
OPERATIONAL,"CPR4+FJ2, Mara Desa, Umbu Ratu Nggay, Central Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.558867099999999, 'lng': 119.7065243}, 'viewport': {'northeast': {'lat': -9.55751727010728, 'lng': 119.7078741298928}, 'southwest': {'lat': -9.560216929892723, 'lng': 119.7051744701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Waikapori,"[{'height': 1392, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109309447527710960428"">A Google User</a>'], 'photo_reference': 'AUGGfZk9T4rmP66jhjyuBYXpMYs7phjKr-qPRRwTZFavqbI1pWPGkEQTNXEOk_r7EduH177p4ppER3w9qDtZquRQz_bZ8NwYTADgIDjVAPSGCFoJR6uIw_8G9oMuyir5F5tB2r2cWDDFhg8Fv8o7C_T5L1StLYC4bnYQOVJpVCvSISFCQFxw', 'width': 955}]",ChIJo1-QjnE_SywReldQdAZGpRc,,0.0,ChIJo1-QjnE_SywReldQdAZGpRc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJo1-QjnE_SywReldQdAZGpRc
CLOSED_TEMPORARILY,"9Q6P+9GJ, Prai Karoku Jangga, Umbu Ratu Nggay, Central Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6390458, 'lng': 119.7862664}, 'viewport': {'northeast': {'lat': -9.637703120107279, 'lng': 119.7876533298927}, 'southwest': {'lat': -9.640402779892723, 'lng': 119.7849536701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Umbu Ratu Nggay Raya,,ChIJ_3pLaTMTSywRZpaKcIlSspM,,0.0,ChIJ_3pLaTMTSywRZpaKcIlSspM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,https://www.google.com/maps/place/?q=place_id:ChIJ_3pLaTMTSywRZpaKcIlSspM
OPERATIONAL,"CJWC+4HR, Umbu Kawolu, Umbu Ratu Nggay Barat, Central Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.554629199999999, 'lng': 119.621395}, 'viewport': {'northeast': {'lat': -9.553279370107276, 'lng': 119.6227448298927}, 'southwest': {'lat': -9.55597902989272, 'lng': 119.6200451701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Harangi,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103186435363975711973"">Umbu Pandabandjal</a>'], 'photo_reference': 'AUGGfZmWPcGzCV4Vu04cjfzYZ5Wkt3ws0kUVL_3tR0H10zGuJjEgDTrEJ5DHHRKkBvcO8LNYNRrVaQeQ7JkJAEzzSSbdOl6_K1GxVDY-1BxW8Ru9HC8OCA5oWO18ON4wJqJM3hFASf92Dkr61iL-Xfibjbu1GzHmxf3OCFH7xcliPIGdWqNO', 'width': 3264}]",ChIJAfiy_5A9SywRmdE41wgEEUA,,5.0,ChIJAfiy_5A9SywRmdE41wgEEUA,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJAfiy_5A9SywRmdE41wgEEUA
OPERATIONAL,"9RWV+8H, Prai Karoku Jangga, Umbu Ratu Nggay, Central Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6041975, 'lng': 119.8439278}, 'viewport': {'northeast': {'lat': -9.60284767010728, 'lng': 119.8452776298927}, 'southwest': {'lat': -9.605547329892724, 'lng': 119.8425779701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun andengo,,ChIJAWLJcqRrSywRnDJH-Y2ZGTQ,,0.0,ChIJAWLJcqRrSywRnDJH-Y2ZGTQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJAWLJcqRrSywRnDJH-Y2ZGTQ
