business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,price_level,url
CLOSED_TEMPORARILY,"Q76P+FWM, Jl. Raya Bayan, Gumantar, Kec. Kayangan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83353, Indonesia","{'location': {'lat': -8.238798, 'lng': 116.287287}, 'viewport': {'northeast': {'lat': -8.237668200000002, 'lng': 116.28987735}, 'southwest': {'lat': -8.2421874, 'lng': 116.28642355}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Tanjung Gumantar,True,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107525173976417498085"">Anas Fadli Wijaya</a>'], 'photo_reference': 'AUGGfZmxGVvsnVSDeIm0R8bQcR3I9QG2qezjmQjH6QIrbkbVU0TglSxYJHK7KpZR-G6ahPE6FlGlqxQ-n-M9AiSlHSJ3AvuNsWj7xmvmEdF2JDAhL_iEUl27M454qqXKtZ2zcuzfET9agmoTL9PODoKdtRL3VwDqBnptHSUnOmSg-sU-dHT3', 'width': 4032}]",ChIJH-_xlVN5zi0R7AKxVU7m9SQ,3.0,ChIJH-_xlVN5zi0R7AKxVU7m9SQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJH-_xlVN5zi0R7AKxVU7m9SQ
OPERATIONAL,"H3X9+45R, Jl. Raya Senggigi, Malaka, Kec. Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352, Indonesia","{'location': {'lat': -8.402131, 'lng': 116.0678979}, 'viewport': {'northeast': {'lat': -8.400808470107277, 'lng': 116.0692651298927}, 'southwest': {'lat': -8.403508129892721, 'lng': 116.0665654701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung batu bolong,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101460922655629380666"">A Google User</a>'], 'photo_reference': 'AUGGfZk-d9r_IcAQ7fexW0CTZAuj17VLaKLqQm0vSnFf0VGnQTDwxiaTj5Ru8DV4Gm7mX8CNPUogCQPqoovmK8zwRy6fs4-PTZtV__OoLI1kXyFzHw_b1Fgmlqcof99K9Rglh-qJ1yYpP6zBq2tsu9uGaVg4FGqUwnSuvV_v7DilekHKn9z2', 'width': 1080}]",ChIJcb6X0DDdzS0Rb7q6Zb_TRUc,5.0,ChIJcb6X0DDdzS0Rb7q6Zb_TRUc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJcb6X0DDdzS0Rb7q6Zb_TRUc
OPERATIONAL,"J4H9+XWP, Sigar Penjalin, Tanjung, North Lombok Regency, West Nusa Tenggara 83352, Indonesia","{'location': {'lat': -8.3700286, 'lng': 116.1198178}, 'viewport': {'northeast': {'lat': -8.368704270107278, 'lng': 116.1211721798927}, 'southwest': {'lat': -8.371403929892722, 'lng': 116.1184725201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tembobor Beach,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109453714334967631143"">Tuan Tuong</a>'], 'photo_reference': 'AUGGfZl-wxDAI2F9cSzksgamtW0554GteuAsXpZ33ZBudkP26gqxO5X_cXg0yXLJX9ivtfdppvCXcoRDFT9lq-kkGHz1i2HdtS5kWszlYbNZztT9394-9JcZQSOcEn1gYa2frqdLLeBzveX9uEDdJ3YMes14AmGAYDn-0tcQyrrRgrbAm_Sk', 'width': 4032}]",ChIJs8GZ19zdzS0RnoZJhn85pVA,4.6,ChIJs8GZ19zdzS0RnoZJhn85pVA,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,,https://www.google.com/maps/place/?q=place_id:ChIJs8GZ19zdzS0RnoZJhn85pVA
OPERATIONAL,"J4H9+XWP, Sigar Penjalin, Tanjung, North Lombok Regency, West Nusa Tenggara 83352, Indonesia","{'location': {'lat': -8.369999, 'lng': 116.119252}, 'viewport': {'northeast': {'lat': -8.36859442010728, 'lng': 116.1205797798927}, 'southwest': {'lat': -8.371294079892724, 'lng': 116.1178801201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Snorkeling tour,,,ChIJrWsudADdzS0RqLtJxSPVgfU,0.0,ChIJrWsudADdzS0RqLtJxSPVgfU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJrWsudADdzS0RqLtJxSPVgfU
OPERATIONAL,"J5WC+CH, Jenggala, Tanjung, North Lombok Regency, West Nusa Tenggara, Indonesia","{'location': {'lat': -8.3539585, 'lng': 116.1714764}, 'viewport': {'northeast': {'lat': -8.35264487010728, 'lng': 116.17242685}, 'southwest': {'lat': -8.355344529892724, 'lng': 116.16862505}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lokok Ara,,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100633108318186913277"">A Google User</a>'], 'photo_reference': 'AUGGfZmNN1sa5EJXAE1qR4L3_nuIQMYzWJuupcqRkOcr7bzs8AlNG-cpxz28zGrQjF68V0pplb80eM_c64luJA2xn0dlXkDyQNru-BKebuMfP_0AwUIuvoyTuu8ILBT9enDTDfDE0PEw_YCV-Uv53A4IOQbj8gf1JBCspQ09wQEO8ZzIhUSF', 'width': 720}]",ChIJE-7-llHbzS0RyZKc3F2RwzM,3.0,ChIJE-7-llHbzS0RyZKc3F2RwzM,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJE-7-llHbzS0RyZKc3F2RwzM
OPERATIONAL,"J4JJ+5GH, Jl. Raya Tj., Medana, Kec. Tj., Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352, Indonesia","{'location': {'lat': -8.369565699999999, 'lng': 116.1313596}, 'viewport': {'northeast': {'lat': -8.368214120107277, 'lng': 116.1327411798927}, 'southwest': {'lat': -8.370913779892721, 'lng': 116.1300415201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Warung INAK MER,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101442289447673175545"">A Google User</a>'], 'photo_reference': 'AUGGfZnGMA1s26bD10PEF48f8o36z0-Wu5oJyKK2CzhiIkG54iVtou_wBz3IBFtgsUFPo2t_bZZyKdzl7d4IUlYB4XMextfHDyz3NFag0_Vxsv5x5ibL5lbWdw5pPLSOKW9X8PKt0ILVZ8345hvQNrJNFA5LRdSffbUPR4qiKm6nlKmmKHo9', 'width': 1920}]",ChIJVRO1SI_dzS0Ro7bbHPEtyWQ,5.0,ChIJVRO1SI_dzS0Ro7bbHPEtyWQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJVRO1SI_dzS0Ro7bbHPEtyWQ
OPERATIONAL,"J476+JXR, Cupek, Kec. Tj., Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352, Indonesia","{'location': {'lat': -8.385882, 'lng': 116.1124172}, 'viewport': {'northeast': {'lat': -8.384508270107277, 'lng': 116.1137182298928}, 'southwest': {'lat': -8.387207929892721, 'lng': 116.1110185701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SiRA,,,ChIJSbDemHjdzS0RLmvbEhKh5Sg,4.8,ChIJSbDemHjdzS0RLmvbEhKh5Sg,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,,https://www.google.com/maps/place/?q=place_id:ChIJSbDemHjdzS0RLmvbEhKh5Sg
OPERATIONAL,"J5Q5+CFG, Jl. Lading-Lading, Tanjung, Kec. Tj., Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352, Indonesia","{'location': {'lat': -8.361433, 'lng': 116.1586994}, 'viewport': {'northeast': {'lat': -8.360016570107279, 'lng': 116.1601614798927}, 'southwest': {'lat': -8.362716229892722, 'lng': 116.1574618201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sarang walet pak Wayan,,,ChIJaTuWCz3bzS0RnECAr0jxf0U,5.0,ChIJaTuWCz3bzS0RnECAr0jxf0U,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJaTuWCz3bzS0RnECAr0jxf0U
OPERATIONAL,"J5HH+M9R, Jl. Pekatan, Jenggala, Kec. Tj., Kabupaten Lombok Utara, Nusa Tenggara Bar. 83352, Indonesia","{'location': {'lat': -8.370768199999999, 'lng': 116.1783897}, 'viewport': {'northeast': {'lat': -8.369783870107277, 'lng': 116.1799830298927}, 'southwest': {'lat': -8.37248352989272, 'lng': 116.1772833701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lokok segara,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115811943382863621059"">dienk doankz</a>'], 'photo_reference': 'AUGGfZl9_sBYi5-Lqh40PQN6rtZoPclMKH5IbBaQNamiBYkF0Z5Uu2btqpE-vr-svEL6UtiZUsE7hLmAF9mMuSa4PLaTmB_LjRsJnl2i8pF4rrQKrWBNl0UPpGyGctdFrbedMitIm3_lrlFSHhHH35B6W7tGXec_OgJIxvDgb_ae1AbmWlWC', 'width': 4160}]",ChIJhYX55GDbzS0RZeysVKCmURc,5.0,ChIJhYX55GDbzS0RZeysVKCmURc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJhYX55GDbzS0RZeysVKCmURc
CLOSED_TEMPORARILY,"J598+654, Tegal Maja, Tanjung, North Lombok Regency, West Nusa Tenggara 83352, Indonesia","{'location': {'lat': -8.381988, 'lng': 116.1654539}, 'viewport': {'northeast': {'lat': -8.380464870107279, 'lng': 116.1668208298927}, 'southwest': {'lat': -8.383164529892722, 'lng': 116.1641211701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lokok San Gelumpang,True,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108903849417710519237"">adhika skp</a>'], 'photo_reference': 'AUGGfZl20bEYxn_xAvwUZXbV1KURA32-d9FA73Vx_kVUdlwPMet-7o8oZckfgAr6XYmV79s0YieHmwD4X09jOLa4EBvOFLOGPV1EjcmQmfaB-sl4RM0BjZKf3VViT09Z2_hmsBJIyUaVmNiEzFE8lnNRavi95ReeRGJ-LX43__xF2Fp9TIKn', 'width': 1840}]",ChIJ3ayYw_zbzS0RRAKx2U-XJro,0.0,ChIJ3ayYw_zbzS0RRAKx2U-XJro,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3ayYw_zbzS0RRAKx2U-XJro
