business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,url
OPERATIONAL,"FRVV+G8M, blang, Pawod, Kec. Muara Tiga, Kabupaten Pidie, Aceh 24173, Indonesia","{'location': {'lat': 5.493844999999999, 'lng': 95.8432964}, 'viewport': {'northeast': {'lat': 5.495194829892721, 'lng': 95.84464622989273}, 'southwest': {'lat': 5.492495170107278, 'lng': 95.8419465701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,embung blang pawod,ChIJa4P1MQDxQDAR2pGLtiojr3k,0.0,ChIJa4P1MQDxQDAR2pGLtiojr3k,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJa4P1MQDxQDAR2pGLtiojr3k
OPERATIONAL,"7WHX+JW5, Reului, Mutiara, Pidie Regency, Aceh 24151, Indonesia","{'location': {'lat': 5.2790003, 'lng': 95.9498457}, 'viewport': {'northeast': {'lat': 5.280229729892722, 'lng': 95.95114802989272}, 'southwest': {'lat': 5.277530070107278, 'lng': 95.94844837010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Busu Pulo Mesjid,ChIJe07F43yRQDARzbOauIGqwAo,4.1,ChIJe07F43yRQDARzbOauIGqwAo,"['tourist_attraction', 'point_of_interest', 'establishment']",33.0,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107211003701661530267"">Mustari art</a>'], 'photo_reference': 'AUGGfZnVQZetMZuBh8MZAehsbD0uFLUuspBbPzdm_hiaAMsR-YKYmufsU6CjQBnRlNukFT1bzN5ra3uAix1QQvRXVo38n0_VKyA8Fim7EarJhKsVacaQYeUjOiNEQrU9f9j8mwIw6M4yVvVljCtZybpb944WirRF7Joa5H0kx2pMr8GGvyFB', 'width': 4048}]",,https://www.google.com/maps/place/?q=place_id:ChIJe07F43yRQDARzbOauIGqwAo
OPERATIONAL,"73RJ+R5C, Jeumeurang, Pidie Regency, Aceh 24186, Indonesia","{'location': {'lat': 5.291739, 'lng': 96.0800156}, 'viewport': {'northeast': {'lat': 5.293088829892722, 'lng': 96.08136542989273}, 'southwest': {'lat': 5.290389170107278, 'lng': 96.07866577010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat vaza,ChIJAaBYOgC_QDARMh3s8YiyXj4,5.0,ChIJAaBYOgC_QDARMh3s8YiyXj4,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJAaBYOgC_QDARMh3s8YiyXj4
OPERATIONAL,"9WWJ+3MH, Pulo Bubee, Pidie, Pidie Regency, Aceh, Indonesia","{'location': {'lat': 5.3951962, 'lng': 95.93172469999999}, 'viewport': {'northeast': {'lat': 5.396847729892722, 'lng': 95.93334847989271}, 'southwest': {'lat': 5.394148070107278, 'lng': 95.93064882010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kuala pulo bubei,ChIJbb56oNPtQDAREBrLIAugM9g,5.0,ChIJbb56oNPtQDAREBrLIAugM9g,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJbb56oNPtQDAREBrLIAugM9g
OPERATIONAL,"82JQ+QCV, Pasi Ie Leubeue, Kembang Tanjong, Pidie Regency, Aceh, Indonesia","{'location': {'lat': 5.331996, 'lng': 96.03856139999999}, 'viewport': {'northeast': {'lat': 5.333305929892722, 'lng': 96.03932117989272}, 'southwest': {'lat': 5.330606270107278, 'lng': 96.03662152010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai pasi ie Leuebeu,ChIJh_MLWgWVQDAR3V9WX3_rgbI,4.3,ChIJh_MLWgWVQDAR3V9WX3_rgbI,"['tourist_attraction', 'point_of_interest', 'establishment']",24.0,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113126943315859019457"">Abdullah Nurdin</a>'], 'photo_reference': 'AUGGfZmR9Q3XLgzIV4rbW3FHymde-AJj70hI6P_FTUh4XpCEPIU8MPmrzFTsG8vdeHXdi6XEKwh0eFnHoPwBMSFPQODW_5Kd86cZkx__JIe9eJIXCkeWg3T2lZrUJu-OUmHRdWYokh9tr3pnEQNCQbeQZuSImCn0BZb507geuQOCb1Og94V2', 'width': 4624}]",{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJh_MLWgWVQDAR3V9WX3_rgbI
,"Pidie Regency, Aceh, Indonesia","{'location': {'lat': 5.074265899999999, 'lng': 95.94097099999999}, 'viewport': {'northeast': {'lat': 5.569166, 'lng': 96.4495881}, 'southwest': {'lat': 4.6575711, 'lng': 95.7239731}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pidie Regency,ChIJL2r5kieiQDARgNEgsoCdAwM,,ChIJL2r5kieiQDARgNEgsoCdAwM,"['administrative_area_level_2', 'political']",,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113775097043665280021"">A Google User</a>'], 'photo_reference': 'AUGGfZk8JRmXaSBRzwr1RLZhQij2DDzjnu8rZYTW0vVg04TApnuRxiN90ZcDUzklwzISLJ_6ma_MD20Mckbpo4e2Pwi8Y8TOGAPfwzEaJA7RQfzbfWOBrVNgjmGs0L1dIpIU36h-SMEG1BJaqu3BqbGbFXspTNlUp-2CRdmcb7ASvMUEfLAb', 'width': 720}]",,https://www.google.com/maps/place/?q=place_id:ChIJL2r5kieiQDARgNEgsoCdAwM
OPERATIONAL,"4X9C+6P5, Hutan, Tiro/Truseb, Pidie Regency, Aceh 24185, Indonesia","{'location': {'lat': 5.118009, 'lng': 95.97184949999999}, 'viewport': {'northeast': {'lat': 5.119358829892722, 'lng': 95.97319932989272}, 'southwest': {'lat': 5.116659170107278, 'lng': 95.97049967010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gunung Taleuk,ChIJgUWCnfebQDARGs5AUooDbhs,4.6,ChIJgUWCnfebQDARGs5AUooDbhs,"['tourist_attraction', 'point_of_interest', 'establishment']",36.0,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116666850058344881392"">Efendi Tiro</a>'], 'photo_reference': 'AUGGfZkP3Ar45ZfPhMVoPvLjGjglEjxMb04tS8hGR3MxGQEQNNUanzbOBkqRZKOOEwVobxx9ECT0dewoGR1A1nSxfkSd0yBBRKUjYkf8SsDrJOpx4M-NHSJjprmG79lwfPmv7z4wc0Xw5xAbiM2CCZav_gHT3WCq-npVsIMRamIaJKgLQl56', 'width': 2048}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJgUWCnfebQDARGs5AUooDbhs
OPERATIONAL,"5VH6+36Q, Lhok Keutapang, Tangse, Pidie Regency, Aceh 24185, Indonesia","{'location': {'lat': 5.1777238, 'lng': 95.8606247}, 'viewport': {'northeast': {'lat': 5.179100929892721, 'lng': 95.86203787989272}, 'southwest': {'lat': 5.176401270107277, 'lng': 95.85933822010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Geunie Resort,ChIJgyh3fhaFQDAR8D4WjVeZ8EU,4.2,ChIJgyh3fhaFQDAR8D4WjVeZ8EU,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",102.0,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115466675450061924712"">Muhammad Shalihin</a>'], 'photo_reference': 'AUGGfZm9b2csrvn-B1yLMCf0OQrN4Yy9Upyhcv_eaTrtIgGytuHRJ42dxl94cxzNn1qmcgv4cTg-9b9W_RRpIDYTzZt09EvNaA_o4iIfMQCoJdcI-YJH8BOigiMBqQ0X2jFd7FKUS7pq8Px38R52JOFj2QqrX9zOm6bjSG_9zwRfwcLtfAQM', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJgyh3fhaFQDAR8D4WjVeZ8EU
OPERATIONAL,"5VR4+XGX, Lhok Keutapang, Tangse, Pidie Regency, Aceh 24165, Indonesia","{'location': {'lat': 5.192495699999999, 'lng': 95.8563573}, 'viewport': {'northeast': {'lat': 5.193736629892721, 'lng': 95.85775842989273}, 'southwest': {'lat': 5.191036970107277, 'lng': 95.85505877010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA ALAM GEUNIE Family,ChIJA06dJuOFQDARNz_-9RD6iYA,4.3,ChIJA06dJuOFQDARNz_-9RD6iYA,"['tourist_attraction', 'point_of_interest', 'establishment']",8.0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109160945454932485487"">masrizal</a>'], 'photo_reference': 'AUGGfZnl1pOnea0aFLaIcz25PMeqZf0B9z3mGXwBqGXb2oI4HpRoRE8rspuGBplxeNFCibEKljulX4JiRqq7ndVQ_Z_2pkS8Cy85XEjfxgEDDC0HLgPv5LhbGtv55_PKtU2QTKnDYb1mB1LyaF3RX4ELpRdS8CTdv6tsGYUaxch2OjpfXZKp', 'width': 1920}]",{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJA06dJuOFQDARNz_-9RD6iYA
OPERATIONAL,"6V95+PJH, Jalan Cot Seutui, Hutan, Kec. Keumala, Kabupaten Pidie, Aceh 24165, Indonesia","{'location': {'lat': 5.2193043, 'lng': 95.8590978}, 'viewport': {'northeast': {'lat': 5.220462579892722, 'lng': 95.86041517989273}, 'southwest': {'lat': 5.217762920107278, 'lng': 95.85771552010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rinyuen sireutoh keumala,ChIJz5BeP9GPQDARNAJdjaM6am4,4.2,ChIJz5BeP9GPQDARNAJdjaM6am4,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112193883772292320477"">Fauzan Sigli</a>'], 'photo_reference': 'AUGGfZkcYoAW9LKuUO_B65m_GAltXigH-OMO53cyWSYya6DjZQJOhE2IKQHQWeTO8_qQcafnDj5mPd_VbiJDDzgaYCY7tHk6xKxVuuRQUBabbCy_lP1qFwxwaAw3EsLx7NRByZzxW8yAOQ7TP3AH1Wo_XxoIsZsiCx5FZf-Vfhi_CMv1Ef7W', 'width': 4608}]",,https://www.google.com/maps/place/?q=place_id:ChIJz5BeP9GPQDARNAJdjaM6am4
