formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,photos,business_status,opening_hours,rating,user_ratings_total,plus_code,permanently_closed,url
"Muara Danau, Semendo Darat Laut, Muara Enim Regency, South Sumatra, Indonesia","{'location': {'lat': -4.0926499, 'lng': 103.5986529}, 'viewport': {'northeast': {'lat': -4.086628, 'lng': 103.625313}, 'southwest': {'lat': -4.105239, 'lng': 103.56873}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara Danau,ChIJn2n_6MnZOS4Rq96w4K1ZMBE,ChIJn2n_6MnZOS4Rq96w4K1ZMBE,"['administrative_area_level_4', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJn2n_6MnZOS4Rq96w4K1ZMBE
"Semendo Darat Laut, Muara Enim Regency, South Sumatra, Indonesia","{'location': {'lat': -4.1195808, 'lng': 103.614979}, 'viewport': {'northeast': {'lat': -3.967709, 'lng': 103.7082029}, 'southwest': {'lat': -4.214197, 'lng': 103.5656919}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Semendo Darat Laut,ChIJRcjEmSDaOS4REoW3qa58XJw,ChIJRcjEmSDaOS4REoW3qa58XJw,"['administrative_area_level_3', 'political']","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116103409969546013464"">A Google User</a>'], 'photo_reference': 'AUGGfZkBRM_bENyKvpAfId3XuuX7lO7HSoH1sY4vsIwoecnHlAV-Ais8ZAlZZ_pj4fOu5aCfn8hIuhaptJlApL-tnJHbocQdruxih3AzUNmxqOfic8C3k4LyAPazvWImVaz6ECxlQtPWqis7yYOdF3dOqNd8ZgZhUO_CjRwVIyJ_0LH56fiv', 'width': 4160}]",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJRcjEmSDaOS4REoW3qa58XJw
"XJ7G+F5M, Pagar Agung, Semendo Darat Laut, Muara Enim Regency, South Sumatra 31356, Indonesia","{'location': {'lat': -4.036815, 'lng': 103.624657}, 'viewport': {'northeast': {'lat': -4.035474320107277, 'lng': 103.6260121298927}, 'southwest': {'lat': -4.038173979892721, 'lng': 103.6233124701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Desa pagar agung Semende darat laut,ChIJn2EA_oDZOS4RzEr6uDDzArM,ChIJn2EA_oDZOS4RzEr6uDDzArM,"['park', 'point_of_interest', 'establishment']","[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117148492303335019713"">Andy Saputra</a>'], 'photo_reference': 'AUGGfZkw7fUdNR28UhxdpZ3bzBBq9IhWLBnRNTDzPn_EU3dwPnX3JjAvVQQVi6FaoPILmyCsiE6QWxuXqARyJyMHgEEwAMEq3w5LMDnsUN0tzlH8028n_mnxjpDNVgD_mhl2Gcr1v_X-sygV7b-8JzkK1T1TIGC7fdC9g0AP7HLAJPSbQK7U', 'width': 1200}]",OPERATIONAL,{'open_now': True},5.0,1.0,,,https://www.google.com/maps/place/?q=place_id:ChIJn2EA_oDZOS4RzEr6uDDzArM
"VJQ6+94R, Muara Dua, Semendo Darat Laut, Muara Enim Regency, South Sumatra, Indonesia","{'location': {'lat': -4.1115002, 'lng': 103.6102638}, 'viewport': {'northeast': {'lat': -4.1105846, 'lng': 103.6162302}, 'southwest': {'lat': -4.114247, 'lng': 103.608275}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sawah Delvi Afriza /Des,ChIJH9sWZVfZOS4R0hfPdXR-lUk,ChIJH9sWZVfZOS4R0hfPdXR-lUk,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109263664416843267758"">A Google User</a>'], 'photo_reference': 'AUGGfZm1X01fb3wRr_tRmOglUWN8SiX3whaqCnVHinVZUxAOpmeB1URnrV7ec1VG85wByf60vYU_NSLKyJRga_lQmm0p15DvVTrNk7-0DsfNtwpGOiZz_qOh2Hcy2P1JXzzrpCKDddCu24hftxefpccjdsDlMA6pSK8dLA1icoHTTASGPymx', 'width': 4000}]",OPERATIONAL,,5.0,8.0,,,https://www.google.com/maps/place/?q=place_id:ChIJH9sWZVfZOS4R0hfPdXR-lUk
"Palak Tanah, Semende Darat Tengah, Muara Enim Regency, South Sumatra 31356, Indonesia","{'location': {'lat': -4.1885199, 'lng': 103.6047586}, 'viewport': {'northeast': {'lat': -4.187170070107278, 'lng': 103.6061084298927}, 'southwest': {'lat': -4.189869729892722, 'lng': 103.6034087701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cughup Aik Udangan,ChIJQZft3B7XOS4RLq-PMEBoVME,ChIJQZft3B7XOS4RLq-PMEBoVME,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']","[{'height': 5472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111526120757226403376"">A Google User</a>'], 'photo_reference': 'AUGGfZmnZibEv3n_46JAmm5ssjfcYnxaUmBusOzLyM0yR4cv6loHHxSHdDI-KJPLQTc0J61Ko2ni6pF8PW7XP1u3tGS1yLqvcxUkA4yjGfx8UpDwkgaLhRQzzTKS2IPCrtmqUFxtK0BG5SkIcnQWULY0qqqg0R9s64LJ8GB0Vkp0JnAZtR5u', 'width': 3648}]",OPERATIONAL,{'open_now': True},5.0,1.0,"{'compound_code': 'RJ63+HW Palak Tanah, Muara Enim Regency, South Sumatra, Indonesia', 'global_code': '6P75RJ63+HW'}",,https://www.google.com/maps/place/?q=place_id:ChIJQZft3B7XOS4RLq-PMEBoVME
"Babatan, Semendo Darat Laut, Muara Enim Regency, South Sumatra 31356, Indonesia","{'location': {'lat': -4.0940915, 'lng': 103.6594267}, 'viewport': {'northeast': {'lat': -4.092001250000001, 'lng': 103.6607046298927}, 'southwest': {'lat': -4.09478825, 'lng': 103.6580049701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curup air hangat,ChIJC-c043_bOS4RCqcM0QeTFYg,ChIJC-c043_bOS4RCqcM0QeTFYg,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109063523310523928990"">A Google User</a>'], 'photo_reference': 'AUGGfZmaQqX0Vg7QMkZEMMAjv2ZG2CldW_ohCkUvQmc0LS9M4gEUTVWXCp1-xOAGRulSH9QS6keT4BjG_8LKePnCke1-baQ-pBLl-k74VOx9bbSqB-TDkrr_EHJsYmiXzLMQVyIJFHiTyUGGRwzebGdnKkMPXdibRzF07yH2Nzd-y95nqDSw', 'width': 2048}]",OPERATIONAL,,5.0,1.0,"{'compound_code': 'WM45+9Q Babatan, Muara Enim Regency, South Sumatra, Indonesia', 'global_code': '6P75WM45+9Q'}",,https://www.google.com/maps/place/?q=place_id:ChIJC-c043_bOS4RCqcM0QeTFYg
"Muara Dua, Semendo Darat Laut, Muara Enim Regency, South Sumatra, Indonesia","{'location': {'lat': -4.110139999999999, 'lng': 103.5957596}, 'viewport': {'northeast': {'lat': -4.089087999999999, 'lng': 103.6208221}, 'southwest': {'lat': -4.1256891, 'lng': 103.5656919}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Muara Dua,ChIJ07X9U9LZOS4RHsfOlBwzWuI,ChIJ07X9U9LZOS4RHsfOlBwzWuI,"['administrative_area_level_4', 'political']","[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115211087857659086238"">A Google User</a>'], 'photo_reference': 'AUGGfZnr-C6S_Fy_Ej-udF8kffoO4UyL8IvSQ69YE6rFTFMkAq1d7ru_hBSnTSSHOODDLahHOUgZU2jul2vAzMupeUZ2Q_U2B03oGM0Of57fUmDGa3BY81WfLFeFykzcERVUDYNIk9aJc_CJM6fXbQWWbavDqjrYSGnIKotRtJV_5Qp-jE3V', 'width': 2560}]",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ07X9U9LZOS4RHsfOlBwzWuI
"QCXR+2XJ, Segamit, Kec. Semendo Darat Ulu, Kabupaten Muara Enim, Sumatera Selatan 31462, Indonesia","{'location': {'lat': -4.2024149, 'lng': 103.442384}, 'viewport': {'northeast': {'lat': -4.200601120107278, 'lng': 103.4435871798927}, 'southwest': {'lat': -4.203300779892722, 'lng': 103.4408875201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Dedughuk,ChIJmRd_UrV-Ny4RF9JK0GUvEH4,ChIJmRd_UrV-Ny4RF9JK0GUvEH4,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112135084195877942981"">Andry Novijandri</a>'], 'photo_reference': 'AUGGfZlwtfB5d-xeayNZ2U6pPWqx_4cd0WygJtSyFiEUA1ovUlxN0W2EIXWDgnU7sVLaWu_rplEfCAVq9qmBn4-5e6dind7wrQBs5Ya7WpFiz3kkkknvZNGNpccP4pr_CqaCw7mmTr59o2CzrUWrWvZVkZqmRhPI6JbGvNQzmllix50iSg0c', 'width': 4032}]",OPERATIONAL,{'open_now': True},4.5,117.0,,,https://www.google.com/maps/place/?q=place_id:ChIJmRd_UrV-Ny4RF9JK0GUvEH4
"VJJC+HQW, Unnamed Road, Panggung Island, Semendo Darat Laut, Muara Enim Regency, South Sumatra 31356, Indonesia","{'location': {'lat': -4.118516, 'lng': 103.621966}, 'viewport': {'northeast': {'lat': -4.117751020107277, 'lng': 103.6232533798927}, 'southwest': {'lat': -4.120450679892721, 'lng': 103.6205537201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curup Talang Berangin,ChIJUZZdf7rXOS4RD6Z4a8TYCJE,ChIJUZZdf7rXOS4RD6Z4a8TYCJE,"['tourist_attraction', 'point_of_interest', 'establishment']",,OPERATIONAL,,5.0,2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJUZZdf7rXOS4RD6Z4a8TYCJE
"XJR5+MPW, Unnamed Road, Perapau, Semendo Darat Laut, Muara Enim Regency, South Sumatra 31453, Indonesia","{'location': {'lat': -4.008268, 'lng': 103.609313}, 'viewport': {'northeast': {'lat': -4.006918170107278, 'lng': 103.6106628298927}, 'southwest': {'lat': -4.009617829892722, 'lng': 103.6079631701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cughup Sauk Bate,ChIJ0x9osALfOS4RlMizBFHSuMY,ChIJ0x9osALfOS4RlMizBFHSuMY,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",,OPERATIONAL,{'open_now': True},5.0,4.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ0x9osALfOS4RlMizBFHSuMY
