business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,rating,reference,types,user_ratings_total,url
CLOSED_TEMPORARILY,"87MW+CGG, Leksula, South Buru Regency, Maluku, Indonesia","{'location': {'lat': -3.6675805, 'lng': 126.2956423}, 'viewport': {'northeast': {'lat': -3.666249120107278, 'lng': 126.2969817798927}, 'southwest': {'lat': -3.668948779892722, 'lng': 126.2942821201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LOVE WAETUREN,True,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117021177332574366137"">A Google User</a>'], 'photo_reference': 'AUGGfZnq4QGvp0-clXVos1Nh-jy_NPvvPPD-dguORo5Oo2WqwskkoOOGRGbZtisXXmft-dp5Z5h6P5FJ-_ifd1S8lWl0I-cJ_EakSfiG9ecdGCYJk0dDLW8AnhHu07NGeU6aCEysJMtZl_hBOR7HvPGunqgPvbtT2RZk1jFB5qr50Iyqw9cy', 'width': 720}]",ChIJjVMDRJ0Ncy0Ry4eklAqYv04,5,ChIJjVMDRJ0Ncy0Ry4eklAqYv04,"['tourist_attraction', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJjVMDRJ0Ncy0Ry4eklAqYv04
OPERATIONAL,"87JX+78J, Waeturen, South Buru Regency, Maluku, Indonesia","{'location': {'lat': -3.6692756, 'lng': 126.2982632}, 'viewport': {'northeast': {'lat': -3.667292620107279, 'lng': 126.2990698}, 'southwest': {'lat': -3.669992279892722, 'lng': 126.2958434}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu love,,"[{'height': 321, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116743584961262255888"">A Google User</a>'], 'photo_reference': 'AUGGfZlpmDNXVr2Z6HHW3Zou6DatSkrofWKW7pqAf51JdDqHVZtn31UXzJg0G6CnBYhihxUlLJVciM_y2caaNkBwHW5Zkiz_60qgoMRDKxbaMCW3ZHcIUQdiuM-b7FLqF1WlDtlBNXRS8wA4lst3psv40Zfv9tvphMTsH67eEMr7LLpoyfM4', 'width': 720}]",ChIJ2yDe-C4Ncy0RH6lTr-9Jhw8,0,ChIJ2yDe-C4Ncy0RH6lTr-9Jhw8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJ2yDe-C4Ncy0RH6lTr-9Jhw8
OPERATIONAL,"5JH9+5QF, Wamkana, Namrole, South Buru Regency, Maluku, Indonesia","{'location': {'lat': -3.8220533, 'lng': 126.6194088}, 'viewport': {'northeast': {'lat': -3.820709920107279, 'lng': 126.6207417798927}, 'southwest': {'lat': -3.823409579892723, 'lng': 126.6180421201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Tulis,,"[{'height': 2400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100179515218348070928"">Gunung Sitorus</a>'], 'photo_reference': 'AUGGfZmIdttEX9Ywgi8XenLLV5sbx1wBLbyndrQg4b_OeB2Oh6qgqiMCGcWRQdnUELLNZcQQNVmMgD9q3zeoE9v6OgJqPEz1_xLlPW9nRc6PEyIQg93a_4plqa5qEmH8FZHD5SeVC__lgvsBN6jN0f9NtLxXBso3hx8Z9ZQd1ckH0Ayq5Guu', 'width': 1080}]",ChIJZezxLWrfci0RtpCWnsUwBZ8,3,ChIJZezxLWrfci0RtpCWnsUwBZ8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,https://www.google.com/maps/place/?q=place_id:ChIJZezxLWrfci0RtpCWnsUwBZ8
CLOSED_TEMPORARILY,"6FPR+G6J, Tifu, Leksula, South Buru Regency, Maluku, Indonesia","{'location': {'lat': -3.763661, 'lng': 126.4905229}, 'viewport': {'northeast': {'lat': -3.762698270107278, 'lng': 126.491485}, 'southwest': {'lat': -3.765397929892722, 'lng': 126.4876366}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Air Babunyi,True,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104309828564032806386"">Hudria Sastro</a>'], 'photo_reference': 'AUGGfZnOstdoLz0thRqOyB5aK6kPaFVT7LHUf7yML_Gt1v2FsDQh4xEMjjFkpZqw6DPVYkoWBhOFPvgcWLo82kuoNadMrvbR4CklROOFhZ8QWno4_R9_lSDo0_D6k4rPxMFznF2jpiLlIla2AnOeC95srlmD74lfEFga0VqfQZiNzKBDPima', 'width': 1280}]",ChIJS6A0MwUZcy0Rcn-kohExxSY,0,ChIJS6A0MwUZcy0Rcn-kohExxSY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJS6A0MwUZcy0Rcn-kohExxSY
OPERATIONAL,"4MVG+8P, Lektama, Namrole, South Buru Regency, Maluku, Indonesia","{'location': {'lat': -3.8594577, 'lng': 126.6855225}, 'viewport': {'northeast': {'lat': -3.858715120107278, 'lng': 126.69022395}, 'southwest': {'lat': -3.861414779892722, 'lng': 126.68395535}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Kambing,,,ChIJBfWDNwDfci0ROkQ3fHPw_c4,0,ChIJBfWDNwDfci0ROkQ3fHPw_c4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJBfWDNwDfci0ROkQ3fHPw_c4
CLOSED_PERMANENTLY,"6GHX+6XX, Nalbessy, Leksula, South Buru Regency, Maluku, Indonesia","{'location': {'lat': -3.7718849, 'lng': 126.5499837}, 'viewport': {'northeast': {'lat': -3.770535070107279, 'lng': 126.5513335298927}, 'southwest': {'lat': -3.773234729892723, 'lng': 126.5486338701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nalbessy,True,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100179515218348070928"">Gunung Sitorus</a>'], 'photo_reference': 'AUGGfZmJQHM-hXLVmlJH5DUYH3H65pXxRZlOSo1dVXX_VjM9xv-ye3iuZzvC2YQ8O79CDizBpeF9jysCSa4hE7Ut_0FNcgPJ_LtNX2K5cfKafp_ZohixLPjWht4Cdr4BO6e6P28Pp68kquQfOEHKlns_KqHn2kTckJqPK-nBAhLzBokcmPqX', 'width': 3264}]",ChIJmxl3dxEfcy0RvRZkVu2SbWQ,5,ChIJmxl3dxEfcy0RvRZkVu2SbWQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJmxl3dxEfcy0RvRZkVu2SbWQ
CLOSED_TEMPORARILY,"5JM7+6J2, Jl. Kabupaten, Wamkana, Kec. Namrole, Kabupaten Buru Selatan, Maluku, Indonesia","{'location': {'lat': -3.8169828, 'lng': 126.6140195}, 'viewport': {'northeast': {'lat': -3.815769970107278, 'lng': 126.6153424298927}, 'southwest': {'lat': -3.818469629892722, 'lng': 126.6126427701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai labraha,True,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114165515870182944224"">A Google User</a>'], 'photo_reference': 'AUGGfZnXnkTLUPX4ETZgHTWvR5bKMVmlKo24ZpiFwRQ8111ZJBKSRD0eY0ub6MO5H5Jg1VZf5sKCRwOH8_UHfbQPXwwTDfEAGR5cgvdu_TQx9vHX7hHfOGmLPUfOnjvatvHJDmEuRt2nMXEyFlQtyBa4UsduvqYu2SGHBZYhNV2JKFkIx4rM', 'width': 2048}]",ChIJF6ZYgqTfci0RpHPyzv2GxNc,2,ChIJF6ZYgqTfci0RpHPyzv2GxNc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJF6ZYgqTfci0RpHPyzv2GxNc
CLOSED_TEMPORARILY,"5JHM+H3C, Wamkana, Namrole, South Buru Regency, Maluku, Indonesia","{'location': {'lat': -3.8210725, 'lng': 126.6326492}, 'viewport': {'northeast': {'lat': -3.819659220107278, 'lng': 126.6340660298927}, 'southwest': {'lat': -3.822358879892722, 'lng': 126.6313663701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BATU KACANG,True,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101635386494259775629"">A Google User</a>'], 'photo_reference': 'AUGGfZn1DiQz5kdXXM6mhO1om6xrEaV6eSdLJvYZ_FRo_pfA0TY-6onqG3KFFZpXXch0qHzdIkKuHLKpl1g0JHS6A9D11V_djvR44jb2xlnojUy7PRBPYz9elL0PcMNhKcnhW7eOGyG10jNW96JNENDbgTz_4p35rjq3IUwAczTgWnbuqLTU', 'width': 3120}]",ChIJQxj2yaPfci0R7_5aSVKBHLQ,5,ChIJQxj2yaPfci0R7_5aSVKBHLQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJQxj2yaPfci0R7_5aSVKBHLQ
CLOSED_TEMPORARILY,"CMCV+VR, Waenalut, Namrole, South Buru Regency, Maluku, Indonesia","{'location': {'lat': -3.57786, 'lng': 126.69457}, 'viewport': {'northeast': {'lat': -3.576510170107277, 'lng': 126.6959198298927}, 'southwest': {'lat': -3.579209829892722, 'lng': 126.6932201701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hamparan Kayu Putih,True,,ChIJ16isyFj_ci0R9pwSpY-8Rik,0,ChIJ16isyFj_ci0R9pwSpY-8Rik,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJ16isyFj_ci0R9pwSpY-8Rik
CLOSED_TEMPORARILY,"J22R+FH5, Waepandan, Kepala Madan, South Buru Regency, Maluku, Indonesia","{'location': {'lat': -3.3988504, 'lng': 126.0414775}, 'viewport': {'northeast': {'lat': -3.397343120107277, 'lng': 126.0427623298927}, 'southwest': {'lat': -3.400042779892722, 'lng': 126.0400626701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Telaga Buaya,True,,ChIJmw4q72WPcy0Ryf-gBOE8BCA,0,ChIJmw4q72WPcy0Ryf-gBOE8BCA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJmw4q72WPcy0Ryf-gBOE8BCA
