formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,opening_hours,rating,user_ratings_total,plus_code,permanently_closed,url
"Supiori Timur, Supiori Regency, Papua, Indonesia","{'location': {'lat': -0.7338901, 'lng': 135.7362281}, 'viewport': {'northeast': {'lat': -0.6868139999999999, 'lng': 135.803573}, 'southwest': {'lat': -0.883147, 'lng': 135.6402259}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Supiori Timur,"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115793756280717520896"">A Google User</a>'], 'photo_reference': 'AUGGfZnglQEKQlR2FetyL-fFS0IX0yeY39xD6yj3Z2hECH_FoYIRtZmNQGeTEYxMPvKT91byLRPw08XDcQaQoR7d2WEGGdYeBy3DljPSBW2SiAFl4VBVTgDoBIS2lvNAFL10W7UNUXnPC54Wdt5FIZGpOF1zAgdLa7luLDgLE5LKUAY30-xy', 'width': 1536}]",ChIJexsAcP16AWgRukuXOlfcz1g,ChIJexsAcP16AWgRukuXOlfcz1g,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJexsAcP16AWgRukuXOlfcz1g
"7P9M+38X, Unnamed Road, Sorendidori, Supiori Timur, Supiori Regency, Papua 98161, Indonesia","{'location': {'lat': -0.7322624, 'lng': 135.7333696}, 'viewport': {'northeast': {'lat': -0.7309525701072778, 'lng': 135.7347690298927}, 'southwest': {'lat': -0.7336522298927223, 'lng': 135.7320693701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Monumen Supiori,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101717877727366388199"">A Google User</a>'], 'photo_reference': 'AUGGfZmDFf6cMY0FNWeWkhmXRURaCR6P0OfMp6DqVeNPJ3s2eZQjL7-HZs7ysWNvNu-QcogpjC9V9ZNqGbTMdEIGl5hQy36mo16Ob2KJI_-F7RuyhpJl_wjk24QO2FpUYe8tt7JMAGrn47L0illh6Mb6yxk3YFchz8i9hi7zKbBmeWgY27Iw', 'width': 3264}]",ChIJsfcO59dxAWgR6ZgZstZImhk,ChIJsfcO59dxAWgR6ZgZstZImhk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.0,180.0,,,https://www.google.com/maps/place/?q=place_id:ChIJsfcO59dxAWgR6ZgZstZImhk
"Supiori Regency, Papua, Indonesia","{'location': {'lat': -0.7295098999999999, 'lng': 135.6385125}, 'viewport': {'northeast': {'lat': 0.9377970000000001, 'lng': 135.803573}, 'southwest': {'lat': -0.967613, 'lng': 134.295663}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Supiori Regency,"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110606068969350354977"">Nemix0101gmail.c0m Mix</a>'], 'photo_reference': 'AUGGfZn-umMOx_6EkGPRajgloqLZWjfkG-iELb2jPrMvHGdCTVS12fNQh2dtkzdgziWUmcaRcpFvDHQ53UyKKjT--aUSBUCmR-oC3qhTE7nWCSI_0nuWIeq05vT-Xm8aL8Cu9CufiMZw4f3dUYM_5gcITz6OgE9m5IvbCfNMzXBybf_RjR-8', 'width': 737}]",ChIJ-ZQ9WOwAAGgRNgTbsxxmQlE,ChIJ-ZQ9WOwAAGgRNgTbsxxmQlE,"['administrative_area_level_2', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-ZQ9WOwAAGgRNgTbsxxmQlE
"7P7V+8HC, Unnamed Road, Sorendidori, Kec. Supiori Tim., Kabupaten Supiori, Papua 98161, Indonesia","{'location': {'lat': -0.7366843, 'lng': 135.7438796}, 'viewport': {'northeast': {'lat': -0.7353046701072777, 'lng': 135.7452466798927}, 'southwest': {'lat': -0.7380043298927222, 'lng': 135.7425470201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Sorendiweri,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115060433784033889917"">Mula Satria</a>'], 'photo_reference': 'AUGGfZnY9c3HdaXb2g6G9nGMYsD1spPOqWdlNI5uU1jeqmOC57LiuQc0UMIm7cVdlCRh7GmGI5M5HhNIGl8HAh5ZYnBZP08oivWyE3MQAmfKAYDjiuDHBu8ppWf9MryAG7T9TVPon2FZR_Or7ypdPwrsQCCUavZN5N88xFOvmGjxzVsrmzr8', 'width': 4160}]",ChIJVYAWkEtxAWgRgxoo7fIt7t8,ChIJVYAWkEtxAWgRgxoo7fIt7t8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.6,34.0,,,https://www.google.com/maps/place/?q=place_id:ChIJVYAWkEtxAWgRgxoo7fIt7t8
"7P5W+G97, Sorendidori, Supiori Timur, Supiori Regency, Papua 98161, Indonesia","{'location': {'lat': -0.7412023999999999, 'lng': 135.7459076}, 'viewport': {'northeast': {'lat': -0.7397467701072777, 'lng': 135.7474271798928}, 'southwest': {'lat': -0.7424464298927222, 'lng': 135.7447275201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA SELAT SORENDIWERI,"[{'height': 1155, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100239833498808226312"">Franklin Imbir</a>'], 'photo_reference': 'AUGGfZmG5WEUYC20c_yz-pS4GXkNe5CuGZYgwssPl_HWTNV9091FLxgm0-f9JXC8JByKzk3U5KQ-DBb33cNW2T5BLgHr4NvKem9Ob8IOM_2pXmLpdfEyPAnS2nkPp7qgBTWj5H50d32ofnrF7mX9actxVuznbgqM3QANbv5y3UXWLTFjuZNH', 'width': 2048}]",ChIJ3XFvQAxxAWgRtps-jh5B6VM,ChIJ3XFvQAxxAWgRtps-jh5B6VM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.6,14.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ3XFvQAxxAWgRtps-jh5B6VM
"Yawerma, Supiori Timur, Supiori Regency, Papua 98161, Indonesia","{'location': {'lat': -0.8326072, 'lng': 135.6833149}, 'viewport': {'northeast': {'lat': -0.8312941201072778, 'lng': 135.6845707298927}, 'southwest': {'lat': -0.8339937798927223, 'lng': 135.6818710701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata sultan Aminweri,"[{'height': 1968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106040732162667763157"">A Google User</a>'], 'photo_reference': 'AUGGfZks-M8n7JpB8q8vZlafah5ogddYytYhZjT5wUFgWyW7K5Z6KT5-7WI8Im9FrN-Ja1kr6jzgPaTuWA3SYHaNUBViWHMQKzLDWLMtibw8Sde_IuIHsCERW-so6PC5NyoVS3KN4DpzJxMuSKk9TwWSDNT4BxCrhPMaaY4UcOdVbztt-LPo', 'width': 4144}]",ChIJQ2V1_519AWgR1NR6Usu7sUQ,ChIJQ2V1_519AWgR1NR6Usu7sUQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,2.0,"{'compound_code': '5M8M+X8 Yawerma, Supiori Regency, Papua, Indonesia', 'global_code': '6QFQ5M8M+X8'}",,https://www.google.com/maps/place/?q=place_id:ChIJQ2V1_519AWgR1NR6Usu7sUQ
"Unnamed Road, Sauyas, Kec. Supiori Tim., Kabupaten Supiori, Papua 98161, Indonesia","{'location': {'lat': -0.7119719999999999, 'lng': 135.7276511}, 'viewport': {'northeast': {'lat': -0.7110892201072777, 'lng': 135.7286165298927}, 'southwest': {'lat': -0.7137888798927222, 'lng': 135.7259168701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Aryari,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106064322741007376472"">A Google User</a>'], 'photo_reference': 'AUGGfZkO6astsVhRnNQn98krqH1_eJzOij0ZgJyEFmgg3sldMJk3oOFMuoFL_nz0vljkL_fZC_KX8UBWpWDbYD-yqWBG9YR6-EKO5TOaI3jQC4DtmEl-3rzpC4OTzecnKVq4Sg7W3u_n5hW3-w9wlf91jJVcvOlHIrJ880KDLnXRA-0FsLWy', 'width': 2560}]",ChIJx-zpYxNxAWgRvCklEchE99o,ChIJx-zpYxNxAWgRvCklEchE99o,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},4.7,3.0,"{'compound_code': '7PQH+63 Sauyas, Supiori Regency, Papua, Indonesia', 'global_code': '6QFQ7PQH+63'}",,https://www.google.com/maps/place/?q=place_id:ChIJx-zpYxNxAWgRvCklEchE99o
"7PHH+PPP, Sauyas, Supiori Timur, Supiori Regency, Papua 98161, Indonesia","{'location': {'lat': -0.7200392, 'lng': 135.7301724}, 'viewport': {'northeast': {'lat': -0.7186119701072777, 'lng': 135.7315835298927}, 'southwest': {'lat': -0.7213116298927222, 'lng': 135.7288838701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelompok sadar wisata Arbayabo,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109134856995991673501"">A Google User</a>'], 'photo_reference': 'AUGGfZlxPf0S4tfs9vLw63Fwcr6T66dtEmeMjxF3p5JnOt551dYvLK34I0R5rzYJxRZIwXKMLqEg1O1yBhP5kzLIVlRfDERlb2bd3Q9BqA2ZDkU6JgIxdHzSsqVhs32p53fSfl76BHVlOy_ZoAXlKNOBBtKSa74NC3nmpd18o7A8HTxDnW0w', 'width': 1920}]",ChIJq4yroAdxAWgRtRRePZ7WW0s,ChIJq4yroAdxAWgRtRRePZ7WW0s,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},4.3,3.0,,,https://www.google.com/maps/place/?q=place_id:ChIJq4yroAdxAWgRtRRePZ7WW0s
"7Q62+3H, Waryesi, Supiori Timur, Supiori Regency, Papua, Indonesia","{'location': {'lat': -0.739849, 'lng': 135.751479}, 'viewport': {'northeast': {'lat': -0.7391426999999999, 'lng': 135.75389205}, 'southwest': {'lat': -0.7419678999999997, 'lng': 135.75067465}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Doiadori,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109302685552874003530"">A Google User</a>'], 'photo_reference': 'AUGGfZmdWWzvVwUn4w4bIqDrew__uAu9Of6H5lL1aSPvKdFV2HTcl5doiYuFb2qJ0m75BJQBI1liH3Yf3dIyrzaqR4ZEIdjFvfB--LaDL3UJR6HeWCwHu7GLXzUvuttsDJL2UmSVJeJDDFuPMsr5PVr1McUx_xb0OdxZO8EBvY9vNPncl94S', 'width': 4032}]",ChIJXRosKSBxAWgRaZ_elQFKyc4,ChIJXRosKSBxAWgRaZ_elQFKyc4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},5.0,9.0,,,https://www.google.com/maps/place/?q=place_id:ChIJXRosKSBxAWgRaZ_elQFKyc4
"7QC8+X32, Syurdori, Supiori Timur, Supiori Regency, Papua, Indonesia","{'location': {'lat': -0.7276192, 'lng': 135.7651447}, 'viewport': {'northeast': {'lat': -0.7264579701072778, 'lng': 135.7668664298927}, 'southwest': {'lat': -0.7291576298927223, 'lng': 135.7641667701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai syurdori,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117511033655672246593"">A Google User</a>'], 'photo_reference': 'AUGGfZnrV6lFpaXTwgueotqHRhc89P4sm35ne1HPY7erqFpFqKDY6-zkCgcIuWPKG6c9ml4-NOD7-ZllmhZOf53RLrPGYa4kmeg3kKckDrIr9n34FCi_IXWdQuJL_4lAtpS8rDS2T3zVSRf6CF8qhM5zK-nOh5hFefaxsfmAmbrvhrR5BoLF', 'width': 3120}]",ChIJScMisClvAWgRcYAfjFdQ6kc,ChIJScMisClvAWgRcYAfjFdQ6kc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,5.0,4.0,,,https://www.google.com/maps/place/?q=place_id:ChIJScMisClvAWgRcYAfjFdQ6kc
