formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,url
"Tana Toraja Regency, South Sulawesi, Indonesia","{'location': {'lat': -3.0753003, 'lng': 119.742604}, 'viewport': {'northeast': {'lat': -2.740143, 'lng': 120.043985}, 'southwest': {'lat': -3.373661, 'lng': 119.370279}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tana Toraja Regency,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116479636497733567816"">A Google User</a>'], 'photo_reference': 'AUGGfZk9WiaU7vu1Ofb__Ihu62GEMsh4SITSRN_N_qV9_1iLnz2zJ7BV3SvFTHU8o__MNCLj4mdZt-zoXkpADMPZ8ySnmF3kukT_-WehUV6FG20gl0i3UT_r9b8gTuWvVAeKDF9fZPlLubyBdI4iccx2VpIjXrIRMj_gkPKTbIsAWSfOwHiG', 'width': 1920}]",ChIJhTWPdbGVky0RkHD3yvsLAwM,ChIJhTWPdbGVky0RkHD3yvsLAwM,"['administrative_area_level_2', 'political']",,,,,https://www.google.com/maps/place/?q=place_id:ChIJhTWPdbGVky0RkHD3yvsLAwM
"3M23+C5P, Patongloan, Bittuang, Tana Toraja Regency, South Sulawesi 91856, Indonesia","{'location': {'lat': -2.9489176, 'lng': 119.6529686}, 'viewport': {'northeast': {'lat': -2.947567770107277, 'lng': 119.6543184298927}, 'southwest': {'lat': -2.950267429892722, 'lng': 119.6516187701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sarambu Bittuang Waterfall,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100621828498642986832"">Dudi Padilah</a>'], 'photo_reference': 'AUGGfZnwyZEjuBdKj0zfxrzunHY98I5yl01iGAA3KvyMVoSnVpllFStc8DOekrdPU6ljhILHuV-KtXFiU87lS3ORe3vuy1FcAxFmGeKRB0_DRV9JKApOM9uwk2Yl84MRuj2b04cn77w-_fH4jV41Wg9FEtIujyD3gLiEm92ovuY7CZEpu2wE', 'width': 4000}]",ChIJkagXbNy9ky0RTUn24dbD9nM,ChIJkagXbNy9ky0RTUn24dbD9nM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.6,57.0,,https://www.google.com/maps/place/?q=place_id:ChIJkagXbNy9ky0RTUn24dbD9nM
"XM8R+JX9, Burasia, Bittuang, Tana Toraja Regency, South Sulawesi 91856, Indonesia","{'location': {'lat': -3.0334641, 'lng': 119.6924813}, 'viewport': {'northeast': {'lat': -3.032057870107277, 'lng': 119.6938154798927}, 'southwest': {'lat': -3.034757529892722, 'lng': 119.6911158201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Alam To'pinus Burasia,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115951037886303627245"">obet grinder</a>'], 'photo_reference': 'AUGGfZlbGxnb0pSe1kevcSOT_A_T3yWwl-7LMuIBO_qj852mHZkWOoGUfIH9hfbJq0XqzYYia7i9jv-2v9CqBOQlR1sxm-a3Ejo2KFx9MupRcmq_S5oY9e1x5GvGXVcIQAK8RtJ3EfLWnVJDRVG1eomC2zQukd56nvS-Y_CgA7JemDHd7sFK', 'width': 2448}]",ChIJGehE4m-Xky0Rdu2PCE1vsGM,ChIJGehE4m-Xky0Rdu2PCE1vsGM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.7,7.0,,https://www.google.com/maps/place/?q=place_id:ChIJGehE4m-Xky0Rdu2PCE1vsGM
"3M5J+WPX, Balla, Bittuang, Tana Toraja Regency, South Sulawesi 91856, Indonesia","{'location': {'lat': -2.9401389, 'lng': 119.6818611}, 'viewport': {'northeast': {'lat': -2.939378, 'lng': 119.6828818798927}, 'southwest': {'lat': -2.942421599999999, 'lng': 119.6801822201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sarambu Ratte Balla,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103137286341006294820"">akry luon</a>'], 'photo_reference': 'AUGGfZmH5lwyCiwyQrHTUYgaWr0kTjGhkfpxIopqKNe3Wb6JQGUtKb-8ZCVboZTgZ-rtmpN99XE5_DmEVfBe7mFfeZDuemnmKpyuVuc0dGvGxo1uwVDrHhSNjZeZ3ET012gYh2y80agefi6VxrL3eL-MBoLa-d9PMAVW2i4arCG8G6XAr1rO', 'width': 3264}]",ChIJE3I_y829ky0Ra6-8YuZY13A,ChIJE3I_y829ky0Ra6-8YuZY13A,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,39.0,,https://www.google.com/maps/place/?q=place_id:ChIJE3I_y829ky0Ra6-8YuZY13A
"Bittuang, Tana Toraja Regency, South Sulawesi, Indonesia","{'location': {'lat': -2.9698826, 'lng': 119.6701969}, 'viewport': {'northeast': {'lat': -2.96253, 'lng': 119.685248}, 'southwest': {'lat': -2.9810601, 'lng': 119.659814}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bittuang,"[{'height': 1964, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110026544374073134344"">A Google User</a>'], 'photo_reference': 'AUGGfZl1s7VUnmNcd7QmXHV9fIn-Db0ydPsm0eBebUTcMl6Tdtf24Tf2QJhp-FMVKM38wLOO0fBXjWGuH90Iufnts1wMMfLkqj-bz6Jem72Ip8QFUnHqZZ4nAPQKDK1pduBiCdwse-kDMPWe9IBqRyAOfCiN89Z7zGsMwy5yJvpcBz32nzD2', 'width': 1156}]",ChIJL2XeqIq9ky0Rq1U270bLhCU,ChIJL2XeqIq9ky0Rq1U270bLhCU,"['administrative_area_level_4', 'political']",,,,,https://www.google.com/maps/place/?q=place_id:ChIJL2XeqIq9ky0Rq1U270bLhCU
"XMGF+46H, Kandua, Bittuang, Tana Toraja Regency, South Sulawesi 91856, Indonesia","{'location': {'lat': -3.0246754, 'lng': 119.6730939}, 'viewport': {'northeast': {'lat': -3.02339315, 'lng': 119.6741964298927}, 'southwest': {'lat': -3.028522149999999, 'lng': 119.6714967701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sarambu Waterfall,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104109678455402089336"">MicSeCret</a>'], 'photo_reference': 'AUGGfZkWVQEU0rdXOhVRIv9UGteC_Gi0_EyB_JXfjJSEhpQcwEuZcW06M0g2rUwiFLho_OdAyRSb_PZNEmfgv7SAh8DsEosk5T-aVJSbY3UWx-_5XQdIe2ejRomRB03yRd4TvKPb3XeenjkFs1TimgwtGrwc4xlKSf9gRLT02iMlJul1btCC', 'width': 4496}]",ChIJ_____7-Wky0RYz_rF34VYQ4,ChIJ_____7-Wky0RYz_rF34VYQ4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,36.0,,https://www.google.com/maps/place/?q=place_id:ChIJ_____7-Wky0RYz_rF34VYQ4
"WV38+WH5, Buntu Burake, Makale, Tana Toraja Regency, South Sulawesi 91817, Indonesia","{'location': {'lat': -3.0952365, 'lng': 119.8664913}, 'viewport': {'northeast': {'lat': -3.093787920107277, 'lng': 119.8679523798927}, 'southwest': {'lat': -3.096487579892722, 'lng': 119.8652527201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jesus Christ Blessing Statue,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110761404108238188588"">adhiari Subekti</a>'], 'photo_reference': 'AUGGfZkK7xwQlgoH7PRi1bBvck-7i21gG3KIu9UcIwqhFN2GV4uFvXhGzAXp_8SEVZjhPB9hdzRFUEGIrN0UaqwTZbsEx1qmUra4UZ2mygqCagT3YcpnSP-H1Hd6GTDHkEVHS7Eiw1-B6hHcz98-rNBMZ7z313dA6fNCh_h2Mt3cdUdKYbE', 'width': 2880}]",ChIJs8z4-u7tky0R0SmrqPRGQqA,ChIJs8z4-u7tky0R0SmrqPRGQqA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,3889.0,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJs8z4-u7tky0R0SmrqPRGQqA
"2MH2+74Q, Patongloan, Bittuang, Tana Toraja Regency, South Sulawesi, Indonesia","{'location': {'lat': -2.9717875, 'lng': 119.6503594}, 'viewport': {'northeast': {'lat': -2.9702143, 'lng': 119.6511982798928}, 'southwest': {'lat': -2.9765071, 'lng': 119.6484986201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kallan,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113354784804512274054"">A Google User</a>'], 'photo_reference': 'AUGGfZlPiIYGcbjyMHgFeDNBT1ZQUg1k8DXT5mRXx3Wwd5iuD_uvs5yfPFwrhc3C7InQQbgBSNC2WIijZzE5b7JaDdAqOzWkqaf6keAaTMRF7mPC7zPmQtfezrKABHCAls4y_C8kQ6G9qOwCQ-fKbc0G-hlfB1zpgGyrdeMipXAwZ_XTuhso', 'width': 3120}]",ChIJg52Vqcu9ky0R8vxTEP7q7f8,ChIJg52Vqcu9ky0R8vxTEP7q7f8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,,https://www.google.com/maps/place/?q=place_id:ChIJg52Vqcu9ky0R8vxTEP7q7f8
"XPGP+V3, Kondongan, Salutandung, Kec. Saluputti, Kabupaten Tana Toraja, Sulawesi Selatan, Indonesia","{'location': {'lat': -3.0231259, 'lng': 119.7355163}, 'viewport': {'northeast': {'lat': -3.021815720107278, 'lng': 119.7367897798927}, 'southwest': {'lat': -3.024515379892722, 'lng': 119.7340901201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kondongan Riverside,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118019923850729866547"">Rener Mapala</a>'], 'photo_reference': 'AUGGfZk7hccTkbJ0ZTlc3gQ6aBqT6W5U2AzHdYjIlYKBO7DoSFdPDHqpBq9hT5OMZ_Hdxoj_KIw_ajzF-gF2YTLR8anm3f2Ad0sfTSf2sKdgPHE6U3NrsbBquSUdVeUJqn5uA-CLyhrqsId4fHYKwD5mmV_lTT47t6DnM4PumK9cd_Fmm_4u', 'width': 4624}]",ChIJV00o9VyVky0R0MWxsrpjsZY,ChIJV00o9VyVky0R0MWxsrpjsZY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.5,38.0,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJV00o9VyVky0R0MWxsrpjsZY
"2MJ9+WF2, Bittuang, Tana Toraja Regency, South Sulawesi 91856, Indonesia","{'location': {'lat': -2.9677407, 'lng': 119.6686378}, 'viewport': {'northeast': {'lat': -2.966345570107277, 'lng': 119.6702890798927}, 'southwest': {'lat': -2.969045229892722, 'lng': 119.6675894201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Bittuang,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100488664433376580929"">ronald Paonganan</a>'], 'photo_reference': 'AUGGfZlHQCbcnvwNhfeDSIbE9xs6KLbMPpezJraf76D7ePxc8G9pyqAKfZjepcmfEDYbGXzXvMmgyngvCw2EPBtTnVBSKDmtd9ESDSoafG5AuDZ_ZFCJqoMLkJLS43EegSn2o_fOZi4UtyDI1kQRAV2ctUZlYeDkWqd_Qyi2hlisqqeoGRK8', 'width': 4608}]",ChIJt5ZJp3-9ky0RX2KIjKqJg80,ChIJt5ZJp3-9ky0RX2KIjKqJg80,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,https://www.google.com/maps/place/?q=place_id:ChIJt5ZJp3-9ky0RX2KIjKqJg80
