business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,price_level,permanently_closed,url
OPERATIONAL,"Tlobo jenggrik,20/10, Sawah, Tlobo, Kec. Jatiyoso, Kabupaten Karanganyar, Jawa Tengah 57785, Indonesia","{'location': {'lat': -7.714446700000001, 'lng': 111.0835549}, 'viewport': {'northeast': {'lat': -7.713135620107279, 'lng': 111.0849205298927}, 'southwest': {'lat': -7.715835279892723, 'lng': 111.0822208701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Joglo Bendungan Jlantah,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104768061151149561766"">Iyoso Tuwung</a>'], 'photo_reference': 'AUGGfZldmpSi4fcB4IT9tC69qIPIfV361j5kwNRaJ8BA7wjEXHat7MyNevsAPSkanIQJYEwvxCgHxksPEaZtrovYikpzv7TLx0nhL5Jduy0R67pjC1l1r3_cVQ7AdFc9SGrSbgtd7gG2Hv9mU23Uj32EbxK8ja4BRyaERGcp9H6hEK1yjJ7k', 'width': 4160}]",ChIJa3EIL1gnei4R2tjPS2WqnkY,"{'compound_code': '73PM+6C Tlobo, Karanganyar Regency, Central Java, Indonesia', 'global_code': '6P4H73PM+6C'}",4.9,ChIJa3EIL1gnei4R2tjPS2WqnkY,"['tourist_attraction', 'point_of_interest', 'establishment']",16.0,,,https://www.google.com/maps/place/?q=place_id:ChIJa3EIL1gnei4R2tjPS2WqnkY
OPERATIONAL,"844G+MXG, Unnamed Road, Ngantirejo, Beruk, Kec. Jatiyoso, Kabupaten Karanganyar, Jawa Tengah 57785, Indonesia","{'location': {'lat': -7.6933212, 'lng': 111.1274479}, 'viewport': {'northeast': {'lat': -7.691968320107278, 'lng': 111.1288385298927}, 'southwest': {'lat': -7.694667979892722, 'lng': 111.1261388701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot selfie Desa Beruk,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102926514013040641395"">Ajie Sign</a>'], 'photo_reference': 'AUGGfZkkNfEszCVXCxZd30Nj7Tk9v9Gve-xpN43vVZ6F2dBS6ECNl2y2s70ET31Hnsiea3aEH9gGQhZOHXtJnnSYMzwuADHpToDuigvkgNCN0MzvPhy3WgqjlwxinmdZFRO0PXD1y3O5qoDPS6e92S6J-NeSw3j1P7Uhs4gwxhL5yNikBBfP', 'width': 4608}]",ChIJ8Zz1UXKJeS4RNSmZWbMKA3U,,4.4,ChIJ8Zz1UXKJeS4RNSmZWbMKA3U,"['tourist_attraction', 'point_of_interest', 'establishment']",63.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ8Zz1UXKJeS4RNSmZWbMKA3U
OPERATIONAL,"74XH+6HR, Unnamed Road, Sawah, Wonorejo, Kec. Jatiyoso, Kabupaten Karanganyar, Jawa Tengah 57785, Indonesia","{'location': {'lat': -7.701875399999999, 'lng': 111.1288822}, 'viewport': {'northeast': {'lat': -7.700509770107276, 'lng': 111.1302332798927}, 'southwest': {'lat': -7.70320942989272, 'lng': 111.1275336201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tree House Tugulasi Wonorejo,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102539508127085754019"">A Google User</a>'], 'photo_reference': 'AUGGfZmeigwsMq7c6byJu38fJQOvfAdHIvD8U1RvlILFdIkbyCyKjdq30PY-uZ-89Na8sgoS9UzzkjqQ1P1nAy2KBJpfeuwFtFctrvdD5uNAQ2RvujDhDKmR7DUZXmc1CxUqcZuJ8jOg6zCJSUxW1s4wrfmDM4cRxxpWU21UbAsmvqVazyE-', 'width': 2340}]",ChIJjYI9T7uJeS4Rk2O7vu8vRSM,,4.2,ChIJjYI9T7uJeS4Rk2O7vu8vRSM,"['tourist_attraction', 'point_of_interest', 'establishment']",91.0,,,https://www.google.com/maps/place/?q=place_id:ChIJjYI9T7uJeS4Rk2O7vu8vRSM
,"Wonorejo, Jatiyoso, Karanganyar Regency, Central Java, Indonesia","{'location': {'lat': -7.710889399999999, 'lng': 111.1354611}, 'viewport': {'northeast': {'lat': -7.6939, 'lng': 111.1841131}, 'southwest': {'lat': -7.726942999999999, 'lng': 111.095756}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wonorejo,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103427990531677015474"">A Google User</a>'], 'photo_reference': 'AUGGfZkIIx3FtVr1xN8pjC_XJeTpPZOopsKOcJWbGmzZahlVRR9JMDf6O3iS0UvKNnmwo7ALl0DIQgBZvG7tM31zja4saoz4-gOiequla450J0FnWop5SIIA12tiUEcJ_5_EgqHusIIT2v5WJXspyXNHsQ_-RSw4li6QgTTkn-R28YSEwkJX', 'width': 3120}]",ChIJ7_aw-amJeS4Rl1zMoYN5MXg,,,ChIJ7_aw-amJeS4Rl1zMoYN5MXg,"['administrative_area_level_4', 'political']",,,,https://www.google.com/maps/place/?q=place_id:ChIJ7_aw-amJeS4Rl1zMoYN5MXg
OPERATIONAL,"63X7+F5H, Bojang Kulon, Petung, Kec. Jatiyoso, Kabupaten Karanganyar, Jawa Tengah 57785, Indonesia","{'location': {'lat': -7.751311599999999, 'lng': 111.0629968}, 'viewport': {'northeast': {'lat': -7.749982970107278, 'lng': 111.0643939298927}, 'southwest': {'lat': -7.752682629892722, 'lng': 111.0616942701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cedak kalen waloh,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106909110936480005970"">Rendy Mobile</a>'], 'photo_reference': 'AUGGfZmp9spvXcsRQeY7AFb0nmKUeSLuvDU_KsNnCu_etS39Cv2A-X3RtLYY_0GfDAoAIiD8FhkVG2iLJb7IYdS5vtgZ0N_JXd2VkkQAPnNqgkp8EO-47JyaxVPrZqLm_kve1szhV220QtViGwDbLCTRTMFNYKdCktNMDqxATbYFrKfhcoqM', 'width': 1080}]",ChIJOUz7Cnsnei4RPPxro2Jb8GY,,5.0,ChIJOUz7Cnsnei4RPPxro2Jb8GY,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJOUz7Cnsnei4RPPxro2Jb8GY
OPERATIONAL,"Pondok, RT.01/RW.01, Area Hutan, Beruk, Kec. Jatiyoso, Kabupaten Karanganyar, Jawa Tengah 57785, Indonesia","{'location': {'lat': -7.690819599999999, 'lng': 111.1477955}, 'viewport': {'northeast': {'lat': -7.689466020107277, 'lng': 111.1491424298927}, 'southwest': {'lat': -7.692165679892721, 'lng': 111.1464427701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tubing Muslim 06,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112017493235314009721"">A Google User</a>'], 'photo_reference': 'AUGGfZl7H_6J1M1Zr5ZF1BYw5tTAEEQCoqFbc-CtV7HKCGMCSwSAxWDDMA2q6taZnMzfutcaAEhOYot8f3DlbrBRM0DcYUt8YVeChhVWqPgOb_V5s0bwxpykZAxKXkZ4nX8gca2m5LVGtgPKQxI2stlv1uLZrzBDebMV67Cd2aobqCkJd2l-', 'width': 3264}]",ChIJp9dZ-uaJeS4RoUFzbj2ecWM,"{'compound_code': '845X+M4 Beruk, Karanganyar Regency, Central Java, Indonesia', 'global_code': '6P4H845X+M4'}",4.6,ChIJp9dZ-uaJeS4RoUFzbj2ecWM,"['tourist_attraction', 'point_of_interest', 'establishment']",80.0,,,https://www.google.com/maps/place/?q=place_id:ChIJp9dZ-uaJeS4RoUFzbj2ecWM
OPERATIONAL,"63X7+W4P, Bojang Kulon, Petung, Kec. Jatiyoso, Kabupaten Karanganyar, Jawa Tengah, Indonesia","{'location': {'lat': -7.750174100000001, 'lng': 111.0628164}, 'viewport': {'northeast': {'lat': -7.748754520107278, 'lng': 111.0641827798927}, 'southwest': {'lat': -7.751454179892722, 'lng': 111.0614831201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Walikan paradise,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106909110936480005970"">Rendy Mobile</a>'], 'photo_reference': 'AUGGfZnlRDYGGLUE-YHB3pYIo__veuWiSR6fRUVJa9PNcSWP0xzZOOFtHdS42bThNo-ZIQQYBTzpUA480PfPkLrIjwbdCUmt8i5GCNv47fBc7H4JkRiUweyhllpQmPIpPMKpaQp_myo6BSVupbSdmVFE611lSSlvWDViZFSytTaC7lW9DItB', 'width': 1080}]",ChIJA25v84wnei4RC1TNHTXveuA,,4.0,ChIJA25v84wnei4RC1TNHTXveuA,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,,https://www.google.com/maps/place/?q=place_id:ChIJA25v84wnei4RC1TNHTXveuA
,"Jatiyoso, Karanganyar Regency, Central Java, Indonesia","{'location': {'lat': -7.7314085, 'lng': 111.0847891}, 'viewport': {'northeast': {'lat': -7.716241999999998, 'lng': 111.105096}, 'southwest': {'lat': -7.7415939, 'lng': 111.0662339}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jatiyoso,,,ChIJISLsXY8nei4RMMNW43Z6AgU,,,ChIJISLsXY8nei4RMMNW43Z6AgU,"['administrative_area_level_4', 'political']",,,,https://www.google.com/maps/place/?q=place_id:ChIJISLsXY8nei4RMMNW43Z6AgU
,"Jatiyoso, Karanganyar Regency, Central Java, Indonesia","{'location': {'lat': -7.6934494, 'lng': 111.1270395}, 'viewport': {'northeast': {'lat': -7.669678999999999, 'lng': 111.186851}, 'southwest': {'lat': -7.757805899999999, 'lng': 111.0482601}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jatiyoso,,"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104386010421408128322"">Shodiq Ridwanu</a>'], 'photo_reference': 'AUGGfZlZBb3CKCM_aJL1qMVOa_tsz3nq0p2C5I8ZA4qUk_x1G9zsh07UtzI-vvszrZloxjzsk_TMzrC6j9V-AhghtS20YfOyyxtEAN5Zqu8roxJ04XZqDRg7g6prAfRFP_Qq-2iNYXwSRGmsgpinAvgBMAWOmspJYpqzwXEEioRPOvpr84ax', 'width': 1024}]",ChIJxctKg8qJeS4R8AJT43Z6AgQ,,,ChIJxctKg8qJeS4R8AJT43Z6AgQ,"['administrative_area_level_3', 'political']",,,,https://www.google.com/maps/place/?q=place_id:ChIJxctKg8qJeS4R8AJT43Z6AgQ
OPERATIONAL,"83JR+9H5, Gamping, Bandardawung, Kec. Tawangmangu, Kabupaten Karanganyar, Jawa Tengah 57792, Indonesia","{'location': {'lat': -7.6691135, 'lng': 111.0914848}, 'viewport': {'northeast': {'lat': -7.668224970107278, 'lng': 111.0928744798927}, 'southwest': {'lat': -7.670924629892722, 'lng': 111.0901748201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Batu Gamping Tanggolasi,{'open_now': False},"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108215913221573559516"">Irvan Maulana</a>'], 'photo_reference': 'AUGGfZkNyIpI2U1lsEe8mQAIspUR5u8pZhwJeLE3yaaPabARKdXUIuA6S-pOtM-j0mpuh3KHS32elUZUREYnouWmN5pYCzPzq0X5pjmxcp2OZNnfLh6XTxfHoecOj-vFMwBHUWTXRMQQ1tu6cLzvIt8nDqJH6cRf6xe-8SBy04_Axdc7Vjw7', 'width': 4000}]",ChIJ2zKrT6ggei4RHGc-vnfhDhc,,4.6,ChIJ2zKrT6ggei4RHGc-vnfhDhc,"['tourist_attraction', 'point_of_interest', 'establishment']",177.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ2zKrT6ggei4RHGc-vnfhDhc
