business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,opening_hours,price_level,url
OPERATIONAL,"2W5M+384, Unnamed Road, Lepangeng, Kec. Belawa, Kabupaten Wajo, Sulawesi Selatan 90953, Indonesia","{'location': {'lat': -3.992363, 'lng': 119.9333155}, 'viewport': {'northeast': {'lat': -3.991386270107278, 'lng': 119.93667505}, 'southwest': {'lat': -3.994085929892722, 'lng': 119.93219565}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kabun mami aji laupe,ChIJ2eklLrzFlS0Rlnb0LJ8rBsE,0.0,ChIJ2eklLrzFlS0Rlnb0LJ8rBsE,"['lodging', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2eklLrzFlS0Rlnb0LJ8rBsE
OPERATIONAL,"3333+874, Jl. Poros Anabanua - Belawa, Tangkoli, Kec. Maniang Pajo, Kabupaten Wajo, Sulawesi Selatan 90952, Indonesia","{'location': {'lat': -3.9467346, 'lng': 120.0531989}, 'viewport': {'northeast': {'lat': -3.945307520107278, 'lng': 120.0545648298927}, 'southwest': {'lat': -3.948007179892722, 'lng': 120.0518651701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,SAHRUL RAMADHAN,ChIJkay89U7RlS0RL3ds3dtSJxU,0.0,ChIJkay89U7RlS0RL3ds3dtSJxU,"['lodging', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJkay89U7RlS0RL3ds3dtSJxU
OPERATIONAL,"Jl. H. Datu Sulolipu, Belawa, Kec. Belawa, Kabupaten Wajo, Sulawesi Selatan 90953, Indonesia","{'location': {'lat': -4.0008842, 'lng': 119.9327302}, 'viewport': {'northeast': {'lat': -3.999515770107278, 'lng': 119.9340547798927}, 'southwest': {'lat': -4.002215429892721, 'lng': 119.9313551201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bakso jumbo turlappae cab belawa,ChIJz8hHJgDFlS0Ru5rpAVYcuaA,0.0,ChIJz8hHJgDFlS0Ru5rpAVYcuaA,"['restaurant', 'food', 'point_of_interest', 'establishment']",0.0,"[{'height': 1091, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105176142584751187707"">A Google User</a>'], 'photo_reference': 'AUGGfZmIrhNT0w1hR5eOrVEztRpg1ulTRs5NdIj8eSXZw1MeuU_gWVxm6rCobTCMgN6dTws248-eQ9Wn1Ne_x0KMWUpKMRdjxcSZY4tthKz-cPWa5AcQ4Tzfwq2H2IPbkgowEh9Z7nW-_564XE5xEjYQk4OZ7qwRdDw06gaiuNnt2y9KfbMN', 'width': 1080}]","{'compound_code': 'XWXM+J3 Belawa, Wajo Regency, South Sulawesi, Indonesia', 'global_code': '6P7XXWXM+J3'}",,,https://www.google.com/maps/place/?q=place_id:ChIJz8hHJgDFlS0Ru5rpAVYcuaA
OPERATIONAL,"Desa Jl. Harapan No.44, Menge, Kec. Belawa, Kabupaten Wajo, Sulawesi Selatan 90953, Indonesia","{'location': {'lat': -4.0006601, 'lng': 119.9348482}, 'viewport': {'northeast': {'lat': -3.999320920107279, 'lng': 119.9362146798927}, 'southwest': {'lat': -4.002020579892723, 'lng': 119.9335150201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bakso Muslimah Belawa,ChIJKfRxOaPFlS0RQjlEkdEHnVo,5.0,ChIJKfRxOaPFlS0RQjlEkdEHnVo,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111601560618234441970"">andi inna</a>'], 'photo_reference': 'AUGGfZnlithHRl4UN4cmtg_pV5J7MFhUFBAtxa3L5_UU_IyTgiX5YL2Dbt9CCWGI-nLg9k0uKDeJChTj73Ct7hHtnBU5YwBmPdIWLSZTkuemFFDv1KSMtHrzsaYUcxyk72lH0pExHCz2kvNkRfAS2W0TbDB928mDSjG5Bm2Pda07Qr8A9wbS', 'width': 2160}]","{'compound_code': 'XWXM+PW Belawa, Wajo Regency, South Sulawesi, Indonesia', 'global_code': '6P7XXWXM+PW'}",,,https://www.google.com/maps/place/?q=place_id:ChIJKfRxOaPFlS0RQjlEkdEHnVo
OPERATIONAL,"XWXM+F3R, Jl. H. Datu Sulolipu, Belawa, Kec. Belawa, Kabupaten Wajo, Sulawesi Selatan 90953, Indonesia","{'location': {'lat': -4.0012534, 'lng': 119.9326385}, 'viewport': {'northeast': {'lat': -3.999870770107277, 'lng': 119.9339369798927}, 'southwest': {'lat': -4.002570429892721, 'lng': 119.9312373201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kambolong Family,ChIJs6Mq-vbElS0RQxY9Mptns14,5.0,ChIJs6Mq-vbElS0RQxY9Mptns14,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,"[{'height': 405, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103555565027374198994"">Abd Jamil</a>'], 'photo_reference': 'AUGGfZnK_cQ-Xwv8TFZQX2nEu2XJbv1903yRxwoZgD4kRk0K8LZe376agknAfutDHc3hNqHp0zi_ljFqOVr2HfhxJMVG6veWyfhqPN89jZy4wmR0qr9NvkZuxUFe4d_zYvwROM0HDkeJdeK9mxiHcYbhrNmphNliyK07ENbaglGLk5of7lSt', 'width': 720}]",,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJs6Mq-vbElS0RQxY9Mptns14
OPERATIONAL,"XWWJ+QH7, Belawa, Wajo Regency, South Sulawesi 90953, Indonesia","{'location': {'lat': -4.003115699999999, 'lng': 119.9314574}, 'viewport': {'northeast': {'lat': -4.001745870107277, 'lng': 119.9327788798927}, 'southwest': {'lat': -4.004445529892721, 'lng': 119.9300792201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bakso Ojolali,ChIJ9-o0_fbElS0R2cNHs2SUm1E,3.9,ChIJ9-o0_fbElS0R2cNHs2SUm1E,"['restaurant', 'food', 'point_of_interest', 'establishment']",10.0,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106301295555580204208"">cendekia ulung</a>'], 'photo_reference': 'AUGGfZmoVG_PpmgnRZ6VddEr81o34g5akTeYIZNunAJC-tBKN8fkBsEF_5cbzCJkdLpaiGaA2NisOP5yK_F3S322raA9UHlYFLVTlUqbShsw5fb9-gV7GIvMDONukqhlaSr4H7qvukwLzuDWvxSlVV8xnN_BAoWDgjn2OQdWXhn1hdlcgD1M', 'width': 720}]",,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ9-o0_fbElS0R2cNHs2SUm1E
OPERATIONAL,"XWXJ+3V6, Belawa, Wajo Regency, South Sulawesi 90953, Indonesia","{'location': {'lat': -4.002331600000001, 'lng': 119.9321262}, 'viewport': {'northeast': {'lat': -4.001006720107277, 'lng': 119.9334634798927}, 'southwest': {'lat': -4.003706379892721, 'lng': 119.9307638201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Warung Makan Nikmat,ChIJv7LnF_fElS0RG8XQNa-4BeI,3.9,ChIJv7LnF_fElS0RG8XQNa-4BeI,"['restaurant', 'food', 'point_of_interest', 'establishment']",9.0,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101624219425828810167"">Ulik Purnomo</a>'], 'photo_reference': 'AUGGfZlpdmkdR198knDyljiG0tgHUKnRO9Y3P8hNOIXE_89TTKtlFvdNRZGwlxXN3MpMb1nb_vwSTVtBqPoSc-gFYiR-QsB9DMIpIPmgin9S-Uuwnns1P9SaHxhcm7aGOye0x-qQfE4UsMjdJtQGlAAsaHmoIITl3uq9buHhJOlfHEn30_Bp', 'width': 2048}]",,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJv7LnF_fElS0RG8XQNa-4BeI
OPERATIONAL,"Jl. Poros Anabanua - Belawa, Wele, Kec. Belawa, Kabupaten Wajo, Sulawesi Selatan 90953, Indonesia","{'location': {'lat': -3.9481655, 'lng': 119.9941362}, 'viewport': {'northeast': {'lat': -3.946811320107277, 'lng': 119.9954546298927}, 'southwest': {'lat': -3.949510979892721, 'lng': 119.9927549701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rumah Bakso,ChIJ4xyBEhvRlS0Rhwei1fE2Mlo,4.5,ChIJ4xyBEhvRlS0Rhwei1fE2Mlo,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,"{'compound_code': '3X2V+PM Wele, Wajo Regency, South Sulawesi, Indonesia', 'global_code': '6P8X3X2V+PM'}",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ4xyBEhvRlS0Rhwei1fE2Mlo
OPERATIONAL,"XXXF+52G, Macero, Belawa, Wajo Regency, South Sulawesi 90953, Indonesia","{'location': {'lat': -4.0020429, 'lng': 119.9731825}, 'viewport': {'northeast': {'lat': -4.000736570107279, 'lng': 119.9745176798927}, 'southwest': {'lat': -4.003436229892722, 'lng': 119.9718180201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Warung zamzam,ChIJWb6j-qnFlS0R2BU6dVLHmF0,0.0,ChIJWb6j-qnFlS0R2BU6dVLHmF0,"['restaurant', 'food', 'point_of_interest', 'establishment']",0.0,,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJWb6j-qnFlS0R2BU6dVLHmF0
OPERATIONAL,"Jl. Poros Anabanua - Belawa, Sappa, Kec. Belawa, Kabupaten Wajo, Sulawesi Selatan 90953, Indonesia","{'location': {'lat': -3.9561105, 'lng': 119.9659308}, 'viewport': {'northeast': {'lat': -3.954746020107278, 'lng': 119.9672815298927}, 'southwest': {'lat': -3.957445679892722, 'lng': 119.9645818701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BAKSO MBAK YUL ( B. M. Y ),ChIJD6zPBFnFlS0R4bHNGA_plwI,5.0,ChIJD6zPBFnFlS0R4bHNGA_plwI,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"[{'height': 1408, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112351877550287892140"">A Google User</a>'], 'photo_reference': 'AUGGfZnBo5QZp-h9MIpBQESAdanPdITVq7DG9axrs3vuDkTtDZnOoiu9RVct_au9GqaL_HzwkVP7RS5_IeDeMYMgqSbT5POd4PhehGbUY-FaOyjRt9DsFdPr5jVbzn7MCx_gmnjkjAspFvdLVVViVx5B8X5rynUkeevpej0Rp5UwZEfNsHxF', 'width': 4832}]","{'compound_code': '2XV8+H9 Sappa, Wajo Regency, South Sulawesi, Indonesia', 'global_code': '6P8X2XV8+H9'}",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJD6zPBFnFlS0R4bHNGA_plwI
