business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,opening_hours,photos,url
OPERATIONAL,"Jalan laut No.283, RT.4/RW/RW.Lk 2, Muara Kuang, Kec. Muara Kuang, Kabupaten Ogan Ilir, Sumatera Selatan 30865, Indonesia","{'location': {'lat': -3.6651895, 'lng': 104.5689242}, 'viewport': {'northeast': {'lat': -3.663837920107278, 'lng': 104.5702742798927}, 'southwest': {'lat': -3.666537579892722, 'lng': 104.5675746201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LAK ANGGA KENALI,ChIJv6PSeABhOS4R1VZfsoGLX50,"{'compound_code': '8HM9+WH Muara Kuang, Ogan Ilir Regency, South Sumatra, Indonesia', 'global_code': '6P868HM9+WH'}",0.0,ChIJv6PSeABhOS4R1VZfsoGLX50,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJv6PSeABhOS4R1VZfsoGLX50
OPERATIONAL,"8G42+3H6, Lubuk Tunggal, Rambang Kuang, Ogan Ilir Regency, South Sumatra 30865, Indonesia","{'location': {'lat': -3.6948438, 'lng': 104.5013882}, 'viewport': {'northeast': {'lat': -3.693419920107279, 'lng': 104.5029828298927}, 'southwest': {'lat': -3.696119579892723, 'lng': 104.5002831701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai Kuang,ChIJy_KiCxRjOS4RCZb7myOpNC4,,5.0,ChIJy_KiCxRjOS4RCZb7myOpNC4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJy_KiCxRjOS4RCZb7myOpNC4
CLOSED_TEMPORARILY,"8HQ2+MQ, Muara Kuang, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.6608125, 'lng': 104.5519375}, 'viewport': {'northeast': {'lat': -3.659243170107278, 'lng': 104.5582315}, 'southwest': {'lat': -3.661942829892721, 'lng': 104.5498395}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Empang Mancing,ChIJR5o8KudjOS4RKpZvlg68zi4,,5.0,ChIJR5o8KudjOS4RKpZvlg68zi4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,True,,,https://www.google.com/maps/place/?q=place_id:ChIJR5o8KudjOS4RKpZvlg68zi4
OPERATIONAL,"CFFM+PHH, Tambang Rambang, Rambang Kuang, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.5756981, 'lng': 104.4839765}, 'viewport': {'northeast': {'lat': -3.574609020107278, 'lng': 104.4849248298927}, 'southwest': {'lat': -3.577308679892722, 'lng': 104.4822251701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau BAKUNG TB RAMBANG,ChIJk60248LZOy4Rn8ENRyaZCe4,,5.0,ChIJk60248LZOy4Rn8ENRyaZCe4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJk60248LZOy4Rn8ENRyaZCe4
OPERATIONAL,"7CQG+369, Beringin Dalam, Rambang Kuang, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.7123404, 'lng': 104.425595}, 'viewport': {'northeast': {'lat': -3.710972920107278, 'lng': 104.4266014298927}, 'southwest': {'lat': -3.713672579892722, 'lng': 104.4239017701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai mesepang,ChIJRQ4dpDl7OS4ROahRNNCqEoY,,0.0,ChIJRQ4dpDl7OS4ROahRNNCqEoY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJRQ4dpDl7OS4ROahRNNCqEoY
OPERATIONAL,"CCWG+8X, Tangai, Rambang Kuang, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.5541875, 'lng': 104.4274375}, 'viewport': {'northeast': {'lat': -3.552837670107278, 'lng': 104.4287873298927}, 'southwest': {'lat': -3.555537329892723, 'lng': 104.4260876701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau temesu. Pedusonan masyarakat Tanjung kemale,ChIJLezb2hrXOy4R0cjvah5gaG4,,5.0,ChIJLezb2hrXOy4R0cjvah5gaG4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100785745102848802711"">A Google User</a>'], 'photo_reference': 'AUGGfZlsmkUrcP6BLPA1zlz9AF6fNWr8OgTMiGgUoW_GckqXtSRW98NgrpYPBhR6toXKViomHN0_2nKqSZn_IKKpT1Vjfc2YURCwJ6bCgVp97wE-0yCmsnPQYQtCq8NnT-vgAO9zzaYLOXJA2CfzJXUXyFZNaoFKtSiAZxMoYl75BFSl50ak', 'width': 2304}]",https://www.google.com/maps/place/?q=place_id:ChIJLezb2hrXOy4R0cjvah5gaG4
OPERATIONAL,"Tanjung Bulan, Rambang Kuang, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.5294362, 'lng': 104.4876542}, 'viewport': {'northeast': {'lat': -3.526777749999999, 'lng': 104.48914795}, 'southwest': {'lat': -3.53032235, 'lng': 104.48317295}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Sawah Danau Layang-Layang,ChIJjSgRLDDbOy4ROy5VH8daEXg,"{'compound_code': 'FFCQ+63 Tanjung Bulan, Ogan Ilir Regency, South Sumatra, Indonesia', 'global_code': '6P86FFCQ+63'}",3.7,ChIJjSgRLDDbOy4ROy5VH8daEXg,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111671650367458098458"">A Google User</a>'], 'photo_reference': 'AUGGfZlkbW5k2azCAgTpSBwzbwJHFoNqsNgVGJLBsZzQZB22iGvRcVUEp7hB9qOUIe8f9c41tzCU9CLaBwfpAKTM0D7fGOWwFUkfE3xIa24lqgc_x-vv8D8r9oV03URl1ymdozRskbRICag4ne2-vfb4lX1PMy3pFM6EFBujYd-bvXxQnoMY', 'width': 1600}]",https://www.google.com/maps/place/?q=place_id:ChIJjSgRLDDbOy4ROy5VH8daEXg
CLOSED_TEMPORARILY,"CJR4+CG4, Kelampadu, Muara Kuang, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.5589938, 'lng': 104.6063192}, 'viewport': {'northeast': {'lat': -3.557643970107278, 'lng': 104.6076690298927}, 'southwest': {'lat': -3.560343629892722, 'lng': 104.6049693701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelampadu,ChIJ28rtgsPfOy4Roh4GdMpbqts,,0.0,ChIJ28rtgsPfOy4Roh4GdMpbqts,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101349574184647779789"">A Google User</a>'], 'photo_reference': 'AUGGfZmugZWlS01fp6epqYDnDDJIqUejz3pjmdEbkFM6zUssFfGdhAJDUrP3t7T6dABG6PkGo-IaIEwYqjerQLRzdkVhAc6hBoCxZ38q__YO_JWm-_iJZwl1fFZM1Bj7KXu0U4BgB_d2m2mVhHSTMTsV_j1NY87cuHzQveugt08TBPXvpN_4', 'width': 4608}]",https://www.google.com/maps/place/?q=place_id:ChIJ28rtgsPfOy4Roh4GdMpbqts
OPERATIONAL,"C9XG+WQ4, Kayu Ara, Rambang Kuang, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.5502364, 'lng': 104.3769491}, 'viewport': {'northeast': {'lat': -3.548763620107278, 'lng': 104.3778830798927}, 'southwest': {'lat': -3.551463279892722, 'lng': 104.3751834201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Senaga,ChIJEU2sdS3VOy4R2hIqH_tUWdA,,0.0,ChIJEU2sdS3VOy4R2hIqH_tUWdA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJEU2sdS3VOy4R2hIqH_tUWdA
OPERATIONAL,"C8XR+PQF, Tanjung Miring, Rambang Kuang, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.5506892, 'lng': 104.3419101}, 'viewport': {'northeast': {'lat': -3.549206470107277, 'lng': 104.3429241298927}, 'southwest': {'lat': -3.551906129892722, 'lng': 104.3402244701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Empang siamang TM,ChIJsVeb_MHVOy4R1Bwwl_VNgK8,,5.0,ChIJsVeb_MHVOy4R1Bwwl_VNgK8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJsVeb_MHVOy4R1Bwwl_VNgK8
