business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,opening_hours,url
OPERATIONAL,"HM88+F6, Ketiau, Lubuk Keliat, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.4338322, 'lng': 104.6655042}, 'viewport': {'northeast': {'lat': -3.432333320107277, 'lng': 104.6669863798927}, 'southwest': {'lat': -3.435032979892722, 'lng': 104.6642867201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DANAU CINTA MANIS,ChIJjcSgAADpOy4RI3Q-AZpCk5c,0,ChIJjcSgAADpOy4RI3Q-AZpCk5c,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJjcSgAADpOy4RI3Q-AZpCk5c
OPERATIONAL,"JQ55+X5M, Tanjung Temiang, Tanjung Raja, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.3900329, 'lng': 104.7579278}, 'viewport': {'northeast': {'lat': -3.388683070107278, 'lng': 104.7592776298927}, 'southwest': {'lat': -3.391382729892722, 'lng': 104.7565779701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung temiang,ChIJ0_apUZPvOy4RB72iAtGPCeU,0,ChIJ0_apUZPvOy4RB72iAtGPCeU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112940860797758344997"">A Google User</a>'], 'photo_reference': 'AUGGfZmlpb4rjSyniVZ8ealpQypyU1V3TMmkqi3HMlbYZkZb3teZS-fwkdiD0PATfUkjUdKuKMcuy5-cPeTe2SMZHtgm851c065-HCHdPh6U_KXwuKF6g2_hRTN7x0g-1LfYR-lkMEGL9g887RR-WcW8q-GDafDTKEZlc1WSLzijXq5UsUgG', 'width': 1080}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ0_apUZPvOy4RB72iAtGPCeU
CLOSED_TEMPORARILY,"HQR3+HG, Mekar Sari, Rantau Alai, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.4085402, 'lng': 104.7538266}, 'viewport': {'northeast': {'lat': -3.407792220107277, 'lng': 104.75451225}, 'southwest': {'lat': -3.410491879892722, 'lng': 104.75176965}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Pancing Danau Rimbo Samak Desa Santapan,ChIJfXj_q4TvOy4R7IIRvPQNYVM,0,ChIJfXj_q4TvOy4R7IIRvPQNYVM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,,https://www.google.com/maps/place/?q=place_id:ChIJfXj_q4TvOy4R7IIRvPQNYVM
OPERATIONAL,"HM33+3VX, Ketiau, Lubuk Keliat, Ogan Ilir Regency, South Sumatra 30868, Indonesia","{'location': {'lat': -3.4472565, 'lng': 104.6547408}, 'viewport': {'northeast': {'lat': -3.443901, 'lng': 104.65677345}, 'southwest': {'lat': -3.448375, 'lng': 104.65406325}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman wisata akasia,ChIJaxNN0wXDOy4R8eaHrHrB-w0,5,ChIJaxNN0wXDOy4R8eaHrHrB-w0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJaxNN0wXDOy4R8eaHrHrB-w0
OPERATIONAL,"JQF4+W7R, Tanjung Temiang, Tanjung Raja, Ogan Ilir Regency, South Sumatra 30866, Indonesia","{'location': {'lat': -3.377731, 'lng': 104.755341}, 'viewport': {'northeast': {'lat': -3.375941420107278, 'lng': 104.7562499798927}, 'southwest': {'lat': -3.378641079892723, 'lng': 104.7535503201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Pemancingqn Beriang Fun fishing,ChIJiSkxGmjtOy4RU2NFaQP8h94,5,ChIJiSkxGmjtOy4RU2NFaQP8h94,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,{},https://www.google.com/maps/place/?q=place_id:ChIJiSkxGmjtOy4RU2NFaQP8h94
OPERATIONAL,"JJFV+866, Unnamed Road, Tj. Tambak Baru, Kec. Tj. Batu, Kabupaten Ogan Ilir, Sumatera Selatan 30664, Indonesia","{'location': {'lat': -3.3767009, 'lng': 104.6430028}, 'viewport': {'northeast': {'lat': -3.375351070107277, 'lng': 104.6443526298927}, 'southwest': {'lat': -3.378050729892722, 'lng': 104.6416529701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Palah/pala/air gemuruh tanjung atap,ChIJ76_vMFzBOy4R0SPPSeYWix8,0,ChIJ76_vMFzBOy4R0SPPSeYWix8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1046, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108496312500992310905"">amin bitun</a>'], 'photo_reference': 'AUGGfZnh2wkccI1sAgL14gbah4KsQUpksGoR7ltkZAnJHrsYuGZMsFbciOXjEBYMf0H_Krp-5K3YAaX2muUvRauAFcouCC-OmiHqt7OJq4Qwqy9ex2hAnVONXR_fCe28M5-CNyXwP8XJq3UWNzJNUQGH3tBthG2PQKI4k62DzL661b6eLTS1', 'width': 1080}]",,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJ76_vMFzBOy4R0SPPSeYWix8
OPERATIONAL,"GM3P+GG, Tanjung Beringin, Tanjung Lubuk, Ogan Komering Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.495975, 'lng': 104.685573}, 'viewport': {'northeast': {'lat': -3.495084950000001, 'lng': 104.69034615}, 'southwest': {'lat': -3.498645149999999, 'lng': 104.68398195}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun malik,ChIJy2A8QQDnOy4RCL6banfR85c,0,ChIJy2A8QQDnOy4RCL6banfR85c,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJy2A8QQDnOy4RCL6banfR85c
OPERATIONAL,"JQMG+67F, Unnamed Road, Seri Dalam, Kec. Tj. Raja, Kabupaten Ogan Ilir, Sumatera Selatan 30661, Indonesia","{'location': {'lat': -3.3669362, 'lng': 104.7756699}, 'viewport': {'northeast': {'lat': -3.365751620107278, 'lng': 104.7765942798927}, 'southwest': {'lat': -3.368451279892723, 'lng': 104.7738946201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai SeriDa,ChIJZz8YL3jtOy4RgnTWtKCsmVE,5,ChIJZz8YL3jtOy4RgnTWtKCsmVE,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112789155539184803750"">Intan Pratiwi</a>'], 'photo_reference': 'AUGGfZk00g-V9JP01FpMoQg1w5uqebTMxrx_AypXJtrc-koCS2djkW9FDLFur7yb7RbtsfIXWlKlA4vDJdkIzStWwAH9b9bNsS4ukkRBZjTt5JwSOWyC0cihRiFUKCl9ezlrQPYBV6TWwqZuhoOtL-2m44wWzV8Romgc13p0WshixBYA_Sx5', 'width': 1280}]",,,https://www.google.com/maps/place/?q=place_id:ChIJZz8YL3jtOy4RgnTWtKCsmVE
OPERATIONAL,"JPWF+7G, Siring Alam, Tanjung Raja, Ogan Ilir Regency, South Sumatra, Indonesia","{'location': {'lat': -3.3543434, 'lng': 104.7237664}, 'viewport': {'northeast': {'lat': -3.352993570107277, 'lng': 104.7251162298927}, 'southwest': {'lat': -3.355693229892722, 'lng': 104.7224165701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lebak Sepangku Desa Siring Alam,ChIJ334UFjjrOy4Re0Hb2jDMPxY,3,ChIJ334UFjjrOy4Re0Hb2jDMPxY,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117538935952446142185"">Muhamad Syolihin</a>'], 'photo_reference': 'AUGGfZmoZrSWA-tZtLzapvhdVtocguWI70bIRT0bOD-9PJYI0cyMyLUQG4Fw8UbSRTZvgtcDHzvVCTzaFX_I8o-RKMOdMliSfTa5jISrTu3F0M0Vshqm6nmIgtvhgzvBetpsc2kBD7dn0EzQ2-Jc9klPoG2RjEatzRS1imlNB0U7eMiefneR', 'width': 3000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ334UFjjrOy4Re0Hb2jDMPxY
OPERATIONAL,"GRF5+JH8, AH25, Sukaraja, Kec. Pedamaran, Kabupaten Ogan Komering Ilir, Sumatera Selatan 30867, Indonesia","{'location': {'lat': -3.4759617, 'lng': 104.8089591}, 'viewport': {'northeast': {'lat': -3.4714947, 'lng': 104.8104344}, 'southwest': {'lat': -3.4774507, 'lng': 104.8045332}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lebak lagan,ChIJabDvdW3lOy4RL45Crj82mKU,0,ChIJabDvdW3lOy4RL45Crj82mKU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJabDvdW3lOy4RL45Crj82mKU
