business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,opening_hours,url
OPERATIONAL,"P8MX+9HF, Rasau Jaya Tiga, Rasau Jaya, Kubu Raya Regency, West Kalimantan 78384, Indonesia","{'location': {'lat': -0.2678604, 'lng': 109.348886}, 'viewport': {'northeast': {'lat': -0.2665098701072778, 'lng': 109.3502105298927}, 'southwest': {'lat': -0.2692095298927223, 'lng': 109.3475108701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pangkalan pancing rasau jaya,"[{'height': 1008, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108971672363372983118"">A Google User</a>'], 'photo_reference': 'AUGGfZm5OZZk9APLOBIs9Oa8vb0A0p30Bu1aob1iWcvfXguJXN_kTagEdqRt-1I9F4MVlEITo4onmQhdsK8pSsh7He0KSeHX2IR_-CTV67MQy0ltSmauSWaePVr4fi1IQJKWllHyHoiIPBi-iJI67TzDuFq5T3ZB3pnJmPRMreW4KQ4lj33i', 'width': 2528}]",ChIJUWsPGABHHS4Rt8TpaJ67G-k,4.0,ChIJUWsPGABHHS4Rt8TpaJ67G-k,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJUWsPGABHHS4Rt8TpaJ67G-k
OPERATIONAL,"Q988+9MF, Rasau Jaya Umum, Rasau Jaya, Kubu Raya Regency, West Kalimantan 78391, Indonesia","{'location': {'lat': -0.2340587, 'lng': 109.3666847}, 'viewport': {'northeast': {'lat': -0.2327198701072777, 'lng': 109.3680285798927}, 'southwest': {'lat': -0.2354195298927222, 'lng': 109.3653289201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot Foto Sunset dan Jembatan dan Sawah,,ChIJAU6Kpx1HHS4Rin-ciYG1DXk,4.0,ChIJAU6Kpx1HHS4Rin-ciYG1DXk,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJAU6Kpx1HHS4Rin-ciYG1DXk
OPERATIONAL,"PCQ6+W7, Rasau Jaya Satu, Rasau Jaya, Kubu Raya Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.2591578, 'lng': 109.4102216}, 'viewport': {'northeast': {'lat': -0.2578278701072778, 'lng': 109.4115592298927}, 'southwest': {'lat': -0.2605275298927222, 'lng': 109.4088595701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kandang ayam,,ChIJhz1LJQBJHS4Rsoz7ZwKLLOY,0.0,ChIJhz1LJQBJHS4Rsoz7ZwKLLOY,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJhz1LJQBJHS4Rsoz7ZwKLLOY
OPERATIONAL,"P9H5+C7W, Baru, Kubu, Kubu Raya Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.2713966, 'lng': 109.3582149}, 'viewport': {'northeast': {'lat': -0.2700520201072777, 'lng': 109.3595619798927}, 'southwest': {'lat': -0.2727516798927223, 'lng': 109.3568623201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pelabuhan Rasau,,ChIJa22_PQBHHS4R85GcyEF7ib0,0.0,ChIJa22_PQBHHS4R85GcyEF7ib0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJa22_PQBHHS4R85GcyEF7ib0
OPERATIONAL,"PC5Q+F43, Rasau Jaya Dua, Rasau Jaya, Kubu Raya Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.2913673, 'lng': 109.4378098}, 'viewport': {'northeast': {'lat': -0.29045565, 'lng': 109.4394930298927}, 'southwest': {'lat': -0.29410225, 'lng': 109.4367933701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun fadli,,ChIJeXO7NQA3HS4RxJWKah55424,0.0,ChIJeXO7NQA3HS4RxJWKah55424,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJeXO7NQA3HS4RxJWKah55424
OPERATIONAL,"P9Q3+45, Rasau Jaya Tiga, Rasau Jaya, Kubu Raya Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.2621307, 'lng': 109.3529849}, 'viewport': {'northeast': {'lat': -0.2608321201072778, 'lng': 109.3544276798927}, 'southwest': {'lat': -0.2635317798927223, 'lng': 109.3517280201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun jambu,,ChIJuRNlzr5HHS4RRRSRv1USDz8,0.0,ChIJuRNlzr5HHS4RRRSRv1USDz8,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJuRNlzr5HHS4RRRSRv1USDz8
OPERATIONAL,"P9WX+HPC, Rasau Jaya Dua, Kec. Rasau Jaya, Kabupaten Kubu Raya, Kalimantan Barat, Indonesia","{'location': {'lat': -0.2535556, 'lng': 109.3992507}, 'viewport': {'northeast': {'lat': -0.2518597701072778, 'lng': 109.4008057798927}, 'southwest': {'lat': -0.2545594298927222, 'lng': 109.3981061201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ndf-farm,"[{'height': 2084, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110024400954117933655"">untung slamet</a>'], 'photo_reference': 'AUGGfZliB26NBYTlma5VLYcsBRFYJUFYqNLzPvfNNhRlffMcHGVQHOt_AWAdgk8AJ3eXOu5jC48BnQieZi_4frgGmIzLmFNsDnoXwk4sZ0Ywdeo77ozTYYukwVwWgH9sgWfgj_QE38otYLve6ac9SILGsWgkckldCsi1E4Wow2N0OS47BTKV', 'width': 4624}]",ChIJOw2s_3NJHS4RHlrU5cuefDM,4.0,ChIJOw2s_3NJHS4RHlrU5cuefDM,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJOw2s_3NJHS4RHlrU5cuefDM
OPERATIONAL,"Jl. Raya Rasau Jaya No.47, Rasau Jaya Satu, Kec. Rasau Jaya, Kabupaten Kubu Raya, Kalimantan Barat 78391, Indonesia","{'location': {'lat': -0.2539692, 'lng': 109.4158395}, 'viewport': {'northeast': {'lat': -0.2527393201072777, 'lng': 109.4173898798927}, 'southwest': {'lat': -0.2554389798927222, 'lng': 109.4146902201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun sawit bapak Sumar Nato,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105365650177332366451"">A Google User</a>'], 'photo_reference': 'AUGGfZlRkujo3kC-_OyGd8iUx0YFlUSX8enhdCns-4yP9ZaK4LGygJZ3yRXn5QVGj3T2EU0EgKiM7PAQCCwdFXCgxyw2-DG4_RoG-YvEFo4y_KhY7XoWzRQX8oWoW9ytv9TdXZ_q1zGZAS9wov_-WVli61ktfaQ2Jt_NNyj8i-kgd3t9pAbh', 'width': 4096}]",ChIJxSSUu-RHHS4R8YuSoMuBOFc,4.7,ChIJxSSUu-RHHS4R8YuSoMuBOFc,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"{'compound_code': 'PCW8+C8 Rasau Jaya Satu, Kubu Raya Regency, West Kalimantan, Indonesia', 'global_code': '6PFFPCW8+C8'}",,,https://www.google.com/maps/place/?q=place_id:ChIJxSSUu-RHHS4R8YuSoMuBOFc
OPERATIONAL,"Q8CX+9W, Rasau Jaya Umum, Rasau Jaya, Kubu Raya Regency, West Kalimantan 78382, Indonesia","{'location': {'lat': -0.2290637, 'lng': 109.3498538}, 'viewport': {'northeast': {'lat': -0.2277184201072777, 'lng': 109.3512123298927}, 'southwest': {'lat': -0.2304180798927222, 'lng': 109.3485126701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PERKEBUNAN SAWIT BPK HERMAN,,ChIJnwsHKYdHHS4Rm_bCLUsBVu4,5.0,ChIJnwsHKYdHHS4Rm_bCLUsBVu4,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJnwsHKYdHHS4Rm_bCLUsBVu4
CLOSED_TEMPORARILY,"P9M7+J6P, Jalan sawo galing, Rasau Jaya Satu, Kec. Rasau Jaya, Kabupaten Kubu Raya, Kalimantan Barat 78391, Indonesia","{'location': {'lat': -0.2659015, 'lng': 109.3630627}, 'viewport': {'northeast': {'lat': -0.2645280201072778, 'lng': 109.3644265798927}, 'southwest': {'lat': -0.2672276798927222, 'lng': 109.3617269201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jl Sawo Galing,,ChIJrdrE46FHHS4RsCgLB2tRnA4,0.0,ChIJrdrE46FHHS4RsCgLB2tRnA4,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,True,,https://www.google.com/maps/place/?q=place_id:ChIJrdrE46FHHS4RsCgLB2tRnA4
