business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,plus_code,url
OPERATIONAL,"VCC3+P8Q, Jl. Angkasa Pura 2, Arang Limbung, Kec. Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat, Indonesia","{'location': {'lat': -0.1275168, 'lng': 109.4025783}, 'viewport': {'northeast': {'lat': -0.1265012701072778, 'lng': 109.4039494798927}, 'southwest': {'lat': -0.1292009298927222, 'lng': 109.4012498201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,kubu raye menanjak,{'open_now': True},ChIJ9al2UQBRHS4RzDFt0U_up9w,0.0,ChIJ9al2UQBRHS4RzDFt0U_up9w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9al2UQBRHS4RzDFt0U_up9w
OPERATIONAL,"259R+WH, Kupah River, Sungai Kakap, Kubu Raya Regency, West Kalimantan, Indonesia","{'location': {'lat': 0.0198266, 'lng': 109.1913989}, 'viewport': {'northeast': {'lat': 0.02117772989272221, 'lng': 109.1927496298927}, 'southwest': {'lat': 0.01847807010727778, 'lng': 109.1900499701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanah sui kupah,,ChIJSR8yo36h4jER2mGdhgKJxWI,3.0,ChIJSR8yo36h4jER2mGdhgKJxWI,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117216255518006863559"">A Google User</a>'], 'photo_reference': 'AUGGfZkr-dYAn58LbPKFq7Yx2iRgQPc3ekLo0JTcvexercG-MGXHBh6fjoXWNCHXmz2Gh2LlvdjuteX0ZdObt8tZfPsvWGiKD7NcxOru9NHh_PZvu4hyQYpthvVFcARZxnuaaxrXoZYxLThOpEuxAx7d_AOwMUyu3uYAvNX8d-p-wZfuKHrV', 'width': 2448}]",,,https://www.google.com/maps/place/?q=place_id:ChIJSR8yo36h4jER2mGdhgKJxWI
OPERATIONAL,"J7Q6+432, Unnamed Road, Sei Deras, Telok Pa'kedai, Kabupaten Kubu Raya, Kalimantan Barat 78383, Indonesia","{'location': {'lat': -0.3622413, 'lng': 109.2601451}, 'viewport': {'northeast': {'lat': -0.3608914701072777, 'lng': 109.2614949298927}, 'southwest': {'lat': -0.3635911298927222, 'lng': 109.2587952701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Mini,{'open_now': False},ChIJ0y4rppQ9HS4RrMH1ns7seOw,4.3,ChIJ0y4rppQ9HS4RrMH1ns7seOw,"['tourist_attraction', 'point_of_interest', 'establishment']",16,"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114268157123166894318"">Andira Filbert</a>'], 'photo_reference': 'AUGGfZkKtWcM9sFsXRiYAh5qdyVRZNdZ3AVa1WGGUIAP-BAKe-ZXD69TMJO36i6Y0dzrcLSUZ_HQRkdOdpGcAWLhpkY_TZd_j3Vt0CV2JWIwYHzy3AJffvepcdnyAjY0yO9ye68iu_fg4m_Bis0hTlEwN8hNSIRHrLQb204hYwohjuRjQe4X', 'width': 8000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ0y4rppQ9HS4RrMH1ns7seOw
OPERATIONAL,"W9F9+7HM, Jl. Major Alianyang, Sungai Raya, Kec. Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat 78391, Indonesia","{'location': {'lat': -0.07677339999999999, 'lng': 109.3689373}, 'viewport': {'northeast': {'lat': -0.07553962010727779, 'lng': 109.3706293798927}, 'southwest': {'lat': -0.07823927989272222, 'lng': 109.3679297201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Car Park Gaia Bumi Raya City,,ChIJk-UxOABbHS4RIXpmnfe0LJk,0.0,ChIJk-UxOABbHS4RIXpmnfe0LJk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJk-UxOABbHS4RIXpmnfe0LJk
OPERATIONAL,"47JJ+5Q, Tanjung Harapan, Batu Ampar, Kubu Raya Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.8695625, 'lng': 109.2819375}, 'viewport': {'northeast': {'lat': -0.8682066701072777, 'lng': 109.2833003798927}, 'southwest': {'lat': -0.8709063298927222, 'lng': 109.2806007201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Tanjung Harapan,,ChIJ93T8ODa_HC4RBUfn-RNFQfI,3.8,ChIJ93T8ODa_HC4RBUfn-RNFQfI,"['tourist_attraction', 'point_of_interest', 'establishment']",5,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110833276377233694410"">sigitarius sigit</a>'], 'photo_reference': 'AUGGfZn-59ZNIn4ioow1AvIxL6_CzzyLu7gCgdYrWe66YQ8Xf4Mf0PYZCAoQkfaIjUMhZ0HeJ5aDFCelABmhLOqQOqrjD8YI6BZQgXETMr9ngpN84Zekc3wAsaUV6EL8SiZ5cilYBIqjp-YtiZApIhi8tCIdiUoRWo2T7AS6G5Cwr56MsKnk', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ93T8ODa_HC4RBUfn-RNFQfI
OPERATIONAL,"JMW5+V8, Permata, Terentang, Kubu Raya Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.3528125, 'lng': 109.6583125}, 'viewport': {'northeast': {'lat': -0.3511646201072777, 'lng': 109.6594795298927}, 'southwest': {'lat': -0.3538642798927222, 'lng': 109.6567798701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kaliampo',,ChIJ4dFUdibLAi4RxaiOavMBw1A,4.5,ChIJ4dFUdibLAi4RxaiOavMBw1A,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 2352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110204053341155335453"">A Google User</a>'], 'photo_reference': 'AUGGfZnOYOW6OblymBd_PxabjHoRPlvY7E_k7gkM_MkcZs9tuiPpqH9vm5XMs7ncfbI6dCqtV4RrMsLuy764Z9yVapWKNA-CxnUBRYpgzrCiiBoWbVF0vAaF8jckVHoTsssCR3oHCJB_e7coR_LC445fmur2KFabnJTz6CDzkWsLSkDqMkqd', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ4dFUdibLAi4RxaiOavMBw1A
OPERATIONAL,"M74P+H7, Sei Deras, Telok Pa'kedai, Kubu Raya Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.3435625, 'lng': 109.2856875}, 'viewport': {'northeast': {'lat': -0.34068505, 'lng': 109.2875760298927}, 'southwest': {'lat': -0.34452165, 'lng': 109.2848763701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Cabang Kiri,,ChIJ95DxTFE5HS4RISiexkBV11Q,5.0,ChIJ95DxTFE5HS4RISiexkBV11Q,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103193956960260471121"">A Google User</a>'], 'photo_reference': 'AUGGfZmrRpJnL6YMUyURlfDRovBWDNRg1qiw24GzyjOZ1qnEBn0O3G5Uzy71VgR7mvivnstQdonv5BJ_PvMi1mNxo0AOO9p1vryXplNbDjdZAcpsbliZab4ErpQyyaWvvwWzJZFqZeEy4UJPPVNwZwQpX0meCZ_JTJfCptGOuqdi6cfNsEJS', 'width': 2322}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ95DxTFE5HS4RISiexkBV11Q
OPERATIONAL,"W6CG+QPC, Jl. Karya Tani, Belidak River, Sungai Kakap, Kubu Raya Regency, West Kalimantan 78381, Indonesia","{'location': {'lat': -0.07803829999999999, 'lng': 109.2267558}, 'viewport': {'northeast': {'lat': -0.07636757010727778, 'lng': 109.2280508798927}, 'southwest': {'lat': -0.07906722989272222, 'lng': 109.2253512201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Religi Darul Fikri,{'open_now': False},ChIJj1imBKtdHS4RSn-S91Lul0Q,4.4,ChIJj1imBKtdHS4RSn-S91Lul0Q,"['tourist_attraction', 'point_of_interest', 'establishment']",61,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109783785864116563883"">Dewi Damayanti</a>'], 'photo_reference': 'AUGGfZkT5nQlQup5mXn7nWy79M8zAACwq2eioV1T7OcqLgKbSEjDaI28yZMOIpuLWT-AbCRs6eUzk81d3aOUJjzlokLctt5vH5dgg6w4RNjR2TVATJFvYri37o-ZOhTX61Nhxj_BuHqF98TS0GE5LZZRMtyK-ZyQYhuTIop__Jzev-ns2Hz-', 'width': 4608}]",,,https://www.google.com/maps/place/?q=place_id:ChIJj1imBKtdHS4RSn-S91Lul0Q
OPERATIONAL,"W94Q+P37, Jalur 1, Sungai Raya, Kec. Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat 78233, Indonesia","{'location': {'lat': -0.093222, 'lng': 109.3876769}, 'viewport': {'northeast': {'lat': -0.09193537010727777, 'lng': 109.3890810798927}, 'southwest': {'lat': -0.09463502989272221, 'lng': 109.3863814201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Adat Tionghoa Kubu Raya,{'open_now': False},ChIJifJc1GZRHS4RCbAp21m3g9o,4.7,ChIJifJc1GZRHS4RCbAp21m3g9o,"['tourist_attraction', 'point_of_interest', 'establishment']",33,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110964450544642203564"">lim bun huat</a>'], 'photo_reference': 'AUGGfZlQ_EB_2QFkbLXhBvOHlwPvJt2XrbMzroz_zlpt6OXs8imdDPpgDbCEYD2_vbPS3hi56mFrnFM9xVaz7VevhH-0R4VMefGqndyCDtTJGAXhItSc0tJz1j2GruzbLL9qoMLbQgF33DjY0kGrK-bpFWbcze-yKwg-4kCqOMiALLjokN59', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJifJc1GZRHS4RCbAp21m3g9o
CLOSED_TEMPORARILY,"MM8R+PR, Permata, Terentang, Kubu Raya Regency, West Kalimantan, Indonesia","{'location': {'lat': -0.33315, 'lng': 109.69208}, 'viewport': {'northeast': {'lat': -0.3318001701072777, 'lng': 109.6934298298927}, 'southwest': {'lat': -0.3344998298927223, 'lng': 109.6907301701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,TANJUNG KARAM,,ChIJxWw-wjvJAi4RoJi821HS_dk,5.0,ChIJxWw-wjvJAi4RoJi821HS_dk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,True,,https://www.google.com/maps/place/?q=place_id:ChIJxWw-wjvJAi4RoJi821HS_dk
