business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,plus_code,url
CLOSED_TEMPORARILY,"3JCQ+3R, Cahaya Negeri, Semendawai Suku III, East Ogan Komering Ulu Regency, South Sumatra, Indonesia","{'location': {'lat': -3.9298395, 'lng': 104.639591}, 'viewport': {'northeast': {'lat': -3.928489670107279, 'lng': 104.6409408298927}, 'southwest': {'lat': -3.931189329892723, 'lng': 104.6382411701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot tanjung kukuh,True,ChIJgS5fKBlrOS4RcKgHx_1lons,0.0,ChIJgS5fKBlrOS4RcKgHx_1lons,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJgS5fKBlrOS4RcKgHx_1lons
OPERATIONAL,"M8FW+7J, Tanjung Kemala, Martapura, East Ogan Komering Ulu Regency, South Sumatra, Indonesia","{'location': {'lat': -4.3268401, 'lng': 104.3465302}, 'viewport': {'northeast': {'lat': -4.324293099999999, 'lng': 104.3483939798927}, 'southwest': {'lat': -4.327689100000001, 'lng': 104.3456943201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Bulung Hanyuk,,ChIJyYv-JHj_OC4R1ue138bbr1Y,5.0,ChIJyYv-JHj_OC4R1ue138bbr1Y,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJyYv-JHj_OC4R1ue138bbr1Y
OPERATIONAL,"Kambang, Jaya Pura, East Ogan Komering Ulu Regency, South Sumatra 32387, Indonesia","{'location': {'lat': -4.432032, 'lng': 104.3345789}, 'viewport': {'northeast': {'lat': -4.430445570107278, 'lng': 104.3358286298927}, 'southwest': {'lat': -4.433145229892721, 'lng': 104.3331289701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Mencar Jaya,,ChIJkZrxlnf3OC4RewHj5I7hj60,4.2,ChIJkZrxlnf3OC4RewHj5I7hj60,"['tourist_attraction', 'point_of_interest', 'establishment']",141,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104517627224388097753"">Laura Sylvia R</a>'], 'photo_reference': 'AUGGfZmu61XVIoVmlzt-05zSn6lg3aSwQKCMlxQF4S4cZ7RUaY_YzUhMVjMmW8_PI76rslz3HbLM8ffEzYqr-OaUvvCbQwxED_TgaLYJz881Oa5CieMy3WEAyNXSp-07vFIm1U7p4PMK5EzXwn_BHY03DBUG87kBUis_wr7lQQLlkLDnQkb6', 'width': 1500}]","{'compound_code': 'H89M+5R Kambang, East Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76H89M+5R'}",https://www.google.com/maps/place/?q=place_id:ChIJkZrxlnf3OC4RewHj5I7hj60
CLOSED_TEMPORARILY,"2GF2+X69, Gn. Terang, Kec. Madang Suku I, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan 32362, Indonesia","{'location': {'lat': -3.9757249, 'lng': 104.500673}, 'viewport': {'northeast': {'lat': -3.974357620107278, 'lng': 104.5020100798927}, 'southwest': {'lat': -3.977057279892722, 'lng': 104.4993104201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Pak Wo,True,ChIJ61ZR5Y4TOS4RuBLdxcLP6Ek,0.0,ChIJ61ZR5Y4TOS4RuBLdxcLP6Ek,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ61ZR5Y4TOS4RuBLdxcLP6Ek
OPERATIONAL,"4J4C+3P, Betung, Semendawai Barat, East Ogan Komering Ulu Regency, South Sumatra 32184, Indonesia","{'location': {'lat': -3.8952548, 'lng': 104.6218562}, 'viewport': {'northeast': {'lat': -3.893907770107278, 'lng': 104.6232042798927}, 'southwest': {'lat': -3.896607429892722, 'lng': 104.6205046201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SIMPANG TIGA BETUNG,,ChIJpdrXUlhrOS4RQFb9TXJ9TcU,3.4,ChIJpdrXUlhrOS4RQFb9TXJ9TcU,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102281896109989734846"">A Google User</a>'], 'photo_reference': 'AUGGfZnZDiliFFDlnEI0hT4s_4MAjqJR_qoDeYK3I-Tm0bFjTOLT275EAjdROqI76sDUK4jJrhKJZKanygsSe8DCXy1Abbyu59HBi05PwJ5yxJ19pC_Tb0oCx5yIzx-3Oc7EMpl600SH1JmeiPZaxxt_9q5BIEuiicleUo6JLJb4iE7zyPhH', 'width': 3264}]",,https://www.google.com/maps/place/?q=place_id:ChIJpdrXUlhrOS4RQFb9TXJ9TcU
OPERATIONAL,"3H23+7GQ, Rasuan, Madang Suku I, East Ogan Komering Ulu Regency, South Sumatra 32362, Indonesia","{'location': {'lat': -3.9492759, 'lng': 104.5538744}, 'viewport': {'northeast': {'lat': -3.947926070107279, 'lng': 104.5552242298927}, 'southwest': {'lat': -3.950625729892723, 'lng': 104.5525245701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata sungai jadi pantai,,ChIJHdBxPD8TOS4R9KFbnLeiqeo,5.0,ChIJHdBxPD8TOS4R9KFbnLeiqeo,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112378720526982221076"">Azhar Excellent</a>'], 'photo_reference': 'AUGGfZlWOZX38v0-IJ6lgvViw8ShpL2V5WJsdDadX3TmNiJNfmMWfTPD94dOozOmvdad2S6qwF8ZHYjzWdXKyD65Z8oxAKqek5TJwyJ1bNIzxc7siqu_EGeI9rKdR13i4LBaM-WUbL8avh6ypsRQm3_oTpsLTNOGxdMfQ3ZZpqEwWPhK2GND', 'width': 4624}]",,https://www.google.com/maps/place/?q=place_id:ChIJHdBxPD8TOS4R9KFbnLeiqeo
OPERATIONAL,"4J7X+RJ, Betung, Semendawai Barat, East Ogan Komering Ulu Regency, South Sumatra, Indonesia","{'location': {'lat': -3.8853822, 'lng': 104.6490116}, 'viewport': {'northeast': {'lat': -3.884049420107278, 'lng': 104.6506690798927}, 'southwest': {'lat': -3.886749079892722, 'lng': 104.6479694201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batin dioman,,ChIJy5hSUgBrOS4RwSdsiOmyOwA,0.0,ChIJy5hSUgBrOS4RwSdsiOmyOwA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJy5hSUgBrOS4RwSdsiOmyOwA
OPERATIONAL,"RT 02, Margodadi, Indonesia","{'location': {'lat': -4.0040511, 'lng': 104.6733584}, 'viewport': {'northeast': {'lat': -4.002976970107277, 'lng': 104.6746984798927}, 'southwest': {'lat': -4.005676629892721, 'lng': 104.6719988201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Mbak Karein,,ChIJTTpgAAA_OS4R0hHAczv_Dxk,0.0,ChIJTTpgAAA_OS4R0hHAczv_Dxk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,"{'compound_code': 'XMWF+98 Margodadi, East Ogan Komering Ulu Regency, South Sumatra, Indonesia', 'global_code': '6P76XMWF+98'}",https://www.google.com/maps/place/?q=place_id:ChIJTTpgAAA_OS4R0hHAczv_Dxk
CLOSED_TEMPORARILY,"3JP8+V9, Sp Karta Mulya, Madang Suku I, East Ogan Komering Ulu Regency, South Sumatra, Indonesia","{'location': {'lat': -3.9127745, 'lng': 104.6158903}, 'viewport': {'northeast': {'lat': -3.911424670107278, 'lng': 104.6172401298927}, 'southwest': {'lat': -3.914124329892722, 'lng': 104.6145404701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot Karang Panjang,True,ChIJe9fMbTxrOS4REf6a67qHU30,0.0,ChIJe9fMbTxrOS4REf6a67qHU30,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJe9fMbTxrOS4REf6a67qHU30
OPERATIONAL,"WRH7+XCM, Margo Mulyo, Belitang II, East Ogan Komering Ulu Regency, South Sumatra, Indonesia","{'location': {'lat': -4.0700272, 'lng': 104.8135443}, 'viewport': {'northeast': {'lat': -4.068677370107278, 'lng': 104.8148941298927}, 'southwest': {'lat': -4.071377029892722, 'lng': 104.8121944701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Semangka ADI.PURA FAMOUS,,ChIJEevqRSc7OS4R_nBKSR4Hgos,5.0,ChIJEevqRSc7OS4R_nBKSR4Hgos,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117986314472280322915"">A Google User</a>'], 'photo_reference': 'AUGGfZmFDa4V4o945ZCG14OjCtCm7hJlvZAK7rCklOnQ_EGwUaeajvDmtr8vlKHag-StUn4tpBuUVJl7RVZyWirrKDmElaeAG7gjo-S0gdeX-Y9XTix7cZfdiSijA7-joN3bAh_0CxC6Orpl5pgOtsRNyuXmKgwSOBBg-VJMqyTylYYPBP0Z', 'width': 3264}]",,https://www.google.com/maps/place/?q=place_id:ChIJEevqRSc7OS4R_nBKSR4Hgos
