business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,opening_hours,price_level,permanently_closed,url
OPERATIONAL,"9V82+84F, Cibanon, Sukaraja, Bogor Regency, West Java, Indonesia","{'location': {'lat': -6.634182699999999, 'lng': 106.8502879}, 'viewport': {'northeast': {'lat': -6.632836720107277, 'lng': 106.8514417798927}, 'southwest': {'lat': -6.635536379892721, 'lng': 106.8487421201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cibanon sukaraja,ChIJOVBhVQDJaS4RudWgUFyILSI,3.0,ChIJOVBhVQDJaS4RudWgUFyILSI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJOVBhVQDJaS4RudWgUFyILSI
OPERATIONAL,"9V74+33, Cibanon, Sukaraja, Bogor Regency, West Java 16710, Indonesia","{'location': {'lat': -6.6373022, 'lng': 106.8551484}, 'viewport': {'northeast': {'lat': -6.635933020107278, 'lng': 106.8564201298927}, 'southwest': {'lat': -6.638632679892722, 'lng': 106.8537204701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sopo Najogy,ChIJ6fs_KbjJaS4RdWmxvXrO0WE,5.0,ChIJ6fs_KbjJaS4RdWmxvXrO0WE,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100421726249736387255"">aminurrasyid simanjuntak</a>'], 'photo_reference': 'AUGGfZkQgZNXyEOB1KN0tPzGhPt42vFfzTHHgvy5Xi05fcHLBV9Cj_O6LlDm43V2SDgnhqqqJs4seM9OzNAZUiPCUHiPZT7Z3AjvIZY_MgvR170hGyq0-HMnkheODR1MKSlJM4iAKz5w3-u0DmrGF-Vlk9wj521OpwmMZV9kzxyDrbBpm3i0', 'width': 1080}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6fs_KbjJaS4RdWmxvXrO0WE
OPERATIONAL,"9V53+V5, Cibanon, Sukaraja, Bogor Regency, West Java 16710, Indonesia","{'location': {'lat': -6.6399706, 'lng': 106.8524614}, 'viewport': {'northeast': {'lat': -6.638643420107278, 'lng': 106.8537908298927}, 'southwest': {'lat': -6.641343079892722, 'lng': 106.8510911701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ait,ChIJl8K_hM_JaS4RXmh8SI0HIqk,0.0,ChIJl8K_hM_JaS4RXmh8SI0HIqk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJl8K_hM_JaS4RXmh8SI0HIqk
OPERATIONAL,"CR2R+PPJ, Cikeas, Sukaraja, Bogor Regency, West Java 16710, Indonesia","{'location': {'lat': -6.5980946, 'lng': 106.8417886}, 'viewport': {'northeast': {'lat': -6.596823020107278, 'lng': 106.8430289798927}, 'southwest': {'lat': -6.599522679892722, 'lng': 106.8403293201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebon Aki,ChIJG2cQdgDHaS4R_htTL-pnJqM,0.0,ChIJG2cQdgDHaS4R_htTL-pnJqM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115653457312902201905"">mochammad andri</a>'], 'photo_reference': 'AUGGfZmkFtc5cTQa4gnVYlnX-Q5sMbR3jT8CWI5m9fb0-OzT0Ykqct-N7qL5-dSgziMVC2WGxxz0nc4Hf1D-bD0tuSjgBq9KTXUWKkhVhiaN6zkWaXGPIk--UhzOMfZKXZ6-zd8v1BJ7ty_ocZOlFRsEBzJtxDIXSDbSXhNvfTms0LkZFDJa', 'width': 3000}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJG2cQdgDHaS4R_htTL-pnJqM
OPERATIONAL,"Jl. Pesona Cilebut 1 No.2 No.e2, Cilebut Bar., Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16710, Indonesia","{'location': {'lat': -6.5284834, 'lng': 106.7968505}, 'viewport': {'northeast': {'lat': -6.527138170107277, 'lng': 106.7982013298927}, 'southwest': {'lat': -6.529837829892721, 'lng': 106.7955016701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,jangglen bogor,ChIJDwJTAx7DaS4R0gMuTUIEVHE,5.0,ChIJDwJTAx7DaS4R0gMuTUIEVHE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"{'compound_code': 'FQCW+JQ Cilebut Barat, Bogor Regency, West Java, Indonesia', 'global_code': '6P58FQCW+JQ'}",,,,https://www.google.com/maps/place/?q=place_id:ChIJDwJTAx7DaS4R0gMuTUIEVHE
OPERATIONAL,"Jl. Raya Jakarta-Bogor No.3, Cimandala, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16710, Indonesia","{'location': {'lat': -6.533768999999999, 'lng': 106.8278676}, 'viewport': {'northeast': {'lat': -6.532405970107278, 'lng': 106.8292225298927}, 'southwest': {'lat': -6.535105629892722, 'lng': 106.8265228701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PULAU INTAN,ChIJsb4UOQDBaS4RS5hndiWeUuY,2.7,ChIJsb4UOQDBaS4RS5hndiWeUuY,"['tourist_attraction', 'point_of_interest', 'establishment']",6,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112655631189854135823"">A Google User</a>'], 'photo_reference': 'AUGGfZkOUf0CW6MtctOvP5YazEyPFDle0rIuJUzLlRbPNvztSIU-gQiWSakWNidG8H3lBGUHtpHV2H7M6eS17YjhCXYxLep1uL0OVHRpzMtmhTQEGjNnJEYa-jTWCzZPKrA6SpsS6wmCY_CT2uAr_pZnkf2Xt0TzukC3Rp6kWg00gAdbPSoW', 'width': 4000}]","{'compound_code': 'FR8H+F4 Cimandala, Bogor Regency, West Java, Indonesia', 'global_code': '6P58FR8H+F4'}",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJsb4UOQDBaS4RS5hndiWeUuY
OPERATIONAL,"FQPX+37V, Cilebut Timur, Sukaraja, Bogor Regency, West Java 16710, Indonesia","{'location': {'lat': -6.5139743, 'lng': 106.7980913}, 'viewport': {'northeast': {'lat': -6.512473920107277, 'lng': 106.7997910798927}, 'southwest': {'lat': -6.515173579892721, 'lng': 106.7970914201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Gede Ciliwung,ChIJ16z0LFzDaS4R9NlFV904Eh8,5.0,ChIJ16z0LFzDaS4R9NlFV904Eh8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110741177623197188881"">Evan Nugraha Permana</a>'], 'photo_reference': 'AUGGfZkSo6oHDtgJGq3tDAi3K_sg45D9qF8WFJlxld3Y8zIOyeZ4R9OFP8vETRK-rLXNPPIEXFHsJ0Zo3_poaL9y5U22rGBOJcqjrUo_-bj84x6O-3ffDdAP02g6MTU_xtKNoWoFh2z4-vsfESieuxnDZe0ZF98yIhiigwZxaXYO7sIgryLw', 'width': 2322}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJ16z0LFzDaS4R9NlFV904Eh8
OPERATIONAL,"Jl. Bukit Pelangi No.2, Gn. Geulis, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16710, Indonesia","{'location': {'lat': -6.6309662, 'lng': 106.8822746}, 'viewport': {'northeast': {'lat': -6.629652720107279, 'lng': 106.8835300298927}, 'southwest': {'lat': -6.632352379892723, 'lng': 106.8808303701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dusun giok,ChIJs150Eh_JaS4RFphirALDKSY,4.5,ChIJs150Eh_JaS4RFphirALDKSY,"['tourist_attraction', 'point_of_interest', 'establishment']",572,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111589594960748784190"">A Google User</a>'], 'photo_reference': 'AUGGfZnjuB-p2aca9E3c4qHWMiZtptJETfGVdWA-EE2RrWdRVTojdLQwh1ezY1VRjS6AbT7c8iEzPxbhbLirTD5YnBaMQSZQtLpK1jP4m7tyGsfaWtuwNAIAtBmONG-A13MKUjGbwEgEt0H-NuneTrszNl_usMYTnfBk8L4nwqjdycPtvdcr', 'width': 4624}]","{'compound_code': '9V9J+JW Gunung Geulis, Bogor Regency, West Java, Indonesia', 'global_code': '6P589V9J+JW'}",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJs150Eh_JaS4RFphirALDKSY
OPERATIONAL,"9W85+PC6, Ahmad Yani gg sapin, Gn. Geulis, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16710, Indonesia","{'location': {'lat': -6.633205299999999, 'lng': 106.9085041}, 'viewport': {'northeast': {'lat': -6.632175170107278, 'lng': 106.9102483298927}, 'southwest': {'lat': -6.634874829892722, 'lng': 106.9075486701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hayu kemon camp,ChIJpa-IiAzJaS4RvYqKRBzwBp8,5.0,ChIJpa-IiAzJaS4RvYqKRBzwBp8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114525030546605650409"">fahrizal rangkuti</a>'], 'photo_reference': 'AUGGfZk2yv27Mj8auL92vPgn_dzhhNP7vX9-Nl3kFpLOiJY9zL2kpl6emd5Tjf9J4i35JYQg1ulR9rjr1p6sQr-_dHLXqszNEZwrL7Fstt7_kjv-o3eAB0kPIxLzSRhnqvoUi865Dfxi2EtzAl14lndkzBL7rQANkULVA7Z3qSRYCOgrpdTn', 'width': 2592}]",,,,,https://www.google.com/maps/place/?q=place_id:ChIJpa-IiAzJaS4RvYqKRBzwBp8
OPERATIONAL,"CV42+X49, Cikeas, Sukaraja, Bogor Regency, West Java 16710, Indonesia","{'location': {'lat': -6.592594300000001, 'lng': 106.8503476}, 'viewport': {'northeast': {'lat': -6.591391920107279, 'lng': 106.8512889298927}, 'southwest': {'lat': -6.594091579892723, 'lng': 106.8485892701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GUMATI PROJECT,ChIJ_12MoejHaS4R3P8zm3-QzjA,0.0,ChIJ_12MoejHaS4R3P8zm3-QzjA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_12MoejHaS4R3P8zm3-QzjA
