business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,price_level,plus_code,permanently_closed,url
OPERATIONAL,"35W2+WJP, Bahari Makmur, Lamala, Banggai Regency, Central Sulawesi 94771, Indonesia","{'location': {'lat': -0.9026651, 'lng': 123.151576}, 'viewport': {'northeast': {'lat': -0.90122375, 'lng': 123.1526523}, 'southwest': {'lat': -0.9069891500000004, 'lng': 123.1483471}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Mangrove Desa Lomba,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105775156574127678477"">Mihwan Sataral</a>'], 'photo_reference': 'AUGGfZlPVp-5Z0AmFCWvIQJfhDE5Txml3wt-eo6q2NL7qLj9xfexJpi_igjhYYhep3TSYOus9PwwMmji3SFQh5DX-RGikafLu8bneCXfsi8WFLQoN51nt69weRMZCwyoIV_5FqnTDQVKMifGUAJFpi69jSO-N7zWuWHTx3ofkLMFgyL3fDNC', 'width': 3472}]",ChIJP5Zg20RTgS0RSCNb-J8P5sM,4.5,ChIJP5Zg20RTgS0RSCNb-J8P5sM,"['tourist_attraction', 'point_of_interest', 'establishment']",11,,,,,https://www.google.com/maps/place/?q=place_id:ChIJP5Zg20RTgS0RSCNb-J8P5sM
OPERATIONAL,"46H9+R3, Tinonda, Lamala, Banggai Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.8705086, 'lng': 123.217742}, 'viewport': {'northeast': {'lat': -0.8692243201072777, 'lng': 123.2190821798927}, 'southwest': {'lat': -0.8719239798927221, 'lng': 123.2163825201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kuala Rungun,,ChIJMbFDUwBPgS0RUP4DsbjawmA,0.0,ChIJMbFDUwBPgS0RUP4DsbjawmA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJMbFDUwBPgS0RUP4DsbjawmA
OPERATIONAL,"452M+767, Unnamed Road, Lomba, Kec. Lamala, Kabupaten Banggai, Sulawesi Tengah 94771, Indonesia","{'location': {'lat': -0.8993331999999999, 'lng': 123.1830531}, 'viewport': {'northeast': {'lat': -0.897907520107278, 'lng': 123.1844169298927}, 'southwest': {'lat': -0.9006071798927222, 'lng': 123.1817172701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PERMANDIAN BAGU INDAH kec. Lamala Luwuk banggai,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102714983996952700354"">A Google User</a>'], 'photo_reference': 'AUGGfZnr4k1Py3HgBFx6iGC2oQbW1FstTk5Tmce1IfKKAUH7i_k0aUxJJe51xq8jexE2jrJp4KG8SS5Gz0msJl10upRQ5p4oeBEnZEKxJuAd3kINiTZ6OvP2FIKOgInP9a3gugL7Z3x40US-kMods6vzWr6izVqXFmGupjLXkzyl5tk48Fg7', 'width': 4000}]",ChIJd3mdcHZRgS0RZu6Lw4LoD-w,4.0,ChIJd3mdcHZRgS0RZu6Lw4LoD-w,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,,,https://www.google.com/maps/place/?q=place_id:ChIJd3mdcHZRgS0RZu6Lw4LoD-w
OPERATIONAL,"34MR+29Q, Poroan, Lamala, Banggai Regency, Central Sulawesi 94771, Indonesia","{'location': {'lat': -0.9174141000000001, 'lng': 123.140985}, 'viewport': {'northeast': {'lat': -0.9156351701072779, 'lng': 123.1428614798927}, 'southwest': {'lat': -0.9183348298927222, 'lng': 123.1401618201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pantai Kantala,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105647416619615695959"">A Google User</a>'], 'photo_reference': 'AUGGfZntZpAD9bkRzEabaoWPlKKIhnKm8WcEYcmPi6ndstaiBcOj1iqNxIaOUwAqg1wB5YS4GBOpIgAwhMeTAsoUwIIYSIDanuVka74NHCwwfYacbfvlq5RCkZlM10HJgjNAoek2lSIQFjCy4xlJ5OoamGB7E_9r_UT6mSz3q1niW_3sTtTu', 'width': 2448}]",ChIJPUXUkxRTgS0RBvPgsRg9cw8,5.0,ChIJPUXUkxRTgS0RBvPgsRg9cw8,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,,,https://www.google.com/maps/place/?q=place_id:ChIJPUXUkxRTgS0RBvPgsRg9cw8
OPERATIONAL,"444J+C6, Lomba, Kabupaten Banggai, Sulawesi Tengah, Indonesia","{'location': {'lat': -0.893827, 'lng': 123.1306427}, 'viewport': {'northeast': {'lat': -0.8924771701072779, 'lng': 123.1319925298927}, 'southwest': {'lat': -0.8951768298927223, 'lng': 123.1292928701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot mancing teada ikan... sandiong punya,,ChIJsdQBdgBTgS0RGoyIk2NWrzo,0.0,ChIJsdQBdgBTgS0RGoyIk2NWrzo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJsdQBdgBTgS0RGoyIk2NWrzo
OPERATIONAL,"29VQ+2HP, Tombos, Balantak Selatan, Banggai Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.9490817999999999, 'lng': 123.3948689}, 'viewport': {'northeast': {'lat': -0.9477319701072777, 'lng': 123.3962187298927}, 'southwest': {'lat': -0.950431629892722, 'lng': 123.3935190701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Donggulalu Beach,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109143264872938050102"">A Google User</a>'], 'photo_reference': 'AUGGfZnz9iH4eURdfWOn9UO47ZKN3kDrVuQyQv7yMTo9LcPPkLibTRdSwOrD_k3gKp6OpqVzGGWKwcdIH9Gz_FVISfhdQ9SewJHGe93KPPzNXggtRjMY0V_AbwOa935Ve3LWoEcsgahv7O5emRLAFifX1gyubP3xTNxgh-816XclTMD6ztvp', 'width': 4160}]",ChIJ_9MBEStfgS0R-9RbpoULLYs,3.3,ChIJ_9MBEStfgS0R-9RbpoULLYs,"['tourist_attraction', 'point_of_interest', 'establishment']",4,{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJ_9MBEStfgS0R-9RbpoULLYs
OPERATIONAL,"X7P2+75, Sobol Baru, Banggai Regency, Central Sulawesi, Indonesia","{'location': {'lat': -1.0153336, 'lng': 123.2502153}, 'viewport': {'northeast': {'lat': -1.014619220107278, 'lng': 123.25606605}, 'southwest': {'lat': -1.017318879892722, 'lng': 123.24826505}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lombong,,ChIJYXflUAD9gy0Rdg2PHIHsyDU,0.0,ChIJYXflUAD9gy0Rdg2PHIHsyDU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJYXflUAD9gy0Rdg2PHIHsyDU
OPERATIONAL,"X6VV+VMW, Jl. Poros, Sobol, Matoh, Kabupaten Banggai, Sulawesi Tengah 94771, Indonesia","{'location': {'lat': -1.0052065, 'lng': 123.2440013}, 'viewport': {'northeast': {'lat': -1.003833570107278, 'lng': 123.2453665298927}, 'southwest': {'lat': -1.006533229892722, 'lng': 123.2426668701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Sobol,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118215955194809429372"">A Google User</a>'], 'photo_reference': 'AUGGfZmFugxo8aVGhMEy2-QSNogF-SOlh5gZrBHzFg3O5MX04HQDEYvbLPIs0RDoph-UF3jeh1VB8ZawZ1NJSrllz8iDu1m9X9xSZBXqL-3hvQBekxUjs-3RIlp6kAFLbowwnN-Gp4N-5lHPerHd60uJ-xZJHJ3MNi-jYhu3nSwcltmiDdgs', 'width': 3472}]",ChIJnyS1Zd5XgS0RgOWvalJsHmo,3.0,ChIJnyS1Zd5XgS0RgOWvalJsHmo,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJnyS1Zd5XgS0RgOWvalJsHmo
OPERATIONAL,"484R+389, Talima B, Balantak, Banggai Regency, Central Sulawesi 94773, Indonesia","{'location': {'lat': -0.8940811, 'lng': 123.3410366}, 'viewport': {'northeast': {'lat': -0.8927116201072777, 'lng': 123.3423727298927}, 'southwest': {'lat': -0.8954112798927221, 'lng': 123.3396730701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Talima,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109657644604519196959"">ASDI NARAM</a>'], 'photo_reference': 'AUGGfZn7MrYdq5wChzkn4Y9s-hc9Rhm9X7pFaNxUsgmZI6WR6jexmEJE42WvYriy15daelG-PTmuA9hDzYhtfnAae3VvkL1f1VcU5WKcVIenekKUVtU4h6jMO6PpE170Y7XeYoV2WkSsHp_6OI_Qk3uGQ4SdWyrk_7bo2oxvNxhJTZUfvFc', 'width': 3000}]",ChIJ1SE5HcVbgS0RetDtzU0-WCw,4.3,ChIJ1SE5HcVbgS0RetDtzU0-WCw,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1SE5HcVbgS0RetDtzU0-WCw
OPERATIONAL,"27C8+WX, Sobol Baru, Mantoh, Banggai Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.9777239999999999, 'lng': 123.267465}, 'viewport': {'northeast': {'lat': -0.976374170107278, 'lng': 123.2688148298927}, 'southwest': {'lat': -0.9790738298927223, 'lng': 123.2661151701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Bpk. Welly Rabaelun,,ChIJS1_NXgBZgS0RssKAsiMu72A,0.0,ChIJS1_NXgBZgS0RssKAsiMu72A,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJS1_NXgBZgS0RssKAsiMu72A
