business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,price_level,permanently_closed,url
OPERATIONAL,"Rawa kalong, Curug, Cimanggis, Depok City, West Java 16453, Indonesia","{'location': {'lat': -6.3951693, 'lng': 106.8669101}, 'viewport': {'northeast': {'lat': -6.393819470107278, 'lng': 106.8682599298927}, 'southwest': {'lat': -6.396519129892722, 'lng': 106.8655602701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Logo Situ Rawa Kalong,"[{'height': 1472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116967013291096243353"">Muhammad Irfan</a>'], 'photo_reference': 'AUGGfZnAoo-nWC5j7ArJP2a1y2BlRgRtxoCMHibOYtvtwLaeTv6oiurPlAbQoJnge-k5_LYGfFSLjnFWy54JNhxfIX6RNStMHwsVfH5JA9XKPZGI1xBVBlT_H1EejzLot_bEoh98Hqh1mPYkM3R6vlHUHYvll5hsDk11dfWM6nNtKHg0vB0q', 'width': 3264}]",ChIJgbGGTwDraS4RfcOXz5-gL6E,0.0,ChIJgbGGTwDraS4RfcOXz5-gL6E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJgbGGTwDraS4RfcOXz5-gL6E
OPERATIONAL,"JVF9+2PF, Cisalak Pasar, Cimanggis, Depok City, West Java, Indonesia","{'location': {'lat': -6.377432799999999, 'lng': 106.8692961}, 'viewport': {'northeast': {'lat': -6.376122570107278, 'lng': 106.8706328798927}, 'southwest': {'lat': -6.378822229892722, 'lng': 106.8679332201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Komar,,ChIJB4zJNQDtaS4RrksI1gfhS8I,0.0,ChIJB4zJNQDtaS4RrksI1gfhS8I,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJB4zJNQDtaS4RrksI1gfhS8I
OPERATIONAL,"JVW9+CHX, Jl. Tipar, Mekarsari, Kec. Cimanggis, Kota Depok, Jawa Barat, Indonesia","{'location': {'lat': -6.353888800000001, 'lng': 106.8689902}, 'viewport': {'northeast': {'lat': -6.352530970107277, 'lng': 106.8703525798927}, 'southwest': {'lat': -6.355230629892721, 'lng': 106.8676529201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat mancing,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111838745603287316200"">A Google User</a>'], 'photo_reference': 'AUGGfZn7FZMIAEPAYB9-kMDvs5uRr2qCIl7dRQmwpOfVUd6chfAVnIaMoy4migG4xyxA1-fQyZKIXtEZ4hYFl3ZZPhpLIkUujubxgihwyZePLL1yuQTcykr-Ur1dVs-Ol9sdKYIpiqrcT3fG17J3OfxJxIhDGNmSw4AU8BxTMUgugB3WSbA', 'width': 1080}]",ChIJ9UM8WWDtaS4R5zQteR9d0pE,0.0,ChIJ9UM8WWDtaS4R5zQteR9d0pE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9UM8WWDtaS4R5zQteR9d0pE
OPERATIONAL,"Jl. Buperta No.1, Harjamukti, Kec. Cimanggis, Kota Depok, Jawa Barat 16454, Indonesia","{'location': {'lat': -6.3692125, 'lng': 106.8984361}, 'viewport': {'northeast': {'lat': -6.367788120107278, 'lng': 106.8998140798927}, 'southwest': {'lat': -6.370487779892722, 'lng': 106.8971144201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lake Jambore,"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111541910275227029958"">Haeruddin Dhemenk</a>'], 'photo_reference': 'AUGGfZkOeUQs8yJNCD42-sLMLMNh0NrFJdN7HTtXyLiEAmM4tpIY9KYBEbukLZZDu0nCyDSZIws8Wpvn-cbVyuY1LzYRgw9lKqPcuXCSdmW1_oz_s5qgBUIp7VQPw2ayfUTjfHpSD2ai1Y4_nshkBPdAD3MT0yo95JhaDFlEaDz4V7s-RAbx', 'width': 9248}]",ChIJ9d-AO6XsaS4RqI99hs8lj3I,4.5,ChIJ9d-AO6XsaS4RqI99hs8lj3I,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",1672,{'open_now': True},"{'compound_code': 'JVJX+89 Harjamukti, Depok City, West Java, Indonesia', 'global_code': '6P58JVJX+89'}",1.0,,https://www.google.com/maps/place/?q=place_id:ChIJ9d-AO6XsaS4RqI99hs8lj3I
OPERATIONAL,"Jl. Sarinembah No.117, RT.05/RW.3, Harjamukti, Kec. Cimanggis, Kota Depok, Jawa Barat 16454, Indonesia","{'location': {'lat': -6.3777349, 'lng': 106.8909347}, 'viewport': {'northeast': {'lat': -6.376411970107278, 'lng': 106.8922645798927}, 'southwest': {'lat': -6.379111629892722, 'lng': 106.8895649201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lokasi shoting,,ChIJG1tYuhvtaS4RWJqqTObvc88,5.0,ChIJG1tYuhvtaS4RWJqqTObvc88,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"{'compound_code': 'JVCR+W9 Harjamukti, Depok City, West Java, Indonesia', 'global_code': '6P58JVCR+W9'}",,,https://www.google.com/maps/place/?q=place_id:ChIJG1tYuhvtaS4RWJqqTObvc88
OPERATIONAL,"Jl. Jambore Jl. Kav., Harjamukti, Kec. Cimanggis, Kota Depok, Jawa Barat 16454, Indonesia","{'location': {'lat': -6.3645105, 'lng': 106.9072354}, 'viewport': {'northeast': {'lat': -6.363150820107278, 'lng': 106.9085927298927}, 'southwest': {'lat': -6.365850479892722, 'lng': 106.9058930701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RUMAH DIMAS SATRIO,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116050235435509120783"">A Google User</a>'], 'photo_reference': 'AUGGfZldWRWbjtxRC_NXnCK00l7kAeKJ4Xn5QaBpSRvXVj-xIzb3POjaPMds9ziixoJ9B6WyLtPla2njCNCtn4k4PgeKoWFn3KuWC6TW0eePaPBcgMzuB-LWXO4tfCPnd6wl_Xy-KFYID18rnLsaCjm4WM_4z4JB2YhXpmM2la2prDxyCtfc', 'width': 3120}]",ChIJRdlKj2TtaS4RnCDPXSdJyPQ,0.0,ChIJRdlKj2TtaS4RnCDPXSdJyPQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},"{'compound_code': 'JWP4+5V Harjamukti, Depok City, West Java, Indonesia', 'global_code': '6P58JWP4+5V'}",,,https://www.google.com/maps/place/?q=place_id:ChIJRdlKj2TtaS4RnCDPXSdJyPQ
OPERATIONAL,"Jl. Pratidina No.6, Harjamukti, Kec. Cimanggis, Kota Depok, Jawa Barat 16454, Indonesia","{'location': {'lat': -6.3729555, 'lng': 106.8906503}, 'viewport': {'northeast': {'lat': -6.371594270107278, 'lng': 106.8919687798927}, 'southwest': {'lat': -6.374293929892722, 'lng': 106.8892691201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cibubur Park,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109191153243046123855"">mamun nawawi</a>'], 'photo_reference': 'AUGGfZkXxGtQrwE7rmE5yBD3acqt0mh5OxC3lwDlsWln9QtBV_xTyoATubTeDji1MMnUHeeTT9mpQFCYAkxHNILI78RN3Swd-ZMC99ZRpiPRq6OZWYGO_pDV1HMULJa3WLHCYWYcD723qi9Lwo-8qZZsH1JEdV9n1Ny71cCtGGV7__UcnIHo', 'width': 4128}]",ChIJ30S8MKLsaS4RjOr80lDLfwU,4.4,ChIJ30S8MKLsaS4RjOr80lDLfwU,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",845,,"{'compound_code': 'JVGR+R7 Harjamukti, Depok City, West Java, Indonesia', 'global_code': '6P58JVGR+R7'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ30S8MKLsaS4RjOr80lDLfwU
OPERATIONAL,"Blok Kisum, Jl. Kong Entong No.79, Mekarsari, Kec. Cimanggis, Kota Depok, Jawa Barat 16452, Indonesia","{'location': {'lat': -6.353998499999999, 'lng': 106.8711515}, 'viewport': {'northeast': {'lat': -6.352566370107278, 'lng': 106.8724930798927}, 'southwest': {'lat': -6.355266029892722, 'lng': 106.8697934201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KAMAR Mini Pool,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101007517028494286150"">Albar Ashari</a>'], 'photo_reference': 'AUGGfZl1EZ4znv2lb6YXhHqhzoPdAHKlW15PAWDR6PRZVYY1aCxmansnj-aQiD1q-VBQjv9D3g6sfE0lkTNmcee-3FtV7s-m_eH36fn36GFjG8bxfsyuNRmq2YVG9aU99INRzheEVeT1vGlphUhmiul-Xa0G0q62RXq60KOB-Ym_xNQ60bvm', 'width': 720}]",ChIJfyjoHDHtaS4Rr1zcPA4Iq64,5.0,ChIJfyjoHDHtaS4Rr1zcPA4Iq64,"['tourist_attraction', 'point_of_interest', 'establishment']",15,{'open_now': True},"{'compound_code': 'JVWC+9F Mekarsari, Depok City, West Java, Indonesia', 'global_code': '6P58JVWC+9F'}",,,https://www.google.com/maps/place/?q=place_id:ChIJfyjoHDHtaS4Rr1zcPA4Iq64
OPERATIONAL,"Jl. Tipar Danau No.35, RT.1/RW.06, Mekarsari, Kec. Cimanggis, Kota Depok, Jawa Barat 16452, Indonesia","{'location': {'lat': -6.3564149, 'lng': 106.8680497}, 'viewport': {'northeast': {'lat': -6.355056170107278, 'lng': 106.8696505298927}, 'southwest': {'lat': -6.357755829892722, 'lng': 106.8669508701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Setu Tipar,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105060844482175345244"">A Google User</a>'], 'photo_reference': 'AUGGfZmfyVZm-dodLwqOVnWZzy2nghr4Ou2k1ma_MRzEwRROQfe0k4XV3JqNmqT0YFQtPB1sR3u4DmHl77bXT3XllvLy1mPEllW87FtTY5Nga_XjvTRs3wI-k4-N-SuIvlKch1qdruRmOklF9uwmUTLIlBU-Y8kkMSC4G5xGvPskjMUpV_C2', 'width': 4000}]",ChIJ5eREkuTtaS4RHmvry-x_3pw,4.9,ChIJ5eREkuTtaS4RHmvry-x_3pw,"['tourist_attraction', 'point_of_interest', 'establishment']",11,,"{'compound_code': 'JVV9+C6 Mekarsari, Depok City, West Java, Indonesia', 'global_code': '6P58JVV9+C6'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ5eREkuTtaS4RHmvry-x_3pw
OPERATIONAL,"Jl. Bunga Raya No.22a, Mekarsari, Kec. Cimanggis, Kota Depok, Jawa Barat 16452, Indonesia","{'location': {'lat': -6.364460999999999, 'lng': 106.865693}, 'viewport': {'northeast': {'lat': -6.363108670107279, 'lng': 106.8669997798927}, 'southwest': {'lat': -6.365808329892722, 'lng': 106.8643001201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Mekarsari,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109683878464921086816"">Hendry Hardiana</a>'], 'photo_reference': 'AUGGfZmMX8kGr4T1sEIXYe8eVzDtfCSJpAG-ZwpEKuyzqlvEN7Pe5eZwEDK1kWs2-1Ef4kSjUpgq9BUv03GCxmhGAMwWtVwb7DgGixSdv1b9MYb64K9QlESuYj6Wu8Bc6CNASNBjbE_CKvgbadsvOoFi5YvqJK5T7RgHCy6N4IFoEPEAkyo6', 'width': 3264}]",ChIJVZWlAorsaS4RXiS4nY9ol48,4.5,ChIJVZWlAorsaS4RXiS4nY9ol48,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",1048,{'open_now': False},"{'compound_code': 'JVP8+67 Mekarsari, Depok City, West Java, Indonesia', 'global_code': '6P58JVP8+67'}",,,https://www.google.com/maps/place/?q=place_id:ChIJVZWlAorsaS4RXiS4nY9ol48
