business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours,url
CLOSED_TEMPORARILY,"JQJF+W39, Limo, Depok City, West Java, Indonesia","{'location': {'lat': -6.367784899999999, 'lng': 106.7726936}, 'viewport': {'northeast': {'lat': -6.366553720107278, 'lng': 106.7739061798927}, 'southwest': {'lat': -6.369253379892722, 'lng': 106.7712065201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Galatama,True,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107713091267349814299"">Jeff Ronald</a>'], 'photo_reference': 'AUGGfZnKTOBJJNrE7DZ1oJ8dOiVHVv14ZFuxLFDLG_HSzXs54-ZyUo6bsZJ1doXC1fvU2GUV69mz5Tnjmd6rFblr6-tFJ63Wx87kGieYQiNe_g4BHUjDtuZvuzQkNFH7MCjppzaDIljRYu4593RhHC0_CS7u0n96SmZYsc12CPW_AvPa3iMq', 'width': 1920}]",ChIJzfslKS3vaS4R6YfaIkOGkdk,0.0,ChIJzfslKS3vaS4R6YfaIkOGkdk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJzfslKS3vaS4R6YfaIkOGkdk
OPERATIONAL,"JQXH+MHM, Jl. Krakatau, Limo, Kec. Limo, Kota Depok, Jawa Barat 16515, Indonesia","{'location': {'lat': -6.3507893, 'lng': 106.7789253}, 'viewport': {'northeast': {'lat': -6.349439470107278, 'lng': 106.7802751298927}, 'southwest': {'lat': -6.352139129892722, 'lng': 106.7775754701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cilok(kucing),,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101903670716231901456"">ardhanaswari hanadyas</a>'], 'photo_reference': 'AUGGfZkQXpKrs1I831vXxdl-ZHyj3KqMjQ_EwEcrTBs6Y3bkNYZValF9lb6vgebXS7XuijXgkN_-nMcAaq5yq7fGA9IN0nY_8kvxGP_tglzmskAvcKuVS-EQonEx2keZs9H4bPo3OfYRpftUjBFTEiFwGYWQB_cxICSJNS-Np3sY_TFDX7tm', 'width': 3024}]",ChIJlU9twnXvaS4RGpqO0gSPTiE,5.0,ChIJlU9twnXvaS4RGpqO0gSPTiE,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJlU9twnXvaS4RGpqO0gSPTiE
OPERATIONAL,"Jl. Benda 2 No.56, Limo, Kec. Limo, Kota Depok, Jawa Barat 16515, Indonesia","{'location': {'lat': -6.369351, 'lng': 106.772485}, 'viewport': {'northeast': {'lat': -6.368009820107278, 'lng': 106.7738653298927}, 'southwest': {'lat': -6.370709479892722, 'lng': 106.7711656701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Benda Wawan,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118075646655043454902"">A Google User</a>'], 'photo_reference': 'AUGGfZn1uRUESZ6gYowIR8ZpK5YPIfCCqoabEGTjqL8maVZnKKgxtHDLIJISdDADrt1x0skfDa1mekrDdYSIdNZNS2fMUIr4PKjoO7D5E3QOeczPT1DexUA9vkx4RIVXAorMHZvxQmqGRCjHb4r0Abi-9DcHxHWphMwtr6U0VdZJD7YIVFe6', 'width': 1920}]",ChIJG6f5943vaS4RoPqPgwwqbiY,5.0,ChIJG6f5943vaS4RoPqPgwwqbiY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"{'compound_code': 'JQJC+7X Limo, Depok City, West Java, Indonesia', 'global_code': '6P58JQJC+7X'}",,https://www.google.com/maps/place/?q=place_id:ChIJG6f5943vaS4RoPqPgwwqbiY
OPERATIONAL,"JQHQ+X58, Grogol, Limo, Depok City, West Java 16514, Indonesia","{'location': {'lat': -6.3700885, 'lng': 106.7879415}, 'viewport': {'northeast': {'lat': -6.368828370107279, 'lng': 106.7892888298927}, 'southwest': {'lat': -6.371528029892723, 'lng': 106.7865891701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Empang,kansas",,,ChIJG44jUwLvaS4Rz22R_c1Zdwg,0.0,ChIJG44jUwLvaS4Rz22R_c1Zdwg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJG44jUwLvaS4Rz22R_c1Zdwg
CLOSED_TEMPORARILY,"JQ9R+XVV, Depok, Grogol, Limo, Depok City, West Java 16514, Indonesia","{'location': {'lat': -6.3800151, 'lng': 106.7921667}, 'viewport': {'northeast': {'lat': -6.378791070107278, 'lng': 106.7935333298927}, 'southwest': {'lat': -6.381490729892722, 'lng': 106.7908336701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kerajaan gabus,True,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108368527790712523364"">arifin dos santos</a>'], 'photo_reference': 'AUGGfZk6Weul9zUjXI6dq2pYOBllOTi94cnO5q8vSIJh_WF_pwskcesR3dkTzW_1985W2f9vcpHE8dh9QQtczHSTSH3f3IX3NzlfiSivoA3z0_s065EQg59hrDPyL3H4GuS68sMvG_9Qxu34bwP3Xad4jLjYm6bIUOojypRYC9kLGh8MFRKC', 'width': 720}]",ChIJz4dGIZvvaS4R_EUsa3axFJ8,5.0,ChIJz4dGIZvvaS4R_EUsa3axFJ8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJz4dGIZvvaS4R_EUsa3axFJ8
OPERATIONAL,"Meruyung, Limo, Depok City, West Java 16515, Indonesia","{'location': {'lat': -6.3768246, 'lng': 106.7727197}, 'viewport': {'northeast': {'lat': -6.375465720107277, 'lng': 106.7739367298927}, 'southwest': {'lat': -6.378165379892721, 'lng': 106.7712370701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PPEMANCINGA TELAGA ALAM Bang Morro,,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114644434583182910436"">sugiono yopie</a>'], 'photo_reference': 'AUGGfZmea4KBCiyOljo1hCVwgd4TKY95-UI9TuiqmlohOva4qPX8fA5vzEGbVAkXR6Iv5Ohxg6IT_GS_V19oUxuoihDOsRKiTNe4Qm8l1A1z_RTanfTjHxo_-j-pRYspbt5EXUDh2TPdMaD00UXXTXGA9uRgohKhgFAd81nqlah6qtNaHfzd', 'width': 1200}]",ChIJPRblTIHvaS4RccloHPoC9ag,0.0,ChIJPRblTIHvaS4RccloHPoC9ag,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'JQFF+73 Meruyung, Depok City, West Java, Indonesia', 'global_code': '6P58JQFF+73'}",,https://www.google.com/maps/place/?q=place_id:ChIJPRblTIHvaS4RccloHPoC9ag
OPERATIONAL,"Jl. Kp. Rw. Kalong No.20, RT.2/RW.7, Grogol, Kec. Limo, Kota Depok, Jawa Barat 16514, Indonesia","{'location': {'lat': -6.379453499999999, 'lng': 106.7922163}, 'viewport': {'northeast': {'lat': -6.378066370107277, 'lng': 106.7934169798927}, 'southwest': {'lat': -6.380766029892721, 'lng': 106.7907173201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Setu Grogol Rawakalong,,"[{'height': 1040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104576966060734312942"">A Google User</a>'], 'photo_reference': 'AUGGfZnZFkW8L_djJ9PDnTJsypvddNZHdlgLzJ6l2QphbrEdsTLXnsGtNkgCpAfF1iXJGQbFDFF1pg8jxfZXQM5DxqbGzkmpBhZvCKxoqNZWlBuX5QUFnWEYf-h1zeoZ8OX-2sRcMGma1M2wpcAm7NmnFJMlasHbDMGMYlOOKPgL1_6LN2o', 'width': 584}]",ChIJf7QgZ7rvaS4RjeR2RSheEqI,1.0,ChIJf7QgZ7rvaS4RjeR2RSheEqI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"{'compound_code': 'JQCR+6V Grogol, Depok City, West Java, Indonesia', 'global_code': '6P58JQCR+6V'}",,https://www.google.com/maps/place/?q=place_id:ChIJf7QgZ7rvaS4RjeR2RSheEqI
OPERATIONAL,"JQCV+72H, Grogol, Limo, Depok City, West Java 16514, Indonesia","{'location': {'lat': -6.379265600000001, 'lng': 106.7926139}, 'viewport': {'northeast': {'lat': -6.377878720107278, 'lng': 106.7939692798927}, 'southwest': {'lat': -6.380578379892722, 'lng': 106.7912696201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PEMANCINGAN UJANG,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109077291981510733189"">Indranadi Saputra</a>'], 'photo_reference': 'AUGGfZlzwSIeGbYrA1fwyV45XX6GNfQPXa9ImctfdrvTXxm1ziNH2mTSkdjq9Olv_Zw0oCkGSpMLsRAWn_3KzBRH0AslecD9VHJxt2PmFdMfK2JESi--_gpgGKnm2iXzFFCPcFbCTCIAPDus2tpyNGrGzwdGoOq8OzrKh-B5hSGyIDc6XM1z', 'width': 4160}]",ChIJcYnQEhDvaS4Rhglw2Io3p2M,4.7,ChIJcYnQEhDvaS4Rhglw2Io3p2M,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJcYnQEhDvaS4Rhglw2Io3p2M
OPERATIONAL,"JQFQ+58G, Grogol, Limo, Depok City, West Java 16514, Indonesia","{'location': {'lat': -6.3770606, 'lng': 106.7883416}, 'viewport': {'northeast': {'lat': -6.375711120107277, 'lng': 106.7896883798927}, 'southwest': {'lat': -6.378410779892721, 'lng': 106.7869887201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali pa bango,,,ChIJI-kIaADvaS4RkKQp539j51A,0.0,ChIJI-kIaADvaS4RkKQp539j51A,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJI-kIaADvaS4RkKQp539j51A
OPERATIONAL,"JQ97+GJ8, Jl. KH. Muhasan 1, Meruyung, Kec. Limo, Kota Depok, Jawa Barat 16515, Indonesia","{'location': {'lat': -6.38122, 'lng': 106.7640811}, 'viewport': {'northeast': {'lat': -6.379896570107278, 'lng': 106.7654655298927}, 'southwest': {'lat': -6.382596229892722, 'lng': 106.7627658701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Telaga Kapuk Meruyung,,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111063131369120840315"">lutfi anshory</a>'], 'photo_reference': 'AUGGfZk_3aM4yFEUm2gVd3UYu_-sUykB0kPFzTHOc0q3qPDBXvYwXS63JUNqRp-BrXtcGsqdQ3CpYWHeZ6YukdR6PVeJyD1lR160MYn9JVTXRWQcA28FP_-IMh4Szu9KCJLELXbYc4TwXA66oNvMJ6IMjiuK7JqxDfGkputMWTOWks0ChsZg', 'width': 720}]",ChIJ_8KRHvjvaS4R5Q3zazs4OTQ,0.0,ChIJ_8KRHvjvaS4R5Q3zazs4OTQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJ_8KRHvjvaS4R5Q3zazs4OTQ
