formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,plus_code,permanently_closed,url
"Teluk Dalam, Simeulue Regency, Aceh, Indonesia","{'location': {'lat': 2.6607913, 'lng': 96.0925817}, 'viewport': {'northeast': {'lat': 2.752101, 'lng': 96.242183}, 'southwest': {'lat': 2.543557, 'lng': 96.06355289999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Teluk Dalam,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113608212170128602057"">Santi Marselida</a>'], 'photo_reference': 'AUGGfZmaEkCjhsdkQSrIazX2QQoFVJmTMtq4yFH_dmSkTtrD0fjkL00VmCndWJfT-cp1XF62tCr3yppNWv3rqiTvT4Y4aVizF2tqhx_Q7wIn5TkMWPZl1eX1b9wdxicDOaKwcxLUwTWRom9eRIsWlx_YnPHZJqhGg9HdJxUsOK3M3PsSjEFk', 'width': 2340}]",ChIJpSSri9W7PDARFk4oZKwYRyg,ChIJpSSri9W7PDARFk4oZKwYRyg,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJpSSri9W7PDARFk4oZKwYRyg
"J463+VQW, Jl. Lkr. Simeulue, Bulu Hadik, Tlk. Dalam, Kabupaten Simeulue, Aceh 24786, Indonesia","{'location': {'lat': 2.6122414, 'lng': 96.10444419999999}, 'viewport': {'northeast': {'lat': 2.616787449999999, 'lng': 96.10554665}, 'southwest': {'lat': 2.610726050000001, 'lng': 96.10113685}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Air tawar teluk dalam,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111710251196819540136"">Xlabs Medan</a>'], 'photo_reference': 'AUGGfZnnDHsD0atnFZ6N7C1XuRJyXWml4A4LDzb8TeuyT_pwy0ok5z4VeXblRUcfPYme_WquqcFsj9OKBNCxjfyiJDclgdJlD1VtxUQNo0SVe-YEAF-lw9XjsEny0y7EA3CDNwg6QHGg_ztdzyNUuYHEivRUjFdAybeKSy7RMpk4WnQ1Q1M6', 'width': 4032}]",ChIJB5oJcpm5PDAR0FNBAwUKEOQ,ChIJB5oJcpm5PDAR0FNBAwUKEOQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.8,5.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJB5oJcpm5PDAR0FNBAwUKEOQ
"Desa, Sambai, Tlk. Dalam, Kabupaten Simeulue, Aceh, Indonesia","{'location': {'lat': 2.6501125, 'lng': 96.2142344}, 'viewport': {'northeast': {'lat': 2.651462329892722, 'lng': 96.21558422989273}, 'southwest': {'lat': 2.648762670107277, 'lng': 96.21288457010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pulau Pinang,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111171947078761796901"">Azhar Kiman</a>'], 'photo_reference': 'AUGGfZlO4ZrPFBbiitrWREgyqzbwBzl0-6T70MQJur35yFvgyGJuhoSAKZwChKl6mCVmxY59oZd37tmTH7oC2nfQBynoR7qmpgQ4RAwOAvrKIvD0iY5rFV_yEFN82sveCE7iq3vpOD2fbOa7YrRv5R9Z4fL8ExAaApRDVk6OemNg6E5ygI92', 'width': 1920}]",ChIJAWtRbYK7PDARsDVwKxGpoJA,ChIJAWtRbYK7PDARsDVwKxGpoJA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,40.0,{'open_now': False},"{'compound_code': 'M627+2M Sambai, Simeulue Regency, Aceh, Indonesia', 'global_code': '6MJRM627+2M'}",,https://www.google.com/maps/place/?q=place_id:ChIJAWtRbYK7PDARsDVwKxGpoJA
"J4P4+JP5, Bulu Hadik, Teluk Dalam, Simeulue Regency, Aceh, Indonesia","{'location': {'lat': 2.6365164, 'lng': 96.1068639}, 'viewport': {'northeast': {'lat': 2.638178229892722, 'lng': 96.10753890000002}, 'southwest': {'lat': 2.635478570107277, 'lng': 96.10483889999998}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Mangrove Jembatan Pelangi Bulu Hadek,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116914626421401580880"">gus mariadi</a>'], 'photo_reference': 'AUGGfZmBrUC9svAJJrYBgbbamqyBftWgCx-lFqs3EBzfQVJUtmWCK9AFNk-aQHtRu3FimO8Ipaui0OrbvcHCLk_eHbyzYIV6QsxEqgN7oAQIXJAlC_F2du42sWrE-lJfS0aDq8bbP_vr11RvkgBx_-1vQYQy7n3ExVY1V5HG-KYvw6StEbgn', 'width': 1080}]",ChIJbVDPf8u5PDARDay6sYnaHQY,ChIJbVDPf8u5PDARDay6sYnaHQY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.0,4.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJbVDPf8u5PDARDay6sYnaHQY
"J4JF+8M6, Bulu Hadik, Teluk Dalam, Simeulue Regency, Aceh 24786, Indonesia","{'location': {'lat': 2.6307935, 'lng': 96.12414299999999}, 'viewport': {'northeast': {'lat': 2.63240205, 'lng': 96.12541390000001}, 'southwest': {'lat': 2.62596785, 'lng': 96.1203303}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan Pelangi Bulu Hadik,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105836439421066145922"">A Google User</a>'], 'photo_reference': 'AUGGfZm_IyC_5FYRIWo9MSjUiOK_BG3VwB4cMegh5blse3_CWCKHSoBxjkWHJkUUdqM_PfRCIILqTgKHo3zJ-1VuvAzPHydjy4qD50fLxhDm4rxXoFs85uMdHqQmZ87pPwwWDXjqKkwrfT3tzzqG5Yo1Ql32iAwg6o3N7yOo-9ZdlgNoWPsE', 'width': 4032}]",ChIJSbKy34C5PDARBpIE9oW3Wbg,ChIJSbKy34C5PDARBpIE9oW3Wbg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJSbKy34C5PDARBpIE9oW3Wbg
"Teluk Dalam, 32300 Pangkor Island, Perak, Malaysia","{'location': {'lat': 4.2516052, 'lng': 100.5517241}, 'viewport': {'northeast': {'lat': 4.252926929892722, 'lng': 100.5529864798927}, 'southwest': {'lat': 4.250227270107279, 'lng': 100.5502868201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Teluk Dalam,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106112168548113206304"">bitla rock</a>'], 'photo_reference': 'AUGGfZkEJqbSZIByWFe-KI9YpNTb6qqITwdQ3T1iPVLAXFb0smYQ-qhuYRAdRCvF3tXanDCAurv06HfvaINSoe383JGPntpknjGiWoqPnnbR06PcxP81Toi3XPZDfAJ39Xux0u47LAskIeapO8bpBcpbAcOXNpgybQe7C4c2yPbvRC3yHUDC', 'width': 3264}]",ChIJnbjxSQ3UNDARRTK0wbH8jcc,ChIJnbjxSQ3UNDARRTK0wbH8jcc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,65.0,,"{'compound_code': '7H22+JM Pangkor Island, Perak, Malaysia', 'global_code': '6PP27H22+JM'}",,https://www.google.com/maps/place/?q=place_id:ChIJnbjxSQ3UNDARRTK0wbH8jcc
"Q33H+JC, West Simeulue, Simeulue Regency, Aceh 23892, Indonesia","{'location': {'lat': 2.7540178, 'lng': 96.0786239}, 'viewport': {'northeast': {'lat': 2.755365529892722, 'lng': 96.07997412989272}, 'southwest': {'lat': 2.752665870107278, 'lng': 96.07727447010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Layabaung city,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103927599850312923130"">Susilaghazali 55</a>'], 'photo_reference': 'AUGGfZlzn6tsZWm69iaDCyJIkZTlSRJpOo8sJcWomx-ziTL3MYh0-jNZXcH3qTnVKP_bE2AHk1cS6-B83zf6w_DDIeAmVc47Ojstp-4sgoTbiWROIJTZgFaweEAVStL6sRYOrJUvJdLnt8xZ81W85e_W01QeBzT2ftDnGZm8k7qkQidbuAjt', 'width': 1200}]",ChIJcbG_6pi_PDARE1KLdR2MYsk,ChIJcbG_6pi_PDARE1KLdR2MYsk,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.0,5.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJcbG_6pi_PDARE1KLdR2MYsk
"J4P4+Q3Q, Unnamed Road, Kuala Bakti, Teluk Dalam, Simeulue Regency, Aceh 24786, Indonesia","{'location': {'lat': 2.6369641, 'lng': 96.105222}, 'viewport': {'northeast': {'lat': 2.638337679892722, 'lng': 96.10656622989274}, 'southwest': {'lat': 2.635638020107278, 'lng': 96.10386657010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Manggrove Kuala Bakti,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111710251196819540136"">Xlabs Medan</a>'], 'photo_reference': 'AUGGfZmrk-r2iXgCCHsRggEGLw49jdz5SVe4rYcJXj1w93VGhH70qo0XdeuCv6_9NnyGHgZpGGAzgbimeDvoS5JiM27IsbZBrpI4j6RIg0BodZr1BprKbpPaWZakWRvq3yaQKnRhOuDoShTyXnCZeLaPoVaIhlnuMoJRvjMf8mSvJMFQiAg8', 'width': 2268}]",ChIJZ1Ygkmm5PDARzOXS7clhmvA,ChIJZ1Ygkmm5PDARzOXS7clhmvA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,3.0,3.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJZ1Ygkmm5PDARzOXS7clhmvA
"HWPJ+J6X, Latak Ayah, Simeulue Tengah, Simeulue Regency, Aceh, Indonesia","{'location': {'lat': 2.5866477, 'lng': 95.93065899999999}, 'viewport': {'northeast': {'lat': 2.588018229892722, 'lng': 95.93199187989272}, 'southwest': {'lat': 2.585318570107278, 'lng': 95.92929222010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Teluk Simeulue,,ChIJx3q5peLPPDAR-CaAskBC0gc,ChIJx3q5peLPPDAR-CaAskBC0gc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJx3q5peLPPDAR-CaAskBC0gc
"H855+CF5, Desa, Kuala Makmur, Kec. Simeulue Tim., Kabupaten Simeulue, Aceh 24786, Indonesia","{'location': {'lat': 2.5585091, 'lng': 96.3087216}, 'viewport': {'northeast': {'lat': 2.559550829892722, 'lng': 96.31011662989272}, 'southwest': {'lat': 2.556851170107277, 'lng': 96.30741697010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Destinasi Wisata Teluk Nibung,,ChIJdz8pyXSvPDARM2v21kaT_Bg,ChIJdz8pyXSvPDARM2v21kaT_Bg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,2.5,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJdz8pyXSvPDARM2v21kaT_Bg
