business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,plus_code,url
OPERATIONAL,"RX83+FF4, Lamamek, West Simeulue, Simeulue Regency, Aceh, Indonesia","{'location': {'lat': 2.815311, 'lng': 95.95261839999999}, 'viewport': {'northeast': {'lat': 2.816638229892722, 'lng': 95.95400037989273}, 'southwest': {'lat': 2.813938570107277, 'lng': 95.95130072010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah gebiii,{'open_now': True},ChIJb7GAHgDpPDARa8_tfjCABBc,0.0,ChIJb7GAHgDpPDARa8_tfjCABBc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJb7GAHgDpPDARa8_tfjCABBc
OPERATIONAL,"RX93+9FW, Jl. Teluk Sikambang, Lamamek, Simeulue Bar., Kabupaten Simeulue, Aceh 23891, Indonesia","{'location': {'lat': 2.8184869, 'lng': 95.9537158}, 'viewport': {'northeast': {'lat': 2.81916845, 'lng': 95.95528087989271}, 'southwest': {'lat': 2.816442250000001, 'lng': 95.95258122010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga Rindu Simeulue,,ChIJL98gmbrpPDAReidTYGqXDz4,4.8,ChIJL98gmbrpPDAReidTYGqXDz4,"['tourist_attraction', 'point_of_interest', 'establishment']",5,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111354528976618256494"">A Google User</a>'], 'photo_reference': 'AUGGfZl_bq7ew3bGQ5dLJ84LhyQyCwDMhxd6r_sPjXdAzWNUKp3Sd3MOY8NUXBTEM-9Q6lRZhJjiikKGIYtEpmkWS4a3N1xgZBmSKBvE4EDBFbToJs7p_avegy8HeKy6g3lgJ0E5vpG2w_T5rThfC79PWJY6EJEaxAKT9iaQlw7KF057LNIl', 'width': 3072}]",,,https://www.google.com/maps/place/?q=place_id:ChIJL98gmbrpPDAReidTYGqXDz4
OPERATIONAL,"Q33H+JC, West Simeulue, Simeulue Regency, Aceh 23892, Indonesia","{'location': {'lat': 2.7540178, 'lng': 96.0786239}, 'viewport': {'northeast': {'lat': 2.755365529892722, 'lng': 96.07997412989272}, 'southwest': {'lat': 2.752665870107278, 'lng': 96.07727447010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Layabaung city,{'open_now': True},ChIJcbG_6pi_PDARE1KLdR2MYsk,4.0,ChIJcbG_6pi_PDARE1KLdR2MYsk,"['tourist_attraction', 'point_of_interest', 'establishment']",5,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103927599850312923130"">Susilaghazali 55</a>'], 'photo_reference': 'AUGGfZkcPKWHdbS7rlD2xPUYbvdvKUo7-AIcwudFpAAASQpRl8Py5OdrW6I7xvxA2LoA7Ml52SK54hsaPMa1wx9qeHKRZbfIyBxDvA5eTr9aZsxx7e-RNiPFo3IFAGJMI_cRaSyA1dOE_pGUex9ZcFkD-SyJ0E0-qJjZ6aGsaexkBe5jkXFt', 'width': 1200}]",,,https://www.google.com/maps/place/?q=place_id:ChIJcbG_6pi_PDARE1KLdR2MYsk
OPERATIONAL,"P3XH+VR4, Layabaung, West Simeulue, Simeulue Regency, Aceh 23892, Indonesia","{'location': {'lat': 2.7496412, 'lng': 96.0795888}, 'viewport': {'northeast': {'lat': 2.750983629892722, 'lng': 96.08091462989273}, 'southwest': {'lat': 2.748283970107277, 'lng': 96.07821497010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DESA LAYABAUNG,,ChIJgWVQWZe_PDARRvi8sdC-CYM,4.3,ChIJgWVQWZe_PDARRvi8sdC-CYM,"['tourist_attraction', 'point_of_interest', 'establishment']",6,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114274855329935304293"">Mahyar Amin</a>'], 'photo_reference': 'AUGGfZkJrzfR1T_CIiUxihFkNz74I9GXAecKC9OIRCDGQwX1NTatSZrKj64jAuCmMXcQR7XAmE-1pHp_qlGejElMGa1hKgs0Aztodqhe52jrT7g3709DMN4Mm3pL395gZeIqkZtAXOUc3eBgk1t_QfbnYZVwLNnRkkIMEe-WxxnMyIANtS_P', 'width': 3060}]",,,https://www.google.com/maps/place/?q=place_id:ChIJgWVQWZe_PDARRvi8sdC-CYM
OPERATIONAL,"RVMJ+VG, Miteum, West Simeulue, Simeulue Regency, Aceh, Indonesia","{'location': {'lat': 2.8347474, 'lng': 95.88130489999999}, 'viewport': {'northeast': {'lat': 2.836097229892722, 'lng': 95.88265472989272}, 'southwest': {'lat': 2.833397570107278, 'lng': 95.87995507010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hutan mangrove Donggik,,ChIJUUXdPBbnPDAR2mM8HMq8h0A,0.0,ChIJUUXdPBbnPDAR2mM8HMq8h0A,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJUUXdPBbnPDAR2mM8HMq8h0A
OPERATIONAL,"VWV4+728, Unnamed Road, Ujung Harapan, Simeulue Bar., Kabupaten Simeulue, Aceh 23891, Indonesia","{'location': {'lat': 2.89317, 'lng': 95.905063}, 'viewport': {'northeast': {'lat': 2.8938927, 'lng': 95.90589289999998}, 'southwest': {'lat': 2.8910019, 'lng': 95.9025733}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai ujung harapan,,ChIJy5ouZaLvPDARDkkcFu0-1QA,4.7,ChIJy5ouZaLvPDARDkkcFu0-1QA,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103566001385539712661"">Muhammad Furqon</a>'], 'photo_reference': 'AUGGfZml_Cr1uoRuHpjpw4k8gVPfhJ9IcvFmie6NDPds45NnI1tfRMOz_6FfxoEabzXrN_2JYDLp_ftFlXLxUC1elZjor3SnlGHuzy49-CSeR9dFUA2XQwNpQgzxi4ZFE2kz6BYa2H5WE1KN8_NQvBj8UoR3oUXCPIVLgc_eEMRXgjKV6RUk', 'width': 4000}]",,,https://www.google.com/maps/place/?q=place_id:ChIJy5ouZaLvPDARDkkcFu0-1QA
OPERATIONAL,"RRP9+RV, Amabaan, West Simeulue, Simeulue Regency, Aceh, Indonesia","{'location': {'lat': 2.8370329, 'lng': 95.8196918}, 'viewport': {'northeast': {'lat': 2.838382729892722, 'lng': 95.82104162989272}, 'southwest': {'lat': 2.835683070107277, 'lng': 95.81834197010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau lawik Tawar,,ChIJvWzDorDnPDARHWLLeEplTQA,0.0,ChIJvWzDorDnPDARHWLLeEplTQA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114965473309403985366"">A Google User</a>'], 'photo_reference': 'AUGGfZljiisZM2HIePnBoazh683egg1ah274lqHIBDfXf2NDKehBFMT_xgGNu65A9Xad8LS8JSRtaEs6MN2V1UrDoLqhAqFBYWbB_Gprs-F3pOrzz6ee_wsR9USgTydCD9WKe8b43SnsDy2HGoOq-lC-iaZuni4XHnnqGic-9dl_DcIi_V9k', 'width': 1080}]",,,https://www.google.com/maps/place/?q=place_id:ChIJvWzDorDnPDARHWLLeEplTQA
OPERATIONAL,"QXMQ+RCQ, Jl. Sinabang - Sibigo, Simeulue Bar., Kabupaten Simeulue, Indonesia","{'location': {'lat': 2.7845791, 'lng': 95.98861939999999}, 'viewport': {'northeast': {'lat': 2.785994229892722, 'lng': 95.99000482989271}, 'southwest': {'lat': 2.783294570107278, 'lng': 95.98730517010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Pemandian Mata Air Desa Sinar Bahagia,,ChIJ96dTH7jrPDARYQZNfkFtfmQ,4.5,ChIJ96dTH7jrPDARYQZNfkFtfmQ,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3328, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112768105476352183535"">A Google User</a>'], 'photo_reference': 'AUGGfZniB-XPtqcxydzWKK_hy0xC8AxhSDQWDtiuJ24uS8tZmVloN_JcJB2BaKhx13I28nAy8H0hzOE2dwVO806RRO7jS0_t7YES0hjT7ItKfJKJMViJAIEScYZiiEbUG77of07ydbqKC1aemyqlAeYTCtf4Kusz4a4Z2mgnzHZpEexS2pO3', 'width': 1997}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ96dTH7jrPDARYQZNfkFtfmQ
OPERATIONAL,"WR7P+P7, Lhok Makmur, Simeulue Regency, Aceh, Indonesia","{'location': {'lat': 2.9132219, 'lng': 95.8352621}, 'viewport': {'northeast': {'lat': 2.914571729892722, 'lng': 95.83661192989271}, 'southwest': {'lat': 2.911872070107278, 'lng': 95.83391227010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,UJUNG SIFOFEK,,ChIJh5guLwDlPDAR9tF0QIbQzes,0.0,ChIJh5guLwDlPDAR9tF0QIbQzes,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJh5guLwDlPDAR9tF0QIbQzes
OPERATIONAL,"WV72+57, Lhok Makmur, Simeulue Regency, Aceh, Indonesia","{'location': {'lat': 2.9129547, 'lng': 95.8507156}, 'viewport': {'northeast': {'lat': 2.914304529892722, 'lng': 95.85206542989273}, 'southwest': {'lat': 2.911604870107277, 'lng': 95.84936577010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai kenangan lama,,ChIJC2-xSQDlPDARpzCxr8kFqfg,3.5,ChIJC2-xSQDlPDARpzCxr8kFqfg,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115761153863704228837"">A Google User</a>'], 'photo_reference': 'AUGGfZn8yBbqmcK8XQ6oVDdDuCG9ZirfjbMF1_uvtBIF9olyyH2UEJmnXDrBAS0FtCToAtH_5whWnTpgm4S86FozriipBwoSVXaZytJQxCc4vTFvwSO6FSHNjnFwvCMMuoRGd1Wj7C_cu4G7s1lypRZDSZNCe1xTekZj2SmMc-MBXPcak-K3', 'width': 3264}]",,,https://www.google.com/maps/place/?q=place_id:ChIJC2-xSQDlPDARpzCxr8kFqfg
