business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,photos,opening_hours,url
OPERATIONAL,"H962+XP, Waiya, Jayapura Regency, Papua, Indonesia","{'location': {'lat': -2.4376045, 'lng': 140.3517969}, 'viewport': {'northeast': {'lat': -2.436254670107278, 'lng': 140.3531467298927}, 'southwest': {'lat': -2.438954329892723, 'lng': 140.3504470701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Pulau Anaipie Tablanusu,Kabupaten.Jayapura, Papua",ChIJv9UwDrrhbGgRi3w4Y301jVI,0.0,ChIJv9UwDrrhbGgRi3w4Y301jVI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJv9UwDrrhbGgRi3w4Y301jVI
OPERATIONAL,"Btn sosial sentani permai, Hinekombe, Kec. Sentani, Kabupaten Jayapura, Papua 99359, Indonesia","{'location': {'lat': -2.5544036, 'lng': 140.5013606}, 'viewport': {'northeast': {'lat': -2.553085720107277, 'lng': 140.5026834298927}, 'southwest': {'lat': -2.555785379892722, 'lng': 140.4999837701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yauw Kallem pu tempat,ChIJWzvjcgDvbGgRNPsu7N7agTY,0.0,ChIJWzvjcgDvbGgRNPsu7N7agTY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': 'CGW2+7H Hinekombe, Jayapura Regency, Papua, Indonesia', 'global_code': '6R92CGW2+7H'}",,,,https://www.google.com/maps/place/?q=place_id:ChIJWzvjcgDvbGgRNPsu7N7agTY
CLOSED_TEMPORARILY,"CH2C+46R, Asei Besar, Sentani Timur, Jayapura Regency, Papua 99359, Indonesia","{'location': {'lat': -2.599646, 'lng': 140.5705088}, 'viewport': {'northeast': {'lat': -2.598112020107278, 'lng': 140.5748189}, 'southwest': {'lat': -2.600811679892722, 'lng': 140.5690721}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Yomokho Prehistoric Site,ChIJfbk-HeDzbGgRttgqPKC3X_Q,0.0,ChIJfbk-HeDzbGgRttgqPKC3X_Q,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,"[{'height': 349, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114862168029339202837"">ivancov catalin</a>'], 'photo_reference': 'AUGGfZnd0I5_h-bBmDxtGckylJ-8v2FJnQna91tE_4Wk_hrm_iFWOqS_IegS0ixxpkn6GPwCd1jjDWtLOk_fw0BFt4TAmZJQErAZqkL0hpXQd-HHEodO4dX_6lcUw_WJt9oElyVmNIXM3Td-BLZeZe7xX81iwmjTBKKpd8fd0eqRmZatx_Jn', 'width': 620}]",,https://www.google.com/maps/place/?q=place_id:ChIJfbk-HeDzbGgRttgqPKC3X_Q
OPERATIONAL,"C75J+9R, Nambon, Kemtuk, Jayapura Regency, Papua 99361, Indonesia","{'location': {'lat': -2.591612, 'lng': 140.2820973}, 'viewport': {'northeast': {'lat': -2.590233870107277, 'lng': 140.2834371298927}, 'southwest': {'lat': -2.592933529892722, 'lng': 140.2807374701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ALANG ALANG PANJANG,ChIJeyFJ5FbBbGgRl8vehGoBTGs,4.4,ChIJeyFJ5FbBbGgRl8vehGoBTGs,"['tourist_attraction', 'point_of_interest', 'establishment']",12,,,"[{'height': 1884, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113871920368391900460"">A Google User</a>'], 'photo_reference': 'AUGGfZmYUxwkZJ9Ptz7MWnG-1UIM1aFkFpD6m7w1QgzdLi7GxVqXyHEHWglLwE7_rZRdOl0W3CrZUMVMvLDHbBcTOSsQzbs2rMZbbikqkP_-FFXd8QZNK2a6FxyZiBFt288hlTi7klIQmn6F2myIj_EewyANa6NQZco0kODXC1Thmj0dlOWF', 'width': 4080}]",,https://www.google.com/maps/place/?q=place_id:ChIJeyFJ5FbBbGgRl8vehGoBTGs
OPERATIONAL,"CCJQ+H5M, Doyo Lama, Waibu, Jayapura Regency, Papua 99358, Indonesia","{'location': {'lat': -2.5685493, 'lng': 140.4379179}, 'viewport': {'northeast': {'lat': -2.566968320107278, 'lng': 140.4391311298927}, 'southwest': {'lat': -2.569667979892722, 'lng': 140.4364314701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Bakso,ChIJS_whymXvbGgRVWBacgQZeuw,4.2,ChIJS_whymXvbGgRVWBacgQZeuw,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104122068463935737350"">selamet marjuki</a>'], 'photo_reference': 'AUGGfZmy7Yqr6N9QlurVsAu7bZn220_oxzKPnquyT5GpI8c1E_PJjp4Y3b57HvUmTRSyK833lGUTsidiiSJx3PM1aibh69KYFiHCA03PdOZOCOd5UfYNJp4pa6Ryt96qf8Y9TdHzIcQiECG_6XILiYdTMOQZeA7w_IW1O-gu9ngoMQRTUI4', 'width': 3264}]",,https://www.google.com/maps/place/?q=place_id:ChIJS_whymXvbGgRVWBacgQZeuw
OPERATIONAL,"FFG4+4G5, Jl. Raya Doyo Baru, Bambar, Distrik Waibu, Kabupaten Jayapura, Papua, Indonesia","{'location': {'lat': -2.524738, 'lng': 140.4563704}, 'viewport': {'northeast': {'lat': -2.52350455, 'lng': 140.4574856298927}, 'southwest': {'lat': -2.528438349999999, 'lng': 140.4547859701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali Bambar,ChIJAdNf8MfvbGgRZwXiUOuwRbU,4.2,ChIJAdNf8MfvbGgRZwXiUOuwRbU,"['tourist_attraction', 'point_of_interest', 'establishment']",26,,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101850449392846664849"">Dirmansyah surya Ciremai</a>'], 'photo_reference': 'AUGGfZlSHiuM829rW93hBu8bAimMPj2yYmYacIGawqOaE5oSFxYfaehlMTT71FM7oilC-KoeIpW7slPkG1frWsqPi_K6jVporgVGBMgZmO34_6Atm1Aw9rsgjlmYblXaB6Hced1y4wOD5BvpFbMnR0BvJK6P9_91nbjF91g9QQnQS-8KIYGL', 'width': 3024}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJAdNf8MfvbGgRZwXiUOuwRbU
OPERATIONAL,"2V63+RVQ Kali biru Genyem, Yadauw, Kaureh, Kabupaten Jayapura, Papua 99364, Indonesia","{'location': {'lat': -2.987923, 'lng': 139.8547266}, 'viewport': {'northeast': {'lat': -2.986573170107278, 'lng': 139.8560764298927}, 'southwest': {'lat': -2.989272829892722, 'lng': 139.8533767701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali biru,ChIJVRM-DxelFGgRlFSYo4KEJVI,3.8,ChIJVRM-DxelFGgRlFSYo4KEJVI,"['tourist_attraction', 'point_of_interest', 'establishment']",6,,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101041994168349794104"">Muhammad Jeffry X Jasa Boga</a>'], 'photo_reference': 'AUGGfZl6UF8XiHDnqo9_FftEFz6blnqse7DsXAwd_PnrCVIeDXzYdPmZ3sQ4evaf5_wPOawODwYTykRYz5Ulz8ZAx7YZ5HcOanIE53Grfw9oo3derbUnP0zgOh8hN2wwjrSgVJEqcqIyqUZ-Vpzh8Bp8s3RP3crq4wbZcHSxs7W3KqBFmNkf', 'width': 1800}]",,https://www.google.com/maps/place/?q=place_id:ChIJVRM-DxelFGgRlFSYo4KEJVI
OPERATIONAL,"CG2H+HXJ, Ifar Besar, Sentani, Jayapura Regency, Papua 99359, Indonesia","{'location': {'lat': -2.5985471, 'lng': 140.5299029}, 'viewport': {'northeast': {'lat': -2.597218070107278, 'lng': 140.5307456798927}, 'southwest': {'lat': -2.599917729892723, 'lng': 140.5280460201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,HOKHOIBEY YOMO,ChIJD_pAe5DzbGgRGbxVdUeL_eg,4.7,ChIJD_pAe5DzbGgRGbxVdUeL_eg,"['tourist_attraction', 'point_of_interest', 'establishment']",10,,,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109414358340910536663"">Piet Soyan</a>'], 'photo_reference': 'AUGGfZm3BtUKYvZWsFpZLfibL-39JjW1ciRhHfNXmh7ppYtU9PTu94EIa07tUSdhfChPuunW_MR4voEU4mehdwVqownoCdxDX6Rlx_4BXZyYpbfyJXY9PjqjFo7lTT0WqqDiX7Lg9nvfKyvHz7B61ra0iHgmyGbDZIUl-ggPMc66qGby69Nz', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJD_pAe5DzbGgRGbxVdUeL_eg
OPERATIONAL,"HF96+3V8, Yongsu Sapari, Ravenirara, Jayapura Regency, Papua 99353, Indonesia","{'location': {'lat': -2.4323488, 'lng': 140.4622167}, 'viewport': {'northeast': {'lat': -2.431392120107277, 'lng': 140.4633138298927}, 'southwest': {'lat': -2.434091779892722, 'lng': 140.4606141701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali Spari,ChIJ4TVkuPLjbGgRKMgNC7H8Zuk,4.6,ChIJ4TVkuPLjbGgRKMgNC7H8Zuk,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,"[{'height': 1465, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117248969314329427358"">Wycliffe Norotouw</a>'], 'photo_reference': 'AUGGfZkwMimOcvxdSbdiH0HQaEYfeN8XvGf0kk3kXJe8mJTc2jL5UVXt6Q_uoUuaKZBjl1riH7tNrJAjfKiODI3vRf8a4uUpG1Xzwl7gMrgdSbo91pQVX-4hB4bSTB51Fb-taErCTsQllMCFqTUGK1xaHRRQ_gzdI-9SyFVXoSR-eAlPwnnI', 'width': 1200}]",,https://www.google.com/maps/place/?q=place_id:ChIJ4TVkuPLjbGgRKMgNC7H8Zuk
CLOSED_TEMPORARILY,"CFM7+2Q7, Doyo Lama, Waibu, Jayapura Regency, Papua 99352, Indonesia","{'location': {'lat': -2.5668913, 'lng': 140.465188}, 'viewport': {'northeast': {'lat': -2.565138970107277, 'lng': 140.4664545298927}, 'southwest': {'lat': -2.567838629892722, 'lng': 140.4637548701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tongkonan IKT Jayapura,ChIJH7V7M0zvbGgRFTgm9Oc1-l0,0.0,ChIJH7V7M0zvbGgRFTgm9Oc1-l0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,,,https://www.google.com/maps/place/?q=place_id:ChIJH7V7M0zvbGgRFTgm9Oc1-l0
