business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,photos,plus_code,url
OPERATIONAL,"8HQ3+W8F, Bumi Nabung Ilir, Bumi Nabung, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.6601982, 'lng': 105.5532993}, 'viewport': {'northeast': {'lat': -4.658842120107279, 'lng': 105.5546439298927}, 'southwest': {'lat': -4.661541779892723, 'lng': 105.5519442701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot gabus,ChIJWVFbIQBvPy4RxetTkcrRBeI,0.0,ChIJWVFbIQBvPy4RxetTkcrRBeI,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJWVFbIQBvPy4RxetTkcrRBeI
OPERATIONAL,"7G8Q+H5W, Bumi Nabung Baru, Bumi Nabung, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.7335003, 'lng': 105.537953}, 'viewport': {'northeast': {'lat': -4.732170670107278, 'lng': 105.5393151298927}, 'southwest': {'lat': -4.734870329892722, 'lng': 105.5366154701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Pemancingan MISHA,ChIJXRmxYwBlPy4RUvNN6rZ7jWQ,5.0,ChIJXRmxYwBlPy4RUvNN6rZ7jWQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJXRmxYwBlPy4RUvNN6rZ7jWQ
CLOSED_TEMPORARILY,"8HRG+4MQ, Bumi Nabung Utara, Bumi Nabung, Central Lampung Regency, Lampung 34158, Indonesia","{'location': {'lat': -4.6596693, 'lng': 105.5767493}, 'viewport': {'northeast': {'lat': -4.658469620107279, 'lng': 105.57788195}, 'southwest': {'lat': -4.661169279892722, 'lng': 105.57335135}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aaudara,ChIJwwQFwZ5vPy4R0T4IIAbiRSQ,0.0,ChIJwwQFwZ5vPy4R0T4IIAbiRSQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,True,,,https://www.google.com/maps/place/?q=place_id:ChIJwwQFwZ5vPy4R0T4IIAbiRSQ
OPERATIONAL,"9HQ2+7V, Mataram Udik, Bandar Mataram, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.6117962, 'lng': 105.5521566}, 'viewport': {'northeast': {'lat': -4.610446370107278, 'lng': 105.5535064298927}, 'southwest': {'lat': -4.613146029892722, 'lng': 105.5508067701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ulak bondan spot ayah nana jovita,ChIJq8F8oVNtPy4Rygg5FEn6Ufg,0.0,ChIJq8F8oVNtPy4Rygg5FEn6Ufg,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJq8F8oVNtPy4Rygg5FEn6Ufg
OPERATIONAL,"9J44+9CW, Mataram Ilir, Seputih Surabaya, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.644022700000001, 'lng': 105.6060661}, 'viewport': {'northeast': {'lat': -4.6431782, 'lng': 105.6078945298927}, 'southwest': {'lat': -4.646556199999999, 'lng': 105.6051948701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanah pn nyinang mergo,ChIJOX_J_QdxPy4R1lnSCo9lGyk,0.0,ChIJOX_J_QdxPy4R1lnSCo9lGyk,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJOX_J_QdxPy4R1lnSCo9lGyk
OPERATIONAL,"7G93+WFR, Rekso Binangun, Rumbia, Central Lampung Regency, Lampung 34168, Indonesia","{'location': {'lat': -4.7301452, 'lng': 105.5036425}, 'viewport': {'northeast': {'lat': -4.728506799999999, 'lng': 105.5070109}, 'southwest': {'lat': -4.735060399999999, 'lng': 105.5025197}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA ALAM TERBUKA Kecamatan RUMBIA,ChIJ7eEc9bNlPy4RiA1OjC-6tf8,5.0,ChIJ7eEc9bNlPy4RiA1OjC-6tf8,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,{'open_now': False},,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110111283332857302262"">A Google User</a>'], 'photo_reference': 'AUGGfZm49AJjs8_9vFvBXebra9Duf05dy9U4BKQag6Kdwe1DTrXm9Z0U3vsAdkN8ZErAGPtL7-mHLJSf2l_SGzyEpT7AljTSAMgQfglJ8kKLxMc0Bc2PxO94Ig5NPaUOuxn6MY9Q06qvZAfTUcxyfcvvgJFGUsJDQpMLZiKUg6bqU2CvYcz1', 'width': 1080}]",,https://www.google.com/maps/place/?q=place_id:ChIJ7eEc9bNlPy4RiA1OjC-6tf8
OPERATIONAL,"7FGW+WH, Mataram Jaya, Bandar Mataram, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.7227067, 'lng': 105.4964354}, 'viewport': {'northeast': {'lat': -4.721422749999999, 'lng': 105.4984479798927}, 'southwest': {'lat': -4.726558550000001, 'lng': 105.4957483201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rawa gubug,ChIJ4QELGABnPy4REOl1g9PRqpI,0.0,ChIJ4QELGABnPy4REOl1g9PRqpI,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4QELGABnPy4REOl1g9PRqpI
OPERATIONAL,"8HH6+RJ8, Bumi Nabung Ilir, Bumi Nabung, Central Lampung Regency, Lampung 34158, Indonesia","{'location': {'lat': -4.6704703, 'lng': 105.5615722}, 'viewport': {'northeast': {'lat': -4.669123870107277, 'lng': 105.5630458298927}, 'southwest': {'lat': -4.671823529892721, 'lng': 105.5603461701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,Djati kreatif,ChIJZ1AmyAJvPy4RTd4e_LYEugk,0.0,ChIJZ1AmyAJvPy4RTd4e_LYEugk,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJZ1AmyAJvPy4RTd4e_LYEugk
OPERATIONAL,"9GM9+72P, Mataram Udik, Bandar Mataram, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.616795, 'lng': 105.5175662}, 'viewport': {'northeast': {'lat': -4.616018720107277, 'lng': 105.5192422798927}, 'southwest': {'lat': -4.618718379892721, 'lng': 105.5165426201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu tulis,ChIJL-A9krdtPy4Rq5uuI5bjSEI,5.0,ChIJL-A9krdtPy4Rq5uuI5bjSEI,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJL-A9krdtPy4Rq5uuI5bjSEI
OPERATIONAL,"6GHC+MM2, Simpang plasmen, Kec. Rumbia, Kabupaten Lampung Tengah, Lampung, Indonesia","{'location': {'lat': -4.7708696, 'lng': 105.5216411}, 'viewport': {'northeast': {'lat': -4.769460620107278, 'lng': 105.5231653798927}, 'southwest': {'lat': -4.772160279892722, 'lng': 105.5204657201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,agrowisata kebun buah naga,ChIJE1K-GgBlPy4R9BFb0G23AMk,5.0,ChIJE1K-GgBlPy4R9BFb0G23AMk,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,{'open_now': False},,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102283024374187357621"">A Google User</a>'], 'photo_reference': 'AUGGfZm_3DT-HvronTXk10ZQdWi-AxcaqQEDl4_qOqnlovI03v_pttLY2haSTlT8cs8_jB_U9LYp4e8k2o46SHIFJ6JGSg67YzxQSUofy1YmiYVxLjw7_yVZOdGC5o7VpZYpfKwi3tG635cV2w-GJfnv_GwYWM6XCRyHIMB9m8pl93t5AH7O', 'width': 1080}]",,https://www.google.com/maps/place/?q=place_id:ChIJE1K-GgBlPy4R9BFb0G23AMk
