business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,permanently_closed,plus_code,opening_hours,url
OPERATIONAL,"V3RG+RPX, Tanjung Jaya, Bangunrejo, Central Lampung Regency, Lampung 34173, Indonesia","{'location': {'lat': -5.1080647, 'lng': 105.0769269}, 'viewport': {'northeast': {'lat': -5.106739470107279, 'lng': 105.0782206798927}, 'southwest': {'lat': -5.109439129892722, 'lng': 105.0755210201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Ozan,ChIJkUUKQwCzQC4Rn0uaBrwExKA,0.0,ChIJkUUKQwCzQC4Rn0uaBrwExKA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJkUUKQwCzQC4Rn0uaBrwExKA
OPERATIONAL,"VXQW+6XJ, Unnamed Road, Timbul Rejo, Kec. Bangun Rejo, Kabupaten Lampung Tengah, Lampung 34173, Indonesia","{'location': {'lat': -5.1119004, 'lng': 104.9973752}, 'viewport': {'northeast': {'lat': -5.111104920107278, 'lng': 105.00009485}, 'southwest': {'lat': -5.113804579892722, 'lng': 104.99646865}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung Timbul Harjo,ChIJSxkMefdNRy4RCDZHuwGHQBc,4.0,ChIJSxkMefdNRy4RCDZHuwGHQBc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103831210186076660623"">Bayoe Adhitya</a>'], 'photo_reference': 'AUGGfZk1o0V-nB6UJumr4ftV1DhToqtwXolZStMUSASP5SoFOv_JN1AQ2thywEOe5NN-Qm-9QIYY4Mpkggx7T75L01P2FN6Sg9YJ_Oq1s4Th_4w6GvUDexrqhitl8r75U3SIhA1VAz3tIL0rBtGDOijZWCq16KtiGcRBSMbLaEdh-m9_au4m', 'width': 4032}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJSxkMefdNRy4RCDZHuwGHQBc
OPERATIONAL,"VXPW+XQ4, Timbul Rejo, Bangunrejo, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.112610699999999, 'lng': 104.9969468}, 'viewport': {'northeast': {'lat': -5.111460070107277, 'lng': 105.00030905}, 'southwest': {'lat': -5.114159729892721, 'lng': 104.99582605}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DANAU KERUK TIMBULREJO,ChIJueqvMvxNRy4RTaUlG5o0Ni4,5.0,ChIJueqvMvxNRy4RTaUlG5o0Ni4,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 355, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102551391643044792343"">AGUS SUMANTO</a>'], 'photo_reference': 'AUGGfZk1P0g0Y9NxQD1XwSKkvOkvZiVMF9Xd1cSIz6_VkYfY_uV3gKwke8TR6ROsVBcpCts_QqrZDCP9LKMjhlVtSZoyMKZL70SxerVFFQtRng_V8CbqRagc-BgcJx7cih-r5NgRhkgfM5_mnDZrCU5DV1y9nnvIM1tmRWWf7OOCZBFm0R9n', 'width': 620}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJueqvMvxNRy4RTaUlG5o0Ni4
OPERATIONAL,"V3R4+W4G, Purwodadi, Sri Pendowo, Kec. Bangun Rejo, Kabupaten Lampung Tengah, Lampung 34173, Indonesia","{'location': {'lat': -5.1083079, 'lng': 105.0545291}, 'viewport': {'northeast': {'lat': -5.106399970107278, 'lng': 105.0557797798927}, 'southwest': {'lat': -5.109099629892722, 'lng': 105.0530801201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat camping aman dan nyaman,ChIJvakT84SzQC4RKI0sCOmI-p8,4.0,ChIJvakT84SzQC4RKI0sCOmI-p8,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112420994639736922623"">A Google User</a>'], 'photo_reference': 'AUGGfZllMEsWsWOxS-XQf1VO2RpDajJswTOVLXU8gcZ-iWxMvhB5EeMlK_w-dT72Ii6nuavIXtI9CGOUxNvKCDW1B8KUOXlcdFXR33pG6G_FXA1ni_g-0XPLzhiSZpqgH4HDCEdWH8t5odYQflOPtbRTZKP0E2YYs0DJrWkbOAoXXThWj1g8', 'width': 1080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJvakT84SzQC4RKI0sCOmI-p8
OPERATIONAL,"VX6J+GHF, Jl. Raya Sidomulyo, Sidomulyo, Kec. Bangun Rejo, Kabupaten Lampung Tengah, Lampung 34173, Indonesia","{'location': {'lat': -5.138681699999999, 'lng': 104.9814184}, 'viewport': {'northeast': {'lat': -5.137273870107277, 'lng': 104.9832554798927}, 'southwest': {'lat': -5.139973529892721, 'lng': 104.9805558201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau buatan sidomulyo,ChIJZ0BX5mlLRy4RjGuD8IFh7B0,4.0,ChIJZ0BX5mlLRy4RjGuD8IFh7B0,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJZ0BX5mlLRy4RjGuD8IFh7B0
OPERATIONAL,"W33R+25J, Tanjung Jaya, Bangunrejo, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.097408499999999, 'lng': 105.0903966}, 'viewport': {'northeast': {'lat': -5.095545320107278, 'lng': 105.0921854798927}, 'southwest': {'lat': -5.098244979892722, 'lng': 105.0894858201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Om Iwan,ChIJ93FBPbezQC4RzUreQhpOjds,5.0,ChIJ93FBPbezQC4RzUreQhpOjds,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ93FBPbezQC4RzUreQhpOjds
OPERATIONAL,"V29W+RPW, Sinar Seputih, Bangunrejo, Central Lampung Regency, Lampung 34173, Indonesia","{'location': {'lat': -5.1303936, 'lng': 105.0468134}, 'viewport': {'northeast': {'lat': -5.129253720107277, 'lng': 105.0482627798927}, 'southwest': {'lat': -5.131953379892721, 'lng': 105.0455631201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Embung Sinar Seputih,ChIJ-Z6-xc61QC4R6VJ5V91cH68,0.0,ChIJ-Z6-xc61QC4R6VJ5V91cH68,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-Z6-xc61QC4R6VJ5V91cH68
CLOSED_TEMPORARILY,"V28V+C4M, Sinar Seputih, Bangunrejo, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.133149299999999, 'lng': 105.0439228}, 'viewport': {'northeast': {'lat': -5.131711470107279, 'lng': 105.0454090298927}, 'southwest': {'lat': -5.134411129892722, 'lng': 105.0427093701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kelompok tani lembu berkah,ChIJ39u8CcW1QC4RoirzHhYJWnM,0.0,ChIJ39u8CcW1QC4RoirzHhYJWnM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,,,https://www.google.com/maps/place/?q=place_id:ChIJ39u8CcW1QC4RoirzHhYJWnM
OPERATIONAL,"Sri Pendowo, Bangunrejo, Central Lampung Regency, Lampung 18173, Indonesia","{'location': {'lat': -5.1084121, 'lng': 105.0503536}, 'viewport': {'northeast': {'lat': -5.107072820107278, 'lng': 105.0516612298927}, 'southwest': {'lat': -5.109772479892722, 'lng': 105.0489615701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PEMANCINGAN BIMA SAKTI,ChIJMXFIZQCzQC4RcgBr7_8CEwg,0.0,ChIJMXFIZQCzQC4RcgBr7_8CEwg,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105410304007918994073"">A Google User</a>'], 'photo_reference': 'AUGGfZlQ-o6T_ufFtj3A7zEMa4Po90aKfhBBlEdeUoFi18GONbfMiwdU-Aui8YtVY5BDVuql2PayZmh84mGhXkV42tcym6N03bPcglhMAAnjCYa25cyShE7kaV5SOuRRHnvScztBuq1c2Gek4fXwKYIQd4QPZzAiPPCqQvzs0LgopIWkEYNm', 'width': 2448}]",,"{'compound_code': 'V3R2+J4 Sri Pendowo, Central Lampung Regency, Lampung, Indonesia', 'global_code': '6P67V3R2+J4'}",,https://www.google.com/maps/place/?q=place_id:ChIJMXFIZQCzQC4RcgBr7_8CEwg
OPERATIONAL,"V25M+2GX, Bangun Rejo, kecamatan Meraksa aji, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.1423768, 'lng': 105.0338561}, 'viewport': {'northeast': {'lat': -5.141009870107277, 'lng': 105.0351917298927}, 'southwest': {'lat': -5.143709529892721, 'lng': 105.0324920701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Renang Meraksa aji,ChIJWWvqNQC1QC4R3D2fpiRJ4rw,0.0,ChIJWWvqNQC1QC4R3D2fpiRJ4rw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJWWvqNQC1QC4R3D2fpiRJ4rw
