formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,permanently_closed,plus_code,url
"Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.8008086, 'lng': 105.3131185}, 'viewport': {'northeast': {'lat': -4.48115, 'lng': 105.819073}, 'southwest': {'lat': -5.2671131, 'lng': 104.545487}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Central Lampung Regency,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102800527986470930336"">Amri Huda</a>'], 'photo_reference': 'AUGGfZmzg55x5HgIo_tg-KzbQ_cxE-XWFVz8kq54-8QlE-gGD6kM_8siySiiqkfg8DpIvOtx-kgHQCd7iEmCvZXmk5qzy0HJdgEtQyX7ZmnYfnWQrmvhhbqKQUT8ZHAlE7GHgefYkNMEXlHbaU1HihXSvsvecJFZoTUhVd_W1oJt2o6Ta5zj', 'width': 4080}]",ChIJWWsDAMtXPy4R8M8gsoCdAwM,ChIJWWsDAMtXPy4R8M8gsoCdAwM,"['administrative_area_level_2', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJWWsDAMtXPy4R8M8gsoCdAwM
"Seputih Mataram, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.8463688, 'lng': 105.3175991}, 'viewport': {'northeast': {'lat': -4.726789999999999, 'lng': 105.4224931}, 'southwest': {'lat': -4.879169999999999, 'lng': 105.2775}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Seputih Mataram,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101023317030876117423"">A Google User</a>'], 'photo_reference': 'AUGGfZkE8E1gssH47VJkan9hSft21A5KZGoMNmxyrzXljHD6srl3dZ5h4DvxkuXq87UMHiE1xC0rX3XI3_B2FcLTUB1r5MXwodCpAqYtZaFdsifvKlFduCphZBSMqdBum-Q6vmxLKF8p057SdIweJ_qH304gBy_QTglC132EIpPzKnx6R-FC', 'width': 1600}]",ChIJWdKZGYNePy4RBR5LeL7jyi8,ChIJWdKZGYNePy4RBR5LeL7jyi8,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJWdKZGYNePy4RBR5LeL7jyi8
"5875+VG9, Qurnia Mataram, Seputih Mataram, Central Lampung Regency, Lampung 34164, Indonesia","{'location': {'lat': -4.8353343, 'lng': 105.3088729}, 'viewport': {'northeast': {'lat': -4.834169320107278, 'lng': 105.3100642798927}, 'southwest': {'lat': -4.836868979892722, 'lng': 105.3073646201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tani subur pak slamet,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103258674513428577980"">Rizky Diky</a>'], 'photo_reference': 'AUGGfZmbVIP9201GytB7uK1Uopbf2N5ct9xnB3DiD7kFC9QnqYU3gQ5FwTezYe9fCDsa_42qBwPKo78Xgq1Ecq01jx9fYFc1VXV9Y2FjS9_88ayd9ZcwwgDqaYiMMxAsX8yO6rX-azCotGi6W8eOPuXFYvFo3SQJmpoo4Azl81E0Ppvgc_k', 'width': 3120}]",ChIJ85BPZA1ZPy4Rfkhd14B1lW4,ChIJ85BPZA1ZPy4Rfkhd14B1lW4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ85BPZA1ZPy4Rfkhd14B1lW4
"59J4+WR, Sumber Agung Mataram, Seputih Mataram, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.817458999999999, 'lng': 105.356924}, 'viewport': {'northeast': {'lat': -4.816140570107278, 'lng': 105.3583275798927}, 'southwest': {'lat': -4.818840229892722, 'lng': 105.3556279201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gianto endang,,ChIJmV2JO_BfPy4RP5tH6TEZiH8,ChIJmV2JO_BfPy4RP5tH6TEZiH8,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJmV2JO_BfPy4RP5tH6TEZiH8
"59VR+M3J, Subing Karya, Seputih Mataram, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.8057874, 'lng': 105.3901526}, 'viewport': {'northeast': {'lat': -4.804236370107278, 'lng': 105.3913193798927}, 'southwest': {'lat': -4.806936029892722, 'lng': 105.3886197201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Way seputih,,ChIJ6U5t_jdfPy4RgFK_5AjBzT4,ChIJ6U5t_jdfPy4RgFK_5AjBzT4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,3.0,1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6U5t_jdfPy4RgFK_5AjBzT4
"58JH+XPH, Utama Jaya Mataram, Seputih Mataram, Central Lampung Regency, Lampung 34164, Indonesia","{'location': {'lat': -4.8175726, 'lng': 105.3293653}, 'viewport': {'northeast': {'lat': -4.816257570107277, 'lng': 105.3307280298927}, 'southwest': {'lat': -4.818957229892722, 'lng': 105.3280283701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ladang melon,,ChIJMeZ_NQBfPy4Rem_z1RoeYtM,ChIJMeZ_NQBfPy4Rem_z1RoeYtM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJMeZ_NQBfPy4Rem_z1RoeYtM
"5GRC+XFW, Sakti Buana, Seputih Banyak, Central Lampung Regency, Lampung 34157, Indonesia","{'location': {'lat': -4.8075133, 'lng': 105.521209}, 'viewport': {'northeast': {'lat': -4.8051334, 'lng': 105.52213695}, 'southwest': {'lat': -4.808306600000001, 'lng': 105.51842515}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lake Tirta Gangga,"[{'height': 2816, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107426487075182742356"">Ahmad Yulius</a>'], 'photo_reference': 'AUGGfZmivpv98HmpUEeWVqrOlDt9axMc6LsOeYLYUxwkZcmWQmt-nH199v9SxHeyPh2oSMLDUlNNavicC8HsqhCzNalPwIHK52easJkIInumeP98tLZpWGBglrNdbVxY0ICKRJpc4lVizWUGlhJVkG5u9iX-sjvcUJIGDbVZpf21KdXQGzyD', 'width': 6304}]",ChIJG5bVcOljPy4RiR6LhXPQ8IU,ChIJG5bVcOljPy4RiR6LhXPQ8IU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.2,58.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJG5bVcOljPy4RiR6LhXPQ8IU
"38FG+HGM, Ratna Khaton, Seputih Raman, Central Lampung Regency, Lampung 34155, Indonesia","{'location': {'lat': -4.9261777, 'lng': 105.3261745}, 'viewport': {'northeast': {'lat': -4.924741670107277, 'lng': 105.3276328798927}, 'southwest': {'lat': -4.927441329892721, 'lng': 105.3249332201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KWT MUGI LESTARI,"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110687973507332207888"">A Google User</a>'], 'photo_reference': 'AUGGfZm4Y1H0_1qrUkIJhIkSwDe8b10tuefp8hSzxGk5FsUuklR0gYTu6Mg0SiV_Rs0dICzZBN0SlmFF3fg1EtSxoY_G1b2bVhh622GWztWAucAmmUj42pfpc0woymMOacuMU0nYmH2ljEoiK3iTgJUkoq3jmTzv-6GBLof_ecLiKZBNv3o', 'width': 3072}]",ChIJiwX0VNmhQC4RgkrY4-Oxt34,ChIJiwX0VNmhQC4RgkrY4-Oxt34,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,1.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJiwX0VNmhQC4RgkrY4-Oxt34
"58GJ+P7V, Utama Jaya Mataram, Seputih Mataram, Central Lampung Regency, Lampung, Indonesia","{'location': {'lat': -4.8231429, 'lng': 105.3306853}, 'viewport': {'northeast': {'lat': -4.821792470107278, 'lng': 105.3320341298927}, 'southwest': {'lat': -4.824492129892722, 'lng': 105.3293344701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat nyoride wong elit,,ChIJF2ZfvMVfPy4R2h_T37rC_eE,ChIJF2ZfvMVfPy4R2h_T37rC_eE,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,4.0,1.0,,True,,https://www.google.com/maps/place/?q=place_id:ChIJF2ZfvMVfPy4R2h_T37rC_eE
"Kebun jeruk bw varia agung, Dusun 7 Lam-Teng, Varia Agung, Kec. Seputih Mataram, Kabupaten Lampung Tengah, Lampung 34164, Indonesia","{'location': {'lat': -4.7973287, 'lng': 105.3666494}, 'viewport': {'northeast': {'lat': -4.796478170107277, 'lng': 105.3681802798927}, 'southwest': {'lat': -4.799177829892721, 'lng': 105.3654806201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun jeruk bw varia,,ChIJu7U1aMZdPy4Ray84wyVx2N0,ChIJu7U1aMZdPy4Ray84wyVx2N0,"['tourist_attraction', 'point_of_interest', 'establishment']",CLOSED_TEMPORARILY,3.5,2.0,,True,"{'compound_code': '6938+3M Varia Agung, Central Lampung Regency, Lampung, Indonesia', 'global_code': '6P776938+3M'}",https://www.google.com/maps/place/?q=place_id:ChIJu7U1aMZdPy4Ray84wyVx2N0
