business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,opening_hours,permanently_closed,plus_code,url
OPERATIONAL,"RX39+76P dusun 7, Sri Dadi, Kec. Kalirejo, Kabupaten Lampung Tengah, Lampung 34174, Indonesia","{'location': {'lat': -5.196782799999999, 'lng': 104.9680914}, 'viewport': {'northeast': {'lat': -5.195357970107278, 'lng': 104.9696363298927}, 'southwest': {'lat': -5.198057629892721, 'lng': 104.9669366701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu putih,ChIJQ-F2DABLRy4RmkBBFuLUn10,0.0,ChIJQ-F2DABLRy4RmkBBFuLUn10,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJQ-F2DABLRy4RmkBBFuLUn10
OPERATIONAL,"QXJR+G5G, Sri Basuki, Kalirejo, Central Lampung Regency, Lampung 34174, Indonesia","{'location': {'lat': -5.2186913, 'lng': 104.9904508}, 'viewport': {'northeast': {'lat': -5.217449670107277, 'lng': 104.9918005798927}, 'southwest': {'lat': -5.220149329892721, 'lng': 104.9891009201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KOLONGAN NEW SBS,ChIJlY2FdQA1Ry4R56KZquuJyIw,0.0,ChIJlY2FdQA1Ry4R56KZquuJyIw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJlY2FdQA1Ry4R56KZquuJyIw
OPERATIONAL,"QXXM+PJV, Sukosari, Kalirejo, Central Lampung Regency, Lampung 34174, Indonesia","{'location': {'lat': -5.2006495, 'lng': 104.984055}, 'viewport': {'northeast': {'lat': -5.199427420107278, 'lng': 104.9854205798927}, 'southwest': {'lat': -5.202127079892722, 'lng': 104.9827209201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Jeruk,ChIJgYNNZuxLRy4RRkNYEkqgU38,5.0,ChIJgYNNZuxLRy4RRkNYEkqgU38,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJgYNNZuxLRy4RRkNYEkqgU38
OPERATIONAL,"RXHM+V2P, Jl. M.H. Thamrin, Ponco Warno, Kec. Kalirejo, Kabupaten Lampung Tengah, Lampung 34174, Indonesia","{'location': {'lat': -5.170289899999999, 'lng': 104.9825694}, 'viewport': {'northeast': {'lat': -5.168921170107279, 'lng': 104.9839185798927}, 'southwest': {'lat': -5.171620829892722, 'lng': 104.9812189201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nyore nggak?,ChIJ37KBiOZLRy4RnwObtQ7mQCI,5.0,ChIJ37KBiOZLRy4RnwObtQ7mQCI,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114673567339516347529"">A Google User</a>'], 'photo_reference': 'AUGGfZlvZ2tPX2ojG6hQdOEk6x3FydSAsVvpP-7rn_zCVtiIWgwlpf8SJeup8vUquoc4oJXQQFPdIvWEva3GgSgUWGWINplWAz6quP_UOFaVKydaKey6quI9kif24VuQBEq09lR-RyC0yFmv2kpO0jcNWjVkKAd_wRUbKo7gqECypj7IErUZ', 'width': 1280}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ37KBiOZLRy4RnwObtQ7mQCI
OPERATIONAL,"QXWW+533, Jl. Raya Sukosari, Sukosari, Kec. Kalirejo, Kabupaten Lampung Tengah, Lampung 34174, Indonesia","{'location': {'lat': -5.2046205, 'lng': 104.9951731}, 'viewport': {'northeast': {'lat': -5.203270670107278, 'lng': 104.9965229298927}, 'southwest': {'lat': -5.205970329892722, 'lng': 104.9938232701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebon pisang cavendish Dwi putra,ChIJ3abgBKJLRy4RYw0IXqBqFDk,4.0,ChIJ3abgBKJLRy4RYw0IXqBqFDk,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110559401032916664729"">A Google User</a>'], 'photo_reference': 'AUGGfZl4J2nlrf_OH1y6y993R4UIbkD8nNF5NJe7BdJOlZrwaIsdWowzuIwVj9VX_zdt5d55VKwUrFd6Qy8gXCpoVrkVXZMMlqaoK0HP3YdWtO6WJrxqKZbo4ExM_AABVhud5OO6eQmfIm7vYgtaoW5KROFi85fMvRF1rrYm1XhGAp8jabnl', 'width': 1080}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJ3abgBKJLRy4RYw0IXqBqFDk
OPERATIONAL,"QWMJ+F63, Kali Dadi, Kalirejo, Central Lampung Regency, Lampung 34174, Indonesia","{'location': {'lat': -5.215110999999999, 'lng': 104.9297903}, 'viewport': {'northeast': {'lat': -5.213920270107278, 'lng': 104.9310091298927}, 'southwest': {'lat': -5.216619929892722, 'lng': 104.9283094701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,HN Fishing ( Pemancingan Ikan Mas ),ChIJ0ZwEUJA3Ry4R7E2TxcFRX3M,0.0,ChIJ0ZwEUJA3Ry4R7E2TxcFRX3M,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117110843453314046916"">A Google User</a>'], 'photo_reference': 'AUGGfZmLV2SgnISx3iF7_SfFxorZMv7Rfb3X69S3daUj1c48iU6Mcqq36bc2MFAaK7zfKDCJbvGPl1bf01jyMgsEa1lpM611jj8XJC3PjDsqoGCXTdl3J_gPeSPLs4GqCFr02RooWWFzTo8ucwhia0Wy326LB1GPpK-j1TE-INVCh6x61oHL', 'width': 1080}]",{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJ0ZwEUJA3Ry4R7E2TxcFRX3M
OPERATIONAL,"PWWX+P2G, RT.007/RW.003 Wayakrui, Wayakroy, Kec. Kalirejo, Kabupaten Lampung Tengah, Lampung, Indonesia","{'location': {'lat': -5.2531987, 'lng': 104.9475805}, 'viewport': {'northeast': {'lat': -5.251852970107278, 'lng': 104.9489616298927}, 'southwest': {'lat': -5.254552629892721, 'lng': 104.9462619701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Villa Manggis/Kolam,ChIJUT6C3zE1Ry4Rb422fF2yZa4,0.0,ChIJUT6C3zE1Ry4Rb422fF2yZa4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110204932192578008583"">Raida Fakhira</a>'], 'photo_reference': 'AUGGfZnpQwIRt6OgR9GFx5NiKSvCcjueOsrgD7i5PGZGbfbDaNVdHhjWsB-SleJ4NECjfZapMr9jmmSM5xKwkMU8aVTmxwZjB6iXa0G7EJe9jViYS0g6IbhEP60KOESTicd9yjDOf-3N1xYFHT5fN38R2e1J9k8xEtXZ31IUiEp-rhPMkG88', 'width': 4000}]",{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJUT6C3zE1Ry4Rb422fF2yZa4
CLOSED_TEMPORARILY,"RXHF+F29, Dsn, RW.9, Ponco Warno, Kec. Kalirejo, Kabupaten Lampung Tengah, Lampung 34174, Indonesia","{'location': {'lat': -5.171348399999999, 'lng': 104.9725951}, 'viewport': {'northeast': {'lat': -5.169998970107279, 'lng': 104.9739354298927}, 'southwest': {'lat': -5.172698629892722, 'lng': 104.9712357701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,lik dirin,ChIJd5R-xqpLRy4RVi0C-ZndZrY,0.0,ChIJd5R-xqpLRy4RVi0C-ZndZrY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,True,,https://www.google.com/maps/place/?q=place_id:ChIJd5R-xqpLRy4RVi0C-ZndZrY
CLOSED_TEMPORARILY,"QXJJ+2X8, Sri Basuki, Kalirejo, Central Lampung Regency, Lampung 34174, Indonesia","{'location': {'lat': -5.2199513, 'lng': 104.9824436}, 'viewport': {'northeast': {'lat': -5.218694820107278, 'lng': 104.9837810298927}, 'southwest': {'lat': -5.221394479892722, 'lng': 104.9810813701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Faqih,ChIJNfeeRBo1Ry4R2JP3aFJcWC4,0.0,ChIJNfeeRBo1Ry4R2JP3aFJcWC4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,True,,https://www.google.com/maps/place/?q=place_id:ChIJNfeeRBo1Ry4R2JP3aFJcWC4
OPERATIONAL,"RXV3+J92, Sendang Ayu, Padang Ratu, Central Lampung Regency, Lampung 34174, Indonesia","{'location': {'lat': -5.1559913, 'lng': 104.9533984}, 'viewport': {'northeast': {'lat': -5.154618120107279, 'lng': 104.9546966798927}, 'southwest': {'lat': -5.157317779892723, 'lng': 104.9519970201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Wisata Tirta Purwodadi,ChIJx4-eFk5LRy4RFMm7OMHla0Q,4.5,ChIJx4-eFk5LRy4RFMm7OMHla0Q,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109583844593449029747"">A Google User</a>'], 'photo_reference': 'AUGGfZn8zgpZE-qTPwphnUeQm7lpi0ndJ8aSKZFyVwNALzYIlNfVDihXQle3OSzzBuvYin47lbCYuO5cH_pCCkqcV3S0eqssgiiAwz6y691-1ZwDUGmoXGEIgR16hk4GFvVjcMdvr21mnuGfNtBqbR6J0GGEn3W7lFILTg2y2c9jhhLr4SXW', 'width': 4096}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJx4-eFk5LRy4RFMm7OMHla0Q
