business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,url
OPERATIONAL,"JV85+792, Pasar Muara Sipongi, Muara Sipongi, Mandailing Natal Regency, North Sumatra 22998, Indonesia","{'location': {'lat': 0.6156134, 'lng': 99.85839109999999}, 'viewport': {'northeast': {'lat': 0.6170422298927222, 'lng': 99.85980377989272}, 'southwest': {'lat': 0.6143425701072778, 'lng': 99.85710412010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,MESS PEMPROVSU MUARASIPONGI,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100378968404665836548"">andi</a>'], 'photo_reference': 'AUGGfZnEO_zEqrpvVRMCPPy-ZluYNYU_2Q-rZK9hy9HQK7HS2nd7s-QnW3giBhcipCaPZhP6OU_d7pzMG71iR6yxLAUyXKdLkmMhkk48n2t2IqJG-aDEudy7BnL1eoczY0Lo0zgizoL84GG_AiYRFVpOA9FUxUsMic1_rZbPbDl4QO17MAYh', 'width': 4032}]",ChIJKcZx8WmrKzAR1Nmc90Ib9_c,4.7,ChIJKcZx8WmrKzAR1Nmc90Ib9_c,"['lodging', 'point_of_interest', 'establishment']",39,https://www.google.com/maps/place/?q=place_id:ChIJKcZx8WmrKzAR1Nmc90Ib9_c
OPERATIONAL,"MP2Q+5QV Hotel arrayyan, Muara Pungkut, Kec. Kotanopan, Kabupaten Mandailing Natal, Sumatera Utara 22994, Indonesia","{'location': {'lat': 0.6504883, 'lng': 99.7394176}, 'viewport': {'northeast': {'lat': 0.6516759798927222, 'lng': 99.74077017989273}, 'southwest': {'lat': 0.6489763201072777, 'lng': 99.73807052010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel arrayyan,,,ChIJV-AnkIGtKzARyOxI2snyt_Y,0.0,ChIJV-AnkIGtKzARyOxI2snyt_Y,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJV-AnkIGtKzARyOxI2snyt_Y
OPERATIONAL,"G2XG+VC6, Huta Pungkut Tonga, Kotanopan, Kabupaten Mandailing Natal, Sumatera Utara 26353, Indonesia","{'location': {'lat': 0.5496694999999999, 'lng': 100.026036}, 'viewport': {'northeast': {'lat': 0.5509641798927222, 'lng': 100.0273100798927}, 'southwest': {'lat': 0.5482645201072777, 'lng': 100.0246104201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,WISMA INDAH,,"[{'height': 1351, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105343616217481647629"">A Google User</a>'], 'photo_reference': 'AUGGfZk5wcK8IbtXd4bO2bl_NYHNWTDWRUjwaJUCFRBP-9BkVMkJgO9A2jsSCx-jdSWhVIIaTGznYHvW8tH6GA_U1TLVZ3JUEkbQfJKfETVAtaJ8cVUgQ56f2A7bGhQD73m4_CCEAO5188liG8--XKdQmiCwQxuQZKaGOIv9W8_W0Fsre1WD', 'width': 640}]",ChIJhyeCMlL8KjARl3_ve97r0DY,3.9,ChIJhyeCMlL8KjARl3_ve97r0DY,"['lodging', 'point_of_interest', 'establishment']",55,https://www.google.com/maps/place/?q=place_id:ChIJhyeCMlL8KjARl3_ve97r0DY
OPERATIONAL,"MP94+6V3, Pasar Kotanopan, Kotanopan, Mandailing Natal Regency, North Sumatra 22994, Indonesia","{'location': {'lat': 0.6680016, 'lng': 99.70718409999999}, 'viewport': {'northeast': {'lat': 0.6693067298927222, 'lng': 99.70861107989272}, 'southwest': {'lat': 0.6666070701072778, 'lng': 99.70591142010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,MESS PEMPROVSU KOTANOPAN,,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109790006857489744201"">indra kurniawan siregar</a>'], 'photo_reference': 'AUGGfZkxk563h0TnBj1g0EKrcxKhP_joAprKG4QwgwIxND4j8wPc0pNc607pl4zOwac9_gV4utJ2TRWOS_Ct-O54ohdtyKHl5EX6cX4kOTjWqm3LW1SAyADKXMHQn8qJ8eE5xfA-yoTVZg33b7cR2rZfpmgIbidbv0fsh3aOhEWm-ICTXInq', 'width': 2560}]",ChIJeTXmBPaxKzARjOQxKXIksac,4.3,ChIJeTXmBPaxKzARjOQxKXIksac,"['lodging', 'point_of_interest', 'establishment']",144,https://www.google.com/maps/place/?q=place_id:ChIJeTXmBPaxKzARjOQxKXIksac
OPERATIONAL,"MHXX+GF4, Huta Tinggi, Puncak Sorik Marapi, Mandailing Natal Regency, North Sumatra 22994, Indonesia","{'location': {'lat': 0.6987616999999999, 'lng': 99.59871659999999}, 'viewport': {'northeast': {'lat': 0.7001115298927221, 'lng': 99.60006642989272}, 'southwest': {'lat': 0.6974118701072777, 'lng': 99.59736677010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Khoirul anwar,,,ChIJr6k7h163KzARx2E5sExi4W0,0.0,ChIJr6k7h163KzARx2E5sExi4W0,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJr6k7h163KzARx2E5sExi4W0
OPERATIONAL,"MHXX+9CQ, Huta Tinggi, Puncak Sorik Marapi, Mandailing Natal Regency, North Sumatra 22994, Indonesia","{'location': {'lat': 0.6984598000000001, 'lng': 99.5985397}, 'viewport': {'northeast': {'lat': 0.7005219500000001, 'lng': 99.59962497989272}, 'southwest': {'lat': 0.69220655, 'lng': 99.59692532010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,ANGZ,,,ChIJlb7p06G3KzARrLICtZmub6s,0.0,ChIJlb7p06G3KzARrLICtZmub6s,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJlb7p06G3KzARrLICtZmub6s
OPERATIONAL,"MHWR+63V, Unnamed Road, Hutanamale, Kec. Puncak Sorik Marapi, Kabupaten Mandailing Natal, Sumatera Utara 22994, Indonesia","{'location': {'lat': 0.6956019, 'lng': 99.59017779999999}, 'viewport': {'northeast': {'lat': 0.6969202798927223, 'lng': 99.59118202989272}, 'southwest': {'lat': 0.6942206201072778, 'lng': 99.58848237010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rumah Cadik,,,ChIJk2VDpy63KzAR0w572JXOjsw,0.0,ChIJk2VDpy63KzAR0w572JXOjsw,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJk2VDpy63KzAR0w572JXOjsw
OPERATIONAL,"MP94+R9C, Jl. Trans Sumatera Bukittinggi - Padang Sidempuan, Ps. Kotanopan, Kec. Kotanopan, Kabupaten Mandailing Natal, Sumatera Utara 22994, Indonesia","{'location': {'lat': 0.669578, 'lng': 99.7059118}, 'viewport': {'northeast': {'lat': 0.670902329892722, 'lng': 99.70722697989272}, 'southwest': {'lat': 0.6682026701072776, 'lng': 99.70452732010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,hotel nagara kotanopan,,"[{'height': 352, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103066547179619224954"">- ハリファ</a>'], 'photo_reference': 'AUGGfZngf1iNawe461LcPnYW0sMMkZQ4_u9kOsXRcrcY652ZcOi3J8FEJlRbMEggM08ROfieK6Soz9zvKLJZKZT-ayENywai8-tGbQwkD-gjj80RWX8jLq619x4a1sYWZ8ELceq8jy0SCopNxr8smDaTWxSExXAIKe-_tbZMXDhk6fGQn5CC', 'width': 1808}]",ChIJs-XDzfWxKzARKRNhKLsGrMM,3.8,ChIJs-XDzfWxKzARKRNhKLsGrMM,"['lodging', 'point_of_interest', 'establishment']",93,https://www.google.com/maps/place/?q=place_id:ChIJs-XDzfWxKzARKRNhKLsGrMM
OPERATIONAL,"MP95+56J, Jl. Trans Sumatera Bukittinggi - Padang Sidempuan, Ps. Kotanopan, Kec. Kotanopan, Kabupaten Mandailing Natal, Sumatera Utara 22994, Indonesia","{'location': {'lat': 0.6679974, 'lng': 99.7080191}, 'viewport': {'northeast': {'lat': 0.6692720298927223, 'lng': 99.70931892989272}, 'southwest': {'lat': 0.6665723701072778, 'lng': 99.70661927010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Arayan,,"[{'height': 1965, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102390126193742407461"">Vixtr Victr</a>'], 'photo_reference': 'AUGGfZkzM4fPto5VC9qS5hy9T8pkiz8AUIzGMSex9cLyDxKV_3JVUDLavKnfs04D0JBFhezx4QeHdTvwq4Mg1uxVMwQAMrkSAn1Haxsl_Wa6UlWcAlautOs8zWZ54HQ5k_bJ-hSb2goSJ6W0LKMuKgdIgK_fMQzGBQ_juROfqWVL33e9y1-c', 'width': 1665}]",ChIJr1JkJ_axKzARvRqYRXCTvhI,4.0,ChIJr1JkJ_axKzARvRqYRXCTvhI,"['lodging', 'point_of_interest', 'establishment']",120,https://www.google.com/maps/place/?q=place_id:ChIJr1JkJ_axKzARvRqYRXCTvhI
OPERATIONAL,"PHJC+WJ2, Purba Julu, Puncak Sorik Marapi, Mandailing Natal Regency, North Sumatra 22994, Indonesia","{'location': {'lat': 0.7322514999999999, 'lng': 99.57152049999999}, 'viewport': {'northeast': {'lat': 0.7329799798927222, 'lng': 99.57252482989271}, 'southwest': {'lat': 0.7302803201072777, 'lng': 99.56982517010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rahmat Saipul Aek Milas,,,ChIJnf0Yn2e3KzARL81zumtISPI,0.0,ChIJnf0Yn2e3KzARL81zumtISPI,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJnf0Yn2e3KzARL81zumtISPI
