business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,permanently_closed,opening_hours,url
OPERATIONAL,"P49M+J7, Kertajaya, Tanggeung, Cianjur Regency, West Java 43267, Indonesia","{'location': {'lat': -7.2809686, 'lng': 107.1332184}, 'viewport': {'northeast': {'lat': -7.279502320107279, 'lng': 107.1347434798927}, 'southwest': {'lat': -7.282201979892723, 'lng': 107.1320438201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanggeung,ChIJT5SiuvF7aC4RxWAqFUycv-A,3.9,ChIJT5SiuvF7aC4RxWAqFUycv-A,"['tourist_attraction', 'point_of_interest', 'establishment']",9,,,,,https://www.google.com/maps/place/?q=place_id:ChIJT5SiuvF7aC4RxWAqFUycv-A
OPERATIONAL,"P4QP+99M, Cilongsong, Tanggeung, Cianjur Regency, West Java 43267, Indonesia","{'location': {'lat': -7.261505999999999, 'lng': 107.1359107}, 'viewport': {'northeast': {'lat': -7.260008270107277, 'lng': 107.1371742298927}, 'southwest': {'lat': -7.262707929892721, 'lng': 107.1344745701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pongpok,ChIJIS-HHwFlaC4R38kP05mm9oc,5.0,ChIJIS-HHwFlaC4R38kP05mm9oc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJIS-HHwFlaC4R38kP05mm9oc
OPERATIONAL,"P4GP+H7, Sirnajaya, Tanggeung, Cianjur Regency, West Java, Indonesia","{'location': {'lat': -7.2735017, 'lng': 107.1357134}, 'viewport': {'northeast': {'lat': -7.272562620107276, 'lng': 107.1366944}, 'southwest': {'lat': -7.27526227989272, 'lng': 107.1327704}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Panineungan Abah Eman,ChIJZTxp9WJlaC4RsVStFWyQ-dw,0.0,ChIJZTxp9WJlaC4RsVStFWyQ-dw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105465614678490692967"">A Google User</a>'], 'photo_reference': 'AUGGfZnjDjYy-wktasWbn7d5eqTvqdo5QKar-c7VGbo_Yv70H6I14XADmA1pE4mJre5taVDcK_dqYpyTBLyia1qkziFBstLFO0p7o8SBzXUh6buOUWGcmgck749Ed9ezwKWxLHAsmCZkuUE_SQQ8oWluLdZO6XGSli8xao765Q9J6-PQEtPd', 'width': 2275}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJZTxp9WJlaC4RsVStFWyQ-dw
OPERATIONAL,"P5Q4+5C5, Sirnajaya, Tanggeung, Cianjur Regency, West Java 43267, Indonesia","{'location': {'lat': -7.2621243, 'lng': 107.1561113}, 'viewport': {'northeast': {'lat': -7.261240920107279, 'lng': 107.15685835}, 'southwest': {'lat': -7.263940579892723, 'lng': 107.15387015}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SITU SUKAMANAH,ChIJU9eUldtkaC4R6Qdmnvjn1b4,3.7,ChIJU9eUldtkaC4R6Qdmnvjn1b4,"['tourist_attraction', 'point_of_interest', 'establishment']",21,"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110222202598037033586"">pengung...</a>'], 'photo_reference': 'AUGGfZkW_hT2hwtY9Ju_PjjVw891Ej2jgf_fdwBXav7f4HSSdRrnxjMgYByv36FbpGMNXdSU5dabKc6yQKJiBUyjsyKgT4cnZXz10dR_3-FURUL7Y6t5-ubGQqr9_5-SMju2IcYglkArabkP7MmFVCPFNUBWeMu7zHWNVNxfxB_lHW4LptI', 'width': 7248}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJU9eUldtkaC4R6Qdmnvjn1b4
OPERATIONAL,"P4PJ+MVF, Cicurug/Cinangsi, Cilongsong, Kec. Tanggeung, Kabupaten Cianjur, Jawa Barat 43267, Indonesia","{'location': {'lat': -7.2633051, 'lng': 107.1321571}, 'viewport': {'northeast': {'lat': -7.261991020107278, 'lng': 107.1335735798927}, 'southwest': {'lat': -7.264690679892722, 'lng': 107.1308739201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ci curug,ChIJjQlu2_NlaC4RIN79zRUFFp0,5.0,ChIJjQlu2_NlaC4RIN79zRUFFp0,"['tourist_attraction', 'point_of_interest', 'establishment']",3,"[{'height': 2410, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111767999457245192628"">A Google User</a>'], 'photo_reference': 'AUGGfZncZYs7orBdA34tU9dKJ_GTzkZaZMdcrxq_e7eLKK_qCPHEi8tQZB1efVKyYo9LS1JXPsqeWQf1Zzdn9aPQQBNijF1krsUbDOMA9nHICSH4lSpCa0pC61rLl-_Pqd2o7Mis4v7FPY2Kdsv9t-wF0Ha6Bh0p9tGM5lgJQv_WcHzAli-1', 'width': 3615}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJjQlu2_NlaC4RIN79zRUFFp0
OPERATIONAL,"P46C+QM2, Jl. Raya Cibinong, Girijaya, Kec. Tanggeung, Kabupaten Cianjur, Jawa Barat, Indonesia","{'location': {'lat': -7.2881084, 'lng': 107.1216409}, 'viewport': {'northeast': {'lat': -7.286749570107278, 'lng': 107.1230210798927}, 'southwest': {'lat': -7.289449229892722, 'lng': 107.1203214201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pintu Utama Curug Luhur,ChIJnd3NmLV7aC4RB5IdHBgLurk,0.0,ChIJnd3NmLV7aC4RB5IdHBgLurk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJnd3NmLV7aC4RB5IdHBgLurk
OPERATIONAL,"P4FM+GXJ, Sirnajaya, Tanggeung, Cianjur Regency, West Java 43267, Indonesia","{'location': {'lat': -7.275668800000001, 'lng': 107.1351196}, 'viewport': {'northeast': {'lat': -7.274610870107278, 'lng': 107.1364758798927}, 'southwest': {'lat': -7.277310529892722, 'lng': 107.1337762201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curug Keramat Cigembong,ChIJh1z2uCFlaC4Rkhy794wskTs,0.0,ChIJh1z2uCFlaC4Rkhy794wskTs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105465614678490692967"">A Google User</a>'], 'photo_reference': 'AUGGfZkXJIlT0SwAn9X9LngElAvfEdsVo1E277m1MnyZMjCBukSePXAz_fD37M4_4faH_HW6suRjt9kguBu9Pw1YOx9wulxOq94ZFljIbjAt1_aOP8g3td1rsILcApj2g1GbmfoIcvvkGIcaOHtLfMwOIR7MOLHPkifU0p0Sg4LZ_sZur1JZ', 'width': 720}]",,,,https://www.google.com/maps/place/?q=place_id:ChIJh1z2uCFlaC4Rkhy794wskTs
OPERATIONAL,"Kp Cisuren No.2, Pasirjambu, Kec. Tanggeung, Kabupaten Cianjur, Jawa Barat 43267, Indonesia","{'location': {'lat': -7.250551600000001, 'lng': 107.1724238}, 'viewport': {'northeast': {'lat': -7.248850920107279, 'lng': 107.1732444}, 'southwest': {'lat': -7.251550579892723, 'lng': 107.169962}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pasir Keramat rawa Suren,ChIJEy5aSwBlaC4R6wW1OXJernw,0.0,ChIJEy5aSwBlaC4R6wW1OXJernw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"{'compound_code': 'P5XC+QX Pasirjambu, Cianjur Regency, West Java, Indonesia', 'global_code': '6P49P5XC+QX'}",,,https://www.google.com/maps/place/?q=place_id:ChIJEy5aSwBlaC4R6wW1OXJernw
OPERATIONAL,"P5X5+R36, Pasirjambu, Tanggeung, Cianjur Regency, West Java 43267, Indonesia","{'location': {'lat': -7.2504501, 'lng': 107.1576529}, 'viewport': {'northeast': {'lat': -7.249085020107277, 'lng': 107.1586923298927}, 'southwest': {'lat': -7.251784679892721, 'lng': 107.1559926701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SItu Cipicung,ChIJqwTB9GBlaC4RqxpxGLty3Ss,5.0,ChIJqwTB9GBlaC4RqxpxGLty3Ss,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,,https://www.google.com/maps/place/?q=place_id:ChIJqwTB9GBlaC4RqxpxGLty3Ss
CLOSED_TEMPORARILY,"Q35W+243, RT.02/RW.02, Pagermaneuh, Kec. Tanggeung, Kabupaten Cianjur, Jawa Barat, Indonesia","{'location': {'lat': -7.2424945, 'lng': 107.0952864}, 'viewport': {'northeast': {'lat': -7.241144670107277, 'lng': 107.0966362298927}, 'southwest': {'lat': -7.24384432989272, 'lng': 107.0939365701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Empang Abah,ChIJb28qWLlvaC4Rj9MUcUwOqeU,0.0,ChIJb28qWLlvaC4Rj9MUcUwOqeU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,True,,https://www.google.com/maps/place/?q=place_id:ChIJb28qWLlvaC4Rj9MUcUwOqeU
