business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,place_id,rating,reference,types,user_ratings_total,opening_hours,photos,url
CLOSED_TEMPORARILY,"74R5+C5J, Penu, Taliabu Timur, Taliabu Island Regency, North Maluku, Indonesia","{'location': {'lat': -1.7089219, 'lng': 125.1078901}, 'viewport': {'northeast': {'lat': -1.707572070107278, 'lng': 125.1092399298927}, 'southwest': {'lat': -1.710271729892722, 'lng': 125.1065402701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pelabuhan,True,ChIJNQHEcqdJeC0Rye9UsSncJuA,4.0,ChIJNQHEcqdJeC0Rye9UsSncJuA,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJNQHEcqdJeC0Rye9UsSncJuA
OPERATIONAL,"772V+8W, Samuya, Taliabu Timur, Taliabu Island Regency, North Maluku, Indonesia","{'location': {'lat': -1.7491875, 'lng': 125.2948125}, 'viewport': {'northeast': {'lat': -1.747837670107278, 'lng': 125.2961623298927}, 'southwest': {'lat': -1.750537329892722, 'lng': 125.2934626701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Incafa,,ChIJi3AsbAC1eS0Ra07qK3y4SNA,0.0,ChIJi3AsbAC1eS0Ra07qK3y4SNA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJi3AsbAC1eS0Ra07qK3y4SNA
OPERATIONAL,"4R8J+CHH, Pencado, Pulau Taliabu, Taliabu Island Regency, North Maluku, Indonesia","{'location': {'lat': -1.8839364, 'lng': 124.831472}, 'viewport': {'northeast': {'lat': -1.882483970107278, 'lng': 124.8329780298927}, 'southwest': {'lat': -1.885183629892722, 'lng': 124.8302783701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Kabuta Wayo,,ChIJrbeLAH0XeC0R1ZbGR4eE39o,4.7,ChIJrbeLAH0XeC0R1ZbGR4eE39o,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,"[{'height': 338, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101405603064257278597"">A Google User</a>'], 'photo_reference': 'AUGGfZkFdixoPviuV78Pp1LIC_pBauJGu-F9lOAIb8-vnKBmrYESSY_Hr3esZZdmMYyTaUtS3lZkjGP6svMetsukJTVVw7CBsWuTSTToEJhGdLYuT0nTxQ7oxI3vZs01p0b3ZTXHGJSoJqrF3hAAdMSeeL2eeG7q_T-N5hkp4-kT4y3SLQn3', 'width': 720}]",https://www.google.com/maps/place/?q=place_id:ChIJrbeLAH0XeC0R1ZbGR4eE39o
OPERATIONAL,"8Q6V+3PW, Unnamed Road, Air Kalimat, Kec. Taliabu Utara, Pulau Taliabu, Maluku Utara, Indonesia","{'location': {'lat': -1.689771, 'lng': 124.794326}, 'viewport': {'northeast': {'lat': -1.688421170107278, 'lng': 124.7956758298927}, 'southwest': {'lat': -1.691120829892722, 'lng': 124.7929761701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kalimat Waterfall,,ChIJD1W2FcRpeC0Rf5SPBFxkZSU,4.5,ChIJD1W2FcRpeC0Rf5SPBFxkZSU,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113257623634023506914"">Giga Nusantara</a>'], 'photo_reference': 'AUGGfZmskuxW7ZYuBqo25CT4YZcVhNowXOvjfgTquDLtsE0L9UYSwhwXer7am-BSSEotzHHUwXyGLZOA4JL0JzeOAdLPeW4MScSinBjaOfqWR7JoBfwGAQkDn66gbn_zvmhJy-fubE_CTrY944hstArogOaRi20UTM3gkB13LIxIgcQPB7Az', 'width': 3120}]",https://www.google.com/maps/place/?q=place_id:ChIJD1W2FcRpeC0Rf5SPBFxkZSU
OPERATIONAL,"848G+9P3, Penu, Taliabu Timur, Taliabu Island Regency, North Maluku, Indonesia","{'location': {'lat': -1.684115, 'lng': 125.1268057}, 'viewport': {'northeast': {'lat': -1.682765170107278, 'lng': 125.1281555298927}, 'southwest': {'lat': -1.685464829892722, 'lng': 125.1254558701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Batu,,ChIJY5OMJwBPeC0Rqwe3Sq0Ycto,0.0,ChIJY5OMJwBPeC0Rqwe3Sq0Ycto,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJY5OMJwBPeC0Rqwe3Sq0Ycto
OPERATIONAL,"8455+57R, Penu, Taliabu Timur, Taliabu Island Regency, North Maluku, Indonesia","{'location': {'lat': -1.6920133, 'lng': 125.1081426}, 'viewport': {'northeast': {'lat': -1.690663470107278, 'lng': 125.1094924298927}, 'southwest': {'lat': -1.693363129892722, 'lng': 125.1067927701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung Bape,,ChIJYcF9JgBJeC0RPNMbz_jdk4w,0.0,ChIJYcF9JgBJeC0RPNMbz_jdk4w,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJYcF9JgBJeC0RPNMbz_jdk4w
OPERATIONAL,"9J65+8G, Nunca, Taliabu Utara, Taliabu Island Regency, North Maluku, Indonesia","{'location': {'lat': -1.6392196, 'lng': 124.6088279}, 'viewport': {'northeast': {'lat': -1.638321670107278, 'lng': 124.6101002298927}, 'southwest': {'lat': -1.641021329892722, 'lng': 124.6074005701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,NUDUNG beach,,ChIJU7JxmgBxeC0RO_WkZDE8DnQ,4.0,ChIJU7JxmgBxeC0RO_WkZDE8DnQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 288, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118043820922451617190"">A Google User</a>'], 'photo_reference': 'AUGGfZmhauy87LC-ao1NUmwfNC0iVSmewRE9HuZBmayK5TDePweQFzxeL4LmEPiN7vkhIL2BHeXL7XHFn6oqTklsbYyUy-eNSdAJ_GWCQa99vpFpdR-v59K4EXRMd98M-0BE09fdl6vd6hTKdFy6uDiwBGDQoPtvHjRxLPOqFA2ILzoCnCOZ', 'width': 512}]",https://www.google.com/maps/place/?q=place_id:ChIJU7JxmgBxeC0RO_WkZDE8DnQ
OPERATIONAL,"8QGM+C2Q, Hai, Taliabu Utara, Kabupaten Kepulauan Sula, North Maluku, Indonesia","{'location': {'lat': -1.675048, 'lng': 124.7834008}, 'viewport': {'northeast': {'lat': -1.6733109, 'lng': 124.7847847798927}, 'southwest': {'lat': -1.6802593, 'lng': 124.7820851201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,WISATA PASIRANJING PULAU TALIABU,,ChIJ0ajHLABpeC0Re6AjAruSg-E,0.0,ChIJ0ajHLABpeC0Re6AjAruSg-E,"['tourist_attraction', 'point_of_interest', 'establishment']",0,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJ0ajHLABpeC0Re6AjAruSg-E
OPERATIONAL,"3X6H+Q55, Kawadang, Taliabu Timur Selatan, Taliabu Island Regency, North Maluku, Indonesia","{'location': {'lat': -1.9381244, 'lng': 124.977979}, 'viewport': {'northeast': {'lat': -1.936774570107278, 'lng': 124.9793288298927}, 'southwest': {'lat': -1.939474229892723, 'lng': 124.9766291701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanjung tabuka,,ChIJndKdoRQleC0RUQievwgtuCM,0.0,ChIJndKdoRQleC0RUQievwgtuCM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJndKdoRQleC0RUQievwgtuCM
CLOSED_TEMPORARILY,"6898+969, Samuya, Taliabu Timur, Kepulauan Sula Regency, North Maluku, Indonesia","{'location': {'lat': -1.7815918, 'lng': 125.3156145}, 'viewport': {'northeast': {'lat': -1.780241970107278, 'lng': 125.3169643298927}, 'southwest': {'lat': -1.782941629892722, 'lng': 125.3142646701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu pombo,True,ChIJp4kbQa7JeS0RZtv3yphxu3k,0.0,ChIJp4kbQa7JeS0RZtv3yphxu3k,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108821411815337557176"">A Google User</a>'], 'photo_reference': 'AUGGfZlDhiuGe2pnubuQfKXhcygnFPhb2fidPLGmsA3T7zIIDCKjB7mN3tuNYJB778LBTWdRRBppNty0Dpxd0Vx2rI8ggXQaZPaEXbeCHL0PwXjRguYdnLgJ-Dwl7Zx1XzWu69zTn4H8sxBnNFKnraJJk058t9DVgmtvtQKQ33rJy4oUJMyC', 'width': 1080}]",https://www.google.com/maps/place/?q=place_id:ChIJp4kbQa7JeS0RZtv3yphxu3k
