formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,types,business_status,photos,rating,user_ratings_total,opening_hours,plus_code,permanently_closed,url
"Sabuluan, Sembakung, Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.7506964, 'lng': 116.8556955}, 'viewport': {'northeast': {'lat': 3.929859, 'lng': 116.8730439}, 'southwest': {'lat': 3.6863101, 'lng': 116.8362499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sabuluan,ChIJpeRwM66NFjIREZZPhibMKLk,ChIJpeRwM66NFjIREZZPhibMKLk,"['administrative_area_level_4', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJpeRwM66NFjIREZZPhibMKLk
"Katul, Sembakung, Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.8255679, 'lng': 116.9440313}, 'viewport': {'northeast': {'lat': 3.9307511, 'lng': 116.9886839}, 'southwest': {'lat': 3.708142, 'lng': 116.928762}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Katul,ChIJzzbanw2PFjIRm2527FoT_Ao,ChIJzzbanw2PFjIRm2527FoT_Ao,"['administrative_area_level_4', 'political']",,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJzzbanw2PFjIRm2527FoT_Ao
"VMF6+H8, Tanjung Hilir, Lumbis, Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.8739769, 'lng': 116.6607677}, 'viewport': {'northeast': {'lat': 3.875326729892723, 'lng': 116.6621175298927}, 'southwest': {'lat': 3.872627070107278, 'lng': 116.6594178701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Suyadon,ChIJByRlKub3FjIRpuh5uOs6gTE,ChIJByRlKub3FjIRpuh5uOs6gTE,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 4208, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114871526006983770112"">A Google User</a>'], 'photo_reference': 'AUGGfZlycWctQZnaVtZjV-R-8GH4KF6e8BtZVB0xUm9prYA0sX0RQB-VCzXwHt24ZhabCpMb07ufOFeNbbRd2vZeSlRXFKlTYssQ7KZecBdoHvHKrncUxACpAgt_l2ISfl72Qn6w7l857b4Rhh26n_EjvsQE859GAFs3IybZjlFjBOTi56xC', 'width': 2366}]",3.0,2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJByRlKub3FjIRpuh5uOs6gTE
"3MGJ+X76, South Nunukan, Nunukan Regency, North Kalimantan 77482, Indonesia","{'location': {'lat': 4.0774221, 'lng': 117.6806508}, 'viewport': {'northeast': {'lat': 4.078722229892721, 'lng': 117.68333685}, 'southwest': {'lat': 4.076022570107277, 'lng': 117.67975545}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puncak lestari,ChIJFR-boMu7FTIRlzpymcsmxdE,ChIJFR-boMu7FTIRlzpymcsmxdE,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108494192696624587492"">Andi Imran</a>'], 'photo_reference': 'AUGGfZlEIbUcPIO43GRDNId7p3IAIAGa7NLWHifGg3eqXdWMV5ByyWjYJC8gDoKy487OInaJEZrRg2GgxN0Bu-Dl3m2WVj15rWQ9_3iIGO7svAV6SzSDK-mCKQhsOt9Bk2PqiOOHIg10n0c-U4L3KonS3w5eWyTIzI4JYGdc4Nzgcirkjhxg', 'width': 720}]",4.8,6.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJFR-boMu7FTIRlzpymcsmxdE
"Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 4.0809649, 'lng': 116.6081653}, 'viewport': {'northeast': {'lat': 4.407823, 'lng': 117.930611}, 'southwest': {'lat': 3.40264, 'lng': 115.5583519}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nunukan Regency,ChIJJ52hdF_qFjIRBvjJOT75FgE,ChIJJ52hdF_qFjIRBvjJOT75FgE,"['administrative_area_level_2', 'political']",,"[{'height': 622, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101664315934004477081"">Woodworking Bali</a>'], 'photo_reference': 'AUGGfZku1ehobbNYgvYZUxcZW42e1eUycG8_MAk0RrHWeKKCkgg1LVkUphO0O9s4KCKyym6PnA3wDV9g4S4haHOauf1na4yR_oxqEhY3felrKjtlHjqBSuBg8MWJ2uX69cxKVEOKvZct3_bG8vJyrJPxIsrNqY6LaojrHH9b81Wrjb9aMMWx', 'width': 1280}]",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJJ52hdF_qFjIRBvjJOT75FgE
"5V6J+R67, Pancang, Sebatik, Nunukan Regency, North Kalimantan 77483, Indonesia","{'location': {'lat': 4.1620384, 'lng': 117.8805545}, 'viewport': {'northeast': {'lat': 4.163348729892722, 'lng': 117.8819052298927}, 'southwest': {'lat': 4.160649070107278, 'lng': 117.8792055701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Garuda Perkasa,ChIJbzoUnDGhFTIRblHS-8c_eXg,ChIJbzoUnDGhFTIRblHS-8c_eXg,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104043972580405604069"">A Google User</a>'], 'photo_reference': 'AUGGfZllU5JPnphCX7fjncCDJtwiFuCt_ipZOHsrzKXS0PtN2AdrPa0Rb1_HfQsWVP-GBItB3bnN3qwWtg-R1JGPMFLXOsGYVYkeaVkhg8f32egk3bPhPIXlT1Y67N1Gzj_Kabf2-fqPng_0vWIGkmRqPTb_JBJ8X9a8JgX00zMyQBVxEL9K', 'width': 4000}]",4.6,153.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJbzoUnDGhFTIRblHS-8c_eXg
"Jl. Pattimura, Nunukan Tim., Kec. Nunukan, Kabupaten Nunukan, Kalimantan Utara 77482, Indonesia","{'location': {'lat': 4.1403883, 'lng': 117.6511455}, 'viewport': {'northeast': {'lat': 4.141809379892723, 'lng': 117.6526123798927}, 'southwest': {'lat': 4.139109720107279, 'lng': 117.6499127201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Alun - Alun Kota Nunukan,ChIJTZxiaSS8FTIRV9VhaBg_s0I,ChIJTZxiaSS8FTIRV9VhaBg_s0I,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105809867926181471098"">azmiee</a>'], 'photo_reference': 'AUGGfZl_xGBuD7MFwoDWE2nXVizTDr7rs80tozer6y73TrC3SNmMDvyAbSZ6mHvMhuXE5tlTfqqAAI-OhWkPLIsthlikKEGszVqdSl7sUrxN0p_YbcPg1OvDp1s3M1IvqFPVtonWTbpYzc8QVU-IvhPqV-Y14SChNM1wc_pYjU-g0371eN7L', 'width': 3024}]",4.3,2388.0,{'open_now': True},"{'compound_code': '4MR2+5F East Nunukan, Nunukan Regency, North Kalimantan, Indonesia', 'global_code': '6PPV4MR2+5F'}",,https://www.google.com/maps/place/?q=place_id:ChIJTZxiaSS8FTIRV9VhaBg_s0I
"5Q26+5F2, Jl. Lkr. Pulau Sebatik, Aji Kuning, Kec. Sebatik Tengah, Kabupaten Nunukan, Kalimantan Utara 77483, Indonesia","{'location': {'lat': 4.1503861, 'lng': 117.7611396}, 'viewport': {'northeast': {'lat': 4.151697229892721, 'lng': 117.7624319798927}, 'southwest': {'lat': 4.148997570107277, 'lng': 117.7597323201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tugu Lingkar Pulau Sebatik,ChIJ1_imcgijFTIRV25qLNfmbNs,ChIJ1_imcgijFTIRV25qLNfmbNs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104136535612723646966"">A Google User</a>'], 'photo_reference': 'AUGGfZnt3rysWgWFv5rKXLkrOF_1uYCDjCAHXIs2jeVw7JkUS2oPm2xskxC2Yjr-Cp3cT-aWMAWZGVgyeAoLxxwZ0USzdWIm6wdeP2e8TWnhGJK5RyW5TWs_JAinbrmHONkBKMgxJ55fQ2mnZA_NEVOSAIkVn4wWkfEJU1iGK0agotTbDCOC', 'width': 1600}]",4.0,5.0,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ1_imcgijFTIRV25qLNfmbNs
"Sembakung, Nunukan Regency, North Kalimantan, Indonesia","{'location': {'lat': 3.8024611, 'lng': 117.2205771}, 'viewport': {'northeast': {'lat': 3.9552369, 'lng': 117.83905}, 'southwest': {'lat': 3.6364641, 'lng': 116.7596499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sembakung,ChIJuXJlcFkEFDIRi7vaHPe09Vo,ChIJuXJlcFkEFDIRi7vaHPe09Vo,"['administrative_area_level_3', 'political']",,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107731411105215658603"">A Google User</a>'], 'photo_reference': 'AUGGfZls4LVRUtI-cOW5Wcm-sYuDPR-nbhhs5iRcP3oqOG3SHEJUmJtSCiTpvbLMcpqv-eop3HnI6jIyfpfyazGzszBLsCJt59O-Hvmn8F2insGK5P0gt-VQAbAHLSesycixP5eD3wNWPMxdbdWVHxrRJJ1rXMjoJwd5sLiRWGWgTzFgCFhd', 'width': 3120}]",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJuXJlcFkEFDIRi7vaHPe09Vo
"QQ2P+QV2, Liuk Bulu, Sembakung, Nunukan Regency, North Kalimantan 77457, Indonesia","{'location': {'lat': 3.7511116, 'lng': 116.7859806}, 'viewport': {'northeast': {'lat': 3.752789229892722, 'lng': 116.7872928798927}, 'southwest': {'lat': 3.750089570107278, 'lng': 116.7845932201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/parking-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/parking_pinlet,rumah mastri,ChIJe29KZg_tFjIRJHb3OzE7lQ4,ChIJe29KZg_tFjIRJHb3OzE7lQ4,"['parking', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJe29KZg_tFjIRJHb3OzE7lQ4
