formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,plus_code,rating,user_ratings_total,opening_hours,url
"Pagerbarang, Tegal Regency, Central Java, Indonesia","{'location': {'lat': -7.004991599999999, 'lng': 109.0534882}, 'viewport': {'northeast': {'lat': -6.973057000000001, 'lng': 109.095103}, 'southwest': {'lat': -7.0551799, 'lng': 109.018486}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pagerbarang,"[{'height': 1016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101750506179015191437"">Almutaz Bilah</a>'], 'photo_reference': 'AUGGfZnRvbA1DQwlXz9kYkVN-o1G-WtTytkiLiqXk3ISgBuYXeln62l-M0pV-ES7EffCfzebChDJG4j2sY-qt4my3Cosz3cMvgZOH6FGtMrjTr4mu86hd-Z20CBtnUA5vwUvnJUD2g5RmtIypPX55-do3CBhd2fcPJl0K10b5hZRMazbH0nU', 'width': 720}]",ChIJXR_Qxpe9by4R8PdS43Z6AgQ,ChIJXR_Qxpe9by4R8PdS43Z6AgQ,"['administrative_area_level_3', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJXR_Qxpe9by4R8PdS43Z6AgQ
"Jl. Raya Sel. No.42, Pagerbarang, Kec. Pagerbarang, Kabupaten Tegal, Jawa Tengah 52462, Indonesia","{'location': {'lat': -7.010509, 'lng': 109.0531224}, 'viewport': {'northeast': {'lat': -7.009199770107277, 'lng': 109.0544726798927}, 'southwest': {'lat': -7.011899429892721, 'lng': 109.0517730201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pasar Jati Rajegwesi Pagerbarang,,ChIJETqNUaO9by4RSk_x2e5RZlY,ChIJETqNUaO9by4RSk_x2e5RZlY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'X3Q3+Q6 Pagerbarang, Tegal Regency, Central Java, Indonesia', 'global_code': '6P4FX3Q3+Q6'}",5.0,6.0,,https://www.google.com/maps/place/?q=place_id:ChIJETqNUaO9by4RSk_x2e5RZlY
"Mulyoharjo, Pagerbarang, Tegal Regency, Central Java 52462, Indonesia","{'location': {'lat': -7.0214509, 'lng': 109.0751895}, 'viewport': {'northeast': {'lat': -7.020098870107279, 'lng': 109.0765415298927}, 'southwest': {'lat': -7.022798529892722, 'lng': 109.0738418701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BUMDes Bintang Sinar Raya,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104869144419645127228"">A Google User</a>'], 'photo_reference': 'AUGGfZn9IHFpic8ItT6DIMU15G9ImfxCYv9uiuLDOwuVEGGxBEOXiFpfoncR_1693M3xEL3jVMB-z-XdjuNrkrK_D7rVEwq4lzMOdsJwKzO02Th9etvj6sjAtOoiuh2vuKW76WNET2tTJCwSBVR1rWtYtWo-4ADHmguF-8XkbOkIeeQ0ELWY', 'width': 2256}]",ChIJjxWSQb29by4R8LBvOOo8FnM,ChIJjxWSQb29by4R8LBvOOo8FnM,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'X3HG+C3 Mulyoharjo, Tegal Regency, Central Java, Indonesia', 'global_code': '6P4FX3HG+C3'}",4.3,9.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJjxWSQb29by4R8LBvOOo8FnM
"X3W3+GG3, Jl. Raya Tim., Jatiwangi, Kec. Pagerbarang, Kabupaten Tegal, Jawa Tengah 52261, Indonesia","{'location': {'lat': -7.0037387, 'lng': 109.0537879}, 'viewport': {'northeast': {'lat': -7.002379820107278, 'lng': 109.0550798298927}, 'southwest': {'lat': -7.005079479892721, 'lng': 109.0523801701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,RTH Pagerbarang,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116633010334487752468"">Dina Nurfadhilah</a>'], 'photo_reference': 'AUGGfZlHC5h3dyRtSmhAyw8HnXdSU8bLDMBtT_A0Pp6nx7fXzKbsN-k4oED_Ms14fPaMT81YW4hI70kd2hrrfMLgdftO-9TW8dZZi_PSTXCvgeRLdO0NqEXL5qDJfqwlNHQbOXl_aJqkICXnnoRkzhTfey07IROWgJqAgFCl3kBg1Jehjvuk', 'width': 4608}]",ChIJyzD4e6-9by4RFR8QzFxwS6U,ChIJyzD4e6-9by4RFR8QzFxwS6U,"['park', 'point_of_interest', 'establishment']",OPERATIONAL,,4.2,35.0,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJyzD4e6-9by4RFR8QzFxwS6U
"Randusari, Pagerbarang, Tegal Regency, Central Java, Indonesia","{'location': {'lat': -7.0058931, 'lng': 109.0720699}, 'viewport': {'northeast': {'lat': -6.991181, 'lng': 109.089934}, 'southwest': {'lat': -7.023929, 'lng': 109.0565281}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Randusari,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111839427709564183929"">A Google User</a>'], 'photo_reference': 'AUGGfZl2mutiJY0A-UzTxZdul-mXOQ3w7GtnWkvDCRFThCDKHr8tVgDYGkB3Ws7HuvQCQCf_rSscqP88gmFeXRVD5GGyNu6WZHq4VOmKoThi4ntMmCTEIbBBC4PxpnhxZ2twCBRSo_PvTFaUVEbIk4fR6oZg9YDbPdrUXRSvN3CX_kl_L_JF', 'width': 3120}]",ChIJWX-Qxsa9by4RXbAYFEpxNkA,ChIJWX-Qxsa9by4RXbAYFEpxNkA,"['administrative_area_level_4', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJWX-Qxsa9by4RXbAYFEpxNkA
"Pagerbarang, Tegal Regency, Central Java, Indonesia","{'location': {'lat': -7.0017688, 'lng': 109.0482922}, 'viewport': {'northeast': {'lat': -6.9926799, 'lng': 109.06052}, 'southwest': {'lat': -7.016759899999999, 'lng': 109.0401699}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pagerbarang,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117980578249957572223"">A Google User</a>'], 'photo_reference': 'AUGGfZkdniRAOseOJLvH_NHknJfjDR-P7acDdJZ6yNMwcBs4o4_hTut_wBi6XjM8NUunRWT4lCzDkFz3HxFBdtblKYcib7Ul2hexUxJICrpBfSdjpTZ7zpSV1v6F0Rh5cBssrLq_knDCfdxa8ukinAVqQqVa8oJvvlHfEJVSUqCHXWOXQ7C4', 'width': 4000}]",ChIJLS4AG6a9by4RstBUNmeeKuk,ChIJLS4AG6a9by4RstBUNmeeKuk,"['administrative_area_level_5', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJLS4AG6a9by4RstBUNmeeKuk
"X4C4+295, Unnamed Road, Balaradin, Kec. Lebaksiu, Kabupaten Tegal, Jawa Tengah 52461, Indonesia","{'location': {'lat': -7.029995500000001, 'lng': 109.105986}, 'viewport': {'northeast': {'lat': -7.028645670107279, 'lng': 109.1073358298927}, 'southwest': {'lat': -7.031345329892723, 'lng': 109.1046361701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,CANDI MAKAM DAWA,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109632566385290527264"">A Google User</a>'], 'photo_reference': 'AUGGfZktjVs5TX07o6Qte6NyxL4dgy4Vt5NIB3rF1oAF3FTGBUY9S-xNdbW6fyymhMpN15gb4Oi5t_S-TG2dsfaDmB8r66eGorfCXsR3t1RMrIra4Jdpy3c1QA3TYU2adYDt-ty_BBFEOEnyjKt70rMW93H9QLtBF5qllvFlVcdhcYTkjxy8', 'width': 4160}]",ChIJU8ixa6W_by4REDP1g56cWkA,ChIJU8ixa6W_by4REDP1g56cWkA,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.9,11.0,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJU8ixa6W_by4REDP1g56cWkA
"X2QX+W3, Pagerbarang, Kec. Pagerbarang, Kabupaten Tegal, Jawa Tengah 52462, Indonesia","{'location': {'lat': -7.0102184, 'lng': 109.0477301}, 'viewport': {'northeast': {'lat': -7.008807870107279, 'lng': 109.0491470298927}, 'southwest': {'lat': -7.011507529892723, 'lng': 109.0464473701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wana Wisata Kali Krecek (Kace),"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115286230176362457576"">teguh santoso</a>'], 'photo_reference': 'AUGGfZkGObW5b9GYqoQd52_wehlk9qRowi0vrdEFD1Wl44snvxyH1hFOaOr0zBLmMcXm9yKlShoATca59sdki_X91i0I8GEH_kMXaqYpqazS3M3GK4TmWGD3zTuTQKZLJqgiXQ_gujCnHVv7wu-MzrFF6Qx8VeD9E3I003w7bhs5NqS3yD8e', 'width': 3000}]",ChIJ0dkjeQe9by4RWgAjW1P8pto,ChIJ0dkjeQe9by4RWgAjW1P8pto,"['point_of_interest', 'establishment']",OPERATIONAL,,4.5,22.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJ0dkjeQe9by4RWgAjW1P8pto
"W2RF+P48, Jatilaba, Kec. Margasari, Kabupaten Tegal, Jawa Tengah 52463, Indonesia","{'location': {'lat': -7.058214, 'lng': 109.0228352}, 'viewport': {'northeast': {'lat': -7.056426920107278, 'lng': 109.0239403298927}, 'southwest': {'lat': -7.059126579892722, 'lng': 109.0212406701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Danau Beko,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116089744165220875117"">Wahyu Juana Cute</a>'], 'photo_reference': 'AUGGfZkZHZoJG57XPPPhUtFFVXfejpVpjHM__RV2aI0bmkbb3Qz1pIjJU_QTZrQ002GkkFXwcQnGsTwbNaq_R_azss5kC-yRfMw6myv4kb03uq4ohEwq2QAcOKo5V80DTnouxEjUmtTIf1RFNIJygwjJgXEPhbvY8Fkwf15VYkLVlpzfKqEu', 'width': 3140}]",ChIJY-lxxr-Xby4RW1Elk8a-8Mo,ChIJY-lxxr-Xby4RW1Elk8a-8Mo,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.2,345.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJY-lxxr-Xby4RW1Elk8a-8Mo
"Mulyoharjo, Pagerbarang, Tegal Regency, Central Java 52462, Indonesia","{'location': {'lat': -7.0217975, 'lng': 109.0752905}, 'viewport': {'northeast': {'lat': -7.020411170107278, 'lng': 109.0766402798927}, 'southwest': {'lat': -7.023110829892722, 'lng': 109.0739406201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GSG ( gedung serba guna) dan kolam renag,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105351522411062280081"">Mr Suwanto</a>'], 'photo_reference': 'AUGGfZlfR5zc8n7nQb2c4OTr8VnGYPsoSonNqjWFn-jBD6yuRYSKXzrlFHXj2EhhQrZpc6H9p7yXxB1ubcxnVigADb8YS-m80dxvYpogSR0RGIyxvvhcBkAQKZC-AMpgZqMe8Akbi-qLC8Dfe3pYEceGwmLzAhjrfMLSW4FXpYipF4Vpd3xU', 'width': 4160}]",ChIJQaWfLLS9by4RsKKfWxTm3Fc,ChIJQaWfLLS9by4RsKKfWxTm3Fc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'X3HG+74 Mulyoharjo, Tegal Regency, Central Java, Indonesia', 'global_code': '6P4FX3HG+74'}",5.0,1.0,,https://www.google.com/maps/place/?q=place_id:ChIJQaWfLLS9by4RsKKfWxTm3Fc
