formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,rating,user_ratings_total,opening_hours,plus_code,url
"Tarub, Tegal Regency, Central Java, Indonesia","{'location': {'lat': -6.9210752, 'lng': 109.1746261}, 'viewport': {'northeast': {'lat': -6.9154709, 'lng': 109.17949}, 'southwest': {'lat': -6.9284399, 'lng': 109.1715901}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tarub,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104020199194352228215"">A Google User</a>'], 'photo_reference': 'AUGGfZlaIOob39HBbdouItcWTXgaW5QnM2sKoh5Vc-F8HBq__xwCAZHrmCk3QkWxxG3ijjUliirj4BQ9VHtHDOwGa2fFxh3kHYaJHsQdQ8mM_MpktmWN_3_0j5xyFzCyAi6yv7skrZ7C2fjgbBZE9SY7wgRoWnzFgMqnTxoAuP86Pi2w6XO1', 'width': 4160}]",ChIJH818rpC4by4RyUdH-qPvpzM,ChIJH818rpC4by4RyUdH-qPvpzM,"['administrative_area_level_4', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJH818rpC4by4RyUdH-qPvpzM
"353C+RP5, Jl. Raya Banjaran-Balamoa, Area Sawah/Kebun, Purbayasa, Kec. Pangkah, Kabupaten Tegal, Jawa Tengah, Indonesia","{'location': {'lat': -6.945497899999999, 'lng': 109.1718594}, 'viewport': {'northeast': {'lat': -6.944147420107279, 'lng': 109.1731794298927}, 'southwest': {'lat': -6.946847079892723, 'lng': 109.1704797701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Wahana Kebun Buah (Waterboom, Resto, Cafe dan Pemancingan)","[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112580292071608115267"">Duta Irama</a>'], 'photo_reference': 'AUGGfZlLmlWiJ5DMlqxBUa-6IccJOTa9SPtzG_tqWKboEDj_wgDQnvb7TTxlvxIYBV71h1K24kSmBj_JAHpzSSz6JQnNljHWW46ZtCU5XvTYFAiIyqXlKwsqd_9wjZvAwGDelm3JSbDGGb4jOXwaal5E0Cig9oJ3r4TiHJ7KyvjabWvyczC1', 'width': 4608}]",ChIJbf8daSK5by4RrjG9lBuURKs,ChIJbf8daSK5by4RrjG9lBuURKs,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.2,180.0,,,https://www.google.com/maps/place/?q=place_id:ChIJbf8daSK5by4RrjG9lBuURKs
"353C+MJX, Area Sawah/Kebun, Lebeteng, Kec. Tarub, Kabupaten Tegal, Jawa Tengah 52471, Indonesia","{'location': {'lat': -6.945762800000001, 'lng': 109.1716111}, 'viewport': {'northeast': {'lat': -6.944381770107278, 'lng': 109.1729651798927}, 'southwest': {'lat': -6.947081429892722, 'lng': 109.1702655201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan kebun buah,"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107090430908865968418"">A Google User</a>'], 'photo_reference': 'AUGGfZkMTO0sJHnL7NuEgNc6w4-N6rVI1IVLN-xnOE-hnKwGgVaGIIn411RdnZNj8B-TXqwpwCJteWFdbKOQps8CpO8-6LvkyjHiLoPW8R9tclo69iqsp_4XMIVms2yzGgO4Ny0F_Z54cEVt2ikgWdXe8as_v9sCi37euLQxS-mNSNhLvTuM', 'width': 2304}]",ChIJu_CcjyO5by4R60ZXe83yRvE,ChIJu_CcjyO5by4R60ZXe83yRvE,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.3,72.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJu_CcjyO5by4R60ZXe83yRvE
"358W+6HP, Gg. Delima, Kesambi, Bulakwaru, Kec. Tarub, Kabupaten Tegal, Jawa Tengah 52184, Indonesia","{'location': {'lat': -6.9343035, 'lng': 109.1964675}, 'viewport': {'northeast': {'lat': -6.932898520107279, 'lng': 109.1978315298927}, 'southwest': {'lat': -6.935598179892723, 'lng': 109.1951318701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PEMACINGAN KENANGAN,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106896517693524027966"">A Google User</a>'], 'photo_reference': 'AUGGfZlLtoNNghpE-kYR3RX4x_Pkeowp3jgPMLcp_H6hyLbmmbNnDDR8kfKviHvs875BLquq7HtWd--rFQZzobAIPh7ryzC56jwrjmgXlxqIpL8895d59wpa6zz50TZnaY2tQddKRnFQRgGK0w5KWUHiDUo1ZcAlYRHHZd-wiogwT1KvBbnZ', 'width': 2240}]",ChIJgTZEHTPHby4Ric_eWFOBAOU,ChIJgTZEHTPHby4Ric_eWFOBAOU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,5.0,7.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJgTZEHTPHby4Ric_eWFOBAOU
"Tarub, Tegal Regency, Central Java, Indonesia","{'location': {'lat': -6.9218454, 'lng': 109.1869895}, 'viewport': {'northeast': {'lat': -6.898644, 'lng': 109.2241701}, 'southwest': {'lat': -6.9527401, 'lng': 109.1504501}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tarub,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116684617174270862294"">A Google User</a>'], 'photo_reference': 'AUGGfZlKtjgcX1UOW2krXG0mqtvn5B60ppz0b-uOMeOVFlikwbmxvL3Wsj0v9JLd2cVvpsbUpDfokE_hnS8q6SwKNyCA-FMCJMi55Zxm_yzBUJfxZmokY5i0xuUIBPKD2f_MbJDhgd9PFylAfHLsueu0k-vykHDm-Tycji-rh0mHClYOIfS4', 'width': 4624}]",ChIJ99lXw5-4by4RwPhS43Z6AgQ,ChIJ99lXw5-4by4RwPhS43Z6AgQ,"['administrative_area_level_3', 'political']",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ99lXw5-4by4RwPhS43Z6AgQ
"Jl. Cipta Laksana No.8, Purbasana, Kec. Tarub, Kabupaten Tegal, Jawa Tengah 52184, Indonesia","{'location': {'lat': -6.926539999999999, 'lng': 109.165176}, 'viewport': {'northeast': {'lat': -6.925230020107279, 'lng': 109.1664110298927}, 'southwest': {'lat': -6.927929679892722, 'lng': 109.1637113701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan kobak,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116727277389294178146"">A Google User</a>'], 'photo_reference': 'AUGGfZmIxRzCb-NacBh61eluYV1Xegvy_9x98swlo7nh6r8sOMbuxZBjVkVok_ArMnH75M7fY6qedsu_xYo_Pu9di3tWFIXfYaaHJhrsCRq0nNlCsFZPTJoAb6MTA00Eqrrp5huvxxdhhM09xu7TLjZ0QCtxB311XhkgEbvtMdBj9-Q4qP1G', 'width': 2340}]",ChIJRUcU0oC5by4R524p-zdydRI,ChIJRUcU0oC5by4R524p-zdydRI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.2,5.0,{'open_now': False},"{'compound_code': '35F8+93 Purbasana, Tegal Regency, Central Java, Indonesia', 'global_code': '6P5F35F8+93'}",https://www.google.com/maps/place/?q=place_id:ChIJRUcU0oC5by4R524p-zdydRI
"Jl. Pemuda No.40, Purwahamba, Kec. Suradadi, Kabupaten Tegal, Jawa Tengah 52182, Indonesia","{'location': {'lat': -6.8725099, 'lng': 109.2569881}, 'viewport': {'northeast': {'lat': -6.871189970107277, 'lng': 109.2584935798927}, 'southwest': {'lat': -6.873889629892722, 'lng': 109.2557939201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Purwahamba Indah,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105837346858223380123"">A Google User</a>'], 'photo_reference': 'AUGGfZnVAolsDWglQwmeH9f3k1DTFCZPzlTtkdZT_GW6oGmTLtORArgXIbY1KkdCox7Q1QLqz_4d6jrATJrrh0-Q5hZLowAmLau4kXgeXRJh57qFnBjUG9UdF77JTSW3JyojbXbgiRoEqEbvSA97Hj2KaAl-lrOIJVlbhn7HPYadZrH0NZ2o', 'width': 4624}]",ChIJBfsK0SLGby4RBE47_RrY85c,ChIJBfsK0SLGby4RBE47_RrY85c,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.2,3806.0,{'open_now': False},"{'compound_code': '47G4+XQ Purwahamba, Tegal Regency, Central Java, Indonesia', 'global_code': '6P5F47G4+XQ'}",https://www.google.com/maps/place/?q=place_id:ChIJBfsK0SLGby4RBE47_RrY85c
"358G+8C3, Unnamed Road, Area Sawah/Kebun, Brekat, Kec. Tarub, Kabupaten Tegal, Jawa Tengah 52184, Indonesia","{'location': {'lat': -6.9342289, 'lng': 109.176062}, 'viewport': {'northeast': {'lat': -6.932882420107278, 'lng': 109.1774214798927}, 'southwest': {'lat': -6.935582079892722, 'lng': 109.1747218201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,KANDANG SAPI PERAH SUKMA JAYA pedukuhan kecepit ds lebeteng kec tarub kab tegal,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110014027011702797646"">akhmad khumaedi</a>'], 'photo_reference': 'AUGGfZnVrZDs3Ap-2KaoxXY8OTioSrSI0JgNWsUUB8K5zfP3clI-zr6DiEu09rgbE2y2cL4xvXM8V2t6YUEIw7sAfR8PeaQQvg-PxGZm0mx3jfU8TKBuhvJpnTpbibzquTWXpaqvtb-MtTIfO1TaMpm6x-7SZn7qtkFZYOyv7gXICvu9mt0G', 'width': 1920}]",ChIJhZgOFga5by4Rm2paRXbGJGc,ChIJhZgOFga5by4Rm2paRXbGJGc,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.6,8.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJhZgOFga5by4Rm2paRXbGJGc
"3572+C6R, Dukuh, Gembong Kulon, Kec. Talang, Kabupaten Tegal, Jawa Tengah 52193, Indonesia","{'location': {'lat': -6.9363863, 'lng': 109.1505024}, 'viewport': {'northeast': {'lat': -6.935011820107277, 'lng': 109.1518557798927}, 'southwest': {'lat': -6.937711479892721, 'lng': 109.1491561201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PEMANCINGAN DANIEL,"[{'height': 1844, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102722154537662648029"">Maskumambang Reksojawi</a>'], 'photo_reference': 'AUGGfZkfVyo9nz9RhJLWPHHL--BoNqZ07AxsZlxMpHpxiK52sbnK_Mxw_D69zKeV9HeTlovXKnQnCeFcAFkx24kO2stBdxaNgekn2qMlKStaJQZMNwf7UuWg6lzq4y1o94-eOu5aKGMo2syAHvVY_N199PpYOjMnZPYRUvCmjRNzIC4Ch1gJ', 'width': 4000}]",ChIJ_QJ7tsq5by4RlfFiKE_bb7U,ChIJ_QJ7tsq5by4RlfFiKE_bb7U,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,3.9,28.0,{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ_QJ7tsq5by4RlfFiKE_bb7U
"36W5+FH9, Gg. Suzuki, Kesambi, Ketileng, Kec. Kramat, Kabupaten Tegal, Jawa Tengah 52181, Indonesia","{'location': {'lat': -6.9038472, 'lng': 109.2089852}, 'viewport': {'northeast': {'lat': -6.902494720107278, 'lng': 109.2103125298927}, 'southwest': {'lat': -6.905194379892722, 'lng': 109.2076128701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gerbang Manunggal Desa Ketileng,"[{'height': 5056, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113506068009555991218"">Bhakty gunawan fahmy</a>'], 'photo_reference': 'AUGGfZn4-ZdGS1Hix_rUZjCSr-M78z_3bEHbAOWmG076W-E51qwdWZa6h8p72OJjcOX9qFCVSW-C94tglj_Ftn8Z4Iu_LReKzTbZDfMIAzFiDBLdJs1NZFsPNeBxQN7FlhQNDS0B_7OCAJftkn56JrPp7HVnE306NckJf46iUMPKTD5TzdU', 'width': 3792}]",ChIJ_V__2MTHby4RF9X63ApBdwU,ChIJ_V__2MTHby4RF9X63ApBdwU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,4.1,27.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ_V__2MTHby4RF9X63ApBdwU
