formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,plus_code,rating,user_ratings_total,opening_hours,permanently_closed,url
"Kunduran, Blora Regency, Central Java, Indonesia","{'location': {'lat': -7.0509284, 'lng': 111.239061}, 'viewport': {'northeast': {'lat': -6.9868899, 'lng': 111.3152001}, 'southwest': {'lat': -7.1552699, 'lng': 111.1988301}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kunduran,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103432158849143557033"">Yusuf Safary</a>'], 'photo_reference': 'AUGGfZkM3crfUXtSH9V4SWelXJ5VUY16BYHmcFdD8IJAXBYXsrVveCXtzRxTPuHYCBDQ6jgVGcR0-wJCAaAyQF45-j4zPZ9FIH9uh1rnbQ_CH3WvPq4Wjbw6WU5HwFFnYO6EaJUvD8VaK1BFiFly_NDlSJDgTplDBAmdrc4NPUyZ0LppV0T7', 'width': 3264}]",ChIJYwNRTbBPdy4RcPBS43Z6AgQ,ChIJYwNRTbBPdy4RcPBS43Z6AgQ,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJYwNRTbBPdy4RcPBS43Z6AgQ
"Kunduran, Blora Regency, Central Java, Indonesia","{'location': {'lat': -7.052041999999999, 'lng': 111.2338275}, 'viewport': {'northeast': {'lat': -7.044829999999999, 'lng': 111.2461101}, 'southwest': {'lat': -7.0646401, 'lng': 111.22654}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kunduran,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111282959337156680503"">A Google User</a>'], 'photo_reference': 'AUGGfZnL67nnKRryxN36G77TRBGobpLhla0US5ci05ksb-YGQcf_QVPYIW8Ndmb-b5z3foxtNLXxALga31xXEI-CWzSvhlOtwPvNxUEZPo-aAdInEabewvbDxnB0zo4VZVRV6IQvkGIJFcFJC6kW3RRwGbDhHC3PJX3VouTYSm19Zbkw-XxJ', 'width': 2160}]",ChIJ-emZBv5Ody4Ru2jJLif712Y,ChIJ-emZBv5Ody4Ru2jJLif712Y,"['administrative_area_level_4', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-emZBv5Ody4Ru2jJLif712Y
"Karangmojo, Kunduran, Blora Regency, Central Java 58255, Indonesia","{'location': {'lat': -7.0509314, 'lng': 111.239809}, 'viewport': {'northeast': {'lat': -7.049527120107278, 'lng': 111.2411497298927}, 'southwest': {'lat': -7.052226779892722, 'lng': 111.2384500701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Stasiun Kunduran,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109100275894282488508"">Alvian Fajar</a>'], 'photo_reference': 'AUGGfZlkxlSTz1uXJDhetZreZUWzn56Mth2ClPFkUBTT-mc1l395-GDbXOSwUMMOPlb88IArAmG2HMeh792JUoMY7Ee1mrZ-Hzv5WoxmuVX-1M-sRe3tu3n0BTcJn-TVQ3xNlzur9v2NBjFQj57x6hIatCQGNJboLt_r6AkInKUIOC_hC1qG', 'width': 4160}]",ChIJMxCiHQNPdy4RZ-2S1QDkldI,ChIJMxCiHQNPdy4RZ-2S1QDkldI,"['point_of_interest', 'establishment']",OPERATIONAL,"{'compound_code': 'W6XQ+JW Kunduran, Blora Regency, Central Java, Indonesia', 'global_code': '6P4HW6XQ+JW'}",4.3,43.0,,,https://www.google.com/maps/place/?q=place_id:ChIJMxCiHQNPdy4RZ-2S1QDkldI
"V6WH+X2G, Jl. Raya Kamolan - Banjarejo, Bedengan, Cungkup, Kec. Kunduran, Kabupaten Blora, Jawa Tengah 58255, Indonesia","{'location': {'lat': -7.10256, 'lng': 111.22759}, 'viewport': {'northeast': {'lat': -7.101225970107278, 'lng': 111.2289399798927}, 'southwest': {'lat': -7.103925629892721, 'lng': 111.2262403201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bendungan mini CUNGKUP,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109226900087885663159"">A Google User</a>'], 'photo_reference': 'AUGGfZmkDNCjLyJUUq31p6PldN98AC1hVehsDFTPCTPFTevQII_ht9-mSv0RAe8Kjs-jOmLObw_QChfoHI-CkblHXyvUnJ3wYMcnIkHvKYvrPM0uKDNcoarpuC2XG7UWwtnkWSuRzZ2Mu98swiC5PoDvE2PJRbOWDwIN-xiPTr5GltBusgSF', 'width': 3120}]",ChIJ0a1CexdRdy4RGQWZuYSV6AE,ChIJ0a1CexdRdy4RGQWZuYSV6AE,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.6,5.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ0a1CexdRdy4RGQWZuYSV6AE
"W6VJ+6QJ, Jl. Doplang, Area Sawah, Kunduran, Kec. Kunduran, Kabupaten Blora, Jawa Tengah 58255, Indonesia","{'location': {'lat': -7.056915999999999, 'lng': 111.2318908}, 'viewport': {'northeast': {'lat': -7.055540420107277, 'lng': 111.2330408298927}, 'southwest': {'lat': -7.058240079892721, 'lng': 111.2303411701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,embung Kunduran,,ChIJZ4z77apPdy4RyhmnlaPAR-k,ChIJZ4z77apPdy4RyhmnlaPAR-k,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJZ4z77apPdy4RyhmnlaPAR-k
"25QW+93C, Kedungwungu Todanan, Area Sawah Dan Perkebunan, Kabupaten, Kec. Todanan, Kabupaten Blora, Jawa Tengah 58256, Indonesia","{'location': {'lat': -6.9615718, 'lng': 111.1951287}, 'viewport': {'northeast': {'lat': -6.960173170107278, 'lng': 111.1964912798927}, 'southwest': {'lat': -6.962872829892722, 'lng': 111.1937916201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Goa Terawang Todanan,"[{'height': 4312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109988267715979325904"">A Google User</a>'], 'photo_reference': 'AUGGfZkEwTPnhFVdASqTMJSpfgXozmNobhRlRe9pTnuV1khROJyjai-eQdK0cl2oqOXOoigtGmG5eAF1tr5pDEgVda3RO94sKElaaX7Z-hPzntw3z8SCZzyopVVdfRtAH-ba_XX7Z711JIdGDPrRXgE8nyNjsr8dBMYnZj1tGAtag2nN20r1', 'width': 5760}]",ChIJbdUiCo5Jdy4Ri5uU3bDTIFY,ChIJbdUiCo5Jdy4Ri5uU3bDTIFY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,4.2,1503.0,{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJbdUiCo5Jdy4Ri5uU3bDTIFY
"W6WP+W9F, Jl. Simpang Lima, Kunduran, Kec. Kunduran, Kabupaten Blora, Jawa Tengah 58255, Indonesia","{'location': {'lat': -7.052685899999999, 'lng': 111.2359458}, 'viewport': {'northeast': {'lat': -7.051355320107279, 'lng': 111.2373087298927}, 'southwest': {'lat': -7.054054979892722, 'lng': 111.2346090701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Simpang Enam Kunduran,,ChIJw6VkKhVPdy4R5sQW5jfmc4w,ChIJw6VkKhVPdy4R5sQW5jfmc4w,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJw6VkKhVPdy4R5sQW5jfmc4w
"V8Q4+9JX, Area Sawah, Buloh, Kec. Kunduran, Kabupaten Blora, Jawa Tengah 58255, Indonesia","{'location': {'lat': -7.1115128, 'lng': 111.3066145}, 'viewport': {'northeast': {'lat': -7.110161220107277, 'lng': 111.3079470298927}, 'southwest': {'lat': -7.112860879892721, 'lng': 111.3052473701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Tugu Batas Buloh, Kunduran - Alasmalang, Jati",,ChIJRXbXYwBbdy4RIX4JffK3mvU,ChIJRXbXYwBbdy4RIX4JffK3mvU,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJRXbXYwBbdy4RIX4JffK3mvU
"W7PJ+2M8, Area Sawah, Tawangrejo, Kec. Kunduran, Kabupaten Blora, Jawa Tengah 58255, Indonesia","{'location': {'lat': -7.0649598, 'lng': 111.2817182}, 'viewport': {'northeast': {'lat': -7.063600820107278, 'lng': 111.2830611798927}, 'southwest': {'lat': -7.066300479892722, 'lng': 111.2803615201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Tugu Batas Tawangrejo, Kunduran - Bergolo, Ngawen","[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103074734654097040989"">A Google User</a>'], 'photo_reference': 'AUGGfZmzKNYYQg4IZ61DUxCEPcmbOpBGWkzmg8svJuaCsor1tVTXrQxqXCXaCeSS245ZPPEjN7d_ZoA0aOTIeI3aTOHVKSRkf8WYY7h0sissP5unmefMVzE_kOLisigx87BFboRgFPtEQpgISW-V8SQUDvqnjoyHBUD-fqdMD3QVzQh8zxPf', 'width': 3120}]",ChIJ2X0JZQBPdy4RkVyIGV7Ze84,ChIJ2X0JZQBPdy4RkVyIGV7Ze84,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJ2X0JZQBPdy4RkVyIGV7Ze84
"X7RJ+M6H, Area Sawah, Klokah, Kec. Kunduran, Kabupaten Blora, Jawa Tengah 58255, Indonesia","{'location': {'lat': -7.008324, 'lng': 111.2806215}, 'viewport': {'northeast': {'lat': -7.006960420107278, 'lng': 111.2819367298927}, 'southwest': {'lat': -7.009660079892722, 'lng': 111.2792370701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Tugu Batas Semawur, Ngawen - Klokah, Kunduran",,ChIJxTr2IgBJdy4RH2QrNZQRqaQ,ChIJxTr2IgBJdy4RH2QrNZQRqaQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,,0.0,0.0,,,https://www.google.com/maps/place/?q=place_id:ChIJxTr2IgBJdy4RH2QrNZQRqaQ
