business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,plus_code,permanently_closed,opening_hours,url
OPERATIONAL,"23PV+6RR, Jl. Akses Desa, Margagiri, Kec. Bojonegara, Kabupaten Serang, Banten 42454, Indonesia","{'location': {'lat': -5.9643998, 'lng': 106.0945167}, 'viewport': {'northeast': {'lat': -5.963160270107277, 'lng': 106.0960893298927}, 'southwest': {'lat': -5.965859929892721, 'lng': 106.0933896701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Basari,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115529085822657956551"">Bedhi Shinigami</a>'], 'photo_reference': 'AUGGfZlyB5RSmr7lSMYZalo7bktMd-H60yrHassLwr3NVouAApemMbHw3ugDgY2TA91C2WWWaNNaT2xaDSz61PCC0qK31aapBDhhW_x6WdVOAW8FNaRb8R3buEAc7DM4FaHxzW80XKQHRtkZgxNVP8nD8OvzprbxsuGDZHjY9gqeguNeou_9', 'width': 4160}]",ChIJB0vNn1eTQS4RTkp0UPfIXfU,3.0,ChIJB0vNn1eTQS4RTkp0UPfIXfU,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJB0vNn1eTQS4RTkp0UPfIXfU
OPERATIONAL,"23FH+H25, Karangkepuh, Bojonegara, Serang Regency, Banten, Indonesia","{'location': {'lat': -5.9761149, 'lng': 106.0776238}, 'viewport': {'northeast': {'lat': -5.974774920107278, 'lng': 106.0790065298927}, 'southwest': {'lat': -5.977474579892722, 'lng': 106.0763068701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kali Kulung Ambe,,ChIJN5tdys6TQS4RqDa8O3D_tow,0.0,ChIJN5tdys6TQS4RqDa8O3D_tow,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJN5tdys6TQS4RqDa8O3D_tow
OPERATIONAL,"Jl. Anggrek Jl. Akses Perum Pesona Cilegon No.12 A Blok A8, Kertasana, Kec. Bojonegara, Kabupaten Serang, Banten 42454, Indonesia","{'location': {'lat': -5.9939048, 'lng': 106.0756856}, 'viewport': {'northeast': {'lat': -5.992557820107278, 'lng': 106.0770238298927}, 'southwest': {'lat': -5.995257479892722, 'lng': 106.0743241701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Khansa Tour & Travel,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112999619093438127597"">Suflani AB</a>'], 'photo_reference': 'AUGGfZk8TVEJTPs35sAO5IHYboMTls8JRSRFTrnfGztmwGYd2Xox1WoNKG-s9REMbYKaNJsjuPwkH2tEt1blZOyCq_rGCI45dk7aR-fARYbZOW_8fz8zWZaC4OBYalfYAxtmcQazx5i_JFaC11_luf9OsnLwML-q_ViJwAw5cBqHRJzyX5jA', 'width': 4624}]",ChIJO_hH3YaTQS4Ru6z8ecElODY,0.0,ChIJO_hH3YaTQS4Ru6z8ecElODY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': '234G+C7 Kertasana, Serang Regency, Banten, Indonesia', 'global_code': '6P68234G+C7'}",,,https://www.google.com/maps/place/?q=place_id:ChIJO_hH3YaTQS4Ru6z8ecElODY
OPERATIONAL,"Jl. Term. Buang No.Ds, mekar jaya, Kec. Bojonegara, Kabupaten Serang, Banten 42454, Indonesia","{'location': {'lat': -5.9359318, 'lng': 106.0569558}, 'viewport': {'northeast': {'lat': -5.934377720107278, 'lng': 106.0584785798927}, 'southwest': {'lat': -5.937077379892722, 'lng': 106.0557789201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kp.CIKADU BARU LINK.CIKADU,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100009369785436557674"">ady s awan</a>'], 'photo_reference': 'AUGGfZlA9v8bUpw0DZGHAR0IgQNM_PYXON7zo8FpChenwHskkmmr9bGtKqdXCVyawjM-EE6uocKIMDM99CBgfp03LnvDOhs8SCd39Z-2x15P1FLK4LTauLhgRnT8m1Q6l4hA6ofRhUhxp0k3Y-ygZNzbYa2O2-MmZT_Io0I7tU4D981drxdY', 'width': 3456}]",ChIJT7dDFp-RQS4RQ09jnjYzW1k,3.9,ChIJT7dDFp-RQS4RQ09jnjYzW1k,"['tourist_attraction', 'point_of_interest', 'establishment']",10,"{'compound_code': '3374+JQ Pangarengan, Serang Regency, Banten, Indonesia', 'global_code': '6P683374+JQ'}",,,https://www.google.com/maps/place/?q=place_id:ChIJT7dDFp-RQS4RQ09jnjYzW1k
CLOSED_TEMPORARILY,"24R3+GCF, Margagiri, Bojonegara, Serang Regency, Banten, Indonesia","{'location': {'lat': -5.9586786, 'lng': 106.1035353}, 'viewport': {'northeast': {'lat': -5.957643370107277, 'lng': 106.1049463298927}, 'southwest': {'lat': -5.960343029892721, 'lng': 106.1022466701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tongkang,,ChIJFSsPgeSTQS4RG_QiI_qAM5U,0.0,ChIJFSsPgeSTQS4RG_QiI_qAM5U,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,,https://www.google.com/maps/place/?q=place_id:ChIJFSsPgeSTQS4RG_QiI_qAM5U
OPERATIONAL,"X3XR+2J9, Jl. Raya Kubang Laban, Terate, Kec. Kramatwatu, Kabupaten Serang, Banten 42616, Indonesia","{'location': {'lat': -6.002451799999999, 'lng': 106.0916153}, 'viewport': {'northeast': {'lat': -6.001075670107279, 'lng': 106.0929628798927}, 'southwest': {'lat': -6.003775329892723, 'lng': 106.0902632201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pangkalan Perahu Walikukun,"[{'height': 1028, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102151512772955394530"">musa muaa</a>'], 'photo_reference': 'AUGGfZkTFccXG5dxyneIay3FiaW16nJbwUZBGxJWQKjrQVsSd6_THZdEZnjKftmClGdiGwtX_4xj1s1Ooxf9TwlYenAZnjmcJrxQ9Emvaspwm4suks-_8AfT0_Tk-GgP-3841llKIC35Dp7uel81vqKmpe_cKoPQMiPgHsxPS72BOo7y3bHC', 'width': 1079}]",ChIJd8bCD_ONQS4RR61LQjrYrM0,0.0,ChIJd8bCD_ONQS4RR61LQjrYrM0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJd8bCD_ONQS4RR61LQjrYrM0
OPERATIONAL,"3443+5PR, Argawana, Puloampel, Serang Regency, Banten 42454, Indonesia","{'location': {'lat': -5.944533, 'lng': 106.104234}, 'viewport': {'northeast': {'lat': -5.943195220107278, 'lng': 106.1055853798927}, 'southwest': {'lat': -5.945894879892722, 'lng': 106.1028857201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Moring km jaya lungguh,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117472013668420825698"">A Google User</a>'], 'photo_reference': 'AUGGfZmiyfoSP8lAiBUWgb-6vTCNKDNPohEfuv7Woq8-zadQhNu8741r4RLYmlrX5hAuTTMWuS_c-auZtDopmxUPsH-EiNV-SYpzFDmci-yayekVC1UL8GkcHnNdT-wiMLeEpf7aNywuKLBX9LZsKU-7ggAE5U23fQp71I9wydJ2jZOoGpKF', 'width': 3000}]",ChIJS24kPyWTQS4Rwr1rieBygU0,5.0,ChIJS24kPyWTQS4Rwr1rieBygU0,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJS24kPyWTQS4Rwr1rieBygU0
OPERATIONAL,"328J+66R, Tamansari, Pulomerak, Cilegon, Banten 42438, Indonesia","{'location': {'lat': -5.9343905, 'lng': 106.0305021}, 'viewport': {'northeast': {'lat': -5.932914720107278, 'lng': 106.0318273298927}, 'southwest': {'lat': -5.935614379892722, 'lng': 106.0291276701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batu Bukit Gambir,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102725815065492361998"">A Google User</a>'], 'photo_reference': 'AUGGfZnNIOB4v2Nb1FSW1IiePNMFek55heAOgUmQr9FJ95GepNk-RWtyKDlZOIYjUMqjfDp8IoU73fJcHeIHBrkjC2ePbKTkfs67jl6uaINoajcfL8zjmBU_kpIuctq6s6WCeOde8Y8rBBD85_pYAsjI4RS3dN1Sm_CvnKEE6TwN1cB-_RJ9', 'width': 1600}]",ChIJw59qaz2RQS4RwljcK5qI42g,4.6,ChIJw59qaz2RQS4RwljcK5qI42g,"['tourist_attraction', 'point_of_interest', 'establishment']",169,,,,https://www.google.com/maps/place/?q=place_id:ChIJw59qaz2RQS4RwljcK5qI42g
OPERATIONAL,"327J+QX6, Unnamed Road, Mekarsari, Pulomerak, Cilegon, Banten 42438, Indonesia","{'location': {'lat': -5.93558, 'lng': 106.0323958}, 'viewport': {'northeast': {'lat': -5.934853170107277, 'lng': 106.0333302298927}, 'southwest': {'lat': -5.937552829892721, 'lng': 106.0306305701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Watu Gambir,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117363654301091172610"">Belong Bhocil</a>'], 'photo_reference': 'AUGGfZk-04g-m7VDLyj3UYw8FqTAsXrzMutZw9zx66cemCODyLX1m7QfVFDGOyCnb9vpPCIOTHeObybzspHf8KBp6VtrV5b-MI_YGzhzcjPZP2sPf4x7NXxwCVWWoeEhJnSTW7GDNep8G_rgBTq1WfBcW9qP9S-k7HdTwgQuRxRhEp8rd_uA', 'width': 4096}]",ChIJ9akxHnyRQS4Rda4cL0z_7cc,4.0,ChIJ9akxHnyRQS4Rda4cL0z_7cc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9akxHnyRQS4Rda4cL0z_7cc
OPERATIONAL,"X4J3+VC8, Jl. Banten Lama, Tlk. Terate, Kec. Kramatwatu, Kabupaten Serang, Banten 42616, Indonesia","{'location': {'lat': -6.0178264, 'lng': 106.103585}, 'viewport': {'northeast': {'lat': -6.016447820107278, 'lng': 106.1048491298927}, 'southwest': {'lat': -6.019147479892721, 'lng': 106.1021494701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Spot gabus,,ChIJ1xVliSiNQS4RHW3spxl5LLg,4.5,ChIJ1xVliSiNQS4RHW3spxl5LLg,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1xVliSiNQS4RHW3spxl5LLg
