business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours,photos,price_level,url
OPERATIONAL,"WW8R+2P, Kama, Wesaput, Jayawijaya Regency, Papua 99511, Indonesia","{'location': {'lat': -4.0848664, 'lng': 138.9417708}, 'viewport': {'northeast': {'lat': -4.083580020107278, 'lng': 138.9431590298927}, 'southwest': {'lat': -4.086279679892722, 'lng': 138.9404593701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Yusri,ChIJpcWoCAttPmgROCSW4KFYuSg,3.7,ChIJpcWoCAttPmgROCSW4KFYuSg,"['lodging', 'point_of_interest', 'establishment']",3.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJpcWoCAttPmgROCSW4KFYuSg
OPERATIONAL,"QQM5+FWG, JL. Habema, Walaik, Distrik Wamena, Kabupaten Jayawijaya, Papua 99564, Indonesia","{'location': {'lat': -4.216313, 'lng': 138.759842}, 'viewport': {'northeast': {'lat': -4.214963170107279, 'lng': 138.7611918298927}, 'southwest': {'lat': -4.217662829892722, 'lng': 138.7584921701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sinakma Elok Hotel,ChIJK-M9T6t5PmgR_J7sTX5HkJY,4.0,ChIJK-M9T6t5PmgR_J7sTX5HkJY,"['lodging', 'point_of_interest', 'establishment']",2.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJK-M9T6t5PmgR_J7sTX5HkJY
OPERATIONAL,"Jalan A Yani no 14 Irian Jaya / Papua, Wouma, Piramid, Jayawijaya Regency, Papua 99511, Indonesia","{'location': {'lat': -4.11609, 'lng': 138.949}, 'viewport': {'northeast': {'lat': -4.114740620107278, 'lng': 138.9503948298927}, 'southwest': {'lat': -4.117440279892722, 'lng': 138.9476951701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Matoa,ChIJhwc-cm5sPmgRrHNps0-4C48,0.0,ChIJhwc-cm5sPmgRrHNps0-4C48,"['lodging', 'point_of_interest', 'establishment']",0.0,"{'compound_code': 'VWMX+HH Wouma, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WVWMX+HH'}",,,,https://www.google.com/maps/place/?q=place_id:ChIJhwc-cm5sPmgRrHNps0-4C48
OPERATIONAL,"Jl. Sumbawa No.1, Wamena Kota, Wamena, Jayawijaya Regency, Papua 99511, Indonesia","{'location': {'lat': -4.097026, 'lng': 138.9489275}, 'viewport': {'northeast': {'lat': -4.095603020107278, 'lng': 138.9502420298927}, 'southwest': {'lat': -4.098302679892722, 'lng': 138.9475423701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Grand Baliem Hotel Wamena,ChIJ6Z8gecJtPmgRC19fJ4ezE9M,4.6,ChIJ6Z8gecJtPmgRC19fJ4ezE9M,"['lodging', 'point_of_interest', 'establishment']",156.0,"{'compound_code': 'WW3X+5H Wamena Kota, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WWW3X+5H'}",{'open_now': True},"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100513614716521392357"">magira pasaribu</a>'], 'photo_reference': 'AUGGfZnn5OPj16luSNMpSds41b5u-62E5T7PODFyKvonXMfk0_6qDCwCs0Twl13zcS3gPRSxAPbJ-9aT7bGi2joe1RpS1f46bR8aEGrWxN107Z5QLyinRHHNAMY6m1SKWzoipaDiqkxjfKFRq4cgwry3AYkG2wrBHSG09AKPJp2gea211apc', 'width': 4624}]",,https://www.google.com/maps/place/?q=place_id:ChIJ6Z8gecJtPmgRC19fJ4ezE9M
OPERATIONAL,"Jl. Irian No.26, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.0943935, 'lng': 138.9419323}, 'viewport': {'northeast': {'lat': -4.093074320107278, 'lng': 138.9433067298928}, 'southwest': {'lat': -4.095773979892722, 'lng': 138.9406070701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rainbow hotel,ChIJlc_y4ZJsPmgRR9VPE_4yjIo,3.7,ChIJlc_y4ZJsPmgRR9VPE_4yjIo,"['lodging', 'point_of_interest', 'establishment']",96.0,"{'compound_code': 'WW4R+7Q Wamena Kota, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WWW4R+7Q'}",,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109018812891023328242"">Choky Amitie</a>'], 'photo_reference': 'AUGGfZnyRSJZIQag3Xvxpsyv54pVEcoXsOnCYDInsZWpTtcAqEW16a3ZL_rxYGrWcKTMeHDns_eh9Ghp80OYskOVPOhlCQYbWW10gnsgvrN8mikyfOYNStYDV1Q1TvLOHXHXlEKlv3DiT4yZ5DO7ssRG0TihAfN7cqDt4W-l4ihdb9A46--9', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJlc_y4ZJsPmgRR9VPE_4yjIo
OPERATIONAL,"WW6V+7RM, Wamena Kota, Wamena, Jayawijaya Regency, Papua 99511, Indonesia","{'location': {'lat': -4.0892985, 'lng': 138.9445592}, 'viewport': {'northeast': {'lat': -4.087907620107278, 'lng': 138.9459775798927}, 'southwest': {'lat': -4.090607279892722, 'lng': 138.9432779201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Rannu Jaya,ChIJBfxm6ZVsPmgRegmQld3KJd0,3.9,ChIJBfxm6ZVsPmgRegmQld3KJd0,"['lodging', 'point_of_interest', 'establishment']",59.0,,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101798961328944222365"">Laura Romanow</a>'], 'photo_reference': 'AUGGfZmW6Z-JQ5JqaVGfKn_gP1UF5sbp7IIv-LUvWlBBRwqJhgMnqSyeqs4rxB5-yZKkiOQ9GRJnaH1eCbBjpXjWdL2pOAqph1Q8Z0tCOlT_EJxCtO5iNLnqclHCyLu30GW84nB2YtdhiqLF33SnilJNJE1_SMp5JbUe3GIc79OsRGWU2BWZ', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJBfxm6ZVsPmgRegmQld3KJd0
OPERATIONAL,"Jl. Trikora No.114, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.089872, 'lng': 138.9452891}, 'viewport': {'northeast': {'lat': -4.088572470107278, 'lng': 138.9465420798927}, 'southwest': {'lat': -4.091272129892721, 'lng': 138.9438424201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Baliem Pilamo Hotel,ChIJnZptEoVsPmgRAsLExqCsZkw,4.1,ChIJnZptEoVsPmgRAsLExqCsZkw,"['lodging', 'point_of_interest', 'establishment']",669.0,"{'compound_code': 'WW6W+34 Wamena Kota, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WWW6W+34'}",,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110721815639898358548"">Rachman Kosasih</a>'], 'photo_reference': 'AUGGfZkV4UX-kKnO3X46NyZh9IEY0VZ5g1ZlHW4TYhzYxIzOXSPEmcC7uYn9xigp7dsJStOjUKrHSWaGkGsVeEgShY_-lGn-fB0CPZ_C5vZwTgHocYZFq_99BLqeweicRaMfS0bJuAV69Kzm0vt5s_4U-Bb9MJw9-O9Yurbg07agkls8QMvj', 'width': 4000}]",,https://www.google.com/maps/place/?q=place_id:ChIJnZptEoVsPmgRAsLExqCsZkw
OPERATIONAL,"WX33+XG8, JL. Hom-Hom - Pikhe, Wamena Kota, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.095096, 'lng': 138.953834}, 'viewport': {'northeast': {'lat': -4.093733270107279, 'lng': 138.9551794298927}, 'southwest': {'lat': -4.096432929892723, 'lng': 138.9524797701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Honai Resort,ChIJ0V-yCZtsPmgRXtEwOG8rjPE,4.3,ChIJ0V-yCZtsPmgRXtEwOG8rjPE,"['lodging', 'point_of_interest', 'establishment']",7.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0V-yCZtsPmgRXtEwOG8rjPE
OPERATIONAL,"Jl. Gatot Subroto No.63, Ketimavit, Distrik Wamena, Kabupaten Jayawijaya, Papua 99511, Indonesia","{'location': {'lat': -4.094583699999999, 'lng': 138.9489459}, 'viewport': {'northeast': {'lat': -4.093187420107277, 'lng': 138.9503873298927}, 'southwest': {'lat': -4.095887079892721, 'lng': 138.9476876701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Nayak,ChIJPzn6r3hsPmgRn9l8gYUFjjU,3.4,ChIJPzn6r3hsPmgRn9l8gYUFjjU,"['lodging', 'point_of_interest', 'establishment']",37.0,"{'compound_code': 'WW4X+5H Ketimavit, Jayawijaya Regency, Papua, Indonesia', 'global_code': '6Q7WWW4X+5H'}",,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111441125593657915054"">Rahmadi Rahman</a>'], 'photo_reference': 'AUGGfZm4AaxMOH_5BGtrIOz78F66Z1Jmr7vLLht9PKCPKqbx0Crftcu2j2LlfJNPsOypn0Z5OqVTr8ffpUG0mdHrPetEzIVIxfChS4dJ_8HGgkUVB4du2xSsdeB-Q7qSCCVaKJo4pYji_tMhsjF_LRxI-sRbm2paC8p7-mUPnBLY8Fc-a6cQ', 'width': 4128}]",,https://www.google.com/maps/place/?q=place_id:ChIJPzn6r3hsPmgRn9l8gYUFjjU
OPERATIONAL,"VXX5+XVJ, Wesaput, Wamena, Jayawijaya Regency, Papua 99511, Indonesia","{'location': {'lat': -4.100035099999999, 'lng': 138.9596493}, 'viewport': {'northeast': {'lat': -4.098628420107278, 'lng': 138.9611024798927}, 'southwest': {'lat': -4.101328079892722, 'lng': 138.9584028201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Green Wesaput Hotel,ChIJ68dMaYJsPmgRrvvXdo8HZcM,3.9,ChIJ68dMaYJsPmgRrvvXdo8HZcM,"['lodging', 'point_of_interest', 'establishment']",48.0,,,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106785684076453694028"">Fred Huby</a>'], 'photo_reference': 'AUGGfZku2Ntdi5garENwER11UuC1sb_Rgu1LPO6hpOVNzTgytelUksFN-VsbRNHZrLCPDlMi48hH6JASVMr-oS0clM7H9gWmbiKuThkFm8DjqJ4cHzgMq_YXBlnBC2FdasTOXnf1yC_ePmls2N44maDa1BZoujTRQTSAPkUWJMZaI4LyscTf', 'width': 4032}]",,https://www.google.com/maps/place/?q=place_id:ChIJ68dMaYJsPmgRrvvXdo8HZcM
