business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,plus_code,photos,opening_hours,url
OPERATIONAL,"J9W8+52R, Jl. dewi sri Irian Jaya, Wahaik, Ninia, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.3545, 'lng': 139.365}, 'viewport': {'northeast': {'lat': -4.353150170107279, 'lng': 139.3663498298927}, 'southwest': {'lat': -4.355849829892723, 'lng': 139.3636501701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tirta Mandala Hotel,ChIJfVdT____PmgRTcgeR9wTS1I,5.0,ChIJfVdT____PmgRTcgeR9wTS1I,"['lodging', 'point_of_interest', 'establishment']",2.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJfVdT____PmgRTcgeR9wTS1I
OPERATIONAL,"Jl. Dr. Sam Ratulangi No. 35 Irian Jaya / Papua, Wahaik, Ninia, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.3545, 'lng': 139.365}, 'viewport': {'northeast': {'lat': -4.353150170107279, 'lng': 139.3663498298927}, 'southwest': {'lat': -4.355849829892723, 'lng': 139.3636501701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Royal Mamberamo Hotel,ChIJfVdT____PmgRou03LJO2nmw,0.0,ChIJfVdT____PmgRou03LJO2nmw,"['lodging', 'point_of_interest', 'establishment']",0.0,"{'compound_code': 'J9W8+52 Wahaik, Yahukimo regency, Papua, Indonesia', 'global_code': '6Q7XJ9W8+52'}",,,https://www.google.com/maps/place/?q=place_id:ChIJfVdT____PmgRou03LJO2nmw
OPERATIONAL,"Jl. Gerilyawan no 111 Irian Jaya / Papua, Wahaik, Ninia, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.3545, 'lng': 139.365}, 'viewport': {'northeast': {'lat': -4.353150170107279, 'lng': 139.3663498298927}, 'southwest': {'lat': -4.355849829892723, 'lng': 139.3636501701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,D'green Hotel,ChIJfVdT____PmgRazhgiWTFmCU,0.0,ChIJfVdT____PmgRazhgiWTFmCU,"['lodging', 'point_of_interest', 'establishment']",0.0,"{'compound_code': 'J9W8+52 Wahaik, Yahukimo regency, Papua, Indonesia', 'global_code': '6Q7XJ9W8+52'}",,,https://www.google.com/maps/place/?q=place_id:ChIJfVdT____PmgRazhgiWTFmCU
OPERATIONAL,"J9W8+52R, Pusat Bisnis Jayapura Irian Jaya / Papua, Wahaik, Ninia, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.3545, 'lng': 139.365}, 'viewport': {'northeast': {'lat': -4.353150170107279, 'lng': 139.3663498298927}, 'southwest': {'lat': -4.355849829892723, 'lng': 139.3636501701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Swiss-Belhotel Papua,ChIJfVdT____PmgRbfdvdWEYTcg,0.0,ChIJfVdT____PmgRbfdvdWEYTcg,"['lodging', 'point_of_interest', 'establishment']",0.0,,"[{'height': 1149, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110814479984233984985"">Gerard Tambalean</a>'], 'photo_reference': 'AUGGfZn5m7O_OM1oMnvrJS216Cunda1gTzWaylVg9fuh_N3VgKU9eqiySMgYH8RHiAT_2ww-GgXtxqa_xpYTgjSNJ2E4LPy8SUddQo8BhcPtalVxWUWZCwFD9seJ0WdIeeLeGZXNaTWiPif3AHHN0jSoGcucL64R-amCQ6maMDBC7S_iUL_I', 'width': 2048}]",,https://www.google.com/maps/place/?q=place_id:ChIJfVdT____PmgRbfdvdWEYTcg
OPERATIONAL,"Jl Tanjung Ria no 5 ( dok 9 ) Irian Jaya / Papua, Wahaik, Ninia, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.3545, 'lng': 139.365}, 'viewport': {'northeast': {'lat': -4.353150170107279, 'lng': 139.3663498298927}, 'southwest': {'lat': -4.355849829892723, 'lng': 139.3636501701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Andalucia Papua,ChIJfVdT____PmgRG8PJg7_WC1Q,0.0,ChIJfVdT____PmgRG8PJg7_WC1Q,"['lodging', 'point_of_interest', 'establishment']",0.0,"{'compound_code': 'J9W8+52 Wahaik, Yahukimo regency, Papua, Indonesia', 'global_code': '6Q7XJ9W8+52'}",,,https://www.google.com/maps/place/?q=place_id:ChIJfVdT____PmgRG8PJg7_WC1Q
OPERATIONAL,"4FQF+4J7, Massi, Dekai, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.8622154, 'lng': 139.474044}, 'viewport': {'northeast': {'lat': -4.86146555, 'lng': 139.47684885}, 'southwest': {'lat': -4.864464949999999, 'lng': 139.47310905}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Sharon Inn,ChIJVRoXz-ksP2gRyMhTgzS6eQk,3.9,ChIJVRoXz-ksP2gRyMhTgzS6eQk,"['lodging', 'point_of_interest', 'establishment']",22.0,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112037563697609665789"">Budi Setiawan</a>'], 'photo_reference': 'AUGGfZnrft4pcrCFq2qDfneD5HHKA9Bb6TDNgQUe--5F4120BldZdCa5AyQVNwDOY6MSPdIjICvmyE8_XKSafNfQzeW7VOra_i80rm_F_Z9nDjx2llf0WFgdaD26LU9CLRDr3mrjWjtmhYAZykOK5PzK3YwDHnNZtn4iByTkYkhzVCVNZ3U8', 'width': 4608}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJVRoXz-ksP2gRyMhTgzS6eQk
OPERATIONAL,"4FJP+X7F, Moruku, Dekai, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.8675637, 'lng': 139.4856768}, 'viewport': {'northeast': {'lat': -4.866013370107277, 'lng': 139.4867679798927}, 'southwest': {'lat': -4.868713029892721, 'lng': 139.4840683201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Yahukimo 1,ChIJq3n-M98sP2gRJXaGtAlvCzE,3.3,ChIJq3n-M98sP2gRJXaGtAlvCzE,"['lodging', 'point_of_interest', 'establishment']",15.0,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101568820021283060048"">A Google User</a>'], 'photo_reference': 'AUGGfZn9YUigMKLhqNUP4ynFE_KtinmRuFftqJ5qI42dvpbYQdvIApHYjLTxgcbKlhP1neJ1u3xzX1dLOIhIUIBdEQQ9fpubvFdzYj-7rzJTPhPyJfCGBzpX9vkzLz4SM56xrwtOzFNlB9w4teght4PYxPut8lH4I6F9AbbGQSaAWxIiMJon', 'width': 4000}]",{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJq3n-M98sP2gRJXaGtAlvCzE
OPERATIONAL,"4FJP+X7F, Moruku, Dekai, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.8675637, 'lng': 139.4856768}, 'viewport': {'northeast': {'lat': -4.866013370107277, 'lng': 139.4867679798927}, 'southwest': {'lat': -4.868713029892721, 'lng': 139.4840683201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Yahukimo 2,ChIJq3n-M98sP2gRkNpQAaG9kDM,3.1,ChIJq3n-M98sP2gRkNpQAaG9kDM,"['lodging', 'point_of_interest', 'establishment']",52.0,,"[{'height': 385, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105448348962292858646"">indah lestari</a>'], 'photo_reference': 'AUGGfZlTQF1WIdR_iLv7_MOQ9iuZitb4gjYb75mgHgktZwCaWrrDtB0jn8KbjVmh59gNO_k8GqjSm3FkaCCbLvLuxB9TSG6Wa89wgTYBpddj6HOLZFRR4dpW9WBGg2CMl-piyGiHia9cSBmsFjza1ZO88j5gVJPqLNZZZ7U65ilDCSQs3z0Z', 'width': 540}]",,https://www.google.com/maps/place/?q=place_id:ChIJq3n-M98sP2gRkNpQAaG9kDM
OPERATIONAL,"jl. Raya abepura - Gedung matoa square lt 3 Irian Jaya / Papua, Wahaik, Ninia, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.3545, 'lng': 139.365}, 'viewport': {'northeast': {'lat': -4.353150170107279, 'lng': 139.3663498298927}, 'southwest': {'lat': -4.355849829892723, 'lng': 139.3636501701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Matos,ChIJfVdT____PmgRA3P7GR_5eVM,0.0,ChIJfVdT____PmgRA3P7GR_5eVM,"['lodging', 'point_of_interest', 'establishment']",0.0,"{'compound_code': 'J9W8+52 Wahaik, Yahukimo regency, Papua, Indonesia', 'global_code': '6Q7XJ9W8+52'}",,,https://www.google.com/maps/place/?q=place_id:ChIJfVdT____PmgRA3P7GR_5eVM
,"Soloikma, Yahukimo regency, Papua, Indonesia","{'location': {'lat': -4.3745305, 'lng': 139.4262684}, 'viewport': {'northeast': {'lat': -4.308876, 'lng': 139.4706661}, 'southwest': {'lat': -4.425027, 'lng': 139.356766}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Soloikma,ChIJb48pp48AP2gRcsCoK-StBnQ,,ChIJb48pp48AP2gRcsCoK-StBnQ,"['administrative_area_level_3', 'political']",,,,,https://www.google.com/maps/place/?q=place_id:ChIJb48pp48AP2gRcsCoK-StBnQ
