business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,permanently_closed,plus_code,url
OPERATIONAL,"FF3H+8V7, Jl. Poros Wolulu-Batas Kolaka/Bombana, Toari, Kec. Toari, Kabupaten Kolaka, Sulawesi Tenggara 93563, Indonesia","{'location': {'lat': -4.546719, 'lng': 121.4796583}, 'viewport': {'northeast': {'lat': -4.545391470107279, 'lng': 121.4810607298927}, 'southwest': {'lat': -4.548091129892723, 'lng': 121.4783610701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Kalora,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113631544078838074149"">A Google User</a>'], 'photo_reference': 'AUGGfZkON2eXyVNfG1701cOFIlyBr_jJIlprYUVwA5MYMxGtmXosu6Ci3vYX8cYw9SabA5r-n3-XVr63S6aGDvdXFy53G_KC5ZQKFAzag49K7w8o0eN8MWj8WUrdyoR_hvacl1TNuOS2aaQ4LBT3mPzjPlcLw-XdMewVyo83oSRDtiNlVu2K', 'width': 1920}]",ChIJGXdPY_9JvS0REF4IuRjf6j0,5.0,ChIJGXdPY_9JvS0REF4IuRjf6j0,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,https://www.google.com/maps/place/?q=place_id:ChIJGXdPY_9JvS0REF4IuRjf6j0
OPERATIONAL,"GGC3+68V, Jl. Poros Pomalaa Toari, Watubangga, Kec. Watubangga, Kabupaten Kolaka, Sulawesi Tenggara 93563, Indonesia","{'location': {'lat': -4.4793813, 'lng': 121.5032942}, 'viewport': {'northeast': {'lat': -4.478113270107277, 'lng': 121.5048645798927}, 'southwest': {'lat': -4.480812929892721, 'lng': 121.5021649201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kembar beach watubangga,,"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109573198447518996204"">Arief Cahyadi</a>'], 'photo_reference': 'AUGGfZmz9ceA308xu_Np0ZKw9yCFttkCCXk-4Wn1b7ZRHl24KTA8Pt4vMeLv7xet20b_elaehwDBMr21gLrh7FQFz7AQ9BK1M-hYlzQwxKUiihmHUDocoBngk2uf9c4P4eJTF_jNiafqLZPDPOFR-4ocIVrsX8lVIkjtcdnIfcm0WMxZTESC', 'width': 1024}]",ChIJvRAsVZ5PvS0RlEfzcrYifXY,5.0,ChIJvRAsVZ5PvS0RlEfzcrYifXY,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJvRAsVZ5PvS0RlEfzcrYifXY
OPERATIONAL,"GF3X+G4, Watubangga, Kolaka Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.4962054, 'lng': 121.4977518}, 'viewport': {'northeast': {'lat': -4.494909320107278, 'lng': 121.4993153798927}, 'southwest': {'lat': -4.497608979892722, 'lng': 121.4966157201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai tanpa nama,,"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108571260205218596223"">A Google User</a>'], 'photo_reference': 'AUGGfZmg6TgcYcRQxDn4xBhvlyHPBdEd2pQu3cJMNXViZjLgfaMfocV7M9cncm-JGcBhNsTnh3sTsOOuDbDdsUDhU716rO5KNn-Df-j4RUPClv9IUYh-2JRhRyxkPbeBnAzACyFLYENWtB46ZnNN--i-w_7GO7lNCoccF9J7OGcE24QdjtOH', 'width': 2976}]",ChIJacWbAABPvS0RSBr2C2jeTNQ,0.0,ChIJacWbAABPvS0RSBr2C2jeTNQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJacWbAABPvS0RSBr2C2jeTNQ
OPERATIONAL,"GGC3+PJ, Watubangga, Kolaka Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.4782168, 'lng': 121.5040503}, 'viewport': {'northeast': {'lat': -4.476910270107279, 'lng': 121.5055036798927}, 'southwest': {'lat': -4.479609929892723, 'lng': 121.5028040201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Watubangga Beach,,"[{'height': 3112, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109121061251985513933"">A Google User</a>'], 'photo_reference': 'AUGGfZkUv6DftUUfT0qnUXeRYV4OwBUY-di_dNBEOkD45MvUmfbucc82u6OlrcfSqPO1TJqjoMOzjWEHRuOw2cVWq0v1LGNLzh0EZg6iX7EudieI6zc8DJ5JXNJn6VUN4sRKCeof2DMcy14s0ZTcDL1_7WjEviW-9giqzpHSARVqoQKaAUw2', 'width': 4160}]",ChIJ-abZNABPvS0RdyiNW0WIQMc,5.0,ChIJ-abZNABPvS0RdyiNW0WIQMc,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,https://www.google.com/maps/place/?q=place_id:ChIJ-abZNABPvS0RdyiNW0WIQMc
OPERATIONAL,"GGCH+X9F, Watubangga, Kolaka Regency, South East Sulawesi 93563, Indonesia","{'location': {'lat': -4.477570399999999, 'lng': 121.5284262}, 'viewport': {'northeast': {'lat': -4.475932020107278, 'lng': 121.5298636798927}, 'southwest': {'lat': -4.478631679892722, 'lng': 121.5271640201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bugis Leboote,,,ChIJRTrz2XdPvS0R57Ftt97lWIk,0.0,ChIJRTrz2XdPvS0R57Ftt97lWIk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJRTrz2XdPvS0R57Ftt97lWIk
OPERATIONAL,"FF9P+RVM, Lamundre, Watubangga, Kolaka Regency, South East Sulawesi 93563, Indonesia","{'location': {'lat': -4.5304015, 'lng': 121.4871741}, 'viewport': {'northeast': {'lat': -4.529117470107278, 'lng': 121.4887712798927}, 'southwest': {'lat': -4.531817129892722, 'lng': 121.4860716201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pantai Lamundre Toari,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102939119374122701248"">Jonk Haje</a>'], 'photo_reference': 'AUGGfZn4h32rW5Izq3F6sItd7Y6EJHvehn0e4nZx5kBJgXSl3qsuOckJIMoMG1UKeZpk_ROkx-PlDGB4JrU6nreiWDf2BTfD9aavj9OGptDZmmYetR9Br_xGdJ6XLdJAyFTMPn-83YVhFV463HzMzWG-11mgEhCpyungZjNg7H5gbEEzPCcx', 'width': 4160}]",ChIJ5aeIbDhPvS0RkKZkifxY3zU,4.3,ChIJ5aeIbDhPvS0RkKZkifxY3zU,"['lodging', 'point_of_interest', 'establishment']",8,,,https://www.google.com/maps/place/?q=place_id:ChIJ5aeIbDhPvS0RkKZkifxY3zU
CLOSED_TEMPORARILY,"CGM8+MM3, Rano Jaya, Toari, Kolaka Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.5658699, 'lng': 121.5166667}, 'viewport': {'northeast': {'lat': -4.564937720107277, 'lng': 121.5178782298927}, 'southwest': {'lat': -4.567637379892721, 'lng': 121.5151785701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Waduk rano jaya,,,ChIJS02wnWdJvS0RtFVNobo7ceU,0.0,ChIJS02wnWdJvS0RtFVNobo7ceU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,https://www.google.com/maps/place/?q=place_id:ChIJS02wnWdJvS0RtFVNobo7ceU
CLOSED_TEMPORARILY,"CF3C+R9, Toari Buton, Poleang Barat, Bombana Regency, South East Sulawesi 93772, Indonesia","{'location': {'lat': -4.5953953, 'lng': 121.4709552}, 'viewport': {'northeast': {'lat': -4.594292970107278, 'lng': 121.47345705}, 'southwest': {'lat': -4.596992629892722, 'lng': 121.47012125}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Toari Bombana,,,ChIJYyYvDc5JvS0RcQn3cPdYKoI,0.0,ChIJYyYvDc5JvS0RcQn3cPdYKoI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,https://www.google.com/maps/place/?q=place_id:ChIJYyYvDc5JvS0RcQn3cPdYKoI
CLOSED_TEMPORARILY,"FGW8+7GH, Gunung Sari, Watubangga, Kolaka Regency, South East Sulawesi, Indonesia","{'location': {'lat': -4.5043122, 'lng': 121.5163718}, 'viewport': {'northeast': {'lat': -4.502954870107279, 'lng': 121.5176941298927}, 'southwest': {'lat': -4.505654529892722, 'lng': 121.5149944701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Ketapang,,,ChIJ15OwWjVPvS0RcGgaysyV8dw,0.0,ChIJ15OwWjVPvS0RcGgaysyV8dw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,,https://www.google.com/maps/place/?q=place_id:ChIJ15OwWjVPvS0RcGgaysyV8dw
CLOSED_TEMPORARILY,"Balasari, Poleang Barat, Bombana Regency, South East Sulawesi 93772, Indonesia","{'location': {'lat': -4.631552, 'lng': 121.5761212}, 'viewport': {'northeast': {'lat': -4.630202170107278, 'lng': 121.5774710298927}, 'southwest': {'lat': -4.632901829892722, 'lng': 121.5747713701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Wisata Alam Indah desa Balasari,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106531233334042642475"">Ali Nur</a>'], 'photo_reference': 'AUGGfZl_7bvCzoL-_mxEvrq794R6vXZ71E59fgIl9aVRTJonF0vIn_KnWjLgsc4uu7NvOw7QgV38KQs26R1YieP9Qh4gLvVm1Ju5ZSZ82JcnDZauX-Za4251oxLxVpXsYliPzbNp9t3npUj-S8zPu8Ti27nKp6FrsfTTQzWciY3NBSz5n5c', 'width': 4000}]",ChIJoRQLkj41vS0RS9zKU8KgMJo,4.5,ChIJoRQLkj41vS0RS9zKU8KgMJo,"['tourist_attraction', 'point_of_interest', 'establishment']",4,True,"{'compound_code': '9H9G+9C Balasari, Bombana Regency, South East Sulawesi, Indonesia', 'global_code': '6Q739H9G+9C'}",https://www.google.com/maps/place/?q=place_id:ChIJoRQLkj41vS0RS9zKU8KgMJo
