business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,photos,permanently_closed,opening_hours,url
OPERATIONAL,"Paya Udeung, Seunagan, Nagan Raya Regency, Aceh 23671, Indonesia","{'location': {'lat': 4.2171022, 'lng': 96.26555479999999}, 'viewport': {'northeast': {'lat': 4.218914229892722, 'lng': 96.26670192989272}, 'southwest': {'lat': 4.216214570107279, 'lng': 96.26400227010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Penyedia Jeruk Lokal,ChIJwymanenRPjARLYO9XJpZw1c,"{'compound_code': '6788+R6 Paya Udeung, Nagan Raya Regency, Aceh, Indonesia', 'global_code': '6MPR6788+R6'}",0.0,ChIJwymanenRPjARLYO9XJpZw1c,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJwymanenRPjARLYO9XJpZw1c
OPERATIONAL,"69X6+JWP, Lhok Mesjid, Seunagan Timur, Nagan Raya Regency, Aceh 23671, Indonesia","{'location': {'lat': 4.2500355, 'lng': 96.36178369999999}, 'viewport': {'northeast': {'lat': 4.251267879892722, 'lng': 96.36322982989272}, 'southwest': {'lat': 4.248568220107278, 'lng': 96.36053017010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,JAMBO BLANG ABU ISMAIL,ChIJ6zJXdADTPjAR95KfYvw5rNM,,0.0,ChIJ6zJXdADTPjAR95KfYvw5rNM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6zJXdADTPjAR95KfYvw5rNM
OPERATIONAL,"788R+X6, Blang Tengku, Seunagan Timur, Nagan Raya Regency, Aceh, Indonesia","{'location': {'lat': 4.2674427, 'lng': 96.3405956}, 'viewport': {'northeast': {'lat': 4.2687745, 'lng': 96.3419953}, 'southwest': {'lat': 4.263447300000001, 'lng': 96.3363965}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan gantung Blang Teungku,ChIJYR761V7TPjAR2hyHy9TH2zk,,0.0,ChIJYR761V7TPjAR2hyHy9TH2zk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113279490509086620086"">A Google User</a>'], 'photo_reference': 'AUGGfZkf_V52mvJwFMxTda1liUh0f25bcoG_QsO0PrP58-t6xnfiAZCVg-JXlEDfLEEI0yfLU3cLW5Ioqm9SpataCH06Y55iCHWA12z8hB685PED4iDyXeoNCrDzBmLshYvTkcadqkr1OEhFRtCD0hDKEPKEkOlelRmh6Egk6Dmi00wKclcf', 'width': 1872}]",,,https://www.google.com/maps/place/?q=place_id:ChIJYR761V7TPjAR2hyHy9TH2zk
OPERATIONAL,"685W+6RP, Alue Peusaja, Suka Makmue, Nagan Raya Regency, Aceh 23671, Indonesia","{'location': {'lat': 4.2080834, 'lng': 96.3470775}, 'viewport': {'northeast': {'lat': 4.209387679892721, 'lng': 96.34782737989272}, 'southwest': {'lat': 4.206688020107277, 'lng': 96.34512772010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Teupin Jaloh Krak Tampai,ChIJtUBxlh7TPjARJnJhxksN1LM,,0.0,ChIJtUBxlh7TPjARJnJhxksN1LM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJtUBxlh7TPjARJnJhxksN1LM
CLOSED_TEMPORARILY,"786H+VF4, Tuwi Meuleusong, Seunagan Timur, Nagan Raya Regency, Aceh, Indonesia","{'location': {'lat': 4.262127, 'lng': 96.3287161}, 'viewport': {'northeast': {'lat': 4.263841299999998, 'lng': 96.32975917989273}, 'southwest': {'lat': 4.256984100000001, 'lng': 96.32705952010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Batas Sw.Manee & L.Pange Versi SW,ChIJKdEcDBTTPjAR4dOS0FSTay8,,0.0,ChIJKdEcDBTTPjAR4dOS0FSTay8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,True,,https://www.google.com/maps/place/?q=place_id:ChIJKdEcDBTTPjAR4dOS0FSTay8
OPERATIONAL,"79CH+4JF, Cot Gud, Seunagan Timur, Nagan Raya Regency, Aceh 23671, Indonesia","{'location': {'lat': 4.2703228, 'lng': 96.3790551}, 'viewport': {'northeast': {'lat': 4.271079579892721, 'lng': 96.3803563}, 'southwest': {'lat': 4.268379920107277, 'lng': 96.3751515}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata krung Cot Gud *wow*,ChIJf4wWRBrTPjAR3iLdHROghlE,,2.8,ChIJf4wWRBrTPjAR3iLdHROghlE,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,,https://www.google.com/maps/place/?q=place_id:ChIJf4wWRBrTPjAR3iLdHROghlE
OPERATIONAL,"7CPJ+7R, Blang Seunong, Beutong, Nagan Raya Regency, Aceh, Indonesia","{'location': {'lat': 4.2857188, 'lng': 96.4320205}, 'viewport': {'northeast': {'lat': 4.287038679892722, 'lng': 96.43332737989273}, 'southwest': {'lat': 4.284339020107278, 'lng': 96.4306277201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,ayah juna subulussalam,ChIJvbiiVZ8tOTARW6umM37tI6g,,3.7,ChIJvbiiVZ8tOTARW6umM37tI6g,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,https://www.google.com/maps/place/?q=place_id:ChIJvbiiVZ8tOTARW6umM37tI6g
OPERATIONAL,"5833+37J, Cot Kuta, Suka Makmue, Nagan Raya Regency, Aceh 23671, Indonesia","{'location': {'lat': 4.1527005, 'lng': 96.3031278}, 'viewport': {'northeast': {'lat': 4.153869429892723, 'lng': 96.30380797989272}, 'southwest': {'lat': 4.151169770107279, 'lng': 96.30110832010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Sawah""Ampon Muda""",ChIJ78sKJ9bPPjARgzbzvE9GTeY,,5.0,ChIJ78sKJ9bPPjARgzbzvE9GTeY,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115751891597579306786"">A Google User</a>'], 'photo_reference': 'AUGGfZncLPhA3LC-IxO43k1T9fGrR2HC7CYBCxB8gWZym0qKiFURm-qtwlAMma3UwG9RgmNIjiueoKisTN5n70Zp1IN6J8vAT0OkCwIBznx_TlNQMdNSZRc6VKgO_OVKeTauB3BROWtjDILmXgf6hf1HFJe84qZQ-UdMds8JGrOYThkxmKUO', 'width': 2352}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ78sKJ9bPPjARgzbzvE9GTeY
OPERATIONAL,"899H+9R, Kila, Seunagan Timur, Nagan Raya Regency, Aceh, Indonesia","{'location': {'lat': 4.318396, 'lng': 96.379609}, 'viewport': {'northeast': {'lat': 4.319745829892724, 'lng': 96.38095882989272}, 'southwest': {'lat': 4.31704617010728, 'lng': 96.37825917010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air terjun alue pange,ChIJgdWtAwDVPjARFVKJhG-POJ4,,0.0,ChIJgdWtAwDVPjARFVKJhG-POJ4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJgdWtAwDVPjARFVKJhG-POJ4
OPERATIONAL,"5897+RV6, Lueng Baro, Suka Makmue, Nagan Raya Regency, Aceh, Indonesia","{'location': {'lat': 4.1695404, 'lng': 96.3146324}, 'viewport': {'northeast': {'lat': 4.170905679892722, 'lng': 96.31659967989272}, 'southwest': {'lat': 4.168206020107278, 'lng': 96.31390002010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lapangan bola kaki karang anyar,ChIJLaq5cgDPPjARUsSHL8YTI3s,,0.0,ChIJLaq5cgDPPjARUsSHL8YTI3s,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJLaq5cgDPPjARUsSHL8YTI3s
