formatted_address,name,place_id,types,photos,rating,user_ratings_total,lat,lng
"V8X9+37X, jalan trans, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663, Indonesia",Grand Family Hotel,ChIJgc2y974NSGgREC6JCLDCIug,"['lodging', 'point_of_interest', 'establishment']","[{'height': 2232, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113433520256931733670"">adi banyumas</a>'], 'photo_reference': 'AUGGfZkUVfN2XuxYpbGGJCU8XTX1gtVreItC5HtwYIK_Npx6JG8mmbfffYu5qfH83Xw1iSLA4LGKAj9MaOHDkrFzm8e3na9V3U1eG-1X4KjiQ9UNxIPdhFStD6hxQn6POAjYnHspQpCAl-Am25UP8NOn-79kxGpTasQNo1-3WIUFaxn_O8Yf', 'width': 3968}]",4.7,36.0,-6.1022902,140.3181429
"Trans papua depan lapas, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663, Indonesia",Penginapan GG-Celebes,ChIJGbpoeakNSGgR0hPQfprmng4,"['lodging', 'point_of_interest', 'establishment']","[{'height': 3016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110991841307967901245"">Hari Siregar</a>'], 'photo_reference': 'AUGGfZkokBd0D6zKY9utTrI-geW9K3_VrIR8vwz0-uMku1nvYawPthR_pqO8dSq_UKnrubCtKtj7BxX9xiS6Pt9AJuQfIIpjRgBW7aLmNwMU4Nysrw7pPY5lIrT_uPkAWRr4QcVu1r5XTY3Oil2GAlM5YorkHvxnCt07QComaljurwcuM5ra', 'width': 4032}]",4.4,45.0,-6.101325999999999,140.3048378
"Jl. Irian Kepi, Obaa, Kec. Obaa, Kabupaten Mappi, Papua 99881, Indonesia",Hotel Grand Avista,ChIJpYRuduj5NmgR8JE4HyEyI-M,"['lodging', 'point_of_interest', 'establishment']","[{'height': 2752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107164891612966396020"">A Google User</a>'], 'photo_reference': 'AUGGfZkcxKRd6XUc-VyIwqNek4BVGurIgIakxudwrZqa5REBn1LYQINMEZ0AQ5DmMDSxWa9qKfSXDXBHo47fMqOOObG6e9d2Me4N8MVtRqL_84tzGbdIZeRx9kWwp_A0M9OI1qjLm6M7c2TiSvQVDuGwiGy6idpJtGAm0GQjVGJsNRgFT6yI', 'width': 5664}]",3.7,86.0,-6.540046599999999,139.304703
"F8M8+5RG, Obaa, Mappi Regency, Papua 99871, Indonesia",Hotel Ristiana,ChIJp1IsK9L-NmgRJ9-AMwFmhxg,"['lodging', 'point_of_interest', 'establishment']",,5.0,1.0,-6.517056999999999,139.317093
"F8C9+4G4, Jl. Irian Kepi, Obaa, Kec. Obaa, Kabupaten Mappi, Papua 99881, Indonesia",Hotel Gedung Putih,ChIJcfSZkhf5NmgRTmx-dbz7ZuM,"['lodging', 'point_of_interest', 'establishment']","[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101880107685781469260"">Ricardo Beruatwarin</a>'], 'photo_reference': 'AUGGfZnmtEVZA2M_wALLPzrFVEuwd4ZVpp5WjiR66vtc9SZidW712TfLcDEOlncqP21-a2GBjHkHD_T7mdEbnrezA55PRV0fUn--ng92_XsqsRumhyOq8GHRwKbcoH7c4cgBeRarzfCr1aYK-fr-X4JlLGB5l6CFVK3gSY4ZKUIHRahlSOm-', 'width': 1848}]",3.0,4.0,-6.529783699999999,139.3188857
"F88C+Q99, Jl. Irian Kepi, Obaa, Kec. Obaa, Kabupaten Mappi, Papua 99881, Indonesia",GUEST HOUSE,ChIJ3QHuGm75NmgRgLFvJZwxzTk,"['lodging', 'point_of_interest', 'establishment']","[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103564065454494542526"">Adrianus Putra</a>'], 'photo_reference': 'AUGGfZmodXrMbyIEbDET6dBNbfm3RBG93knkKlaEe45ea8oLt9AJ26_jxyd93MblLlMmLfWwCm_J13cAXc8V1aEbxgp4-9qaWI89L5Q867DUtwUpegWV3OyRlO1i5G2xSSS0afmY8AwKv02SCjrd5QtUI93O2fjuYHdF7t0xBTEoqb1qXmhC', 'width': 4000}]",4.4,14.0,-6.5329079,139.3209602
"4FJP+X7F, Moruku, Dekai, Yahukimo regency, Papua 99571, Indonesia",Hotel Yahukimo 1,ChIJq3n-M98sP2gRJXaGtAlvCzE,"['lodging', 'point_of_interest', 'establishment']","[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101568820021283060048"">A Google User</a>'], 'photo_reference': 'AUGGfZloXdMKwPkYFXaaF4jFY4NWBjtkZXPoNSs-bDDt753ZOk8SzC5payoAkz2RqjrYghXL84cuoNhul6Eon325IohVyF36mo9aF47ih0-9uC3N66Hi_KzrzlA3KvWIcBvdV2oTW_QxGSPJY_QlYvtQR7mxnLcHSfSs3OYixo9Z8awR00cw', 'width': 4000}]",3.3,15.0,-4.8675637,139.4856768
"4FQF+4J7, Massi, Dekai, Yahukimo regency, Papua 99571, Indonesia",Hotel Sharon Inn,ChIJVRoXz-ksP2gRyMhTgzS6eQk,"['lodging', 'point_of_interest', 'establishment']","[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112037563697609665789"">Budi Setiawan</a>'], 'photo_reference': 'AUGGfZmL0XH9FUDHU9dcj9JbNRqvWbFQxTmZfiY3SzQUT75sPku7RfdK7ORB-dlZKjeov9E0nyrsrO8FU_bYIvYwbobf92EeJ4N9pTqEjeIg02OH4qYh4XXNjiukuEg10myMZD0DnOVFG4gq6QmHBOrdLoT3D5gbQVvSvotunnV4kRRoWabP', 'width': 4608}]",3.9,22.0,-4.8622154,139.474044
"4FJP+X7F, Moruku, Dekai, Yahukimo regency, Papua 99571, Indonesia",Hotel Yahukimo 2,ChIJq3n-M98sP2gRkNpQAaG9kDM,"['lodging', 'point_of_interest', 'establishment']","[{'height': 385, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105448348962292858646"">indah lestari</a>'], 'photo_reference': 'AUGGfZnvMuwPwbTw7QV5wHyw2bVXmHl0zOTEYtsvtTnraPbWLZeZTEBidPo9veT9MZHcgmlSDnM-LRwMX7zkhbWQNCX0P3RsizLzvHO6NgpNfu7CdFsehI8vO09wEYl8sZakBNNHyqBvJs-r1msyPE2sv09H0fMahYylIGO5LZEeRS4THcvi', 'width': 540}]",3.1,52.0,-4.8675637,139.4856768
"Jl. Trans Papua No.km2, Persatuan, Kec. Mandobo, Kabupaten Boven Digoel, Papua 99663, Indonesia",Honai Meeting Room,ChIJ-b5LC-MNSGgRmGTB_DXbvSQ,"['lodging', 'point_of_interest', 'establishment']","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103847462833572019297"">sam ™</a>'], 'photo_reference': 'AUGGfZmehhp2hUL8M42mHEcN9QUHVAfdXZI7up-cXIe9fGcfqJKycZS-ixE6ginfnlycyzkB8nz-abxBHDijbg45CTvUwopYNLkWbpSKG9yG1KMY0y8bgwQHEePd_xWUua9iuAvLV_nzA2hvwkwYqatSySp9dXLrCXUJ2R21_6QfPu-7A1B5', 'width': 4160}]",0.0,0.0,-6.080007,140.2761469
"Persatuan, Mandobo, Boven Digoel Regency, Papua 99663, Indonesia",Hotel Honai,ChIJnWyveOUMSGgRK2rBD92JjHw,"['lodging', 'point_of_interest', 'establishment']","[{'height': 551, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111681546219346580260"">A Google User</a>'], 'photo_reference': 'AUGGfZnMDGwXw50lMaMptiqLAgSyCp4Q-nip1Da7KhuGrZABZBwTHp992kcmkB36hSEmwl_wgWD1ibgheauBFBBvSv-ZWlznLIKJXcVGXO1R3IiM8bvYzP2X1zZYHifj0cUUFvfOIP5S_gilXRaeJ9wZ4KN8ha36nazIrk-nytgVhaj4wEfW', 'width': 979}]",4.0,128.0,-6.0998412,140.3198032
"F833+M76, Jl. Irian Kepi, Kepi, Kec. Obaa, Kabupaten Mappi, Papua 99881, Indonesia",Kantor Ksdae Resort Mappi,ChIJhSN2rk35NmgRUSUQbGKiiYY,"['point_of_interest', 'establishment']",,0.0,0.0,-6.545808999999999,139.3030933
"Cabang 3, Nohon, Kec. Passue, Kabupaten Mappi, Papua 99871, Indonesia",Warung Makan Mama Bilal,ChIJJQdlzRyxN2gR3Q9IWJmrbLw,"['restaurant', 'food', 'point_of_interest', 'establishment']","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104976317026192796330"">A Google User</a>'], 'photo_reference': 'AUGGfZlHqgpw9vx3e2uNW1UOGJ1s4862QIsR3jLQQ-MOThRJyCTXJamXT9BQx6TS_QqL__paoxwN2P5gwQG40uOKDLsOSV4jXh0ZdrK2IeJxpZEM3T_6hFos5MyFOEbl1wLhsiGtKP6B5JUjOXeSUAnDCE95rm5nT_K2Iqk4nHOZi6zVXBAz', 'width': 4160}]",4.0,1.0,-6.4052346,139.5603225
"Jl. Gg. Soska No.26, Seringgu Jaya, Kec. Merauke, Kabupaten Merauke, Papua 99619, Indonesia",Grand Mandala Hotel,ChIJUYR-o5o_tWkRptNk2a6ShNo,"['lodging', 'point_of_interest', 'establishment']","[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105291862300629530651"">Agung Prawira</a>'], 'photo_reference': 'AUGGfZl4N7TJ49Xa3EdB8TBXomxV6gn4APscVafattQ6lnJGuZPFHqJ6F04pviEm_KbmlkLEUWgQVNMPR5k3bOaFZdByTlDCEScrUStb4RfPDvvERpKEbzSsVYH-OBgS-3JTHS1uyKbaylHncIRPq9oTZsddMUd284MCDXgAjS1T_wutvRjq', 'width': 3024}]",4.3,19.0,-8.494122599999999,140.3923774
"Jl. Raya Mandala No.66, Mandala, Kec. Merauke, Kabupaten Merauke, Papua 99616, Indonesia",Hotel Nirmala,ChIJZ88eZEg-tWkRD7IgAMpcnd8,"['lodging', 'point_of_interest', 'establishment']","[{'height': 1779, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102234401349304527249"">Rahmat Santoso</a>'], 'photo_reference': 'AUGGfZnPC6XqdTMmiuPl5NbS_R5_vdwxXhV-Ey1epTOsyiYd3xDdfgaWboPYtLcpWncQJjitjyrXAnadAfuvLKkc_WbNCvdLnbmMAeZn4gKAKoTWjNFqAhTVDJ1WWPPBilLy2MCLgEwKGWEgLg3BU8gTXPBuO1LLTDJyojcnLuank9VrH3JG', 'width': 2983}]",3.7,106.0,-8.4898028,140.3915702
"GC62+67Q, Jl. TMP Trikora, Maro, Kec. Merauke, Kabupaten Merauke, Papua 99614, Indonesia",Hotel Marrlokha,ChIJ2w088Tk-tWkRfpnV8h_Aiu8,"['lodging', 'point_of_interest', 'establishment']","[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107040576566408812120"">Brawijaya Mandiri</a>'], 'photo_reference': 'AUGGfZkY1VnYZ2PXtNwYus3-DaQ19jQnMmOHlDSzaKIQEu6X-WuRl50cNa7aUleVqsJ5JV9uqmEipStpKro2Pm-6yfzhmzsC-ViBMcV2JHJwVQgxp9rqXkUK5F-b_kN2r6k4sv4-y90WvaIyiylLmf6XPVjYN3QZu7jNyS-wpr6XWCc0uYiE', 'width': 3264}]",3.9,46.0,-8.4894004,140.4007263
"Jl. Raya Mandala No.123, Mandala, Kec. Merauke, Kabupaten Merauke, Papua 99614, Indonesia",Hotel Marina,ChIJZXEEhC4-tWkRGHYlacOt8-k,"['lodging', 'point_of_interest', 'establishment']","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117238301211273058343"">Muhammad Nuryadi</a>'], 'photo_reference': 'AUGGfZldNLseqmXzlGrW7f0N0jL-3x4-YsXUc2JeFeGqwOdAJeed9LxFM23ijXKHPSoqAGNKVDsMAjbxzFR1qzYYBGEURDVJIpGNmVlMpe-vNpT1JoMdMZOdFFq9RfrIS5c8z7jo991wnV9i72kvupU9nVrcNjM3MbxBGuRLJ_L7om_CjaIE', 'width': 1920}]",3.8,134.0,-8.499103,140.3965294
"Samkai, Merauke, Merauke Regency, Papua 99615, Indonesia",Hotel Rolands,ChIJN2-jUr0VtWkRX9Dtwv8nuos,"['lodging', 'point_of_interest', 'establishment']","[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117394272706095704345"">Wopari Gilbertho</a>'], 'photo_reference': 'AUGGfZnM1HXZ8-WiQqzpaPCxtrA1-NfaGt69hpTW93vKuIm7RENL7KGCDsd8HELhLPnIuEjrU50UuORyNezb6SnWlQZE600rDHP_uNchgtW5WoYYzXnHDK7lUQXZN7G0tXKdDunzyhx5zJqJcQW4eMoTAQ9nyibmIiT8oewSJWMduIwjwPNx', 'width': 3264}]",3.8,44.0,-8.521121599999999,140.3998792
"Jl. Biak, Mandala, Kec. Merauke, Kabupaten Merauke, Papua 99616, Indonesia",Sunnyday Inn Merauke,ChIJeZcllSg_tWkRl5LbnCZJs-o,"['lodging', 'point_of_interest', 'establishment']","[{'height': 2232, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113294096054276315441"">Arul Qais</a>'], 'photo_reference': 'AUGGfZmQsN3in-lKCTPhZTqA59iaHl5nLgUCbTOH3_mDGZJlvaVEg1VzauMthaDH0oY1C2sdhD46wVMm5BMa9utHdVpuAINoKlkvFgyHBEtfM18_-1WXVxr_5huSpNfrq8i69frPbE9OjbRNuK9OD_4gsqeBlNOF_fZqCwxzyBJofcAL5OaM', 'width': 3228}]",4.4,94.0,-8.49719,140.398002
"F9RW+QP8, Jl. Gak, Bambu Pemali, Kec. Merauke, Kabupaten Merauke, Papua 99615, Indonesia",Hotel Solair Indah,ChIJ_6TgSYQVtWkR12UWzUo8Ofs,"['lodging', 'point_of_interest', 'establishment']","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103825432418192453618"">K - Watch 07</a>'], 'photo_reference': 'AUGGfZnQkM8TSjy1mjZu-llgIQGpcWpT4qzfBiMgXxVlAZ70X31oqEfsY6q8AXjmnD_nqSBYaclOnH6-4IOfwV6eBBWkHj3jdUhL6HmHeAjoIqi5MdE7dRAOI1GdFomurAQw0XH71tZTPoSztvZiRvlW2PEVzOl4pyRuWE1mT9obaz9Cu76P', 'width': 1080}]",3.3,56.0,-8.5080858,140.3968315
"Jl. Raya Mandala No.67, Mandala, Kec. Merauke, Kabupaten Merauke, Papua 99614, Indonesia",RedDoorz @ Merauke City Center,ChIJVVX5VCg-tWkRjjUAKGItzQI,"['lodging', 'point_of_interest', 'establishment']","[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108699018654566022457"">A Google User</a>'], 'photo_reference': 'AUGGfZmP1x5SDqXV_nVeeyw6Tqz_ZPYnftZxdeyD_9nw53aIbzQZB1b1D0wA5ofD8To1EXZEXkCFKn2McMlLQKE8Wdtc5lzZcd8RDunG-6plydLZT8OlzQ82Gamqv5Hpb30I5WGCdtmcMraMNqcJlJGjR6E0VUXGM9Mx8ARdrAhMARla9Fxm', 'width': 3264}]",3.8,4.0,-8.512226799999999,140.4041355
"93C3+PXQ, Maprik East Sepik Province, Papua New Guinea",Maprik Hotel,ChIJGwZg7vi3Z2gRRdcTH8gkYY0,"['lodging', 'point_of_interest', 'establishment']","[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108637483472389492477"">A Google User</a>'], 'photo_reference': 'AUGGfZl5eWKT-SzMY434VE7KzHA7XRp_nk_7Y-svmHCAFUozr345c5qExCwVRSeR2cgiGpT-r4uCmXw3cYXrAowRcIek6ikMwXJq5UpzwkEmbtq5CkrAmN0XUB2orgY4mlgtpCvYDwfpGg2Nsmo5xFbE3MIuwNxZ8x5l8JtxeEaMWHCG1AYC', 'width': 6000}]",5.0,2.0,-3.6281729,143.0549944
"N Coast Hwy Madang Madang Province, 411, Papua New Guinea",Jais Aben Resort,ChIJ6dALIYjo9WgRSAAUcZ18OvI,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']","[{'height': 748, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111135351125480906185"">A Google User</a>'], 'photo_reference': 'AUGGfZkbZKFLhbmbzN94ujF5Lw3aaLcbrJAYlg5ypvI1_bKj7nNilCzM_QuI3hBqV3xxKyJgr7amK72WL4gEbtxWbgP2kPYvulpYPObc-RO9NLr5vys5sOaykQY95ddiFb6QFOt_GtpXyC0r-YOPH2g9ISLn0KdgQRFdJDSQOdQ6o-YfyfSN', 'width': 748}]",4.2,185.0,-5.1560294,145.8014075
"Surulere, Lagos 101241, Lagos, Nigeria",Suru Express Hotel,ChIJAQAAAByMOxARdIVihkpLmsU,"['lodging', 'point_of_interest', 'establishment']",,4.0,1.0,6.4979884,3.3439291
"Mayo Bani 601103, Borno, Nigeria",Suru Guest INN,ChIJf4LTEOWjAhERHGjtHX3FR2U,"['lodging', 'point_of_interest', 'establishment']","[{'height': 1728, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115163018666733567901"">A Google User</a>'], 'photo_reference': 'AUGGfZntGhFQUqH5eEAcj4Eq3cEpORmQuPdoUPAQ-ErDrzMq66qAe492D1QFPNSOeO7vy_uykQ2rv7RXxcq4aXin7Py8DfGKRyvHC3NjLoP-NtGFWeROLRthIS6DADVv2ffSNxTmm-w0zLs5WB1xnyc_8etfarioz2QVrWUnzEFlEA3ZFzTY', 'width': 3936}]",3.6,28.0,10.4564592,13.215772
"104 Alh. Murtala Animasahun Cl, off Adelabu Street, Surulere, Lagos 100271, Lagos, Nigeria",Suru Express Hotel Plus,ChIJW8cy7BeMOxARYPpRmyahTNI,"['lodging', 'point_of_interest', 'establishment']","[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116348187471385675057"">A Google User</a>'], 'photo_reference': 'AUGGfZk8FExfNlJ3nSYzXAZ5QQIGMjOWpU2ky0PfWD-WzPiPp_CIwFeb8c6gIsGF3xt6tqtAq4MOj6vs1dOr3iJpUmYLcoDUUaPBXIWbg5Ps2NZpLCWe7sQIGDqKXlzOszMMixwnNRqchh3983E4Fy0SBPg_yv2e3yCyRX3wzFPthjW8kBUj', 'width': 960}]",4.0,295.0,6.4948944,3.3515644
"Bodjekali, Benin",SURU HÔTEL,ChIJi3ootOs9zBERPld00xfEwhQ,"['lodging', 'point_of_interest', 'establishment']","[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101763871915172809705"">Abdulakeem AbdulRazak</a>'], 'photo_reference': 'AUGGfZlU9lcIym-OCL5-fzE0prPTQocT36JBbqWoO3gJn5by2Xa2D9o0CUWp5rfbTwOxiPjcobT2jMvV_dOi8PkH5_7kY2TLaS2-w-gORJ7rbVerm5AjbW5lunRd2CDwDNWqBJc0rJNQVJr0aTTJHNn9dpdUULjpURHlkSurSR_qL4tQcRYC', 'width': 2976}]",4.0,23.0,11.805847,3.3786832
