formatted_address,geometry,name,place_id,types,photos,rating,user_ratings_total
"Awabutu, Paniai Timur, Paniai Regency, Papua 98726, Indonesia","{'location': {'lat': -3.927903199999999, 'lng': 136.374559}, 'viewport': {'northeast': {'lat': -3.926597720107278, 'lng': 136.3759117798928}, 'southwest': {'lat': -3.929297379892722, 'lng': 136.3732121201073}}}",BRILIAN HOME STAY,ChIJFyMxFj89ImgRAQOyAVKDyX4,"['lodging', 'point_of_interest', 'establishment']","[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116321874257724168620"">SK Tan</a>'], 'photo_reference': 'AUGGfZmXpxsFoeq6nruWoNHx3j5PvtNurXxQ0CG9NnV4NatReWWDAf480yXMNHFhDl29z1pnZwIhUstdW2qGlH-lrapqbEVigEnVHqxRT8uLjMqSYjHid6gaVgv3vDyYzi2VTsy2XOrcqGwxbt0slSFAt3kQ5Zprd2HzIbCkhMbJYmxhxsI9', 'width': 4000}]",4.0,33.0
"6C64+78G, JL. Jend. Sudirman, Mujaiyepa / Munayepa / Muniyep, Nabire, Kabupaten Paniai, Papua 98719, Indonesia","{'location': {'lat': -3.7893205, 'lng': 136.4058205}, 'viewport': {'northeast': {'lat': -3.787970670107279, 'lng': 136.4071703298928}, 'southwest': {'lat': -3.790670329892722, 'lng': 136.4044706701073}}}",Kepala Kepolisian Resort Paniai,ChIJnZf9iikOImgRTIDFIT0LJzs,"['lodging', 'point_of_interest', 'establishment']",,5.0,2.0
"WC3Q+2P3, JLN MAKIMUGU, Bagou, Distrik Tigi Timur, Kabupaten Deiyai, Papua 98781, Indonesia","{'location': {'lat': -4.097489299999999, 'lng': 136.4393054}, 'viewport': {'northeast': {'lat': -4.096139470107277, 'lng': 136.4406552298927}, 'southwest': {'lat': -4.09883912989272, 'lng': 136.4379555701073}}}",Penginapan Jaya,ChIJCy9WiFo1ImgRe84gTjg6hZY,"['lodging', 'point_of_interest', 'establishment']",,0.0,0.0
"X73J+W9H, Wagete I, Tigi, Deiyai Regency, Papua 98764, Indonesia","{'location': {'lat': -4.0451834, 'lng': 136.2809719}, 'viewport': {'northeast': {'lat': -4.043870720107278, 'lng': 136.2823814298927}, 'southwest': {'lat': -4.046570379892722, 'lng': 136.2796817701073}}}",PENGINAPAN ALFAGO JAYA,ChIJsbHXY7EpImgR5zFEWNO4fb8,"['lodging', 'point_of_interest', 'establishment']","[{'height': 1970, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108909402973839980001"">A Google User</a>'], 'photo_reference': 'AUGGfZlQPpPQ0rcxRbL9HwROwZV3VCkoBAX5RAv-5Hai6nKUMCT6s-6phP0uLzXkcXzLTDYQEaoQb3EazaiPDo7ftQjpLyM51ONcjrWHI2c9q_gKNiefeg4WFQC_A9ZStqy7JKt191ktDKRcfjIIuNs2dK7-FoT770Ia1cC7m1i7sJ_dBaCi', 'width': 4160}]",3.0,2.0
"Tim, Enarotali, Paniai Tim., Kabupaten Paniai, Papua 98726, Indonesia","{'location': {'lat': -3.9284414, 'lng': 136.3780583}, 'viewport': {'northeast': {'lat': -3.927149570107279, 'lng': 136.3794098298928}, 'southwest': {'lat': -3.929849229892723, 'lng': 136.3767101701073}}}",Guest House Paniai,ChIJPaQpvj49ImgRUdvb9JvZH-U,"['lodging', 'point_of_interest', 'establishment']","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115286360635530424728"">A Google User</a>'], 'photo_reference': 'AUGGfZlu3NFvCt3rd465PSYWFlaT5XykqJx02qBVAq-rw4yGp-oSFX5tlOOPFoia2VtikX2EqngmwBP1njFlqWNCRBRAtvBz7Lo1TyFLfx6vEcbNzHCgvq5ogXCi0a21jhaqFLWlbh4bLv_KgQ0UTRN7vLXRbRsAkyQ-GPoFHxwe9pD3Jlm0', 'width': 4160}]",4.2,55.0
"V35W+H57, Tembagapura, Mimika Regency, Papua 98972, Indonesia","{'location': {'lat': -4.1412916, 'lng': 137.0954774}, 'viewport': {'northeast': {'lat': -4.139939320107278, 'lng': 137.0968043798927}, 'southwest': {'lat': -4.142638979892722, 'lng': 137.0941047201073}}}",SQ7 Apartment Tembagapura,ChIJZW-GtS7nImgRVoqF8F0xcrI,"['lodging', 'point_of_interest', 'establishment']",,5.0,1.0
"X74H+XCM, Waghete II, Tigi, Deiyai Regency, Papua 98764, Indonesia","{'location': {'lat': -4.042536399999999, 'lng': 136.2785402}, 'viewport': {'northeast': {'lat': -4.041198070107278, 'lng': 136.2799666298927}, 'southwest': {'lat': -4.043897729892722, 'lng': 136.2772669701073}}}",Penginapan duta Tigi,ChIJG3BsSQApImgRmtvjXMsWs6c,"['lodging', 'point_of_interest', 'establishment']",,0.0,0.0
"X77R+WHF, Waghete II, Tigi, Deiyai Regency, Papua 98764, Indonesia","{'location': {'lat': -4.0351849, 'lng': 136.2914111}, 'viewport': {'northeast': {'lat': -4.033849070107277, 'lng': 136.2928767298928}, 'southwest': {'lat': -4.036548729892722, 'lng': 136.2901770701073}}}",Homestay Nona Maria I,ChIJUWEniJIvImgRfgG83tkajwA,"['lodging', 'point_of_interest', 'establishment']",,5.0,1.0
"Jln .yawei muku 1, Tenedagi, Distrik Tigi Barat, Kabupaten Deiyai, Papua 98727, Indonesia","{'location': {'lat': -4.124948, 'lng': 136.275299}, 'viewport': {'northeast': {'lat': -4.123598170107278, 'lng': 136.2766488298927}, 'southwest': {'lat': -4.126297829892722, 'lng': 136.2739491701072}}}",Penginapan,ChIJwWCX1tcrImgRuU8ZVDTsN5U,"['lodging', 'point_of_interest', 'establishment']","[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116118213293926960256"">A Google User</a>'], 'photo_reference': 'AUGGfZkb_aCZHv5P0WtHurBE_h_-cDLvyfTjA_XCdMX8KdZnnpNgCwvGUXoDj0QMk0qmRPfIcXeC4aiimmDMlksheFA45YWtUwj-aV36z4qytHvaVJIdLBZDWos-jgcHp56iakJzpt3XFDkAiy8sHPIzbwRDA1t8R1oV-Jsb9qRwd2Qvxpsg', 'width': 640}]",3.5,2.0
"V34R+9Q4, Tembagapura, Mimika Regency, Papua 99967, Indonesia","{'location': {'lat': -4.144110899999999, 'lng': 137.0919855}, 'viewport': {'northeast': {'lat': -4.142744770107278, 'lng': 137.0932587798927}, 'southwest': {'lat': -4.145444429892722, 'lng': 137.0905591201073}}}",Senior Guest House 114,ChIJK7djcSzhImgRMRAFJWoSbVc,"['lodging', 'point_of_interest', 'establishment']","[{'height': 1620, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100103289937679689028"">A Google User</a>'], 'photo_reference': 'AUGGfZmoXvreYJ0EWkCfpaH4uloIYEA88cir6pU5y5BEWxmPc-YA3QgvXeEj7_vsoY5sN3tU2NtawlUh6jq1NeCsjP4l1K0kPMX4wLsv6DkrjvCTt-kM0x83qQeLka7Miaxbl-0DGRsNPMTMvHBzZt57ab77MoGA9zoIli_n10dAedM0ozi9', 'width': 4000}]",4.4,18.0
"V35Q+V27, Tembagapura, Mimika Regency, Papua 98972, Indonesia","{'location': {'lat': -4.1403301, 'lng': 137.087538}, 'viewport': {'northeast': {'lat': -4.138964870107277, 'lng': 137.0889441298927}, 'southwest': {'lat': -4.141664529892721, 'lng': 137.0862444701073}}}",Trakindo Guest House,ChIJo6u__oDnImgRNBPrZ0rYm_M,"['lodging', 'point_of_interest', 'establishment']","[{'height': 2080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112579444517897806824"">Alan Tanjung</a>'], 'photo_reference': 'AUGGfZnXFmmjZmnYxuqV7y64eJWWm-M6NiX4WdjXc7OFxXhtXs9Uvs9-X2AoP6fMq2kjIDB8fL0c63VME0NcwCkptBtmZfVtfDwurMVArU_fqhAYALU_sFPEyKxkEeMJJ2X169WpF1Xm5AfKTMOOc5MPyJr0r8HD0W_hjGfMhT7EMCJ-Fkw', 'width': 4624}]",4.8,12.0
