formatted_address,geometry,name,place_id,rating,types,user_ratings_total,photos
"5392+Q42, Unnamed Road, Baruru, Kec. Aralle, Kabupaten Mamasa, Sulawesi Barat 91352, Indonesia","{'location': {'lat': -2.8305987, 'lng': 119.0501938}, 'viewport': {'northeast': {'lat': -2.829192120107278, 'lng': 119.0513844798927}, 'southwest': {'lat': -2.831891779892723, 'lng': 119.0486848201073}}}",Banuanna A. Satry,ChIJfd9uk_YZky0RcGY1NKaK2o0,0.0,"['lodging', 'point_of_interest', 'establishment']",0,
"45H8+GPW Puskesmas Salutambun, Salutambun Bar., Kec. Buntu Malangka, Kabupaten Mamasa, Sulawesi Barat 91371, Indonesia","{'location': {'lat': -2.8710407, 'lng': 119.1668727}, 'viewport': {'northeast': {'lat': -2.869699970107277, 'lng': 119.1685453298927}, 'southwest': {'lat': -2.872399629892722, 'lng': 119.1658456701073}}}",Banuanna A. Yayak,ChIJtXNuJoYRky0RJON7ZVwgQ-0,5.0,"['lodging', 'point_of_interest', 'establishment']",2,
"6534+5V, Malatiro, Tabulahan, Mamasa Regency, West Sulawesi 91373, Indonesia","{'location': {'lat': -2.7971113, 'lng': 119.1571379}, 'viewport': {'northeast': {'lat': -2.795817970107278, 'lng': 119.1585075298927}, 'southwest': {'lat': -2.798517629892722, 'lng': 119.1558078701073}}}",Rumah aldi,ChIJ15qUx40bky0RLDeNSTxK1KI,0.0,"['lodging', 'point_of_interest', 'establishment']",0,
"25WX+M35, Bambang, Mamasa Regency, West Sulawesi 91371, Indonesia","{'location': {'lat': -2.9533434, 'lng': 119.1977259}, 'viewport': {'northeast': {'lat': -2.952012370107278, 'lng': 119.1990727298928}, 'southwest': {'lat': -2.954712029892722, 'lng': 119.1963730701073}}}",Hotel Tian macanga,ChIJK_lzzLsTky0Rizns7aNVDzw,5.0,"['lodging', 'point_of_interest', 'establishment']",1,
"25WF+GRG, Mambi, Mamasa Regency, West Sulawesi 91371, Indonesia","{'location': {'lat': -2.9536779, 'lng': 119.1745781}, 'viewport': {'northeast': {'lat': -2.952289720107277, 'lng': 119.1758903298927}, 'southwest': {'lat': -2.954989379892722, 'lng': 119.1731906701073}}}",Penginapan Nirmalasari Mambi,ChIJra-hLQYTky0Rk2MyZ1QYFDU,4.8,"['lodging', 'point_of_interest', 'establishment']",4,
"366F+VWP, Salukadi, Bambang, Mamasa Regency, West Sulawesi 91366, Indonesia","{'location': {'lat': -2.9368626, 'lng': 119.225144}, 'viewport': {'northeast': {'lat': -2.934879420107277, 'lng': 119.2261336298927}, 'southwest': {'lat': -2.937579079892722, 'lng': 119.2234339701073}}}",Ruma nani,ChIJe-WtWCYTky0RX3VNpiPKLzI,0.0,"['lodging', 'point_of_interest', 'establishment']",0,
"Rantebulahan, Mambi, Mamasa Regency, West Sulawesi, Indonesia","{'location': {'lat': -2.9706119, 'lng': 119.1832534}, 'viewport': {'northeast': {'lat': -2.969204470107278, 'lng': 119.1846338798928}, 'southwest': {'lat': -2.971904129892722, 'lng': 119.1819342201073}}}",Penginapan Olivia mehalaan,ChIJGVo_wGkTky0RK05B7mFUGhw,0.0,"['lodging', 'point_of_interest', 'establishment']",0,
"25XJ+G8C, Sendana, Mambi, Mamasa Regency, West Sulawesi, Indonesia","{'location': {'lat': -2.9511809, 'lng': 119.180752}, 'viewport': {'northeast': {'lat': -2.949829270107278, 'lng': 119.1821014798928}, 'southwest': {'lat': -2.952528929892722, 'lng': 119.1794018201073}}}",Kel mambi,ChIJ66p6q08Tky0RvZUt8rjt9w8,0.0,"['lodging', 'point_of_interest', 'establishment']",0,
"352G+6M, Mambi, Mamasa Regency, West Sulawesi 91371, Indonesia","{'location': {'lat': -2.9498046, 'lng': 119.1767486}, 'viewport': {'northeast': {'lat': -2.948445220107278, 'lng': 119.1780791298927}, 'southwest': {'lat': -2.951144879892722, 'lng': 119.1753794701073}}}",Penginapan Restu bunda,ChIJIeXn9eYTky0RFN2CDhkywjY,4.0,"['lodging', 'point_of_interest', 'establishment']",5,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117625331064277187980"">A Google User</a>'], 'photo_reference': 'AUGGfZnRhfiijRC8Dd781s-ItcAwQZ1YvfgR66IVBOI2_-wCsdKKSDlN08wlHEPRCoPIthAlnPdVHJPGHDSKBP6lCcgZS260IH1TWpsVbJE66S2XiItF-VK_45L4wW8Ry7PJytqc4hcul5_uC-FQK1cWEvfW5qfhlhWnin_KGFouL0L27YjY', 'width': 4000}]"
"Osango, Mamasa, Mamasa Regency, West Sulawesi 91365, Indonesia","{'location': {'lat': -2.9510143, 'lng': 119.365956}, 'viewport': {'northeast': {'lat': -2.949670570107278, 'lng': 119.3673456298927}, 'southwest': {'lat': -2.952370229892722, 'lng': 119.3646459701073}}}",Hotel Matana 2,ChIJMX5t5QMLky0RjXNICRSiHbY,4.3,"['lodging', 'point_of_interest', 'establishment']",94,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109767430557166599627"">A Google User</a>'], 'photo_reference': 'AUGGfZmSTSGEG7hhWe5lSiEu2Zk1YOQfU3iqGQMCFQT9RNbUl66GuRlW42ly94eGslOL28yAPPq7WstxlmsFrcf69i7bLwdE9jzolWXrhxnMi1qW2Qg3PfWtNS4U96PGRLJZ5H-1UqtOjzlpUmQeMyGbj-sqHGDOvlZDr8RQ-eVXExKj79dv', 'width': 1920}]"
"Jl poros polewali, Osango, Kec. Mamasa, Sulawesi Barat 91362, Indonesia","{'location': {'lat': -2.9512919, 'lng': 119.3656253}, 'viewport': {'northeast': {'lat': -2.949897770107277, 'lng': 119.3669289298927}, 'southwest': {'lat': -2.952597429892722, 'lng': 119.3642292701073}}}",Hotel Na raya,ChIJF46wCgQLky0R-ATHRmAgTho,4.5,"['lodging', 'point_of_interest', 'establishment']",20,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104362016110412496967"">Fikar Hmi</a>'], 'photo_reference': 'AUGGfZmaEetEvvM4MhZ1OIJF78PcgE5O-IYMIqr2fnrH3UXw5d5Xi0a1eVctF_6nZ4ESRWs9l8woQ0LU-6KfcqkTQt5rZ0wuVV-e3gG--o8yb6g-ag-naMMFrUUX_WuNX8PHfXYMIsBuvDXFXrOad8RZKKBtoA5apmX4FVgl4lPC4SUuF4QT', 'width': 4032}]"
"398Q+H2V, Rambusaratu, Mamasa, Mamasa Regency, West Sulawesi, Indonesia","{'location': {'lat': -2.9335152, 'lng': 119.3875614}, 'viewport': {'northeast': {'lat': -2.932050670107277, 'lng': 119.3889533298927}, 'southwest': {'lat': -2.934750329892722, 'lng': 119.3862536701073}}}",Rio Inn,ChIJTfTYB3wLky0RoM6FlmcicoM,0.0,"['lodging', 'point_of_interest', 'establishment']",0,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118347683803063987440"">Yonathan Bosong</a>'], 'photo_reference': 'AUGGfZn3BF0CtFSBRpwsvWCOPDe_GVg_iXqA-Z6A25Co759lDUkgv-gRni9qUYXwFMDgDqWBAnoMmGq2LLOnAef0U4Tm0a0-i-SpAg4h3B6voWc0mnpJPuoRi-h94WRrqIqQC5mFowIuqPDJAO7xUeh3ztpAUSVG3ohKqHApJCduWoKOXL2D', 'width': 2080}]"
"Ka'da, Orobua, Kec. Sesenapadang, Kabupaten Mamasa, Sulawesi Barat 90362, Indonesia","{'location': {'lat': -2.9875679, 'lng': 119.3896775}, 'viewport': {'northeast': {'lat': -2.985689220107278, 'lng': 119.3913999798928}, 'southwest': {'lat': -2.988388879892722, 'lng': 119.3887003201073}}}",Serenity farm and homestay,ChIJVwWhRiJ1ky0R8Gbqj07JYlM,5.0,"['lodging', 'point_of_interest', 'establishment']",1,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106495745533857417893"">A Google User</a>'], 'photo_reference': 'AUGGfZkp2NgX0sBGg4rO4W8-J96RGZ32gXd7QDnIIANncxT-U0CBpwyBgV4FbmxjI2FP78yJVnuuKWhElyUx0JMZx9xUR2ftnimQmDs6hxw0vHTj3MLzjxw6EQOpmmXGQEFqFkciabWtjgju8IbfUw7wjwhbp3hrTTuVj_aajQy5JDn0TDFH', 'width': 2252}]"
