formatted_address,geometry,name,place_id,rating,types,user_ratings_total,photos
"C37V+4WJ, Unnamed Road, Kalar Kalar, Aru Sel., Kabupaten Kepulauan Aru, Maluku, Indonesia","{'location': {'lat': -6.5871615, 'lng': 134.0947685}, 'viewport': {'northeast': {'lat': -6.585820820107277, 'lng': 134.0961492298927}, 'southwest': {'lat': -6.588520479892721, 'lng': 134.0934495701073}}}",Ucup Guest House,ChIJwzh-nzILLC0R1qbrWdX6XhU,5.0,"['lodging', 'point_of_interest', 'establishment']",1.0,
"jalan jalabil, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -5.759843, 'lng': 134.2183899}, 'viewport': {'northeast': {'lat': -5.758537870107277, 'lng': 134.2197401798927}, 'southwest': {'lat': -5.761237529892721, 'lng': 134.2170405201073}}}",hotel Grand Aru,ChIJEfOzYvqQLS0Ral5prCbbw4w,3.8,"['lodging', 'point_of_interest', 'establishment']",126.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112296546148265149985"">A Google User</a>'], 'photo_reference': 'AUGGfZm0ucmWVpKwzIxe7uLrhdNJU_4z5YGjzjQRQzGhJ1A_eThfJloGfEPKTDGT_zcKhj1pRsGojjEK6SOQkxQNd5DECoaKujy_Vg7sx-e41EVkrRs52GVAY9T6Ohvr1d7kdgUQuLb5r4zmCLlXh3rVM_vV9intBqlja6b9tlk2LDas5peK', 'width': 4160}]"
"G58G+XVJ, Jerol, South Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -6.482535899999999, 'lng': 134.1771519}, 'viewport': {'northeast': {'lat': -6.481244520107278, 'lng': 134.1785470298927}, 'southwest': {'lat': -6.483944179892722, 'lng': 134.1758473701073}}}",Toko & Penginapan MAREN'S Jerol,ChIJbTNg0ddvLC0RLK0quew3nEE,4.3,"['lodging', 'point_of_interest', 'establishment']",3.0,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108991962944576841900"">Intiz Self</a>'], 'photo_reference': 'AUGGfZmDHaCAtXDskz-0a990wJLn2ZV7uVxskemGvB_k8BBJITMdPY4iAGbTb4O9Oz7aFH2FaxB__fqNAtUfesvOkkn9X8_nwRgiJosWwQf1I1E9EmnsoBP7Pt-lXyLI67FRtyGYoNvg0B2UJUm8iodU_ZMBMx4o-pJXzBq1IlBTD_ng5Zx0', 'width': 1080}]"
"66RF+834, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -5.759234999999999, 'lng': 134.2227152}, 'viewport': {'northeast': {'lat': -5.758192420107278, 'lng': 134.2240498798927}, 'southwest': {'lat': -5.760892079892722, 'lng': 134.2213502201073}}}",Hotel Suasana Baru,ChIJiaoaCvGQLS0RgK0sZb1U_40,3.7,"['lodging', 'point_of_interest', 'establishment']",163.0,"[{'height': 1952, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109439222053105265933"">Rahmat Kurniawan</a>'], 'photo_reference': 'AUGGfZkCYBW3pmkRwmh-kAVUhAwQSTgJ-BkmFsMIPe32C-t-SHoqGpxuX2LCw7U_6nbeG87CmIjed6GECLZrblXtkvnx7YS-LNDgRielZZumc48xAkti-C4O7dnL50rylv2SvEGFwTN6gWIFs9kSQf5JBt9NBuBe1Wl1pubod3mfvqvEDMDK', 'width': 4160}]"
"Jalan Pendopo II, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku, Indonesia","{'location': {'lat': -5.7751262, 'lng': 134.2201713}, 'viewport': {'northeast': {'lat': -5.773771770107277, 'lng': 134.2214433298927}, 'southwest': {'lat': -5.776471429892721, 'lng': 134.2187436701073}}}",Hotel Neo Grand Aru,ChIJyXx_-UiRLS0RMASToP8Qk8U,4.3,"['lodging', 'point_of_interest', 'establishment']",19.0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118197100003852508774"">A Google User</a>'], 'photo_reference': 'AUGGfZk4aYry9DVEj5uBnO2NLnCw6PNdc4aILtZggMyC6lQrq6nFQYPA3TXa1u0xXMzPRb8cEvCyetggoNVQ5S7r-ZyJ96RNXuKitf6S9l4rv6NzwLhkjaT4w7eiGfKWNlMzgvlqXygwYyToHjkUDfvoWWYBFS2jhNPR5xbSuuglkOsX8CLb', 'width': 4160}]"
"66R7+C7M, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku, Indonesia","{'location': {'lat': -5.7589178, 'lng': 134.2131838}, 'viewport': {'northeast': {'lat': -5.757587570107278, 'lng': 134.2145322298927}, 'southwest': {'lat': -5.760287229892722, 'lng': 134.2118325701073}}}",HOTEL SINAR HARAPAN DOBO,ChIJqQvfO_yQLS0RwSQaXN0ypEY,3.8,"['lodging', 'point_of_interest', 'establishment']",183.0,"[{'height': 8000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103775523481334457280"">Chrisrianto Pattinaja</a>'], 'photo_reference': 'AUGGfZkEYuj_9O6iAvzwTENjChgzeO2CU8fXswWaug2SVI74XhJYj5GqQyirpBr7q4lbTBXwXA85CQU73ZL9BiFEOD6AohAcKlbxnMxA6iXny4Fh1dxcrh3hMk5QEzqNH1yt1Nmu8786na8KH6hvZe3mVfbR_WqDAfUS4Sv3EUdUXZ-ViTW_', 'width': 6000}]"
"kilo 5 bandara dobo, Jl. Cendrawasih, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku, Indonesia","{'location': {'lat': -5.778798399999999, 'lng': 134.2095928}, 'viewport': {'northeast': {'lat': -5.777474270107279, 'lng': 134.2108405798927}, 'southwest': {'lat': -5.780173929892722, 'lng': 134.2081409201073}}}",EORA Hotel Dobo,ChIJU9c8xhWRLS0RYk35R0P9vRg,4.6,"['lodging', 'point_of_interest', 'establishment']",78.0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114468447836277707508"">A Google User</a>'], 'photo_reference': 'AUGGfZkvcxGPc9IPS6j5pG55T_hUdM8kcn1ZfKg6nMPhFXeBbfnYsp9NcELFr4iJaBCvtsY8l9-BiVLfP1VRkWq1AcNuemOygfeqebd0X4LqS3InDfUHHBo51STbdV3nQ4sOG3q0WrnOQtux298PubAdw3KtZSG88fl0PShzzsKVuZ4e3tpq', 'width': 4032}]"
"Jl Terusan, Wangel, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku 90662, Indonesia","{'location': {'lat': -5.7687398, 'lng': 134.2102453}, 'viewport': {'northeast': {'lat': -5.767445470107278, 'lng': 134.2116091798927}, 'southwest': {'lat': -5.770145129892722, 'lng': 134.2089095201073}}}",Hotel Apex Dobo,ChIJJSxEtbmRLS0RFTbL3tNAms8,4.5,"['lodging', 'point_of_interest', 'establishment']",27.0,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110832219605145646087"">A Google User</a>'], 'photo_reference': 'AUGGfZn-tR8bZsto5ExiMIvW7NOIJavxNTcgEZ5hjGqeEoMzF4n9BRtOBuIeMV8Ei--ietvSP9eq1l3P4kPgXBG4jdmyu0zquYV8yGHfpWAGfAblBO5Fl-ON0HVCB8TMSFcvm2Hkz5rQz_mrmEw1cbLltlklPh8lVo7KcfoBn-_S-LJrFow7', 'width': 6000}]"
"Dobo, Jl. Cendrawasih, Siwalima, Pulau-Pulau Aru, Aru Islands Regency, Maluku 97662, Indonesia","{'location': {'lat': -5.7679187, 'lng': 134.2156641}, 'viewport': {'northeast': {'lat': -5.766571670107279, 'lng': 134.2170815798927}, 'southwest': {'lat': -5.769271329892723, 'lng': 134.2143819201073}}}",Penginapan APEX,ChIJXZqK0VyRLS0Rr0u889glsCQ,4.5,"['lodging', 'point_of_interest', 'establishment']",66.0,"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106842461078910312231"">A Google User</a>'], 'photo_reference': 'AUGGfZnLuaotspsIwtQHtVAEkcX7FWv-Q1vSHEal_8_O3Pv0oWlePQdBZ_6UPXYe718Ry6fp29qncvmAipwm0vY9XSlo_PruW0gsuQKwJ9zNxeZiXjKc7XV3zcA0zbKS7BtDH_v0fTaJx7uE7u-BUfHqrw6Dg8UdKoCjAwVk-JDkaHwT2QtJ', 'width': 1440}]"
"66R8+94X, Jln. Rabia Djala, Siwalima, Kec. Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku, Indonesia","{'location': {'lat': -5.759000899999999, 'lng': 134.2153727}, 'viewport': {'northeast': {'lat': -5.757707220107278, 'lng': 134.2167100798927}, 'southwest': {'lat': -5.760406879892722, 'lng': 134.2140104201073}}}",PENGINAPAN SUASANA PERMAI,ChIJ82DrkvuQLS0RoI4vZhJxeEw,4.1,"['lodging', 'point_of_interest', 'establishment']",20.0,
