formatted_address,geometry,name,place_id,rating,types,user_ratings_total,photos
"XMWW+58, Manimbaya, Balaesang Tanjung, Donggala, Donggala Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.004647099999999999, 'lng': 119.6958733}, 'viewport': {'northeast': {'lat': -0.003297270107277784, 'lng': 119.6972231298927}, 'southwest': {'lat': -0.005996929892722216, 'lng': 119.6945234701073}}}",Tanjung panglapalan,ChIJ1bjccQB3ii0RwnZuO36eaXI,5.0,"['lodging', 'point_of_interest', 'establishment']",1.0,
"VP4P+5CJ, Unnamed Road, Walandano, Balaesang, Donggala Regency, Central Sulawesi 94355, Indonesia","{'location': {'lat': -0.1445459, 'lng': 119.7360076}, 'viewport': {'northeast': {'lat': -0.1426304701072778, 'lng': 119.7371267798928}, 'southwest': {'lat': -0.1453301298927222, 'lng': 119.7344271201073}}}",Walandano Beach,ChIJ9Ri12phtii0R-iV8lHdxD_c,4.5,"['lodging', 'point_of_interest', 'establishment']",10.0,"[{'height': 750, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116542150828709825244"">abee djalaludin</a>'], 'photo_reference': 'AUGGfZl-KB9JHIKUF11vh8LYoyW9b06WTJFSGsQBVbobXavQ_mIABj7pxhWZ3wmfYRZXEFStZxy2lNg1A8tPwDsZiC7fwYEFlpS66xtahQbpMKLis1qbdYb_yfuE62ZlHEUlultGlGXq3ZDH7vLTc3U0uRML8PBO8duw3YcDEPFuBBlhMBEw', 'width': 1334}]"
"XV2H+CFJ, Tambu, Balaesang, Donggala Regency, Central Sulawesi 94355, Indonesia","{'location': {'lat': -0.0489277, 'lng': 119.8786643}, 'viewport': {'northeast': {'lat': -0.04759792010727779, 'lng': 119.8800327798927}, 'southwest': {'lat': -0.05029757989272221, 'lng': 119.8773331201073}}}",Sederhana Resort,ChIJb6lbfuALii0Rg_1PQEiEJtI,3.7,"['lodging', 'point_of_interest', 'establishment']",14.0,"[{'height': 2953, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115015170569666016204"">A Google User</a>'], 'photo_reference': 'AUGGfZlPZPYhvVy0_D9Z9_cKY2sPtX-tDs7w7WuGZx7OHXm-zodvnKXUWRQxgpzyBwq3OQC1TCCM2uCkFt4V7lUU40i6CzEGCwoGbtkGqgzpceUXtrlc45yMfZrcZXkv7qCoQ1vwE0UBfFpZZ1zuGls3se3MgLS-jcAkVBqDUWn5qsbLkCoU', 'width': 2448}]"
"WVXJ+958, Jl. Kp. Pisang, Tambu, Kec. Balaesang, Kabupaten Donggala, Sulawesi Tengah 94355, Indonesia","{'location': {'lat': -0.05164059999999999, 'lng': 119.8805612}, 'viewport': {'northeast': {'lat': -0.05026892010727779, 'lng': 119.8818934798927}, 'southwest': {'lat': -0.05296857989272222, 'lng': 119.8791938201073}}}",Kos MCA,ChIJp6WauIQLii0RFhMvg9P4LO8,0.0,"['lodging', 'point_of_interest', 'establishment']",0.0,
"WVF3+MFM, Tambu, Balaesang, Donggala Regency, Central Sulawesi, Indonesia","{'location': {'lat': -0.0757926, 'lng': 119.8536803}, 'viewport': {'northeast': {'lat': -0.07446382010727778, 'lng': 119.8550630298928}, 'southwest': {'lat': -0.07716347989272222, 'lng': 119.8523633701073}}}",WISATA PANTAI MOO - MOY,ChIJ5XuoTQANii0RevT_-RgJebg,4.8,"['lodging', 'point_of_interest', 'establishment']",5.0,"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115622569425358641926"">A Google User</a>'], 'photo_reference': 'AUGGfZm2OW7ebHwsqtYCBA1oykOjn3n-n4cytT33ug_ycgs1uZxM3gtavdKjVW9kKt5wFjfVKVyeHpm3Rpu7Z8uXyeOyUKP2GP90D_dU41dXxlF69SHWweOA4oaHsZIV5Pkv91LR03anl7_iuhJDCwBo2y0KEOdkJijGlelr2_4nK0V1nCVi', 'width': 4000}]"
"4V7W+XHH, Sibayu, Balaesang, Donggala Regency, Central Sulawesi 94356, Indonesia","{'location': {'lat': 0.1148341, 'lng': 119.8964583}, 'viewport': {'northeast': {'lat': 0.1161851298927222, 'lng': 119.8978025798927}, 'southwest': {'lat': 0.1134854701072778, 'lng': 119.8951029201073}}}",Rumahnya abid,ChIJtfTVAADxdTIR9UiMYyI5Ujw,0.0,"['lodging', 'point_of_interest', 'establishment']",0.0,
"3VPG+PWW, Jl. Tolitoli - Palu, Sibayu, Kec. Balaesang, Kabupaten Donggala, Sulawesi Tengah 94356, Indonesia","{'location': {'lat': 0.0868756, 'lng': 119.8773731}, 'viewport': {'northeast': {'lat': 0.08828197989272221, 'lng': 119.8787308298927}, 'southwest': {'lat': 0.08558232010727777, 'lng': 119.8760311701073}}}",Rumah berhantu,ChIJ9a5kzhTzdTIR66L2ePMh6AM,0.0,"['lodging', 'point_of_interest', 'establishment']",0.0,
"3VXC+X46, Sibayu, Balaesang, Donggala Regency, Central Sulawesi 94356, Indonesia","{'location': {'lat': 0.09991660000000001, 'lng': 119.8702527}, 'viewport': {'northeast': {'lat': 0.1013478298927222, 'lng': 119.8717624798927}, 'southwest': {'lat': 0.09864817010727778, 'lng': 119.8690628201072}}}",Pantai Sibayu,ChIJufBGiS3ydTIR_eTH8_v3RfA,4.1,"['lodging', 'point_of_interest', 'establishment']",12.0,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111173727609639671682"">Video Nyolong</a>'], 'photo_reference': 'AUGGfZnJGSkL7y3roxGMXapW_uHNDEM1vSN99-z7X1TkAjgxi46v9boDykjtRL5h8XymG7jILXoxU1Nd7ZcuwpV_W09ms-vZXJUL6d_CuX4LmMaiu3RO76QAJfrvUAnbyNL9pMA-rF1QgWb64YqLkix2jrW_ZKu-4JPTEq_pn1ZCnz1LRdUd', 'width': 5184}]"
"6W92+8GG, Jalan Trans Pantai Barat Sulawesi, Sioyong, Kec. Damsol, Kabupaten Donggala, Sulawesi Tengah, Indonesia","{'location': {'lat': 0.2183416, 'lng': 119.9013624}, 'viewport': {'northeast': {'lat': 0.2196532798927222, 'lng': 119.9027510798927}, 'southwest': {'lat': 0.2169536201072778, 'lng': 119.9000514201072}}}",Dampelas hotel,ChIJx5Jz1jTpdTIR3tsUNApLcBY,4.2,"['lodging', 'point_of_interest', 'establishment']",5.0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100796131620835944354"">Nadya Oktaviani</a>'], 'photo_reference': 'AUGGfZkt2WVp_egWizg9iMs80wYYdV-nmNUQzR4IVdSCeTGhfeLC-L7PFUg2BiGNncUzlwSIVGVP6vAqPZkwJ7YjcQLaVFUXOEkFPpDcJH7qhy5OpIYtddYE5xIi9or3kNOdnNCZNs8fSz0qaO7rDNyItXDgKB3lX7uiStCMWq4hbdE_mUIS', 'width': 4032}]"
"5W9M+CV, Karyamukti, Damsol, Donggala Regency, Central Sulawesi 94356, Indonesia","{'location': {'lat': 0.168565, 'lng': 119.9346566}, 'viewport': {'northeast': {'lat': 0.1699378798927222, 'lng': 119.9359940298927}, 'southwest': {'lat': 0.1672382201072778, 'lng': 119.9332943701072}}}",Kec. Dampelas,ChIJZ82pB0TvdTIRFGg4qxr-g4M,0.0,"['lodging', 'point_of_interest', 'establishment']",0.0,
"6WX7+VJM, Ponggerang, Damsol, Donggala Regency, Central Sulawesi 94356, Indonesia","{'location': {'lat': 0.2497004, 'lng': 119.9140359}, 'viewport': {'northeast': {'lat': 0.2511045298927223, 'lng': 119.9153870798927}, 'southwest': {'lat': 0.2484048701072778, 'lng': 119.9126874201073}}}",Penginapan cak sunar,ChIJmfq_bqbpdTIRR7jnjZRe5Bs,0.0,"['lodging', 'point_of_interest', 'establishment']",0.0,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108407913608178109851"">A Google User</a>'], 'photo_reference': 'AUGGfZkrI7gqQN3GvkztRQUkBezcuhRAWj8FXRr_18ni4aIadQAd6W-YWjxFT4wRUpmnqumm2XoFKMFVf75YbKwRGgMFfAUL8vqBo7VWjg56vougF0EPY2tRO4BLoSJT7mgha9qOuQVpv34wzWsbizpJ0euZrenbVnvTZU0CTHbr0dAJ4nY', 'width': 2160}]"
