business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,permanently_closed,price_level,url
OPERATIONAL,"H23R+2MG, Jl. Palma, Libuo, Kec. Dungingi, Kota Gorontalo, Gorontalo 96136, Indonesia","{'location': {'lat': 0.5534781, 'lng': 123.040694}, 'viewport': {'northeast': {'lat': 0.5547420798927223, 'lng': 123.0421408798927}, 'southwest': {'lat': 0.5520424201072778, 'lng': 123.0394412201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bandhayo Pongayilo,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110258399011245556591"">A Google User</a>'], 'photo_reference': 'AUGGfZnSGNhw8yIOqN40QDAbGaCFtvHcXU0ReHU0hpgUWT104d25pGZyHia6KZoS__PMdrilyOc7VIFtLgRvXgemRQ9lHYhEPG_UMVOSWz1OyUWJmHkHeSw7d0J3VJL3Xpt7BBi3R6lr1lBYUWARcy2fkfoPY4rM7Y57ckFLUbq5j3dMYcYO', 'width': 1920}]",ChIJ4SHcpV4reTIRrhOuDbbqS7I,4.5,ChIJ4SHcpV4reTIRrhOuDbbqS7I,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4SHcpV4reTIRrhOuDbbqS7I
OPERATIONAL,"G2X4+5GP, Dembe I, Kota Barat, Gorontalo Regency, Gorontalo 96181, Indonesia","{'location': {'lat': 0.5478299999999999, 'lng': 123.005508}, 'viewport': {'northeast': {'lat': 0.5492101298927222, 'lng': 123.0068767798927}, 'southwest': {'lat': 0.5465104701072777, 'lng': 123.0041771201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,lapangan benteng otanaha,,ChIJi3s3LgAreTIR4tXZlCjlaYI,0.0,ChIJi3s3LgAreTIR4tXZlCjlaYI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJi3s3LgAreTIR4tXZlCjlaYI
OPERATIONAL,"Dembe I, Kota Barat, Kota Gorontalo, Gorontalo 96181, Indonesia","{'location': {'lat': 0.5482328, 'lng': 123.0084128}, 'viewport': {'northeast': {'lat': 0.549685179892722, 'lng': 123.0097963298928}, 'southwest': {'lat': 0.5469855201072776, 'lng': 123.0070966701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Benteng Otanaha,"[{'height': 657, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108689699470324140821"">Bambang Priyo Cahyono</a>'], 'photo_reference': 'AUGGfZmsc8K_BCUpec0P3ekMOVbgGEY2hZ0JQVmbndNvkJvi7m2Cy3-Q6iNQRyd-I7aBmDx1ZQ7FsrnEPAdtx0vLiVXo3TA06VbbWSgEP-O3Gkbh1BL-AJyjpBTT_vHx-WKKiivVD8I3iFZiUj0M3H8zlAo7nKhC7MKBzYYpo2HgUWQ8lwQm', 'width': 684}]",ChIJ9wzSa8EreTIR0KtoqpUEzCM,4.4,ChIJ9wzSa8EreTIR0KtoqpUEzCM,"['tourist_attraction', 'point_of_interest', 'establishment']",1932,{'open_now': False},"{'compound_code': 'G2X5+79 Dembe I, Gorontalo Regency, Gorontalo, Indonesia', 'global_code': '6QG5G2X5+79'}",,,https://www.google.com/maps/place/?q=place_id:ChIJ9wzSa8EreTIR0KtoqpUEzCM
OPERATIONAL,"G2XH+FJG, Tualango, Tilango, Gorontalo Regency, Gorontalo 96136, Indonesia","{'location': {'lat': 0.5484484, 'lng': 123.0291922}, 'viewport': {'northeast': {'lat': 0.5497982298927222, 'lng': 123.0305420298927}, 'southwest': {'lat': 0.5470985701072778, 'lng': 123.0278423701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pohon Asam Tuwawu,,ChIJJZ0dfwAreTIRcKqwJiAxdeQ,5.0,ChIJJZ0dfwAreTIRcKqwJiAxdeQ,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJJZ0dfwAreTIRcKqwJiAxdeQ
OPERATIONAL,"G2VG+PWJ Bar, Pilolodaa, Kec. Kota Bar., Kabupaten Gorontalo, Gorontalo 96181, Indonesia","{'location': {'lat': 0.5443437999999999, 'lng': 123.0272694}, 'viewport': {'northeast': {'lat': 0.5457502298927223, 'lng': 123.0286768798927}, 'southwest': {'lat': 0.5430505701072778, 'lng': 123.0259772201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pemandian Potanga,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115693427163269978447"">Sahril Luma</a>'], 'photo_reference': 'AUGGfZnPGJJ8g4hSxboRfexcZ6grmqXNQOqWhcs2oABk8HNPzIgo4L9bTIo880Bom6X3Mk_ztszDsN1JlEIom_4QDLNzIgDY2lAFyFdpw48gGk-aiZILphCbdtGpY0S-fWEygMFVK1bWKfKMvEtuoevOYzJ5AI2WogE294ZCGz9TwmFFm4wn', 'width': 4160}]",ChIJL4gM86UreTIRsTBZKgHCnlo,4.2,ChIJL4gM86UreTIRsTBZKgHCnlo,"['tourist_attraction', 'point_of_interest', 'establishment']",90,{'open_now': True},,,,https://www.google.com/maps/place/?q=place_id:ChIJL4gM86UreTIRsTBZKgHCnlo
OPERATIONAL,"G3M3+PW8, Biawu, Hulonthalangi, Kota Gorontalo, Gorontalo 96133, Indonesia","{'location': {'lat': 0.534296, 'lng': 123.0548271}, 'viewport': {'northeast': {'lat': 0.5356275298927221, 'lng': 123.0561392798927}, 'southwest': {'lat': 0.5329278701072776, 'lng': 123.0534396201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Serambi Madinah,,ChIJYQZHXuAqeTIRYEUqjKcinBk,4.1,ChIJYQZHXuAqeTIRYEUqjKcinBk,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,,,https://www.google.com/maps/place/?q=place_id:ChIJYQZHXuAqeTIRYEUqjKcinBk
CLOSED_TEMPORARILY,"G2VV+XF9, Molosipat W, Kota Barat, Kota Gorontalo, Gorontalo, Indonesia","{'location': {'lat': 0.5449024, 'lng': 123.0437275}, 'viewport': {'northeast': {'lat': 0.5462845798927223, 'lng': 123.0450282798927}, 'southwest': {'lat': 0.5435849201072778, 'lng': 123.0423286201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Matic Fighter,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110842948081454362929"">A Google User</a>'], 'photo_reference': 'AUGGfZmkartPoRrI-x0Ycq8hFGJpuGtjkTGR7CngEp5YkUtgLC91PtSyGCkgUwpEhS6pnDujcqgYN0jfHmGwgbsDf4nCWyYKAQ86QK4xoWczFNvmegQ8yznW00a8erKGmouQOR1HDEYbWM_ewYu7nhOObSzMf0WjeGMVn0F3I8YUsJFEhn7t', 'width': 4624}]",ChIJmSekBREreTIRP0ptHkFQs3Y,0.0,ChIJmSekBREreTIRP0ptHkFQs3Y,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,True,,https://www.google.com/maps/place/?q=place_id:ChIJmSekBREreTIRP0ptHkFQs3Y
OPERATIONAL,"G3W8+3P2, Jl. Gelatik, Heledulaa, Kec. Kota Tim., Kota Gorontalo, Gorontalo 96135, Indonesia","{'location': {'lat': 0.5451463, 'lng': 123.066766}, 'viewport': {'northeast': {'lat': 0.5464961298927222, 'lng': 123.0681158298927}, 'southwest': {'lat': 0.5437964701072778, 'lng': 123.0654161701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,RIDWAN TOHOPI BASECAMP,,ChIJJRmxfmgreTIRdbt7ZtLvEjM,5.0,ChIJJRmxfmgreTIRdbt7ZtLvEjM,"['tourist_attraction', 'point_of_interest', 'establishment']",3,,,,,https://www.google.com/maps/place/?q=place_id:ChIJJRmxfmgreTIRdbt7ZtLvEjM
CLOSED_TEMPORARILY,"H225+73, Dembe I, Kota Barat, Gorontalo Regency, Gorontalo 96181, Indonesia","{'location': {'lat': 0.550644, 'lng': 123.0076403}, 'viewport': {'northeast': {'lat': 0.5519899798927221, 'lng': 123.0090047798927}, 'southwest': {'lat': 0.5492903201072776, 'lng': 123.0063051201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Della Halid,,ChIJHSyBSWsreTIR6bW7PuTP1v8,0.0,ChIJHSyBSWsreTIR6bW7PuTP1v8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,True,,https://www.google.com/maps/place/?q=place_id:ChIJHSyBSWsreTIR6bW7PuTP1v8
OPERATIONAL,"ex agussalim, Jl. Prof. Dr. H.B. Jassin, Tomulabutao Sel., Kec. Dungingi, Kota Gorontalo, Gorontalo 96128, Indonesia","{'location': {'lat': 0.5653787, 'lng': 123.0474125}, 'viewport': {'northeast': {'lat': 0.5667280798927222, 'lng': 123.0487983798927}, 'southwest': {'lat': 0.5640284201072777, 'lng': 123.0460987201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,indonesian tourism(GORONTALO),"[{'height': 428, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114272224149231479934"">A Google User</a>'], 'photo_reference': 'AUGGfZlA79Yi7o2JcEV9XtVn7qFxiX8xXbWcVNsPYtjEgYS9RvGLfeFe25kcPQdcKHnc8hq5z8aynV7X1-P_H1MXq7SJSDnNjMPxrrmRUKFrNiElBIAYauJm71WGTmIzW5IfwBEya_LJAUSYj4h13J7J79-LCsUJZNBFlh85wiN__rC8BaMb', 'width': 716}]",ChIJK2AdK1kreTIRiYxBKH_ZgLc,5.0,ChIJK2AdK1kreTIRiYxBKH_ZgLc,"['tourist_attraction', 'point_of_interest', 'establishment']",1,{'open_now': True},"{'compound_code': 'H28W+5X South Tomulabutao, Gorontalo Regency, Gorontalo, Indonesia', 'global_code': '6QG5H28W+5X'}",,,https://www.google.com/maps/place/?q=place_id:ChIJK2AdK1kreTIRiYxBKH_ZgLc
