business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,types,user_ratings_total,price_level,plus_code,url
OPERATIONAL,"G3G3+2G9, Siendeng, Hulonthalangi, Kota Gorontalo, Gorontalo 96133, Indonesia","{'location': {'lat': 0.5250445, 'lng': 123.0538719}, 'viewport': {'northeast': {'lat': 0.5264083798927223, 'lng': 123.0551980298927}, 'southwest': {'lat': 0.5237087201072779, 'lng': 123.0524983701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Gunung Layang,{'open_now': True},"[{'height': 853, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108544703113054322661"">Fatra Ligawa</a>'], 'photo_reference': 'AUGGfZnPJxUrekKXveERigIPQkes-DoC03pMIXTuMPPZsxpwfxJWkDrOU_vB08Ed_mK2ZXsKYwWctgJLlyTg1qtNQiK-K5_zhS9tdYgNp0azJU23VVFGPsUWhvQhIkfv_37RosVok9gCLG6UY7MJDOkUGuf-D6Vof8TZ_uoOyNGiVIHDR2Rg', 'width': 1280}]",ChIJ8RqToekqeTIRiwMnfziJ0nE,4.1,ChIJ8RqToekqeTIRiwMnfziJ0nE,"['tourist_attraction', 'point_of_interest', 'establishment']",51,,,https://www.google.com/maps/place/?q=place_id:ChIJ8RqToekqeTIRiwMnfziJ0nE
OPERATIONAL,"G3M3+PW8, Biawu, Hulonthalangi, Kota Gorontalo, Gorontalo 96133, Indonesia","{'location': {'lat': 0.534296, 'lng': 123.0548271}, 'viewport': {'northeast': {'lat': 0.5356275298927221, 'lng': 123.0561392798927}, 'southwest': {'lat': 0.5329278701072776, 'lng': 123.0534396201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Serambi Madinah,,,ChIJYQZHXuAqeTIRYEUqjKcinBk,4.1,ChIJYQZHXuAqeTIRYEUqjKcinBk,"['tourist_attraction', 'point_of_interest', 'establishment']",7,,,https://www.google.com/maps/place/?q=place_id:ChIJYQZHXuAqeTIRYEUqjKcinBk
OPERATIONAL,"F2WM+R7C, Unnamed Road, Bongo, Kec. Batudaa Pantai, Kabupaten Gorontalo, Gorontalo 96132, Indonesia","{'location': {'lat': 0.4989780999999999, 'lng': 123.0331749}, 'viewport': {'northeast': {'lat': 0.5003239798927221, 'lng': 123.0344913298927}, 'southwest': {'lat': 0.4976243201072778, 'lng': 123.0317916701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Wisata Religius Bubohu,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107001104719429174631"">Reza Maha</a>'], 'photo_reference': 'AUGGfZkcwCVoV9iVFN5cQQbzAATwU4-cdjP3X1UBQNPx8ZBST-6m6RoDXN5OUZTAv-qF2N0aY29R0ILBiSb5lTKo_ovfAGSfmc4Q0Yj_lHd91w9TtMtOus_Kms12QCKOMGoba-gAFblUTcK4jPuX-TRsWOr8oLMNog7s2NiG5KGo8zmvoB78', 'width': 4160}]",ChIJac4rFFXVeDIR_LEix89qktw,4.6,ChIJac4rFFXVeDIR_LEix89qktw,"['tourist_attraction', 'point_of_interest', 'establishment']",297,,,https://www.google.com/maps/place/?q=place_id:ChIJac4rFFXVeDIR_LEix89qktw
OPERATIONAL,"F2RW+G8F, Tanjung Kramat, Hulonthalangi, Gorontalo Regency, Gorontalo 96133, Indonesia","{'location': {'lat': 0.4910089, 'lng': 123.0456613}, 'viewport': {'northeast': {'lat': 0.4924251298927221, 'lng': 123.0470676298927}, 'southwest': {'lat': 0.4897254701072777, 'lng': 123.0443679701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kuburan Kramat,,,ChIJxSWGIgDVeDIRB17-yogVg70,0.0,ChIJxSWGIgDVeDIRB17-yogVg70,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJxSWGIgDVeDIRB17-yogVg70
OPERATIONAL,"F2XM+V5, Bongo, Batudaa Pantai, Gorontalo Regency, Gorontalo 96132, Indonesia","{'location': {'lat': 0.4996729999999999, 'lng': 123.0329417}, 'viewport': {'northeast': {'lat': 0.5009825298927222, 'lng': 123.0343047298927}, 'southwest': {'lat': 0.4982828701072778, 'lng': 123.0316050701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Desa Wisata Religi Bubohu Bongo,{'open_now': False},"[{'height': 5328, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117531299032851843831"">A Google User</a>'], 'photo_reference': 'AUGGfZlfOnrCF8EN4k30WYG2rT0IIyWumQHi8epxLjZdGIxCOdr_cazgVA0OWT7qG1lwo2NnhVjUmYl9-EOBdPGNQHDV4CZOd1IMPR42sOQ4yn9qeY0JS82qSgASnMUIKgDfy49sUbTqBRbVySGrLH4o7_dH9WuwWCOhnLPGtx3Z1zvAovrQ', 'width': 4000}]",ChIJRRXyF-TVeDIRPwm7P5N4mWI,4.5,ChIJRRXyF-TVeDIRPwm7P5N4mWI,"['tourist_attraction', 'point_of_interest', 'establishment']",34,,,https://www.google.com/maps/place/?q=place_id:ChIJRRXyF-TVeDIRPwm7P5N4mWI
OPERATIONAL,"G3J3+F9F, Siendeng, Hulonthalangi, Gorontalo Regency, Gorontalo 96133, Indonesia","{'location': {'lat': 0.5311975, 'lng': 123.0534213}, 'viewport': {'northeast': {'lat': 0.5325473298927222, 'lng': 123.0547711298927}, 'southwest': {'lat': 0.5298476701072777, 'lng': 123.0520714701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Stap ikan sapu-sapu,,,ChIJw_pvff8reTIRGD0Dv_tuZMs,5.0,ChIJw_pvff8reTIRGD0Dv_tuZMs,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,https://www.google.com/maps/place/?q=place_id:ChIJw_pvff8reTIRGD0Dv_tuZMs
OPERATIONAL,"F2RW+QWJ, Tanjung Kramat, Hulonthalangi, Gorontalo Regency, Gorontalo, Indonesia","{'location': {'lat': 0.4919526, 'lng': 123.0472516}, 'viewport': {'northeast': {'lat': 0.4933042298927221, 'lng': 123.0486047798927}, 'southwest': {'lat': 0.4906045701072776, 'lng': 123.0459051201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Villa Bahagia,{'open_now': True},"[{'height': 3060, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116961052261430459989"">A Google User</a>'], 'photo_reference': 'AUGGfZn1afYXX1ykgv4BY77iwLBMbeHBPcJKGG0ykHOOhJ1vRwmHEapKk7IeC_hy7Z11SE8lxnKW1nGwPMHMohVzp3K2tSbQwDtYtSJXiSBA7dJsb_KXCI123ETQes7aBoHhj5Gf187X8YvG2_EHRrcUgNNFgh493LeYKRPLLzQ_u1P_kiCF', 'width': 4080}]",ChIJaYFYbJbVeDIRLWZMmGOqhmc,0.0,ChIJaYFYbJbVeDIRLWZMmGOqhmc,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJaYFYbJbVeDIRLWZMmGOqhmc
OPERATIONAL,"G3F4+3GR, Tenda, Hulonthalangi, Gorontalo Regency, Gorontalo 96133, Indonesia","{'location': {'lat': 0.5227379, 'lng': 123.0562644}, 'viewport': {'northeast': {'lat': 0.5237556298927222, 'lng': 123.05860455}, 'southwest': {'lat': 0.5210559701072778, 'lng': 123.05548435}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bukit Layang,,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106448217709291674199"">A Google User</a>'], 'photo_reference': 'AUGGfZkB1L-3H97YLx7Ikq4u8yYgWmrqkCeaLFdbIe2MhZ7Hfl-9RX4CNiLs7A5Olh5cVeGhUl5aFW9HkpsBTpfr9cJSQItSedx5ZeEtqf-Bpyn0wJLc_jbnL2_fq9P9S2Ouztg4l-r34LM1Z-j-Fe9nARzOFtOmAY4LHpkx504BVAYZiosG', 'width': 1280}]",ChIJufdzPLIreTIRWyMNphhJdN4,4.5,ChIJufdzPLIreTIRWyMNphhJdN4,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,,https://www.google.com/maps/place/?q=place_id:ChIJufdzPLIreTIRWyMNphhJdN4
OPERATIONAL,"G3C7+JVR, Talumolo, Dombo, Kota Gorontalo, Gorontalo, Indonesia","{'location': {'lat': 0.5216225, 'lng': 123.0646314}, 'viewport': {'northeast': {'lat': 0.5229795298927222, 'lng': 123.0660080798927}, 'southwest': {'lat': 0.5202798701072777, 'lng': 123.0633084201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lapangan garuda putra,,,ChIJF3Rj-wwreTIRfA9cvjH_lsE,3.8,ChIJF3Rj-wwreTIRfA9cvjH_lsE,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,,https://www.google.com/maps/place/?q=place_id:ChIJF3Rj-wwreTIRfA9cvjH_lsE
OPERATIONAL,"G3G7+9WP, Talumolo, Kota Timur, Kota Gorontalo, Gorontalo 96133, Indonesia","{'location': {'lat': 0.5259024, 'lng': 123.0644555}, 'viewport': {'northeast': {'lat': 0.5272279298927223, 'lng': 123.0658427798927}, 'southwest': {'lat': 0.5245282701072778, 'lng': 123.0631431201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SANTORINI (Kawasan Talumolo Rindang & Indah),{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116247750683329950253"">Azril Rezzano</a>'], 'photo_reference': 'AUGGfZmtO8-0qMbrAZFrFHx09EAIJMA1f1T91NNa_-xnIZdB3CMw6bM72SIDLBBcNFZUAOdmeEMaBvqfXGC9hUK_Bgt6qvswwe315XKOmKAwFoO9dJxSwUXiZ4SScODY1PmAwQSD52b5zWq0-it2PoZm6V3nQo0oyxdyBWZ_sHJId5Lwp_wb', 'width': 4000}]",ChIJmaUIPgAreTIRREiE3uYilns,4.6,ChIJmaUIPgAreTIRREiE3uYilns,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,,https://www.google.com/maps/place/?q=place_id:ChIJmaUIPgAreTIRREiE3uYilns
