business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,opening_hours,plus_code,photos,permanently_closed,url
OPERATIONAL,"VCWC+CM2, Pekan Tanjung Pura, Tanjung Pura, Langkat Regency, North Sumatra, Indonesia","{'location': {'lat': 3.8960202, 'lng': 98.421634}, 'viewport': {'northeast': {'lat': 3.897394079892721, 'lng': 98.42296387989273}, 'southwest': {'lat': 3.894694420107277, 'lng': 98.4202642201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pematang cengal,ChIJMSADOJwnNzARx85AwXnvIj0,0.0,ChIJMSADOJwnNzARx85AwXnvIj0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJMSADOJwnNzARx85AwXnvIj0
OPERATIONAL,"WC9H+CC, Pekubuan, Tanjung Pura, Langkat Regency, North Sumatra 20853, Indonesia","{'location': {'lat': 3.9184956, 'lng': 98.428074}, 'viewport': {'northeast': {'lat': 3.919470679892722, 'lng': 98.43036359999999}, 'southwest': {'lat': 3.916771020107278, 'lng': 98.4273108}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SUNGAI ILER,ChIJLxM4pg8nNzARWHcEbPokB7g,0.0,ChIJLxM4pg8nNzARWHcEbPokB7g,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJLxM4pg8nNzARWHcEbPokB7g
OPERATIONAL,"Lubuk Rotan 2, Kec. Secanggang, Kabupaten Langkat, Sumatera Utara, Indonesia","{'location': {'lat': 3.7994979, 'lng': 98.5104132}, 'viewport': {'northeast': {'lat': 3.800826829892721, 'lng': 98.51179817989274}, 'southwest': {'lat': 3.798127170107277, 'lng': 98.50909852010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah Endang yunita,ChIJdWvojY7XNjARSPDs2cnNWGQ,0.0,ChIJdWvojY7XNjARSPDs2cnNWGQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,{'open_now': True},"{'compound_code': 'QGX6+Q5 Teluk, Langkat Regency, North Sumatra, Indonesia', 'global_code': '6MMWQGX6+Q5'}",,,https://www.google.com/maps/place/?q=place_id:ChIJdWvojY7XNjARSPDs2cnNWGQ
OPERATIONAL,"P9HQ+P99, Bingai, Wampu, Langkat Regency, North Sumatra 20851, Indonesia","{'location': {'lat': 3.7292904, 'lng': 98.38849909999999}, 'viewport': {'northeast': {'lat': 3.730632279892722, 'lng': 98.38987112989273}, 'southwest': {'lat': 3.727932620107278, 'lng': 98.38717147010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Getek Bingai,ChIJC5aY3MgtNzARHlOgIQb2WXc,5.0,ChIJC5aY3MgtNzARHlOgIQb2WXc,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112911322420143257686"">A Google User</a>'], 'photo_reference': 'AUGGfZkSBbWYTa92VgIjq_JETSu9lwPu_HLoB78a_eT2dr-TXlcSxv5BIYf0jClPJA4EKVNrHEXVDY-05-LmumzWqP4wyh6ck125bnm9gQXuJy7PULwB90uYGvcjRWMzMoGAYk8RiJPaalj3B8uxJQytZkk-PJYEgGZXsGzsDRf0NDqktd6R', 'width': 3264}]",,https://www.google.com/maps/place/?q=place_id:ChIJC5aY3MgtNzARHlOgIQb2WXc
OPERATIONAL,"WCCH+MH, Pekubuan, Tanjung Pura, Langkat Regency, North Sumatra 20853, Indonesia","{'location': {'lat': 3.9216405, 'lng': 98.4288851}, 'viewport': {'northeast': {'lat': 3.922556329892722, 'lng': 98.43182164999999}, 'southwest': {'lat': 3.919856670107278, 'lng': 98.42790624999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai Seppi-iler,ChIJsYuGPFInNzARq3sOu_phbmk,5.0,ChIJsYuGPFInNzARq3sOu_phbmk,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJsYuGPFInNzARq3sOu_phbmk
OPERATIONAL,"Q9C9+72, Mekar Jaya, Wampu, Langkat Regency, North Sumatra 20852, Indonesia","{'location': {'lat': 3.7706462, 'lng': 98.3675792}, 'viewport': {'northeast': {'lat': 3.772017079892722, 'lng': 98.36898627989271}, 'southwest': {'lat': 3.769317420107278, 'lng': 98.36628662010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kolam Pancing Harmony,ChIJHdAgClYtNzAR8nxOlwy2GK0,0.0,ChIJHdAgClYtNzAR8nxOlwy2GK0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107610997770895750523"">zuhryan kahar</a>'], 'photo_reference': 'AUGGfZnpGAnCZTDVOB-VZ7gbIYep8YHGoeiLZtCPqdFrzgCv3ddY4CxW4wweGaF_4p4pkUYda68Ic4_0cYybRUCvxUb-w4Oqg3RqX0Xkjoekc54-3W98kvQh8j30ZWrXKNo3ZfDVC4At3fA3GMmSSHrwkEMzeDWFx-2sjJzRCrVkSEEzuVqz', 'width': 1920}]",,https://www.google.com/maps/place/?q=place_id:ChIJHdAgClYtNzAR8nxOlwy2GK0
OPERATIONAL,"P9R5+XQ, Mekar Jaya, Wampu, Langkat Regency, North Sumatra 20851, Indonesia","{'location': {'lat': 3.7424056, 'lng': 98.359434}, 'viewport': {'northeast': {'lat': 3.743780229892721, 'lng': 98.36079232989272}, 'southwest': {'lat': 3.741080570107278, 'lng': 98.35809267010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jembatan paya redas I,ChIJL44J3NAtNzARqp6WVvENM34,3.7,ChIJL44J3NAtNzARqp6WVvENM34,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115377198479189551785"">A Google User</a>'], 'photo_reference': 'AUGGfZmqYnDi3by13wKzHlpTWwwWjSkHwZ3l2eaq_ltGiOta01cVD9eLywJZEhnqzu4d-MOLSyOVoFXsoRMC-U4yniDXL9q0PLTLrLE8uxkq0ws3YiglL2Pg0QTAWcauHDUE24S9SJ-lk1CmFtJkRRuNXDGG-bOf7rkn0zNtMd882WbqLZGC', 'width': 3120}]",,https://www.google.com/maps/place/?q=place_id:ChIJL44J3NAtNzARqp6WVvENM34
OPERATIONAL,"RH62+4V7, Perkotaan, Secanggang, Langkat Regency, North Sumatra 20855, Indonesia","{'location': {'lat': 3.8102751, 'lng': 98.5521825}, 'viewport': {'northeast': {'lat': 3.811621379892722, 'lng': 98.55363092989272}, 'southwest': {'lat': 3.808921720107278, 'lng': 98.55093127010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wak Buyung House,ChIJr2jMScrXNjAR3KJUo9dD86o,5.0,ChIJr2jMScrXNjAR3KJUo9dD86o,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103245112543896467555"">A Google User</a>'], 'photo_reference': 'AUGGfZmf1uxFFa4FrATRLJx75oDA_INWYpR7AbJKQZnqLGgt83nE91omKrxhmGj_ANFAPJMow0v4CYpqjEByNNdEM404aPubFAPrD7LMFj_-xIMvT0mJVAHtkALCi0BCk8f3IgfPFtVLBO3d3fRywOtK5GDHc-Wgd-QhC4C6gVbzVcN7qJQU', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJr2jMScrXNjAR3KJUo9dD86o
OPERATIONAL,"PCQ7+C54, Pantai Gemi, Stabat, Langkat Regency, North Sumatra, Indonesia","{'location': {'lat': 3.738519, 'lng': 98.4129396}, 'viewport': {'northeast': {'lat': 3.7392667, 'lng': 98.41490627989272}, 'southwest': {'lat': 3.7362759, 'lng': 98.41220662010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tanaman hijau,ChIJZaO6XQArNzARsDJkmHFeYyI,0.0,ChIJZaO6XQArNzARsDJkmHFeYyI,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJZaO6XQArNzARsDJkmHFeYyI
OPERATIONAL,"VHV6+6CX, Selotong, Secanggang, Langkat Regency, North Sumatra, Indonesia","{'location': {'lat': 3.893113799999999, 'lng': 98.56111419999999}, 'viewport': {'northeast': {'lat': 3.894463629892721, 'lng': 98.56246402989271}, 'southwest': {'lat': 3.891763970107277, 'lng': 98.55976437010726}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lapak mancing,ChIJ73K1WgDZNjARXE6MzdXecoU,0.0,ChIJ73K1WgDZNjARXE6MzdXecoU,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ73K1WgDZNjARXE6MzdXecoU
