business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,permanently_closed,url
OPERATIONAL,"RX3W+R99, Unnamed Road, Koto Kandis, Kec. Dendang, Kabupaten Tanjung Jabung Timur, Jambi 36763, Indonesia","{'location': {'lat': -1.1954643, 'lng': 103.9959913}, 'viewport': {'northeast': {'lat': -1.19417605, 'lng': 103.9972523798927}, 'southwest': {'lat': -1.19932905, 'lng': 103.9945527201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dermaga Koto Kandis,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105320054466221441388"">A Google User</a>'], 'photo_reference': 'AUGGfZmPlq7hoKh2s6RrChAKbY3k0AYQvLjYSY5k6rhqKjfczNbI9pNLzjzuUj2o5MfAuyq2XG2FYoGUDJZ7KIW3tvq1ZrODzwO5PXYcLJ3ruqjTGo28UjCkf_6Dt0tWuFuwRxB0-jYJ6b2axLd8BVguLVU2usGgYKdj_jwh7CUg6MTsofwQ', 'width': 3840}]",ChIJtzn73_LfJS4Rbwl4HapqBfg,3.9,ChIJtzn73_LfJS4Rbwl4HapqBfg,"['tourist_attraction', 'point_of_interest', 'establishment']",8,,https://www.google.com/maps/place/?q=place_id:ChIJtzn73_LfJS4Rbwl4HapqBfg
OPERATIONAL,"MVCG+4J, Catur Rahayu, Dendang, East Tanjung Jabung Regency, Jambi, Indonesia","{'location': {'lat': -1.329662, 'lng': 103.876567}, 'viewport': {'northeast': {'lat': -1.328312170107278, 'lng': 103.8779168298927}, 'southwest': {'lat': -1.331011829892722, 'lng': 103.8752171701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Perbatasan muaro jambi Dan tanjab timur,,ChIJ63EqpiLpJS4RnUL5dTBFKMY,0.0,ChIJ63EqpiLpJS4RnUL5dTBFKMY,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ63EqpiLpJS4RnUL5dTBFKMY
OPERATIONAL,"PQHX+VR, Teluk Dawan, Muara Sabak Barat, East Tanjung Jabung Regency, Jambi, Indonesia","{'location': {'lat': -1.2702629, 'lng': 103.799558}, 'viewport': {'northeast': {'lat': -1.268990070107278, 'lng': 103.8009556298927}, 'southwest': {'lat': -1.271689729892722, 'lng': 103.7982559701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung Padi Kito,"[{'height': 1160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111254363900101090480"">A Google User</a>'], 'photo_reference': 'AUGGfZnxKyG7ppbyb2iFUeVyZHxxJNresaLFQeyYdi-h1nfyjBRMF3k_Yhcv5UplQ2OaaFUebPGnAsUwRh_19B_S20McPI4lDpgFP4wi4qn2wq2qmpwHgTQdFsOnGSs_xtkG8NH_GN4B6TluDicVGyGJqRYW8SuBtBsPFdgibvnCEH5a3VtB', 'width': 718}]",ChIJp4SddwDlJS4RBGaTTJ1kCj0,2.5,ChIJp4SddwDlJS4RBGaTTJ1kCj0,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJp4SddwDlJS4RBGaTTJ1kCj0
OPERATIONAL,"QQGJ+FJ, Rano, Muara Sabak Barat, East Tanjung Jabung Regency, Jambi, Indonesia","{'location': {'lat': -1.2238029, 'lng': 103.7815282}, 'viewport': {'northeast': {'lat': -1.222730070107278, 'lng': 103.78458265}, 'southwest': {'lat': -1.225429729892722, 'lng': 103.78051005}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BENSIDAFARM,,ChIJ22MhEgDjJS4RZWYoc1i3uwM,0.0,ChIJ22MhEgDjJS4RZWYoc1i3uwM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJ22MhEgDjJS4RZWYoc1i3uwM
OPERATIONAL,"PRJ3+F45, Pasir putih, Tlk. Dawan, Kec. Muara Sabak Barat, Kabupaten Tanjung Jabung Timur, Jambi 36764, Indonesia","{'location': {'lat': -1.2688524, 'lng': 103.8028565}, 'viewport': {'northeast': {'lat': -1.267493270107278, 'lng': 103.8043540798927}, 'southwest': {'lat': -1.270192929892722, 'lng': 103.8016544201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pariwisata padi pasir putih,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113129979298181272758"">A Google User</a>'], 'photo_reference': 'AUGGfZkITMQ__c9Fhv_OFdRyfehfFH7Q9yeGVuf3SIpojbaDHxHgRCPV8HPVcUm0FKB4zABwmZPYSqjoNQXEKRE2wSuZZfKaX8ajvPTS5AqJZK2DwxAiCQmPetn0ywTb-Uv8OBlKwpwVfnnaiKc9FS_c33TFy1MbjzqPPfiBpAzHO6RcGyzK', 'width': 3000}]",ChIJtdPX55nlJS4RyKo5PkYcNJw,4.2,ChIJtdPX55nlJS4RyKo5PkYcNJw,"['tourist_attraction', 'point_of_interest', 'establishment']",5,,https://www.google.com/maps/place/?q=place_id:ChIJtdPX55nlJS4RyKo5PkYcNJw
OPERATIONAL,"QQFJ+RGC, Rano, Muara Sabak Barat, East Tanjung Jabung Regency, Jambi 36764, Indonesia","{'location': {'lat': -1.2254314, 'lng': 103.7812764}, 'viewport': {'northeast': {'lat': -1.223523370107278, 'lng': 103.78470855}, 'southwest': {'lat': -1.226223029892722, 'lng': 103.78013235}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Destinasi Agrowisata Intan Jumantan,"[{'height': 3016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104315574557636855201"">A Google User</a>'], 'photo_reference': 'AUGGfZmCanqSgQWIfJ-4uF3CMx7Y98lcvkGG7nLbQ0LMn1X7WFupzzCKrnymSvl-mK5MnIN8YTY_w08uSQ80qbCvazZcJE0_V70Rzsv4Zhiq3CJZk1Q2NTkJIPm5Jonu6L_rpjxIi3Q5ucmKP2PsVguHydC29Ws6_cxbwLMnEKrHeLeQYmG-', 'width': 4032}]",ChIJ8wdMT2jjJS4Rl8LV0ODJ_7U,5.0,ChIJ8wdMT2jjJS4Rl8LV0ODJ_7U,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,https://www.google.com/maps/place/?q=place_id:ChIJ8wdMT2jjJS4Rl8LV0ODJ_7U
OPERATIONAL,"PVQP+9F7, Catur Rahayu, Dendang, East Tanjung Jabung Regency, Jambi, Indonesia","{'location': {'lat': -1.2615837, 'lng': 103.886183}, 'viewport': {'northeast': {'lat': -1.260124070107278, 'lng': 103.8874838798927}, 'southwest': {'lat': -1.262823729892722, 'lng': 103.8847842201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,Suwito.k,,ChIJsbHYtL_nJS4RpI9pUfbRKrQ,0.0,ChIJsbHYtL_nJS4RpI9pUfbRKrQ,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJsbHYtL_nJS4RpI9pUfbRKrQ
CLOSED_TEMPORARILY,"QXXP+Q27, Koto Kandis, Dendang, East Tanjung Jabung Regency, Jambi, Indonesia","{'location': {'lat': -1.2005973, 'lng': 103.9850475}, 'viewport': {'northeast': {'lat': -1.199721220107278, 'lng': 103.9863904798927}, 'southwest': {'lat': -1.202420879892722, 'lng': 103.9836908201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,BS Fish Farm,,ChIJSwtbHTzfJS4RB2nzNCPTgeU,0.0,ChIJSwtbHTzfJS4RB2nzNCPTgeU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,https://www.google.com/maps/place/?q=place_id:ChIJSwtbHTzfJS4RB2nzNCPTgeU
CLOSED_TEMPORARILY,"VR9M+V79, Kampung Singkep, Muara Sabak Barat, East Tanjung Jabung Regency, Jambi, Indonesia","{'location': {'lat': -1.130342, 'lng': 103.8332193}, 'viewport': {'northeast': {'lat': -1.128965520107278, 'lng': 103.8349134798927}, 'southwest': {'lat': -1.131665179892722, 'lng': 103.8322138201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pelabuhah Sungai Muara Sabak,,ChIJs-K6T7ILJi4RISAN6LaRpjs,0.0,ChIJs-K6T7ILJi4RISAN6LaRpjs,"['tourist_attraction', 'point_of_interest', 'establishment']",0,True,https://www.google.com/maps/place/?q=place_id:ChIJs-K6T7ILJi4RISAN6LaRpjs
CLOSED_TEMPORARILY,"QPXQ+V44, Lagan Ulu, Geragai, East Tanjung Jabung Regency, Jambi 36764, Indonesia","{'location': {'lat': -1.2003513, 'lng': 103.7378243}, 'viewport': {'northeast': {'lat': -1.198944370107278, 'lng': 103.7391856298927}, 'southwest': {'lat': -1.201644029892722, 'lng': 103.7364859701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Walet,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117681593133937316971"">A Google User</a>'], 'photo_reference': 'AUGGfZlzpLn93DsgvTAUjk7c0Gsm52X1AKKiunjQv6gYVYbP0eqEc9GPc15WhVz55wdmeWuxpDnsczliwvXkY4p0MMBWZWdHD2u12TecSdjfLDRU1V7dkZXQE4sMahArYs1UGsVAFlrn3cjUMUWRJo54G5SWE3WyTMDFwA11c7bQclQ1AlS1', 'width': 1952}]",ChIJc9-O-J_jJS4RttQqdcLwnls,1.0,ChIJc9-O-J_jJS4RttQqdcLwnls,"['tourist_attraction', 'point_of_interest', 'establishment']",1,True,https://www.google.com/maps/place/?q=place_id:ChIJc9-O-J_jJS4RttQqdcLwnls
