business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,price_level,url
OPERATIONAL,"Lingkungan VII, Koya, Tondano Selatan, Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 1.2756939, 'lng': 124.8859724}, 'viewport': {'northeast': {'lat': 1.277090979892722, 'lng': 124.8873362298927}, 'southwest': {'lat': 1.274391320107278, 'lng': 124.8846365701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Yama Resort Tondano,{'open_now': True},"[{'height': 2819, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113883922884599676409"">A Google User</a>'], 'photo_reference': 'AUGGfZk4v-nrK5CKSul-Q04F2gU0NTEJZNAfK0m3JST_xb5ztjcGmfh4LXdZOzrVFo2C4zjQxILF2lcneBuQCgaHzA9g_BwP0L3EulMwzjTul9mkDHaOYzqdV0p1uzSivL1MbGfNM3txLqhwrcmhluxYRyWVtYZ7QdnMQnTjaM0Ae9Iqm4_5', 'width': 4367}]",ChIJJfGYPgcVhzIReaSrUkdz2VQ,"{'compound_code': '7VGP+79 Koya, Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH67VGP+79'}",4.5,ChIJJfGYPgcVhzIReaSrUkdz2VQ,"['lodging', 'point_of_interest', 'establishment']",649,,,https://www.google.com/maps/place/?q=place_id:ChIJJfGYPgcVhzIReaSrUkdz2VQ
OPERATIONAL,"Pondang, Amurang Timur, South Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 1.2053909, 'lng': 124.5901399}, 'viewport': {'northeast': {'lat': 1.206605829892722, 'lng': 124.5917104298927}, 'southwest': {'lat': 1.203906170107278, 'lng': 124.5890107701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Sutanraja,,"[{'height': 3289, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108735765277836509967"">A Google User</a>'], 'photo_reference': 'AUGGfZmbHDRhzhSotTpjf_1_qgnTRM_r2ef10FrPeTZkPkaoGg2ux_uqgyF--nF9paz1PjjphkX97MpsDhxBZCmjS2uhjTidH0vckrR-hXolWQw6VYrOpAFbh3V--RYgoSG0JrYeEr0szAmJb1JlROQ2BnFnrxbzmYApzZNIfov30JcU7CfZ', 'width': 5184}]",ChIJ68Rb6phehzIRY4bDGr7wYwA,"{'compound_code': '6H4R+53 Pondang, South Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH66H4R+53'}",4.3,ChIJ68Rb6phehzIRY4bDGr7wYwA,"['lodging', 'point_of_interest', 'establishment']",807,,,https://www.google.com/maps/place/?q=place_id:ChIJ68Rb6phehzIRY4bDGr7wYwA
OPERATIONAL,"6H8W+5RG, Tim.,, Pondang, Kec. Amurang Tim., Kabupaten Minahasa Selatan, Sulawesi Utara, Indonesia","{'location': {'lat': 1.2154263, 'lng': 124.5970698}, 'viewport': {'northeast': {'lat': 1.216779029892722, 'lng': 124.5984215798927}, 'southwest': {'lat': 1.214079370107278, 'lng': 124.5957219201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sutanraja Villa Amurang,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107837749086968687119"">Hartarto Sormin</a>'], 'photo_reference': 'AUGGfZnW-en72D0EpVUbcJkj54GtgL6PBxFm1exVfxI66n_dZo68I6yfQoU6clTUXNRHOqvu15o-FvOtNXycENSoe3SvM0NcD7JKk_51688CyyP0bq2Nd86oFeRZZUut6CmO_YPBWD0XcMjXpzfnr14QcUPkkRSSp33ambK31nAsDMN2Eyi1', 'width': 4000}]",ChIJ9zqZA4JehzIRQFsFpeD8ki4,,4.3,ChIJ9zqZA4JehzIRQFsFpeD8ki4,"['lodging', 'point_of_interest', 'establishment']",241,,,https://www.google.com/maps/place/?q=place_id:ChIJ9zqZA4JehzIRQFsFpeD8ki4
OPERATIONAL,"Jl. Kimereng Kali RW.04, Dusun IV, Kinilow, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara 95414, Indonesia","{'location': {'lat': 1.3666715, 'lng': 124.8353314}, 'viewport': {'northeast': {'lat': 1.368221429892722, 'lng': 124.8364379798928}, 'southwest': {'lat': 1.365521770107278, 'lng': 124.8337383201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rimba Eco Resort,,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117726752613611395364"">A Google User</a>'], 'photo_reference': 'AUGGfZlQeFg3B13S-cIFbsjQ_HBGdWSdd9BPU5ytx8bNmICRwzOFWGpjvrYPrDiZj8Mk2T5ORhieYApnI03qkW_Fwt8xFXN-uX2Q5HrvkQYDxl5duiiZ3xoI2b7SUm4E-jjUz3wp0LdZDfAAXClBuRZMGjCaAonBtvwwGgy4D1BHHEZgJYGr', 'width': 4000}]",ChIJ4fAbO8hthzIRMwsRD93n_Z4,"{'compound_code': '9R8P+M4 Kinilow, Tomohon City, North Sulawesi, Indonesia', 'global_code': '6QH69R8P+M4'}",4.9,ChIJ4fAbO8hthzIRMwsRD93n_Z4,"['lodging', 'point_of_interest', 'establishment']",36,,,https://www.google.com/maps/place/?q=place_id:ChIJ4fAbO8hthzIRMwsRD93n_Z4
OPERATIONAL,"Jl. Kimereng Kali, RW.Lingk VI, Kinilow, Tomohon Utara, Tomohon City, North Sulawesi 95414, Indonesia","{'location': {'lat': 1.3687579, 'lng': 124.8336427}, 'viewport': {'northeast': {'lat': 1.370155979892722, 'lng': 124.8348541298927}, 'southwest': {'lat': 1.367456320107278, 'lng': 124.8321544701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Highland Resort & Nature Tours,{'open_now': True},"[{'height': 561, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104739419734388651634"">Highland Resort and Spa</a>'], 'photo_reference': 'AUGGfZmE6Un5zIKrZ-M4x8_agrdRW68-c85OSa4TE9LAgWU992if1X4zP8uMXKooWiyVPcr3W9JHlxawamGhutTEbELHQCJ89l8K3qtceduEA14vxURNiW3NgUrvIZ_CzRQI2NIeDU4Ecj7jV5YdM9CoXX84R84TDH6silXJPJwfvYv1rAi6', 'width': 1200}]",ChIJ6QcSUuZshzIR-FwHs9z1kTY,"{'compound_code': '9R9M+GC Kinilow, Tomohon City, North Sulawesi, Indonesia', 'global_code': '6QH69R9M+GC'}",4.5,ChIJ6QcSUuZshzIR-FwHs9z1kTY,"['lodging', 'point_of_interest', 'establishment']",368,,,https://www.google.com/maps/place/?q=place_id:ChIJ6QcSUuZshzIR-FwHs9z1kTY
OPERATIONAL,"7VP2+5Q, Walian, Tomohon Selatan, Tomohon City, North Sulawesi, Indonesia","{'location': {'lat': 1.285302, 'lng': 124.8519678}, 'viewport': {'northeast': {'lat': 1.286707529892722, 'lng': 124.8529889298927}, 'southwest': {'lat': 1.284007870107278, 'lng': 124.8502892701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wawowow,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100866280233285979905"">A Google User</a>'], 'photo_reference': 'AUGGfZmM_kCYEZCGyjddlebnsokoduo7qNvuk1x-2RYVz5d2oGfZVCzRgx5Upm8kJGmGh6hwh02vhKXw3BWsUt98O6WlYn413x0ob2DQ-KwBYWrMV3sm81LQmVNvpYRm93MBU60zqvem1gTtwCOHbXrx1oZP74JctBe-hx8B1tB0ltFy-S67', 'width': 1080}]",ChIJUWI2otBrhzIRY29bVtLmJ3Q,,4.8,ChIJUWI2otBrhzIRY29bVtLmJ3Q,"['lodging', 'point_of_interest', 'establishment']",39,,,https://www.google.com/maps/place/?q=place_id:ChIJUWI2otBrhzIRY29bVtLmJ3Q
OPERATIONAL,"Village, Poopoh, Kec. Tombariri, Kabupaten Minahasa, Sulawesi Utara 95651, Indonesia","{'location': {'lat': 1.4062227, 'lng': 124.6347228}, 'viewport': {'northeast': {'lat': 1.407574829892722, 'lng': 124.6360132798927}, 'southwest': {'lat': 1.404875170107278, 'lng': 124.6333136201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Johana Cottages, Poopoh, Minahasa Regency, North Sulawesi",,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114238505042441816541"">Venansia Montolalu</a>'], 'photo_reference': 'AUGGfZk4odyT3y4Ug9UO6olk7Xeu3WfOrQiZXH38aS1fSCHPZfVX0qyD2InhmPdZih1x5NcX_7UrG8K3_nLtzElhcqn4ujV5N9vsI13qkrRqsDucEe7B5-a5pxy-3Mcg5PUYyrVKgKQXHiHPkCnNc9dXExNHvjcC31Un9aoJI02VrvYzjzPw', 'width': 4032}]",ChIJhfvxk8x7hzIRtg9uZ9roeig,"{'compound_code': 'CJ4M+FV Poopoh, Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH6CJ4M+FV'}",4.8,ChIJhfvxk8x7hzIRtg9uZ9roeig,"['lodging', 'point_of_interest', 'establishment']",47,,,https://www.google.com/maps/place/?q=place_id:ChIJhfvxk8x7hzIRtg9uZ9roeig
OPERATIONAL,"Jl. Wawo, Matani III, Kec. Tomohon Tengah, Kota Tomohon, Sulawesi Utara 95441, Indonesia","{'location': {'lat': 1.302137, 'lng': 124.8473274}, 'viewport': {'northeast': {'lat': 1.303486829892722, 'lng': 124.8486603298927}, 'southwest': {'lat': 1.300787170107278, 'lng': 124.8459606701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Narwastu Hills,{'open_now': True},"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110301390198252354307"">Vidi Polla</a>'], 'photo_reference': 'AUGGfZmjfKIcmDyVQuK3_ae5wCGRR93CMn_vBeIcA1bS2JuO5bqEN4vAV6msw_C_1lLH8uteHbKMtxu0VRpoPe9fByTDrG-oBL3nC0TQmfPCuKKKTytzAIO5gQX-Q4IELCJniH9DjQIcQoEfIMxi2b5z14tKlYwJKoL51YIoJfLBGlGIg6I', 'width': 768}]",ChIJIQC_mAJrhzIRGAnCykFVwa8,"{'compound_code': '8R2W+VW Walian, Tomohon City, North Sulawesi, Indonesia', 'global_code': '6QH68R2W+VW'}",4.7,ChIJIQC_mAJrhzIRGAnCykFVwa8,"['tourist_attraction', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",501,,,https://www.google.com/maps/place/?q=place_id:ChIJIQC_mAJrhzIRGAnCykFVwa8
OPERATIONAL,"7R8H+MX4 Lake Linow, Tondangow, Tomohon, Kota Tomohon, Sulawesi Utara, Indonesia","{'location': {'lat': 1.2665481, 'lng': 124.829989}, 'viewport': {'northeast': {'lat': 1.267776879892722, 'lng': 124.8312928798927}, 'southwest': {'lat': 1.265077220107278, 'lng': 124.8285932201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Greenlake Bungalows Linow,,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111282515919725942925"">Giovani Tumangkeng</a>'], 'photo_reference': 'AUGGfZk6RX4xTvgB3I4mjtI2iPWLj9KrSegKT3MBM4EJe8bGMz_iXSlusui2y5IbGDURTmsPrd3E5Az4NbMUHWHJt7edGzcKwgrLhdYDqq_cSPCPA6W4USov6Enjh6ZIO1Z-xIMi13eCLCgR0CbHzPux6voPvZmYRpqKKFTMWtMFPFC0k41O', 'width': 3096}]",ChIJ-1bQhO1qhzIRVnH7GQi2PUo,,4.5,ChIJ-1bQhO1qhzIRVnH7GQi2PUo,"['lodging', 'point_of_interest', 'establishment']",335,,,https://www.google.com/maps/place/?q=place_id:ChIJ-1bQhO1qhzIRVnH7GQi2PUo
OPERATIONAL,"Lansot, Tomohon Selatan, Tomohon City, North Sulawesi, Indonesia","{'location': {'lat': 1.3048456, 'lng': 124.8322826}, 'viewport': {'northeast': {'lat': 1.306182379892722, 'lng': 124.8336220298927}, 'southwest': {'lat': 1.303482720107278, 'lng': 124.8309223701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Lanosa Guest House,,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104879423074994563952"">A Google User</a>'], 'photo_reference': 'AUGGfZnwZuF81wn5sawiZQvhRFaJepiez1zXkqdZAbE9XomtbfxgVZrHvCAzVevmy_8kxVTaQf70Xm6OkZnAyHx2OnklR7Tns0wdWRShIAef_CX58OsPqk0_jEiXl2JsWViW5tw4HJx4UuoIeWLnz7Ea6xbvkk_V9y2vye1Ijsvl6tUgBO2a', 'width': 960}]",ChIJd9XXm2VrhzIRgP0aVCHP51A,"{'compound_code': '8R3J+WW Lansot, Tomohon City, North Sulawesi, Indonesia', 'global_code': '6QH68R3J+WW'}",4.5,ChIJd9XXm2VrhzIRgP0aVCHP51A,"['lodging', 'point_of_interest', 'establishment']",165,,,https://www.google.com/maps/place/?q=place_id:ChIJd9XXm2VrhzIRgP0aVCHP51A
