formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,types,business_status,opening_hours,plus_code,rating,user_ratings_total,permanently_closed,url
"Denpasar Utara, Denpasar City, Bali, Indonesia","{'location': {'lat': -8.6377945, 'lng': 115.2108573}, 'viewport': {'northeast': {'lat': -8.592725, 'lng': 115.2371821}, 'southwest': {'lat': -8.656898000000002, 'lng': 115.1860809}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Denpasar Utara,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113153115648989961743"">A Google User</a>'], 'photo_reference': 'AUGGfZmIygLZhD7GSReV270Lnr9dRsYnQV8yZ_eV_ir4dpgGeMVoOlbuUrg0-VF7c5EdWfAJV707pzhJV19V3tGaa2lb6WWG0-D8-_KFxJilBKxXLTgOv7r9SRJM_gGiYYN5h0U7sl5WQ3FB3eD-TlzFk0Z7iYZfchyGBHlCV6pXQidFxIjo', 'width': 720}]",ChIJ3Yy54z0_0i0R2rgcxmdZL48,ChIJ3Yy54z0_0i0R2rgcxmdZL48,"['administrative_area_level_3', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3Yy54z0_0i0R2rgcxmdZL48
"Jl. Nusa Indah No.1, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80236, Indonesia","{'location': {'lat': -8.655621499999999, 'lng': 115.2338714}, 'viewport': {'northeast': {'lat': -8.654237970107278, 'lng': 115.2357604798927}, 'southwest': {'lat': -8.656937629892722, 'lng': 115.2330608201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Werdhi Budaya Art Centre,"[{'height': 2256, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113076978288899793852"">Cokorda Sarotama</a>'], 'photo_reference': 'AUGGfZmRgeycN7EO6Fo1ttGhImksYBZMfzKExa3fvjO6lxFTZyi7B2z90rvKahadCkZEIFtAKbH4oPpzWo4s1nbJySUBUcm28h_TnWJJNflznrC4IHqQ9fjb4Hy3xgXIMWeLG-pznBlDf2X_wM_dQA8z2wPIlZD8DoUeoYCi5YIi2bhKrRFN', 'width': 4000}]",ChIJGQ6sdIdA0i0RHsllnemsju4,ChIJGQ6sdIdA0i0RHsllnemsju4,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},"{'compound_code': '86VM+QG Panjer, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q86VM+QG'}",4.6,9120.0,,https://www.google.com/maps/place/?q=place_id:ChIJGQ6sdIdA0i0RHsllnemsju4
"Denpasar, Denpasar City, Bali, Indonesia","{'location': {'lat': -8.670458199999999, 'lng': 115.2126293}, 'viewport': {'northeast': {'lat': -8.592722499999999, 'lng': 115.2748484}, 'southwest': {'lat': -8.7526441, 'lng': 115.1736981}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Denpasar,"[{'height': 784, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117635400718004495511"">Muthuraja S</a>'], 'photo_reference': 'AUGGfZnVSYv6UdfEFlOK14GexI7KSYPKC1sWYmBV8Vvzpl1mLKYYo8iXkTq-6IqX5ResvOyJgW71krfHi2i_8dNi6F_IoDGvd3Rl2nXdY_oUOBf8u6Vc7akzRbqHR1usOGmosx38_R3fEU_d7C90mYe6uWkXNB1eMhWnWA5akqhQJwXh09iY', 'width': 1141}]",ChIJ24BeDptA0i0RSje5zOg0c-I,ChIJ24BeDptA0i0RSje5zOg0c-I,"['locality', 'political']",,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ24BeDptA0i0RSje5zOg0c-I
"Dauh Puri Kaja, Denpasar Utara, Denpasar City, Bali 80233, Indonesia","{'location': {'lat': -8.6359218, 'lng': 115.2129875}, 'viewport': {'northeast': {'lat': -8.634622320107274, 'lng': 115.2140219298928}, 'southwest': {'lat': -8.637321979892718, 'lng': 115.2113222701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Lumintang Park,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103464037830824463509"">Oka dewa</a>'], 'photo_reference': 'AUGGfZmCY3nFxoKxTD7cyFOtDafwr42700EyWCcurZfyqx0hrCumKYA33vkeBV9H6ozqPUvmz4hP6PXxiMCHFOExihCcfqz5PncnuxQtt85uF9a3joTDqjAXndVl5Dl6CdHXfIjmvoNvowy5DlfRx6MhzLVWfew8mLeL5hV7T4hI6cMWQjQp', 'width': 4000}]",ChIJyw_a5mk_0i0RC9af20e_QvY,ChIJyw_a5mk_0i0RC9af20e_QvY,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"{'compound_code': '9677+J5 Dauh Puri Kaja, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q9677+J5'}",4.5,10407.0,,https://www.google.com/maps/place/?q=place_id:ChIJyw_a5mk_0i0RC9af20e_QvY
"Jl. Veteran No.62, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80361, Indonesia","{'location': {'lat': -8.651006500000001, 'lng': 115.2173848}, 'viewport': {'northeast': {'lat': -8.649748470107278, 'lng': 115.2187534298927}, 'southwest': {'lat': -8.652448129892724, 'lng': 115.2160537701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Puri Agung Denpasar,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101535723153544858746"">yves frombelgium</a>'], 'photo_reference': 'AUGGfZmCtephz5j1ldQRVQzeSPHOB5pD-w3v0B9Lj8IPRPaxZM4zp5NpqsJGg4WIu-4XUBo9ZcbtTy36Qd3aoURBs-U3VYHSXJOeTF-P7ZUZd8voh5P0dIkhFU89NKQrg-WxeWWRz1G2ZvaDq1y0vtMOje_LMUPh4BzhcQqwemKoHa2myWsu', 'width': 1920}]",ChIJiW81E55A0i0RmL0PgzgsgbU,ChIJiW81E55A0i0RmL0PgzgsgbU,"['tourist_attraction', 'hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},"{'compound_code': '86X8+HX Dangin Puri Kaja, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q86X8+HX'}",4.6,141.0,,https://www.google.com/maps/place/?q=place_id:ChIJiW81E55A0i0RmL0PgzgsgbU
"Jl. Turi, Kesiman, Kec. Denpasar Tim., Kota Denpasar, Bali 80235, Indonesia","{'location': {'lat': -8.6437911, 'lng': 115.2358125}, 'viewport': {'northeast': {'lat': -8.642425820107277, 'lng': 115.2371763798927}, 'southwest': {'lat': -8.645125479892721, 'lng': 115.2344767201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Daerah tujuan wisata tukad bindu,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108384510325563210823"">Mang Nick</a>'], 'photo_reference': 'AUGGfZkSOLKNMqbxstSfzU4g-Sw67oh7_8-w7cJuEVwLRKbx8EnIg7aGItG3xlHtIbhoYUqhXmogiCfdF-Wvz5UgTGlElPmxpiLu_40bUQIdT0ovn5SD-ouHwj7XkR3hGFJvmvT55Pnfgn634_erv_IEVlk3NMj1Cj-0SinvwyhheShTkXiL', 'width': 4608}]",ChIJu0Dbm3g_0i0ReErLR0BFjww,ChIJu0Dbm3g_0i0ReErLR0BFjww,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},"{'compound_code': '964P+F8 Kesiman, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q964P+F8'}",4.5,1044.0,,https://www.google.com/maps/place/?q=place_id:ChIJu0Dbm3g_0i0ReErLR0BFjww
"Jl. Raya Puputan No.142, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80234, Indonesia","{'location': {'lat': -8.6717348, 'lng': 115.233902}, 'viewport': {'northeast': {'lat': -8.66996895, 'lng': 115.23743205}, 'southwest': {'lat': -8.67420755, 'lng': 115.23052705}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/monument_pinlet,Bajra Sandhi Monument,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116904603069215935736"">Florian Bader</a>'], 'photo_reference': 'AUGGfZkLDdpE6Iy3_kGUgFduSiNYyy7xKwq52X4BWwPzkdCpE8tJA2ISWyyE4BlQFfhMYOqoAP2OPyo95bloCJ2jJUFCKHj44tAFVuM9jMRk1uDNhru5_q6oY7Oe2dJSy88a-HInNMwPjDEubz6UpfWEhwxO9t6jlRILumuAdVmdqG6F4c4Q', 'width': 4032}]",ChIJL626sPVA0i0RLJoATqtQcfY,ChIJL626sPVA0i0RLJoATqtQcfY,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},"{'compound_code': '86HM+8H Panjer, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q86HM+8H'}",4.6,14552.0,,https://www.google.com/maps/place/?q=place_id:ChIJL626sPVA0i0RLJoATqtQcfY
"86V8+JQ8, Dangin Puri Kauh, Denpasar Utara, Denpasar City, Bali 80232, Indonesia","{'location': {'lat': -8.6559667, 'lng': 115.2169412}, 'viewport': {'northeast': {'lat': -8.654624970107276, 'lng': 115.2183571798927}, 'southwest': {'lat': -8.65732462989272, 'lng': 115.2156575201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Patung Catur Muka,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102370863164669975917"">A Google User</a>'], 'photo_reference': 'AUGGfZln8pWTUw4pK8Gapp3jwik3Eo1xYnfJAJj4PAgDz2OB29J5hDcrAQF6rJ-V8pZb5ZaINJ1oMmbQ5zoJbJw848nrzcikHAjwCTabs_KeHmpvIZSYOAbgH_ZuiG_HYq_QzBV8jfN6qsVowNC6E9cUqhLrJXsFIis_eGXpVDrPRLDLQVT4', 'width': 3024}]",ChIJgWctP5lA0i0R4gZVQS_kygQ,ChIJgWctP5lA0i0R4gZVQS_kygQ,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': True},,4.7,625.0,,https://www.google.com/maps/place/?q=place_id:ChIJgWctP5lA0i0R4gZVQS_kygQ
"96P7+GJ7, Jl. Ahmad Yani Utara, Peguyangan, Kec. Denpasar Utara, Kota Denpasar, Bali 80239, Indonesia","{'location': {'lat': -8.613720599999999, 'lng': 115.2140324}, 'viewport': {'northeast': {'lat': -8.612371420107278, 'lng': 115.2153817798928}, 'southwest': {'lat': -8.615071079892722, 'lng': 115.2126821201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Ekowisata Subak Sembung Peguyangan,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107393892313051015863"">Alit Putrawan</a>'], 'photo_reference': 'AUGGfZnV3C_sgcJ_iPLGzvNlP7i-SV0WougbHtvOybQjlHSuy7xKFXG_AzgBYbSLMoF-X9ljyrNn7eRXetVx1WsDL6u82ZWSO-dZFUFc1EaUtsSg7_LjCe2nZqdmecFIkFCkh8-SegYAB0tjbabL_j1z9GLKH_PHFVvmazQtJfk6b5niLIqK', 'width': 960}]",ChIJCfm-QB8_0i0RxkfmyITBS0w,ChIJCfm-QB8_0i0RxkfmyITBS0w,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},,4.6,1299.0,,https://www.google.com/maps/place/?q=place_id:ChIJCfm-QB8_0i0RxkfmyITBS0w
"Jl. Bypass Ngurah Rai No.762, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221, Indonesia","{'location': {'lat': -8.716711, 'lng': 115.2052612}, 'viewport': {'northeast': {'lat': -8.71547297010728, 'lng': 115.2066365298927}, 'southwest': {'lat': -8.718172629892724, 'lng': 115.2039368701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Upside Down World Bali,"[{'height': 3265, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105749039920488167322"">Agus Cece</a>'], 'photo_reference': 'AUGGfZnKxFzp_yq-669sOOLmAP4r_cjZ0SqBQpRUK8HFoQ8j9f8pIPCwQnxMJ_UBBQDpQI8Xp_z25xYDcsx7EBRXOMKS9h8JjmnwMlRNWmVbm37TtjIw83ICdEvjZ2qh24WM6lFC9D4jq-af4lAWJ51G5HW_fKoCrvt7WJOC804QWqSa29uK', 'width': 4898}]",ChIJL1XuIURB0i0RNRhRbMMJMLI,ChIJL1XuIURB0i0RNRhRbMMJMLI,"['tourist_attraction', 'point_of_interest', 'establishment']",OPERATIONAL,{'open_now': False},"{'compound_code': '76M4+84 Pemogan, Denpasar City, Bali, Indonesia', 'global_code': '6P3Q76M4+84'}",4.2,3905.0,,https://www.google.com/maps/place/?q=place_id:ChIJL1XuIURB0i0RNRhRbMMJMLI
