business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,plus_code,photos,opening_hours,permanently_closed,url
OPERATIONAL,"87WJ+3JC, RT.22/RW.04, Masjid, Sidorejo, Kec. Sidorejo, Kabupaten Magetan, Jawa Timur, Indonesia","{'location': {'lat': -7.6548106, 'lng': 111.2815216}, 'viewport': {'northeast': {'lat': -7.653529470107279, 'lng': 111.2829364298927}, 'southwest': {'lat': -7.656229129892723, 'lng': 111.2802367701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PELANG REJO,ChIJMc4MTgCNeS4RPwuVHie7qQE,0.0,ChIJMc4MTgCNeS4RPwuVHie7qQE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJMc4MTgCNeS4RPwuVHie7qQE
OPERATIONAL,"9739+96H, Mbaran, Sumbersawit, Kec. Sidorejo, Kabupaten Magetan, Jawa Timur, Indonesia","{'location': {'lat': -7.646560599999999, 'lng': 111.2681076}, 'viewport': {'northeast': {'lat': -7.645163420107279, 'lng': 111.2694277798927}, 'southwest': {'lat': -7.647863079892723, 'lng': 111.2667281201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata AIr (Sekatesan),ChIJPT6n3PaNeS4RgHRBDMppRxo,0.0,ChIJPT6n3PaNeS4RgHRBDMppRxo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,,https://www.google.com/maps/place/?q=place_id:ChIJPT6n3PaNeS4RgHRBDMppRxo
OPERATIONAL,"Jl. Ring Road No.24, Masjid, Sidorejo, Kec. Sidorejo, Kabupaten Magetan, Jawa Timur 63361, Indonesia","{'location': {'lat': -7.6558358, 'lng': 111.2805615}, 'viewport': {'northeast': {'lat': -7.654472820107276, 'lng': 111.2818277798927}, 'southwest': {'lat': -7.657172479892719, 'lng': 111.2791281201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Pertigaan Sidorejo,ChIJvfmnVRuNeS4RJOusvJBVqx4,5.0,ChIJvfmnVRuNeS4RJOusvJBVqx4,"['park', 'point_of_interest', 'establishment']",1,"{'compound_code': '87VJ+M6 Sidorejo, Magetan Regency, East Java, Indonesia', 'global_code': '6P4H87VJ+M6'}",,,,https://www.google.com/maps/place/?q=place_id:ChIJvfmnVRuNeS4RJOusvJBVqx4
OPERATIONAL,"87P3+W7P, Mendjing, Getasanyar, Kec. Sidorejo, Kabupaten Magetan, Jawa Timur 63361, Indonesia","{'location': {'lat': -7.6626527, 'lng': 111.2532032}, 'viewport': {'northeast': {'lat': -7.661278420107276, 'lng': 111.2545376298927}, 'southwest': {'lat': -7.66397807989272, 'lng': 111.2518379701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Mata Air (Belik),ChIJZxuLf3KNeS4RZbNp52wdN_g,5.0,ChIJZxuLf3KNeS4RZbNp52wdN_g,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,,https://www.google.com/maps/place/?q=place_id:ChIJZxuLf3KNeS4RZbNp52wdN_g
OPERATIONAL,"87VW+Q8C, Jl. Ngrandu, Kradjan, Campursari, Kec. Sidorejo, Kabupaten Magetan, Jawa Timur 63319, Indonesia","{'location': {'lat': -7.654705399999999, 'lng': 111.2953663}, 'viewport': {'northeast': {'lat': -7.65356312010728, 'lng': 111.2970601298927}, 'southwest': {'lat': -7.656262779892724, 'lng': 111.2943604701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,EMBUNG DESA CAMPURSARI,ChIJwdPvIjWTeS4R7dpL446AsIc,5.0,ChIJwdPvIjWTeS4R7dpL446AsIc,"['tourist_attraction', 'point_of_interest', 'establishment']",2,,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111509832375781788598"">A Google User</a>'], 'photo_reference': 'AUGGfZmW4wGqg727Ilwc3uigG6zjgNtuhSWPbCkClAfUVJJ5-hlCS0QNeIBPhLEcLqWHzf1VgCNOBpV-ruXsdpiy5_USUEIvK_GdLoor8A7PBeKy6h4dU7nrv7D8RRiklNj4lhpnbv0MefptMk-Ot9RCp_su2NNiYdGCSYWBHlG9Ss1LrtDn', 'width': 4160}]",,,https://www.google.com/maps/place/?q=place_id:ChIJwdPvIjWTeS4R7dpL446AsIc
OPERATIONAL,"Jl. Raya Sarangan, Plaosan II, Plaosan, Kec. Plaosan, Kabupaten Magetan, Jawa Timur 63361, Indonesia","{'location': {'lat': -7.6813677, 'lng': 111.2535154}, 'viewport': {'northeast': {'lat': -7.680064420107278, 'lng': 111.2549882798927}, 'southwest': {'lat': -7.682764079892721, 'lng': 111.2522886201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kebun Refugia Magetan,ChIJk7R817qPeS4RuBqg97JUWP4,4.6,ChIJk7R817qPeS4RuBqg97JUWP4,"['tourist_attraction', 'point_of_interest', 'establishment']",1275,"{'compound_code': '8793+FC Plaosan, Magetan Regency, East Java, Indonesia', 'global_code': '6P4H8793+FC'}","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103619514141933302385"">Saiful Malfino</a>'], 'photo_reference': 'AUGGfZkdLCUD-wLP-wJcSOWR551cg9DyvnDVohSd8jkZKGfX8jL0vvsj_hHGRM0ZhtM811WzTu6iUs_DWLHcm0U6625Afc-5lFtmII0GlDUWoJHazc3tKKMvmqDYICSXfGSJZeX0NwotaWZgeoEHXV6TFjY1puwKRe_D2TBMh2Y_miTNbNJf', 'width': 4032}]",{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJk7R817qPeS4RuBqg97JUWP4
OPERATIONAL,"Gangging, Sidomulyo, Sidorejo, Magetan Regency, East Java 63361, Indonesia","{'location': {'lat': -7.654685000000001, 'lng': 111.2714517}, 'viewport': {'northeast': {'lat': -7.653304870107276, 'lng': 111.2727907298927}, 'southwest': {'lat': -7.65600452989272, 'lng': 111.2700910701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sumber Gangging Park,ChIJIVYtZfONeS4RDXVUlJq7hdc,4.7,ChIJIVYtZfONeS4RDXVUlJq7hdc,"['tourist_attraction', 'point_of_interest', 'establishment']",20,"{'compound_code': '87WC+4H Sidomulyo, Magetan Regency, East Java, Indonesia', 'global_code': '6P4H87WC+4H'}","[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115823044907873922533"">wiznu yangterlupakan</a>'], 'photo_reference': 'AUGGfZmVy1ldz-eKKMBVT7tGgtdRmTvACgMca_QA8WQ6mkBF750aWemTExbKBy3iHgqLZLnAqFf-n-f8bANb-t5OD4Szde9LmteviW06Jky2ZDHG5EuL-NH3WCfh9_edAFMbhhEjzE21cmCgJphkOUPFEUmz8BzGWix5QxYXhel8w7a6Pna5', 'width': 3264}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJIVYtZfONeS4RDXVUlJq7hdc
OPERATIONAL,"87GQ+X79, Unnamed Road, Durenan, Kec. Sidorejo, Kabupaten Magetan, Jawa Timur 63361, Indonesia","{'location': {'lat': -7.672582999999999, 'lng': 111.2882295}, 'viewport': {'northeast': {'lat': -7.671246170107279, 'lng': 111.2895811798927}, 'southwest': {'lat': -7.673945829892723, 'lng': 111.2868815201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Suasana jemparingan ki Dharum,ChIJr8FSjCSReS4Rtn93-b6cWV8,5.0,ChIJr8FSjCSReS4Rtn93-b6cWV8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114124650710241182835"">Heri Jatmiko</a>'], 'photo_reference': 'AUGGfZkQbLIGF3WKml0nYmCw1aCh-sJer-uOSBBVF_sbTnqfl9OFzSq00gh2stWQWWgoTbmCmg1iImV9_W9lZHdOjo6RPgCdlvB9VWSSZK2bUwHM4LnL0ZpB3nEpCjo3NSizxB5K0sF6OR-KkDjAow7pt_ImjWQKIvk2MMcKIituuxEv6iPE', 'width': 1080}]",,,https://www.google.com/maps/place/?q=place_id:ChIJr8FSjCSReS4Rtn93-b6cWV8
OPERATIONAL,"99VR+QVH, Sidorejo, Kembangan, Kec. Sukomoro, Kabupaten Magetan, Jawa Timur, Indonesia","{'location': {'lat': -7.605568399999999, 'lng': 111.3922423}, 'viewport': {'northeast': {'lat': -7.604445870107278, 'lng': 111.3936038798927}, 'southwest': {'lat': -7.607145529892722, 'lng': 111.3909042201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata EMBUNG LEMBAH KATRESNAN,ChIJrZryZOWVeS4R3-XlXZ6MGYM,4.5,ChIJrZryZOWVeS4R3-XlXZ6MGYM,"['tourist_attraction', 'point_of_interest', 'establishment']",4,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111699712500802264612"">A Google User</a>'], 'photo_reference': 'AUGGfZmu9hX4jwE3eZiTpbdm3ZFUsMBqtTn3siA0BSurOLeXfd222WfpgbJaqddZ47cjMhk0s_AVcsFCN2us0gtwskz5rvYB8GHPJKEIc7mzVmP13dc5IjrgzQ9GV6POHsLskQFfRrDoROxiZsw0V98p_OV5va4gyVorZKGL3E5nwAHvP9EQ', 'width': 3024}]",,,https://www.google.com/maps/place/?q=place_id:ChIJrZryZOWVeS4R3-XlXZ6MGYM
OPERATIONAL,"87WQ+997, Jl. Kopek Sidorejo, Bungkal, Kalang, Kec. Sidorejo, Kabupaten Magetan, Jawa Timur 63319, Indonesia","{'location': {'lat': -7.654097999999999, 'lng': 111.2884223}, 'viewport': {'northeast': {'lat': -7.652718670107277, 'lng': 111.2897613798927}, 'southwest': {'lat': -7.655418329892721, 'lng': 111.2870617201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Suni Park N Watertubing,ChIJzaRg8KaTeS4ROT73e5nMSu8,4.0,ChIJzaRg8KaTeS4ROT73e5nMSu8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110610443609455042863"">A Google User</a>'], 'photo_reference': 'AUGGfZkCs50tBEAXo7bY5ga7jR06U7Bvmc3_FwDhjDojcNVALRQ3wPurty2IsQfDwMiyBwquUOqld9JhSwKoCOex2GHMg75glvt8acZFgc0vtA8Wd-yi8Xvy0TsFLN1VmKyVl8XfPn6ZjmECo6MGiJAP7R47TtlaGmH7KJ8x3Uhy28KRuDOz', 'width': 3264}]",{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJzaRg8KaTeS4ROT73e5nMSu8
