business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,price_level,rating,reference,types,user_ratings_total,opening_hours,url
OPERATIONAL,"Jl. Raya Claket-Trawas KM.03, Claket, Pacet, Mojokerto Regency, East Java, Indonesia","{'location': {'lat': -7.6762836, 'lng': 112.5585073}, 'viewport': {'northeast': {'lat': -7.674748170107278, 'lng': 112.5598383298927}, 'southwest': {'lat': -7.677447829892722, 'lng': 112.5571386701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Claket Adventure Park,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114179082132835482611"">andika ramadhan</a>'], 'photo_reference': 'AUGGfZnTKgnWTOYnYBz65vxKJ0SmltTPutTiZIp_z1EYj-bKyu5Idx6zRC-zvMVFd1Sbm9v-TscYquLSpg-IM3cp1w1ZTw_5G6b7SUn8JduvNDSSiZGjGHMaI1p1Mf6XRFc6irMqmx_M-Hygx8G5T1CdCMhPq_mGyRCzJ31p6HAeKNItTHek', 'width': 4032}]",ChIJ98H_nWR3eC4RRj3_8xpHIgs,"{'compound_code': '8HF5+FC Claket, Mojokerto Regency, East Java, Indonesia', 'global_code': '6P4J8HF5+FC'}",1.0,4.1,ChIJ98H_nWR3eC4RRj3_8xpHIgs,"['tourist_attraction', 'point_of_interest', 'establishment']",1583.0,,https://www.google.com/maps/place/?q=place_id:ChIJ98H_nWR3eC4RRj3_8xpHIgs
OPERATIONAL,"Nogosari, Pacet, Mojokerto Regency, East Java 61374, Indonesia","{'location': {'lat': -7.6651504, 'lng': 112.5706068}, 'viewport': {'northeast': {'lat': -7.664386049999997, 'lng': 112.5713170798927}, 'southwest': {'lat': -7.667443450000002, 'lng': 112.5686174201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Watu Gedhek,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107651235842387253103"">alya endhel</a>'], 'photo_reference': 'AUGGfZlOKsPHbR1ukgGblzo94PNOJrNGEYhD4DdZgokOglt_VQQPb6FDISfTtq4T1vh-PF41lAMmxFYnBmCWU_iskj85NRGXmbxtcwNzX-nHGX58mhbP7qJKVvJ2qOktorgtLbdhU9JyHUbz1AS9Z9FFoq-fos3H7at3yzs-XcqIR6PoOgYL', 'width': 2448}]",ChIJM8cx6p93eC4Rb_VyeF1LEnA,"{'compound_code': '8HMC+W6 Nogosari, Mojokerto Regency, East Java, Indonesia', 'global_code': '6P4J8HMC+W6'}",,4.4,ChIJM8cx6p93eC4Rb_VyeF1LEnA,"['tourist_attraction', 'point_of_interest', 'establishment']",859.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJM8cx6p93eC4Rb_VyeF1LEnA
OPERATIONAL,"8H85+2JW, Hutan, Padusan, Kec. Pacet, Kabupaten Mojokerto, Jawa Timur 61374, Indonesia","{'location': {'lat': -7.6848964, 'lng': 112.5590706}, 'viewport': {'northeast': {'lat': -7.683546820107277, 'lng': 112.5598308298927}, 'southwest': {'lat': -7.686246479892721, 'lng': 112.5571311701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pacet Hill,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105163089023432981292"">Jelang Ramadhan</a>'], 'photo_reference': 'AUGGfZneE9I4QqkQnUBDdca88fBWMO39R1RK87br71QBOeV5fFKTwHTZnbfwh8-ljMSrrqYtOfooYTBKuR9KrsGr1gxdIh9HpDAzYAXXyTX3hFZ6S7HzZFepGvFSiwNFCori2pYpRgvJ-qAWw45UoBLgsEhjVBFZUesDg_e-EAKsAveOSM77', 'width': 3264}]",ChIJrcsCoHt5eC4RyGXtd2PVlgw,,,4.2,ChIJrcsCoHt5eC4RyGXtd2PVlgw,"['tourist_attraction', 'point_of_interest', 'establishment']",296.0,{'open_now': True},https://www.google.com/maps/place/?q=place_id:ChIJrcsCoHt5eC4RyGXtd2PVlgw
OPERATIONAL,"7GRH+GM9, Hutan, Kec. Pacet, Kabupaten Mojokerto, Jawa Timur 61374, Indonesia","{'location': {'lat': -7.708703099999999, 'lng': 112.5292176}, 'viewport': {'northeast': {'lat': -7.707193520107278, 'lng': 112.5303475298927}, 'southwest': {'lat': -7.709893179892722, 'lng': 112.5276478701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Panorama Petung Sewu,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117157858726995118446"">Sarko Korn</a>'], 'photo_reference': 'AUGGfZlqJJA_6qRruQPHxxE-Fy4o_r6rOZTrJimDnIIAW_d_O73Qk5OA5h849gxgczbudQjDO13UC8I2NFPfahMPjJ2wbNT9WCAg4LvX_0Mt849vzk--F9wHu5tuKrLvIYlCTrzk_S526CsG0HgexI4zeDBzmutquarnWYtVJA-SnlB1Ga5P', 'width': 4624}]",ChIJgxQ9Q4l5eC4RlwTms4k5eKU,,,4.5,ChIJgxQ9Q4l5eC4RlwTms4k5eKU,"['tourist_attraction', 'point_of_interest', 'establishment']",930.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJgxQ9Q4l5eC4RlwTms4k5eKU
OPERATIONAL,"7GCH+G7M, Hutan, Kec. Pacet, Kabupaten Mojokerto, Jawa Timur 61374, Indonesia","{'location': {'lat': -7.7286743, 'lng': 112.5281672}, 'viewport': {'northeast': {'lat': -7.727283920107277, 'lng': 112.5295106798927}, 'southwest': {'lat': -7.729983579892721, 'lng': 112.5268110201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Air Terjun Watu Lumpang,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108774797012172080807"">Anika Knopff</a>'], 'photo_reference': 'AUGGfZll3SDOKNcNcTByyejek23x-ECPMd9nl5Uc5nGlIao-VhBqoq7nA3yIBmHXQQzykR-mw0nLk8Vu2AvYm3IDi5FZHpUbnXfnmZVaziof8KaMtyRk8DBddjwj3Tu9w_h0_sIvrZjG7SGBMJ-cOrCyI4yysZqxWUn8JGYbX85ewl9sX0Cf', 'width': 5120}]",ChIJTUOmzX15eC4Ra3mpUmFM-0M,,,4.4,ChIJTUOmzX15eC4Ra3mpUmFM-0M,"['tourist_attraction', 'point_of_interest', 'establishment']",479.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJTUOmzX15eC4Ra3mpUmFM-0M
OPERATIONAL,"8G8X+9W3, Hutan, Kec. Pacet, Kabupaten Mojokerto, Jawa Timur 61374, Indonesia","{'location': {'lat': -7.683873999999999, 'lng': 112.549853}, 'viewport': {'northeast': {'lat': -7.682509270107278, 'lng': 112.5511968798927}, 'southwest': {'lat': -7.685208929892722, 'lng': 112.5484972201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tos Adventure,"[{'height': 4640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113385621420682754534"">Rosanna Sanyoto</a>'], 'photo_reference': 'AUGGfZnkrHd91V7Bzr1UApHthhyfgj1Nv953ws8oYZHFOErBooVE0tNOiPpka6VPiLb6Uk-IUj__YvcHkGKFhOlBaAoFsfGdN52dAKcKGr3PYQ9rKSDfRqT0hSCSbfs8GWscvLeEA_V01g1AtMI1lhw08Jitpe7vIvz1XojS8Lm3rvWBz5Rf', 'width': 3472}]",ChIJJ54a7F95eC4RYDRFcc15syE,,,5.0,ChIJJ54a7F95eC4RYDRFcc15syE,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,,https://www.google.com/maps/place/?q=place_id:ChIJJ54a7F95eC4RYDRFcc15syE
OPERATIONAL,"8GGP+PJ, Susuk, Pacet, Kec. Pacet, Kabupaten Mojokerto, Jawa Timur, Indonesia","{'location': {'lat': -7.673276800000001, 'lng': 112.536998}, 'viewport': {'northeast': {'lat': -7.671926970107279, 'lng': 112.5383478298927}, 'southwest': {'lat': -7.674626629892723, 'lng': 112.5356481701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,kalikromo pacet,"[{'height': 8160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100324941563121279839"">A Google User</a>'], 'photo_reference': 'AUGGfZnP6tm_LMGbCUa-_4NCY1uBci1eOkG86yDlqQrxxphAZbSfK_KVnZtRL0sHRA51hahxqRMu7jQQaXq_UqkP9VnC3XRT8On8B136SHVsZkw-MOWQAK2g-4livp5thAPp1K3yE4andwh7RUg86fiQ-cOgzz3vKcQJNTfuW6bTttUeVc4', 'width': 6144}]",ChIJEx6k7IB3eC4Rn8JoKVh7Pws,,,4.0,ChIJEx6k7IB3eC4Rn8JoKVh7Pws,"['tourist_attraction', 'point_of_interest', 'establishment']",12.0,,https://www.google.com/maps/place/?q=place_id:ChIJEx6k7IB3eC4Rn8JoKVh7Pws
OPERATIONAL,"8GHR+X2J Depan Wisata Ubalan, Made, Pacet, Kec. Pacet, Kabupaten Mojokerto, Jawa Timur 61374, Indonesia","{'location': {'lat': -7.6700385, 'lng': 112.5400333}, 'viewport': {'northeast': {'lat': -7.668667320107277, 'lng': 112.5414340298927}, 'southwest': {'lat': -7.671366979892721, 'lng': 112.5387343701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tempat Wisata Ubalan Pacet,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116828008440754119693"">Arief Priyanto</a>'], 'photo_reference': 'AUGGfZmOBnK1MDUub68nHqtJ_24ipokRABoBBIVVeZkQTmsjfH9ipuQgGp983KsnpovaTbQXaWhK2XH42bjZFilKeS0PGTnVxk9rC64LyL5A0FyRx1ji92mTrg_y1zuk-i6LYQ7vrVVKa55UNcXI0jCJb1wS2DyxWXqukQaT3n9E4-cOpJTp', 'width': 4208}]",ChIJoxNiifN3eC4ROqeuENqYW5k,,,4.0,ChIJoxNiifN3eC4ROqeuENqYW5k,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0,,https://www.google.com/maps/place/?q=place_id:ChIJoxNiifN3eC4ROqeuENqYW5k
OPERATIONAL,"8G7X+9PM air terjun grenjengan, Hutan, Kec. Pacet, Kabupaten Mojokerto, Jawa Timur 61374, Indonesia","{'location': {'lat': -7.6865318, 'lng': 112.5492859}, 'viewport': {'northeast': {'lat': -7.685181970107277, 'lng': 112.5506357298927}, 'southwest': {'lat': -7.687881629892721, 'lng': 112.5479360701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Grenjengan Waterfall,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114126267835626940074"">Reank Azik</a>'], 'photo_reference': 'AUGGfZkJQmyTA1uhMpppbR4-SzxkMxzw2mBgzYB-bxfUR-VMatWO0hDW7f2GnQSStSWG3KmKkLecHJrY8vNw0lZaqxrhjQQZkOpMroB2g00Vhp0J3xshHgg7VXQqxX_OVd2ABFO8R-RPnRfi8077gKGjh6gtp63IjXeqohmiuZvmpy9i_PrI', 'width': 3840}]",ChIJLT7LCd55eC4RUm_ygrgpSvU,,,4.5,ChIJLT7LCd55eC4RUm_ygrgpSvU,"['tourist_attraction', 'point_of_interest', 'establishment']",865.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJLT7LCd55eC4RUm_ygrgpSvU
OPERATIONAL,"JL. Raya Mojosari - Pacet KM.55, Dusun Randegan, Warugunung, Kec. Pacet, Kabupaten Mojokerto, Jawa Timur 61374, Indonesia","{'location': {'lat': -7.6249346, 'lng': 112.532495}, 'viewport': {'northeast': {'lat': -7.623517770107278, 'lng': 112.5335732298927}, 'southwest': {'lat': -7.626217429892722, 'lng': 112.5308735701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pacet Waterpark,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110483068201095728917"">khoerul saragih</a>'], 'photo_reference': 'AUGGfZnCO7XV-wKlS-983gK6IPlbv8lKomxVpcAM4jjwzpDzuouwoav8b8IEyqBp6thQmfzMCdt1wf4YW-N9lHCYBOF1K36SoBa4HHe9lahLnrCJMR-VXCRvfagAJXEBaOMq2LHNpsxQFA7fZCkCAAyPUwWNMiScimQsTUOA_W9rMcCHWU2e', 'width': 1080}]",ChIJW77_v_t3eC4RyDwfAp0bado,"{'compound_code': '9GGJ+2X Warugunung, Mojokerto Regency, East Java, Indonesia', 'global_code': '6P4J9GGJ+2X'}",,4.4,ChIJW77_v_t3eC4RyDwfAp0bado,"['tourist_attraction', 'point_of_interest', 'establishment']",14.0,{'open_now': False},https://www.google.com/maps/place/?q=place_id:ChIJW77_v_t3eC4RyDwfAp0bado
