business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,permanently_closed,price_level,url
OPERATIONAL,"Pondang, Amurang Timur, South Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 1.2053909, 'lng': 124.5901399}, 'viewport': {'northeast': {'lat': 1.206605829892722, 'lng': 124.5917104298927}, 'southwest': {'lat': 1.203906170107278, 'lng': 124.5890107701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hotel Sutanraja,"[{'height': 3289, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108735765277836509967"">A Google User</a>'], 'photo_reference': 'AUGGfZkQvzeXIOCVyxfb_Rq1HjSkIAhQidD-ktvbTIsoMutFxE0e23A6RrADgOdu_5fV1q9GZH_ApFUM6EbvWPNU1GnkWn_n5RZhFBzRJqWCNc9v2Ktbxwv8P5QDDewgOE3TrYy93cYwU3rx0zyUmTD_7K56ApDtenhNvw_Lmg5SmcCN49rb', 'width': 5184}]",ChIJ68Rb6phehzIRY4bDGr7wYwA,"{'compound_code': '6H4R+53 Pondang, South Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH66H4R+53'}",4.3,ChIJ68Rb6phehzIRY4bDGr7wYwA,"['lodging', 'point_of_interest', 'establishment']",807,,,,https://www.google.com/maps/place/?q=place_id:ChIJ68Rb6phehzIRY4bDGr7wYwA
OPERATIONAL,"6H8W+5RG, Tim.,, Pondang, Kec. Amurang Tim., Kabupaten Minahasa Selatan, Sulawesi Utara, Indonesia","{'location': {'lat': 1.2154263, 'lng': 124.5970698}, 'viewport': {'northeast': {'lat': 1.216779029892722, 'lng': 124.5984215798927}, 'southwest': {'lat': 1.214079370107278, 'lng': 124.5957219201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sutanraja Villa Amurang,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107837749086968687119"">Hartarto Sormin</a>'], 'photo_reference': 'AUGGfZkgvq-w_GJAHv7Ut2WKkvV0bwQGPuT5ydd6DLU5IFN_8PDaTq8f347dW2frBJTHTUls2fpTDZPUb8SQhO28aSmT-HHz0CXoWhaQtwNb5tjiiQFZ6BmjPQ8yXne9a_u6gtIkWwc3eQhUN1VCCFYn_TrxqOkRXxZSf_FRjY_Lm8oSSn8e', 'width': 4000}]",ChIJ9zqZA4JehzIRQFsFpeD8ki4,,4.3,ChIJ9zqZA4JehzIRQFsFpeD8ki4,"['lodging', 'point_of_interest', 'establishment']",241,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9zqZA4JehzIRQFsFpeD8ki4
OPERATIONAL,"Jl. Kimereng Kali, RW.Lingk VI, Kinilow, Tomohon Utara, Tomohon City, North Sulawesi 95414, Indonesia","{'location': {'lat': 1.3687579, 'lng': 124.8336427}, 'viewport': {'northeast': {'lat': 1.370155979892722, 'lng': 124.8348541298927}, 'southwest': {'lat': 1.367456320107278, 'lng': 124.8321544701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Highland Resort & Nature Tours,"[{'height': 561, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104739419734388651634"">Highland Resort and Spa</a>'], 'photo_reference': 'AUGGfZkE6ye_4_noUEgeVYxDdDz5cEEmo196axoguSuT0oNlCmYWwPtHvO7Hsy3Xo7_0mNa-Z5f-FXmRYVrSeU5e29JhoSBGhvPpNvnMstjvRmuLJCl-z0LHz-nPIMcFwHW8AS_hdZRr0hdELy_P_A5q87Fgi4tQZwfI2bcqaalmSC1OpsxW', 'width': 1200}]",ChIJ6QcSUuZshzIR-FwHs9z1kTY,"{'compound_code': '9R9M+GC Kinilow, Tomohon City, North Sulawesi, Indonesia', 'global_code': '6QH69R9M+GC'}",4.5,ChIJ6QcSUuZshzIR-FwHs9z1kTY,"['lodging', 'point_of_interest', 'establishment']",368,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJ6QcSUuZshzIR-FwHs9z1kTY
CLOSED_TEMPORARILY,"Jl. Sampelang, RT.00/RW.01, Ranowangko, Kec. Tombariri, Kabupaten Minahasa, Sulawesi Utara 95651, Indonesia","{'location': {'lat': 1.3978382, 'lng': 124.6446233}, 'viewport': {'northeast': {'lat': 1.399194129892722, 'lng': 124.6459719298928}, 'southwest': {'lat': 1.396494470107278, 'lng': 124.6432722701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Janji Laut Resort,"[{'height': 1500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111088795682409192349"">Janji Laut Resort</a>'], 'photo_reference': 'AUGGfZkQJFL-r9knpN5OaltnSkkaN0aSJ2tlOWOSZGZvBWa5NK-wCcNSQK3gMgF-9H4ynDwnqQ_-YEay-gOUV9qa5WY_A2QBeYcefJMt8wJR4awXxEuN-h9LfclpsT4qg5Du-LiyhzL8NzOF4uqTWXl0BDZ9UvS62b2DZypa_5HshFaHLWq1', 'width': 2000}]",ChIJRxWSK-J6hzIRKFMOEm9UjEs,"{'compound_code': '9JXV+4R Ranowangko, Minahasa Regency, North Sulawesi, Indonesia', 'global_code': '6QH69JXV+4R'}",4.3,ChIJRxWSK-J6hzIRKFMOEm9UjEs,"['lodging', 'point_of_interest', 'establishment']",75,,True,,https://www.google.com/maps/place/?q=place_id:ChIJRxWSK-J6hzIRKFMOEm9UjEs
OPERATIONAL,"Jl. Kimereng Kali RW.04, Dusun IV, Kinilow, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara 95414, Indonesia","{'location': {'lat': 1.3666715, 'lng': 124.8353314}, 'viewport': {'northeast': {'lat': 1.368221429892722, 'lng': 124.8364379798928}, 'southwest': {'lat': 1.365521770107278, 'lng': 124.8337383201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Rimba Eco Resort,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117726752613611395364"">A Google User</a>'], 'photo_reference': 'AUGGfZmqux5MN0qr5SAg6UcljxDUkTu3ymdeOo6BBt1Vj9A6GiUoZEB9Icn0t79wkPgxhJutP_NxmpXhUZU9zG4nSm-38RPrzqzBmM2N9V_001NLeplrJOk8kIbk5eD9FZxOsCHTjJjdUvnA6A-C6qTBuA-nUstIQTIgUAVUceK_f_NkHYhf', 'width': 4000}]",ChIJ4fAbO8hthzIRMwsRD93n_Z4,"{'compound_code': '9R8P+M4 Kinilow, Tomohon City, North Sulawesi, Indonesia', 'global_code': '6QH69R8P+M4'}",4.9,ChIJ4fAbO8hthzIRMwsRD93n_Z4,"['lodging', 'point_of_interest', 'establishment']",36,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4fAbO8hthzIRMwsRD93n_Z4
OPERATIONAL,"Jl. Wawo, Matani III, Kec. Tomohon Tengah, Kota Tomohon, Sulawesi Utara 95441, Indonesia","{'location': {'lat': 1.302137, 'lng': 124.8473274}, 'viewport': {'northeast': {'lat': 1.303486829892722, 'lng': 124.8486603298927}, 'southwest': {'lat': 1.300787170107278, 'lng': 124.8459606701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Narwastu Hills,"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110301390198252354307"">Vidi Polla</a>'], 'photo_reference': 'AUGGfZk9e5IGFp8_t-wl7U6Wso7R4yIQzA6Od1uZXFS9kSCUqoYVrp3JfqRkQ16PzV01Oz0I_gK4j9aZed1BPc1gtZQr3lHubopNZs06EidQpfCvulIanfnRG9FqvN5yEbxxvpA0dZT0uytYWx__9-8i3XCHiEwbIjMJKpBxd4q5pLl9KQY', 'width': 768}]",ChIJIQC_mAJrhzIRGAnCykFVwa8,"{'compound_code': '8R2W+VW Walian, Tomohon City, North Sulawesi, Indonesia', 'global_code': '6QH68R2W+VW'}",4.7,ChIJIQC_mAJrhzIRGAnCykFVwa8,"['tourist_attraction', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",501,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJIQC_mAJrhzIRGAnCykFVwa8
OPERATIONAL,"Jl. Lkr. Tim., Kakaskasen Tiga, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara 95417, Indonesia","{'location': {'lat': 1.3479204, 'lng': 124.846093}, 'viewport': {'northeast': {'lat': 1.349286129892722, 'lng': 124.8474954798927}, 'southwest': {'lat': 1.346586470107278, 'lng': 124.8447958201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Jhoanie Hotel,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109121278258707221956"">Jhoanie Hotel</a>'], 'photo_reference': 'AUGGfZkIH9pkQQknzohXqsm1v03TqrOVWeX5pMnfgS9PVaKAGtcbUeQBqAB_uFzFNXeGvo42adJkkEze2Ih69t1Zu3GI4miYE4WHkMAr294_5wgN7B0UGXRbIktKiGi-8kCl1TbmqheJ_FbljbV4xQjc7-bhxw2dFEAlr7Kxr2KyVd1UGkaf', 'width': 1616}]",ChIJS-xm1eNshzIRT3BNSapr4B4,"{'compound_code': '8RXW+5C Kakaskasen Tiga, Tomohon City, North Sulawesi, Indonesia', 'global_code': '6QH68RXW+5C'}",4.1,ChIJS-xm1eNshzIRT3BNSapr4B4,"['lodging', 'point_of_interest', 'establishment']",875,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJS-xm1eNshzIRT3BNSapr4B4
OPERATIONAL,"Jl. Kawiley, Kakaskasen Dua, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara, Indonesia","{'location': {'lat': 1.3482466, 'lng': 124.8359835}, 'viewport': {'northeast': {'lat': 1.349597129892722, 'lng': 124.8373323298927}, 'southwest': {'lat': 1.346897470107278, 'lng': 124.8346326701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Gardenia Country Inn,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106940600248830922616"">A Google User</a>'], 'photo_reference': 'AUGGfZmIBW9-aC6bv2E6wUGWjQ-8wDwEkngGW72I2JDGkZdRsVO-4BjdAPHQe98iGAyDP5-rfRX5ZCpmiR-ZuZgYWcqdNk4PtVDuuH_Ld4Z-8COiTYb_RV50AYynicByZw7wXf9ddhcmvGr0upUWKNi79QrlKeHqghChi6ewBJzAZDpJcM5g', 'width': 4000}]",ChIJWyuBs5RshzIRsLaRoM5O4Rg,"{'compound_code': '8RXP+79 Kakaskasen Dua, Tomohon City, North Sulawesi, Indonesia', 'global_code': '6QH68RXP+79'}",4.5,ChIJWyuBs5RshzIRsLaRoM5O4Rg,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",593,,,,https://www.google.com/maps/place/?q=place_id:ChIJWyuBs5RshzIRsLaRoM5O4Rg
OPERATIONAL,"Jl. Lkr. Bar., Kakaskasen Satu, Kec. Tomohon Utara, Kota Tomohon, Sulawesi Utara 95415, Indonesia","{'location': {'lat': 1.3570077, 'lng': 124.827035}, 'viewport': {'northeast': {'lat': 1.358331979892722, 'lng': 124.8284511798927}, 'southwest': {'lat': 1.355632320107278, 'lng': 124.8257515201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Grand Master Villa Tomohon,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100662541201296258962"">A Google User</a>'], 'photo_reference': 'AUGGfZkLntY3_URqBrbioboye8lO3GeoK_thZuFoQw0stWiLYF2OQNFOdBzp-ZCcGCEBZYr-dCTQOuKp1bpWerGpGs9Tag-HBxHU7PCvQtaSPZGohS3vYwUon2jl4lKublt9aLWjxLr9BDEjgDlpKzyFQ9HkNIYszVKtZsrAJLMo7xEBcQgX', 'width': 1920}]",ChIJSZ8_JrRthzIRqjV7P4fTWOQ,"{'compound_code': '9R4G+RR Kakaskasen Satu, Tomohon City, North Sulawesi, Indonesia', 'global_code': '6QH69R4G+RR'}",4.5,ChIJSZ8_JrRthzIRqjV7P4fTWOQ,"['point_of_interest', 'establishment']",1051,{'open_now': True},,,https://www.google.com/maps/place/?q=place_id:ChIJSZ8_JrRthzIRqjV7P4fTWOQ
OPERATIONAL,"7VP2+5Q, Walian, Tomohon Selatan, Tomohon City, North Sulawesi, Indonesia","{'location': {'lat': 1.285302, 'lng': 124.8519678}, 'viewport': {'northeast': {'lat': 1.286707529892722, 'lng': 124.8529889298927}, 'southwest': {'lat': 1.284007870107278, 'lng': 124.8502892701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Wawowow,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100866280233285979905"">A Google User</a>'], 'photo_reference': 'AUGGfZmsPABOq6PPJV3E14f151uxiidvld7LjpR6Gv0OBs2hWmLGE8ITKykc6XOK51lsIsWn12RH-ojX8ceyelZKn7rnX4jPuvuQpZ0uVJlYyc4PM9GD8N1pW216nL6KTbHQWzof0W2xtevbAHSxneVR-PJIeVR1WjJMKpXod_ZXdp1SlcCp', 'width': 1080}]",ChIJUWI2otBrhzIRY29bVtLmJ3Q,,4.8,ChIJUWI2otBrhzIRY29bVtLmJ3Q,"['lodging', 'point_of_interest', 'establishment']",39,,,,https://www.google.com/maps/place/?q=place_id:ChIJUWI2otBrhzIRY29bVtLmJ3Q
