business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,url
OPERATIONAL,"XFPM+VM3, Unnamed Road, Poopo Bar., Kec. Ranoyapo, Kabupaten Minahasa Selatan, Sulawesi Utara, Indonesia","{'location': {'lat': 0.9871277, 'lng': 124.4841836}, 'viewport': {'northeast': {'lat': 0.9884712298927222, 'lng': 124.4855122798927}, 'southwest': {'lat': 0.9857715701072779, 'lng': 124.4828126201072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ruma LisaSondakh,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117893487542508220427"">kamal runtuwene</a>'], 'photo_reference': 'AUGGfZk4Nm7E4zIm5ZzjPGHwyQV3hsc_91t2YBQRQ0E0AlWISpDwDLjfO-zGuUEsSv18-eu_QS15gmoiQmNTA6ULbB4-jka-zWRNRq2nmaz5zzFllI2fWrSrZxRz5EkO3AKCt8S9SDW-fZ15cF2F7-LhuVSs1_12p5Fr_B1AqoMD5yK9hG_8', 'width': 4160}]",ChIJT1xywXcBfjIRhumwvz2xpZY,5,ChIJT1xywXcBfjIRhumwvz2xpZY,"['lodging', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJT1xywXcBfjIRhumwvz2xpZY
OPERATIONAL,"2FCV+F89, Lompad Baru, Ranoyapo, South Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 1.0211683, 'lng': 124.4933877}, 'viewport': {'northeast': {'lat': 1.022530879892722, 'lng': 124.4947593798927}, 'southwest': {'lat': 1.019831220107278, 'lng': 124.4920597201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,home hau,,ChIJFUcrAjb_fTIRM4vJsvKuyIo,0,ChIJFUcrAjb_fTIRM4vJsvKuyIo,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJFUcrAjb_fTIRM4vJsvKuyIo
OPERATIONAL,"XFWR+4JW, North Poopo, Ranoyapo, South Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.9953757999999998, 'lng': 124.4915752}, 'viewport': {'northeast': {'lat': 0.996716079892722, 'lng': 124.4930060798927}, 'southwest': {'lat': 0.9940164201072778, 'lng': 124.4903064201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Candra londa at home,,ChIJSxaE7PABfjIRbB9khbodP9U,0,ChIJSxaE7PABfjIRbB9khbodP9U,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJSxaE7PABfjIRbB9khbodP9U
OPERATIONAL,"2H29+44W, Beringin, Ranoyapo, South Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.9998699999999998, 'lng': 124.56795}, 'viewport': {'northeast': {'lat': 1.001191329892722, 'lng': 124.5693576798927}, 'southwest': {'lat': 0.9984916701072778, 'lng': 124.5666580201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Captikus Area,,ChIJJeJEbABVhzIRuZceg8Xyz1k,0,ChIJJeJEbABVhzIRuZceg8Xyz1k,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJJeJEbABVhzIRuZceg8Xyz1k
OPERATIONAL,"2G42+47F, Pontak, Ranoyapo, South Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 1.0053243, 'lng': 124.5006827}, 'viewport': {'northeast': {'lat': 1.006676629892722, 'lng': 124.5020312298927}, 'southwest': {'lat': 1.003976970107278, 'lng': 124.4993315701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Eng & Charol Residence,,ChIJHyUD4Z3_fTIRXfOYJALOpKY,0,ChIJHyUD4Z3_fTIRXfOYJALOpKY,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJHyUD4Z3_fTIRXfOYJALOpKY
OPERATIONAL,"2FC8+FQG, Raanan Lama, Motoling, South Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 1.0211976, 'lng': 124.4669566}, 'viewport': {'northeast': {'lat': 1.022547429892722, 'lng': 124.4683064298927}, 'southwest': {'lat': 1.019847770107278, 'lng': 124.4656067701072}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Alri Sengkey Mandey,,ChIJTRxDWmv_fTIRGixl9S3RGWU,0,ChIJTRxDWmv_fTIRGixl9S3RGWU,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJTRxDWmv_fTIRGixl9S3RGWU
OPERATIONAL,"2GR7+82V, Picuan Satu, East Motoling, South Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 1.0407378, 'lng': 124.512924}, 'viewport': {'northeast': {'lat': 1.042081379892722, 'lng': 124.5142440298927}, 'southwest': {'lat': 1.039381720107278, 'lng': 124.5115443701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Cr7,,ChIJIeiZww5VhzIR2-QUWecCnt4,5,ChIJIeiZww5VhzIR2-QUWecCnt4,"['lodging', 'point_of_interest', 'establishment']",1,https://www.google.com/maps/place/?q=place_id:ChIJIeiZww5VhzIR2-QUWecCnt4
OPERATIONAL,"WFVP+4QP, Karowa, Tompaso Baru, South Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 0.9428276999999999, 'lng': 124.4869483}, 'viewport': {'northeast': {'lat': 0.9441767298927224, 'lng': 124.4883004298927}, 'southwest': {'lat': 0.9414770701072781, 'lng': 124.4856007701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Tompaso,,ChIJ_WB3DwABfjIRhtEu3B84adE,0,ChIJ_WB3DwABfjIRhtEu3B84adE,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJ_WB3DwABfjIRhtEu3B84adE
OPERATIONAL,"2FRH+9HQ, Motoling, South Minahasa Regency, North Sulawesi, Indonesia","{'location': {'lat': 1.0409643, 'lng': 124.4789775}, 'viewport': {'northeast': {'lat': 1.042314129892722, 'lng': 124.4803273298927}, 'southwest': {'lat': 1.039614470107278, 'lng': 124.4776276701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,@ShalomHome,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112883321424496421321"">alki basz</a>'], 'photo_reference': 'AUGGfZkaHt4cH9Wni-MfNEpo-XwHGh2PflFUv6M-rP7zvoXmfSTZS2NNs0C1xpMQWwEAoSusznpgVSdexT3sNSf9aMxK8PK-2tgf8BG2mmL4W6YbGaGhhssqf0ct3NmoaDtc1lr4DQ-W7SO-_sHz3ls0hGB8MdxdxmfTBU2_MyB9GYxhFrEk', 'width': 3456}]",ChIJLy9KA8__fTIRWmjE1fIdlMc,5,ChIJLy9KA8__fTIRWmjE1fIdlMc,"['lodging', 'point_of_interest', 'establishment']",2,https://www.google.com/maps/place/?q=place_id:ChIJLy9KA8__fTIRWmjE1fIdlMc
OPERATIONAL,"2FQH+PX9, Jl. Amurang - Kotamobagu, Motoling, Kec. Motoling, Kabupaten Minahasa Selatan, Sulawesi Utara, Indonesia","{'location': {'lat': 1.0392797, 'lng': 124.4799847}, 'viewport': {'northeast': {'lat': 1.040630429892722, 'lng': 124.4813199298927}, 'southwest': {'lat': 1.037930770107278, 'lng': 124.4786202701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,EFKO PAAT,,ChIJnVsdi5H_fTIRamXRqYEbRic,0,ChIJnVsdi5H_fTIRamXRqYEbRic,"['lodging', 'point_of_interest', 'establishment']",0,https://www.google.com/maps/place/?q=place_id:ChIJnVsdi5H_fTIRamXRqYEbRic
