business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,types,user_ratings_total,photos,plus_code,permanently_closed,url
OPERATIONAL,"FJX8+V33, Jl. Umbul Jeruk Raya, Sinar Pasemah, Kec. Candipuro, Kabupaten Lampung Selatan, Lampung 35356, Indonesia","{'location': {'lat': -5.5001776, 'lng': 105.6148905}, 'viewport': {'northeast': {'lat': -5.498859420107277, 'lng': 105.6162367798927}, 'southwest': {'lat': -5.501559079892721, 'lng': 105.6135371201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pertigaan Umbul Jeruk - Jabung,ChIJy5vQIAD9QC4RGckfMFGr22M,0,ChIJy5vQIAD9QC4RGckfMFGr22M,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJy5vQIAD9QC4RGckfMFGr22M
OPERATIONAL,"FJQ5+F9M, Jl. Rw. Selapan, Rw. Selapan, Kec. Candipuro, Kabupaten Lampung Selatan, Lampung 35356, Indonesia","{'location': {'lat': -5.5112942, 'lng': 105.6084133}, 'viewport': {'northeast': {'lat': -5.509983170107279, 'lng': 105.6098077298927}, 'southwest': {'lat': -5.512682829892722, 'lng': 105.6071080701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Komplek Taman Jajan Raje Sembilan,ChIJZYcdtYH9QC4RnInyIXDBFAU,0,ChIJZYcdtYH9QC4RnInyIXDBFAU,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJZYcdtYH9QC4RnInyIXDBFAU
OPERATIONAL,"FGWC+VFH, Karya Mulya Sari, Candipuro, South Lampung Regency, Lampung 35452, Indonesia","{'location': {'lat': -5.5028235, 'lng': 105.5212204}, 'viewport': {'northeast': {'lat': -5.498330549999999, 'lng': 105.5231443798927}, 'southwest': {'lat': -5.504321150000003, 'lng': 105.5204447201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Ladang pak Tasimun ( muhlisin ),ChIJ_w_3xWLjQC4RlXt_413mFXM,5,ChIJ_w_3xWLjQC4RlXt_413mFXM,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107864073898261886630"">Achmad Fathoni</a>'], 'photo_reference': 'AUGGfZlu3S132m1e0IINl3q9-tTsJWu5ZETCuYnTKYSR56-WtCrx3dDaws5_oibmduaSK0z05Hy8TXNSefe7_RCxf11w6xQk4Ty2y70OGku88E4BpLjsm7B07ypjbwIvUypOliDZrS3L9tBn53SAaKDSxfzqsNs2-xuyFXg4VAfoksJkg_7e', 'width': 576}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ_w_3xWLjQC4RlXt_413mFXM
OPERATIONAL,"CGQW+3XV, Sidoasri, Candipuro, South Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.5622614, 'lng': 105.5474373}, 'viewport': {'northeast': {'lat': -5.560953920107278, 'lng': 105.5487871298927}, 'southwest': {'lat': -5.563653579892722, 'lng': 105.5460874701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pantai marina,ChIJqZKaTwAdQS4Rs9QhhaJchvE,0,ChIJqZKaTwAdQS4Rs9QhhaJchvE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJqZKaTwAdQS4Rs9QhhaJchvE
OPERATIONAL,"FHQW+PFQ, Beringin Kencana, Candipuro, South Lampung Regency, Lampung 35356, Indonesia","{'location': {'lat': -5.5106594, 'lng': 105.596231}, 'viewport': {'northeast': {'lat': -5.508923670107278, 'lng': 105.5974687298927}, 'southwest': {'lat': -5.511623329892722, 'lng': 105.5947690701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Azriel,ChIJzaPCYdL9QC4RDM2UrM4EUQY,5,ChIJzaPCYdL9QC4RDM2UrM4EUQY,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115821706356693743445"">Firli Affandi</a>'], 'photo_reference': 'AUGGfZkQLEj4kvScx5GJSvj17yL1HjocsR9MACkP9NJfF-ggN-N_GZIv5dCWq1qUZU8dR0b5ZIqc5SxqvoMnfPnl3fktXPTagPCT05SkESFy2ZOWa8moa07-s1gA0IhXnV2u1tn-xG1pJNHSTd8r_TyvvVTYBcCGze15Rux71KZhgpIDVyn-', 'width': 1836}]",,,https://www.google.com/maps/place/?q=place_id:ChIJzaPCYdL9QC4RDM2UrM4EUQY
OPERATIONAL,"FGQR+88G Tasik, Banyumas, Kec. Candipuro, Kabupaten Lampung Selatan, Lampung, Indonesia","{'location': {'lat': -5.511695599999999, 'lng': 105.540826}, 'viewport': {'northeast': {'lat': -5.510195220107278, 'lng': 105.54420505}, 'southwest': {'lat': -5.512894879892722, 'lng': 105.53969965}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sungai way sulan,ChIJa7hFL3rjQC4RnwEN66rxJAQ,0,ChIJa7hFL3rjQC4RnwEN66rxJAQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJa7hFL3rjQC4RnwEN66rxJAQ
OPERATIONAL,"CG79+JHV, Sidorejo, Sidomulyo, South Lampung Regency, Lampung, Indonesia","{'location': {'lat': -5.5858832, 'lng': 105.5189327}, 'viewport': {'northeast': {'lat': -5.584547270107278, 'lng': 105.5202769798927}, 'southwest': {'lat': -5.587246929892722, 'lng': 105.5175773201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gumuk urep..,ChIJsc0ZKgAdQS4RqsHwp0rgqjk,0,ChIJsc0ZKgAdQS4RqsHwp0rgqjk,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJsc0ZKgAdQS4RqsHwp0rgqjk
OPERATIONAL,"Dusun 1 desa sumberagung, RT./rw:/RW.003/005, Talang Way Sulan, Kec. Way Sulan, Kabupaten Lampung Selatan, Lampung 35452, Indonesia","{'location': {'lat': -5.486341899999999, 'lng': 105.5072937}, 'viewport': {'northeast': {'lat': -5.484974620107278, 'lng': 105.5088326298927}, 'southwest': {'lat': -5.487674279892722, 'lng': 105.5061329701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SUNARSO CENTER,ChIJJ1DsbD3jQC4R4RgUD2CSaSo,4,ChIJJ1DsbD3jQC4R4RgUD2CSaSo,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101923499923417825906"">A Google User</a>'], 'photo_reference': 'AUGGfZk4O_ymGv9RSdJAK1le6bKHGSO-6rCGlxBhZhE-LsfR7465rMWi1m4PP2K750MXaOvDtSfd0etSTVu_sKZZM6NaXXbKa6ibBEvWNswiAjv4AXojAFmSiy7jFbqdszyoEczPEQnu40bNFf_2rXJNfFHvN5FhB_V6TM-ix7pqawmgerll', 'width': 3840}]","{'compound_code': 'GG74+FW Talang Way Sulan, South Lampung Regency, Lampung, Indonesia', 'global_code': '6P67GG74+FW'}",,https://www.google.com/maps/place/?q=place_id:ChIJJ1DsbD3jQC4R4RgUD2CSaSo
OPERATIONAL,"CJWQ+6P, Jaya Island, Palas, South Lampung Regency, Lampung 35594, Indonesia","{'location': {'lat': -5.5544157, 'lng': 105.6392916}, 'viewport': {'northeast': {'lat': -5.553083150000001, 'lng': 105.6406190798927}, 'southwest': {'lat': -5.558413349999999, 'lng': 105.6379194201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gubuk Bpak Sarkam,ChIJEafK-40DQS4RZWX__-b9Bi8,5,ChIJEafK-40DQS4RZWX__-b9Bi8,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJEafK-40DQS4RZWX__-b9Bi8
OPERATIONAL,"GJ5R+2M9, Jl. Binatama, Marga Batin, Kec. Waway Karya, Kabupaten Lampung Timur, Lampung 34376, Indonesia","{'location': {'lat': -5.4924741, 'lng': 105.6417263}, 'viewport': {'northeast': {'lat': -5.490485320107278, 'lng': 105.6431945798927}, 'southwest': {'lat': -5.493184979892722, 'lng': 105.6404949201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Babakan Perahu,ChIJ1ZVUSpv9QC4R_7e0hhpaii4,0,ChIJ1ZVUSpv9QC4R_7e0hhpaii4,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1ZVUSpv9QC4R_7e0hhpaii4
