business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,plus_code,rating,reference,types,user_ratings_total,photos,price_level,url
OPERATIONAL,"Jl. Graha Karya II No.28, Cipadung, Kec. Cibiru, Kota Bandung, Jawa Barat 40615, Indonesia","{'location': {'lat': -6.9204542, 'lng': 107.71897}, 'viewport': {'northeast': {'lat': -6.919153320107279, 'lng': 107.7202764798927}, 'southwest': {'lat': -6.921852979892723, 'lng': 107.7175768201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Dylan Home,{'open_now': True},ChIJRUHd4F3daC4ROtl55NZMATA,"{'compound_code': '3PH9+RH Cipadung, Bandung City, West Java, Indonesia', 'global_code': '6P593PH9+RH'}",0.0,ChIJRUHd4F3daC4ROtl55NZMATA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJRUHd4F3daC4ROtl55NZMATA
OPERATIONAL,"3P99+55P, Cipadung, Cibiru, Bandung City, West Java 40614, Indonesia","{'location': {'lat': -6.932030699999999, 'lng': 107.7179378}, 'viewport': {'northeast': {'lat': -6.930680670107278, 'lng': 107.7192836298927}, 'southwest': {'lat': -6.933380329892722, 'lng': 107.7165839701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,THOLLOHEOR PRODUCTION,,ChIJ3xnUNhTDaC4RijzxXDuB3Pw,,5.0,ChIJ3xnUNhTDaC4RijzxXDuB3Pw,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114872843733038562751"">Gelar Seftiyana</a>'], 'photo_reference': 'AUGGfZm10KUR-x1YbRIZd_8XImhEhrtlqfIJKCuOFkaEYo0Qi6ayEO2ZoxXm6TBZo0y-aLvGwxYqlMlyP_Oy4HcwZUImFq9iFBa1HU5G06y3xvYYKrXf_oHcKxmnVBRcfZcq92LaErxvb1ic7YtKE5u3aao1An7emMZrk0x0g9QeS6OKBUun', 'width': 9248}]",,https://www.google.com/maps/place/?q=place_id:ChIJ3xnUNhTDaC4RijzxXDuB3Pw
OPERATIONAL,"3P64+94P, Cimenerang, Gedebage, Bandung City, West Java, Indonesia","{'location': {'lat': -6.939036600000001, 'lng': 107.7053388}, 'viewport': {'northeast': {'lat': -6.937660070107278, 'lng': 107.7065612298927}, 'southwest': {'lat': -6.940359729892722, 'lng': 107.7038615701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Taman Syurga UIN Kampus 2,{'open_now': True},ChIJxUiNttfDaC4RkbXnPjCaxh4,,5.0,ChIJxUiNttfDaC4RkbXnPjCaxh4,"['tourist_attraction', 'point_of_interest', 'establishment']",7,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114106884533684801169"">Nurul Fitri</a>'], 'photo_reference': 'AUGGfZnmwQgZo1wMVBVrNwx8ZHzJ7GVBwM0vlpU8iRGk5iqctVjuYFkVnIPwyiR3QZi90AgwEx3qChyf4dKeJ9aC4n7Brfg3fCQ2QNMJGR2BA9P5j5Em1bP2EPJiOHToX-JhzaId4IlEOpV053-6ZAmYDPfnmKiIFSiobRKbmuMgmTumk3JD', 'width': 3456}]",,https://www.google.com/maps/place/?q=place_id:ChIJxUiNttfDaC4RkbXnPjCaxh4
OPERATIONAL,"Jl. Cilengkrang 1 No.100, Cisurupan, Kec. Cibiru, Kota Bandung, Jawa Barat 40614, Indonesia","{'location': {'lat': -6.9172965, 'lng': 107.7115408}, 'viewport': {'northeast': {'lat': -6.915989420107278, 'lng': 107.7129048798927}, 'southwest': {'lat': -6.918689079892721, 'lng': 107.7102052201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan sinar manglayang,{'open_now': False},ChIJA48qK1DdaC4Rz6RBhQT6ubI,"{'compound_code': '3PM6+3J Cisurupan, Bandung City, West Java, Indonesia', 'global_code': '6P593PM6+3J'}",0.0,ChIJA48qK1DdaC4Rz6RBhQT6ubI,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101743387282286115408"">A Google User</a>'], 'photo_reference': 'AUGGfZniqQKktngD9yCT9qenQLD6CitArwkKTWoqgFGLHFWC5za6k0_9alf7tQk1eVmTBq4Ad1b8uMT3UiznTaDS793waFMQUCWw-9naT6YI_7u8I2HNzdTbu54Y8h85ZGo6Zn_ZL3kpOdSFrbAz5CNcohcQCfGi4wtT3YdVNe-JZ_pOUPL8', 'width': 2448}]",,https://www.google.com/maps/place/?q=place_id:ChIJA48qK1DdaC4Rz6RBhQT6ubI
OPERATIONAL,"Jl. Cikoang Kidul, Jatiendah, Kec. Ujung Berung, Kota Bandung, Jawa Barat, Indonesia","{'location': {'lat': -6.9082833, 'lng': 107.6998597}, 'viewport': {'northeast': {'lat': -6.906940220107278, 'lng': 107.7012081298927}, 'southwest': {'lat': -6.909639879892722, 'lng': 107.6985084701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Sugih Mukti,{'open_now': False},ChIJV3wTFi3daC4RyToUz8_02tw,"{'compound_code': '3MRX+MW Jatiendah, Bandung Regency, West Java, Indonesia', 'global_code': '6P593MRX+MW'}",0.0,ChIJV3wTFi3daC4RyToUz8_02tw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114222841276852545066"">ENDANG JUHANA</a>'], 'photo_reference': 'AUGGfZnN3eXGex8Zj2Y7iYj9hdxazyp3TO9w1ZN_qvwSMkNBiLztBInuq0XmReANLUyOd3sEXuop-N1O9s0BLBw6etP0WrGEWA-q1BmJ6r_ZvbYvcTc9EBI63HwYefxDEKm1mhhby-IdJUF6L2GtQQcS7wEr0cGim7e1V_Y1dXmrn4n0trev', 'width': 3264}]",,https://www.google.com/maps/place/?q=place_id:ChIJV3wTFi3daC4RyToUz8_02tw
OPERATIONAL,"3PJG+VG5, Jl. Sukaluyu, Pasir Biru, Kec. Cibiru, Kota Bandung, Jawa Barat 40625, Indonesia","{'location': {'lat': -6.917865399999999, 'lng': 107.7263681}, 'viewport': {'northeast': {'lat': -6.916381220107279, 'lng': 107.7274259298927}, 'southwest': {'lat': -6.919080879892722, 'lng': 107.7247262701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan NZA,,ChIJ8fkB2U3daC4R5AATLg5rZrE,,4.9,ChIJ8fkB2U3daC4R5AATLg5rZrE,"['tourist_attraction', 'point_of_interest', 'establishment']",9,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115100663150622372169"">akbar abdallah</a>'], 'photo_reference': 'AUGGfZlsX8XwR3x-Xvx8yFrMofM3BGBTyfJ6npbKKipNx3XVl8Ake7xStInoB6zmrnmnePz4ux_6-7Btmchmu8AZZzF6g4j1BrJcMxNHDiK6HQRigGObO5pgOWYpRV0pYkUEVMMlZGtlAMoxqs37Zrsbr2llIhWb0idWv-rsg3mZCJ-4Zzpz', 'width': 3264}]",,https://www.google.com/maps/place/?q=place_id:ChIJ8fkB2U3daC4R5AATLg5rZrE
OPERATIONAL,"Pasirjati, Ujung Berung, Bandung City, West Java 40624, Indonesia","{'location': {'lat': -6.905310699999999, 'lng': 107.7133637}, 'viewport': {'northeast': {'lat': -6.903963820107278, 'lng': 107.7147110798927}, 'southwest': {'lat': -6.906663479892722, 'lng': 107.7120114201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pengelolaan distinasi wisata,{'open_now': False},ChIJuzuhjhPdaC4RusWXZSc0Xb8,"{'compound_code': '3PV7+V9 Pasirjati, Bandung City, West Java, Indonesia', 'global_code': '6P593PV7+V9'}",0.0,ChIJuzuhjhPdaC4RusWXZSc0Xb8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1052, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113500894640361991862"">A Google User</a>'], 'photo_reference': 'AUGGfZl-XiK-LeSib2RjdL1bDmEq-Oi-jgaKu_xcaFb3iCIOfvOTYFJiCBKeQkXehu3JXDQki53oAaJiKqSiByYw4KaTe4Wy91I6BoqxGq-bfPbu-g0Qa7SnwuDTU0dzBzdyAI3u7_vwno1byd7q5Ei8dxa0MIBhIGSkNIkt5yl7AnnORdIa', 'width': 592}]",,https://www.google.com/maps/place/?q=place_id:ChIJuzuhjhPdaC4RusWXZSc0Xb8
OPERATIONAL,"Jl. Galumpit No.7, Cisurupan, Kec. Cibiru, Kota Bandung, Jawa Barat 40614, Indonesia","{'location': {'lat': -6.9155129, 'lng': 107.7177893}, 'viewport': {'northeast': {'lat': -6.914142470107278, 'lng': 107.7191568298927}, 'southwest': {'lat': -6.916842129892721, 'lng': 107.7164571701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan ikan BALANTRAK,,ChIJnTR4wH_daC4RhUxWuzFj2WA,"{'compound_code': '3PM9+Q4 Cisurupan, Bandung City, West Java, Indonesia', 'global_code': '6P593PM9+Q4'}",0.0,ChIJnTR4wH_daC4RhUxWuzFj2WA,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117618621833314678169"">Akbar Casmita</a>'], 'photo_reference': 'AUGGfZkmMtda7adtZMyr6IcvSu6ikPA4hI9HH3ISpTJpjqGzCCNrkLTG1CIMcTtjTk_F8ru4qWHprs7wFe61-9JKWsRrNXyntp1YZmkllNPcW67LrHxaqYMx8F6PWRp2YgZmLauuGBiPHn6ZclVu-D9AGwnMzLUgHeL35TitEfk8I-OXHpJu', 'width': 4160}]",,https://www.google.com/maps/place/?q=place_id:ChIJnTR4wH_daC4RhUxWuzFj2WA
OPERATIONAL,"3PCC+PQ6, Jl. Jati, kidul, Kec. Cibiru, Kota Bandung, Jawa Barat 40615, Indonesia","{'location': {'lat': -6.9282075, 'lng': 107.7218883}, 'viewport': {'northeast': {'lat': -6.926788670107277, 'lng': 107.7232010798927}, 'southwest': {'lat': -6.929488329892721, 'lng': 107.7205014201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Curinghak entertaiment,,ChIJm6Y1TyXDaC4Rt17oweGOkmo,,0.0,ChIJm6Y1TyXDaC4Rt17oweGOkmo,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110565300736473756901"">A Google User</a>'], 'photo_reference': 'AUGGfZn4u_rQnTLyLSUOUM5H9W7u1zrTLl1bEdKmW_5gjoWyPWynL-wf0xj5g_yPgVl1T0XhcqysRahqhH9EoIyjozn72WMSHO1I_q2mTeF_OKlS75FzjHAeBL1A24eUN_T1eBbVLG9OWElNacDFNyFtNR-6GgnE63nJRYj4g1HpAe6wTQDX', 'width': 4624}]",,https://www.google.com/maps/place/?q=place_id:ChIJm6Y1TyXDaC4Rt17oweGOkmo
OPERATIONAL,"Pasirjati, Ujung Berung, Bandung City, West Java 40624, Indonesia","{'location': {'lat': -6.905308900000001, 'lng': 107.7133615}, 'viewport': {'northeast': {'lat': -6.903967870107278, 'lng': 107.7147039798927}, 'southwest': {'lat': -6.906667529892722, 'lng': 107.7120043201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Melayani wisata budaya untuk Reunian Perpisahan, ilangtahun, Apresiasi Seni, Pelatiham Seni",{'open_now': False},ChIJU5X67EbdaC4RxkNQmnt8OzQ,"{'compound_code': '3PV7+V9 Pasirjati, Bandung City, West Java, Indonesia', 'global_code': '6P593PV7+V9'}",0.0,ChIJU5X67EbdaC4RxkNQmnt8OzQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116676828031887662436"">A Google User</a>'], 'photo_reference': 'AUGGfZkK6VSEjTWo7GlhzquNddj4MZ1lcnsQpkVN90Tibvuw88S9y28WVNtoXyTiXVZjsxuZGvENJo8htkhp6wvUkvhAmNF-Lbkz8QET1m7LBOjABFfsilY-40E_9lvBoswq4wuiggiE_EozB6p30xRzDUa-2V5ldKl54CtPO8NuKhbV-td7', 'width': 2048}]",,https://www.google.com/maps/place/?q=place_id:ChIJU5X67EbdaC4RxkNQmnt8OzQ
