business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,photos,opening_hours,price_level,url
OPERATIONAL,"Jl. Inten Mulia IV No.7, Derwati, Kec. Rancasari, Kota Bandung, Jawa Barat 40292, Indonesia","{'location': {'lat': -6.963013699999999, 'lng': 107.6849257}, 'viewport': {'northeast': {'lat': -6.961658270107278, 'lng': 107.6862218798927}, 'southwest': {'lat': -6.964357929892722, 'lng': 107.6835222201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rumah saa,ChIJOdRuuAjDaC4ROBoMaMLczDk,"{'compound_code': '2MPM+QX Derwati, Bandung City, West Java, Indonesia', 'global_code': '6P592MPM+QX'}",5.0,ChIJOdRuuAjDaC4ROBoMaMLczDk,"['tourist_attraction', 'point_of_interest', 'establishment']",1,,,,https://www.google.com/maps/place/?q=place_id:ChIJOdRuuAjDaC4ROBoMaMLczDk
OPERATIONAL,"2MPF+FR5, Jl. Terusan Derwati, Mekarjaya, Kec. Rancasari, Kota Bandung, Jawa Barat 40292, Indonesia","{'location': {'lat': -6.9638617, 'lng': 107.6746027}, 'viewport': {'northeast': {'lat': -6.962488020107278, 'lng': 107.6759533798927}, 'southwest': {'lat': -6.965187679892722, 'lng': 107.6732537201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Carnaval Restu Jaya,ChIJY2GX1RPDaC4RcBcT9kQ8gd8,,4.5,ChIJY2GX1RPDaC4RcBcT9kQ8gd8,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102691683246285026075"">yanardian</a>'], 'photo_reference': 'AUGGfZkIIXeg7u1J7vtrD9MB--66p07dgoDkTDQ2s5N7K5EjKcWRm3oZfuRiqEgHzL845E7Yy9XfsRWypMA7GTRZHttWHmaqjwz0pyHYrgiC5LsMJwDJw2Y6MvzD1HRXGlfLwcNRj6kaDeatZQhONYvf0cksdS5o1i6JNgbsBf5XP3_2_FkH', 'width': 1800}]",,,https://www.google.com/maps/place/?q=place_id:ChIJY2GX1RPDaC4RcBcT9kQ8gd8
OPERATIONAL,"2MQH+294, Derwati, Rancasari, Bandung City, West Java 40292, Indonesia","{'location': {'lat': -6.9624669, 'lng': 107.6783438}, 'viewport': {'northeast': {'lat': -6.961067870107277, 'lng': 107.6796209798927}, 'southwest': {'lat': -6.963767529892721, 'lng': 107.6769213201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,View Babakan Karet,ChIJ30IT513DaC4Re8RMV6Y2D_U,,5.0,ChIJ30IT513DaC4Re8RMV6Y2D_U,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101920556252532430891"">Ivan Kurnia</a>'], 'photo_reference': 'AUGGfZkD10CMUXEw_uG4Tt_D0c-gcnZbMJg6oVtf9ERA6R1fvgPEhHM0BhXp3zY9DcRiKuP1WN3Q5PYXejD5T0hWOMdAqEXYhJOC4gvD4as6LpDkin_EYHl8s8nrxiutct0TcEkfDfiQX08tne7IVmDnWm1dtDD7HwG4LGFZGKOTsBmKR21R', 'width': 1080}]",,,https://www.google.com/maps/place/?q=place_id:ChIJ30IT513DaC4Re8RMV6Y2D_U
OPERATIONAL,"2MXC+4HC, Gg. H. Mustofa, Manjahlega, Kec. Rancasari, Kota Bandung, Jawa Barat 40286, Indonesia","{'location': {'lat': -6.9521831, 'lng': 107.6713958}, 'viewport': {'northeast': {'lat': -6.950806620107278, 'lng': 107.6727852298927}, 'southwest': {'lat': -6.953506279892721, 'lng': 107.6700855701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GSG RT 03 RW 13,ChIJ89tPq2PDaC4RZe1BbLfSB0Q,,5.0,ChIJ89tPq2PDaC4RZe1BbLfSB0Q,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 2336, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106535733599383380282"">bagja nugraha</a>'], 'photo_reference': 'AUGGfZlUp4NmnAqJl1eorPpqmcMfGkEg-wKed8w6dynf1Bcn42F7GilBdNsQgxgcYWPZ6Fd7iWgkrTfXKiPq812bnsSZPw_r9EF0FWmCMpHEr5fPKUCpc1E-9n6Dh7wRf2-TTqdhaE-dcG0m0afOHXQbiT9s-n8eg6mQbbQCa_WpFWtenk2f', 'width': 4160}]",{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJ89tPq2PDaC4RZe1BbLfSB0Q
OPERATIONAL,"Jl. Taman Saturnus I No.42, Margahayu Raya, Kec. Rancasari, Kota Bandung, Jawa Barat 40286, Indonesia","{'location': {'lat': -6.9530271, 'lng': 107.6644479}, 'viewport': {'northeast': {'lat': -6.951624370107277, 'lng': 107.6656129298927}, 'southwest': {'lat': -6.954324029892721, 'lng': 107.6629132701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Saturnus Park,ChIJGTa0GyfoaC4RCERmOErOx6g,"{'compound_code': '2MW7+QQ Manjahlega, Bandung City, West Java, Indonesia', 'global_code': '6P592MW7+QQ'}",4.6,ChIJGTa0GyfoaC4RCERmOErOx6g,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",788,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106226834588206184269"">Gilang Eentar</a>'], 'photo_reference': 'AUGGfZn7-7FgbsLz99QdAeXp3MiyH2uCXGmFda3TQzhTyQmZYn60rBvNk_7U2E_Elc7zGPhul-OFYEr4VUR-4G6fqIYBB99IXAvV2izy11eNYVPpDvWaPm4L8oyZYA1ziRs35HDfiKuPkCN9qXJBttZcol80v3gebgBvNSUh-rw1_f9jzRb6', 'width': 3840}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJGTa0GyfoaC4RCERmOErOx6g
OPERATIONAL,"Jl. Venus Tim. XIII No.4, Manjahlega, Kec. Rancasari, Kota Bandung, Jawa Barat 40286, Indonesia","{'location': {'lat': -6.9423295, 'lng': 107.6687309}, 'viewport': {'northeast': {'lat': -6.940970670107277, 'lng': 107.6700827298927}, 'southwest': {'lat': -6.943670329892721, 'lng': 107.6673830701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Motoran bandung (Sewa motor bandung),ChIJ3zYmCQDpaC4RW_9pjNC4aOE,"{'compound_code': '3M59+3F Manjahlega, Bandung City, West Java, Indonesia', 'global_code': '6P593M59+3F'}",5.0,ChIJ3zYmCQDpaC4RW_9pjNC4aOE,"['tourist_attraction', 'point_of_interest', 'establishment']",8,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113393811498186801764"">Dicky Ilham</a>'], 'photo_reference': 'AUGGfZnWvFMd66Q_iVXr9XNAyPNg9OUQmY1hmoPNbocSIpx-xDRgBbaDHNB61rr1eUrnZ2A32vT7hBZCYpkRcALNwhckOcjPQjPk_z-E7D-N3CSkHERJgGbu0fELdcki8V_7RTFY8TRO1w1hO2156RQuQmxnYOxKTDhBAF6sO5OU1VEgYGDi', 'width': 3024}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJ3zYmCQDpaC4RW_9pjNC4aOE
OPERATIONAL,"3MQ9+HR3, Jl. Padang Golf, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia","{'location': {'lat': -6.9111239, 'lng': 107.669559}, 'viewport': {'northeast': {'lat': -6.909774070107278, 'lng': 107.6709088298927}, 'southwest': {'lat': -6.912473729892722, 'lng': 107.6682091701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tepi Kota Healing,ChIJTSzuAj_daC4Reaqu3bcte5M,,4.4,ChIJTSzuAj_daC4Reaqu3bcte5M,"['tourist_attraction', 'point_of_interest', 'establishment']",508,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117489758434101908706"">Yulianti ulie</a>'], 'photo_reference': 'AUGGfZlJHoiNGzCWVX-3r7ouS45On1MX_KqqjAAx-zxBycfc8Yn-6qkoHVmJibxTpHTv9OtTO94weeJSz1FbSoooSG-qFnsWsYM5XGe5FNpptWHMUgw3OZO5U5xTqPLbz_EVRnI29YOFd76msO0pLqTsVtQZQTA4vLxevNwN_FKiFHp2hp5w', 'width': 4000}]",{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJTSzuAj_daC4Reaqu3bcte5M
OPERATIONAL,"2MG8+3CF, Buahbatu, Bojongsoang, Bandung Regency, West Java 40287, Indonesia","{'location': {'lat': -6.9748204, 'lng': 107.6660619}, 'viewport': {'northeast': {'lat': -6.973433220107278, 'lng': 107.6674278298927}, 'southwest': {'lat': -6.976132879892722, 'lng': 107.6647281701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan galapung,ChIJ0wMpLNTpaC4RKcCzhkgm5Tw,,4.7,ChIJ0wMpLNTpaC4RKcCzhkgm5Tw,"['tourist_attraction', 'point_of_interest', 'establishment']",6,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110751358195802121765"">sandal sepatu bandung</a>'], 'photo_reference': 'AUGGfZkC7pcMSteyj2xrT0BaxsPwuIastOKVRrz3Q-fXyUGsxJR6m9yjYXXp0wKyrWIemKAK39uAGmvGi0zVTOyCjG8-grMOSdOC7bsRaJFYN8ZIOVeFvA1YO-VWqqC8rPRPx4YgO6M92xCzrnsjt4Ya5U9nMpMwWBMudDZqwvHLRt2UEhM', 'width': 1080}]",{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJ0wMpLNTpaC4RKcCzhkgm5Tw
OPERATIONAL,"Komp. Arya Graha, Jl. Aria Utama No.5, Cipamokolan, Kec. Rancasari, Kota Bandung, Jawa Barat 40292, Indonesia","{'location': {'lat': -6.9405373, 'lng': 107.6724898}, 'viewport': {'northeast': {'lat': -6.939214220107278, 'lng': 107.6737964298927}, 'southwest': {'lat': -6.941913879892722, 'lng': 107.6710967701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum Nike Ardilla,ChIJAd6-2qbCaC4R1ciwhtzPwbE,"{'compound_code': '3M5C+QX Cipamokolan, Bandung City, West Java, Indonesia', 'global_code': '6P593M5C+QX'}",4.7,ChIJAd6-2qbCaC4R1ciwhtzPwbE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",747,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111530550265204981075"">Ekarisa Kurniadi</a>'], 'photo_reference': 'AUGGfZnKGkOz24uqGPjyjFNWwfAIwQHgF4f_bylL7xhKCLgxXNFu46RJGVOReTGX_nnhpoLXZfiyCu1wrdwr2Wuw4-vtvcVK9oobNwGyZjos2CM7Q3KfFmzaeWh3x3NErTLIWsrdL9Pe6EMvTOboGp3G9cMeKVb7cozbAHI71C2fkc0E1xz6', 'width': 4160}]",{'open_now': False},,https://www.google.com/maps/place/?q=place_id:ChIJAd6-2qbCaC4R1ciwhtzPwbE
OPERATIONAL,"Jl. Batu Alam VIII No.29, Buahbatu, Kec. Bojongsoang, Kabupaten Bandung, Jawa Barat 40287, Indonesia","{'location': {'lat': -6.974472, 'lng': 107.671295}, 'viewport': {'northeast': {'lat': -6.973120620107278, 'lng': 107.6726449798927}, 'southwest': {'lat': -6.975820279892722, 'lng': 107.6699453201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan team kadal,ChIJRyYTl4LDaC4R5dcQyoxW2GQ,"{'compound_code': '2MGC+6G Buahbatu, Bandung Regency, West Java, Indonesia', 'global_code': '6P592MGC+6G'}",5.0,ChIJRyYTl4LDaC4R5dcQyoxW2GQ,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112126976240305152690"">intel seleron</a>'], 'photo_reference': 'AUGGfZloyWZBnTUBs9AlIKmzjc0tq2vAGjQZBtVMxMDiIPX6L6lknAy6u5vGvU8LPyGAHX1cBaP6uCmYHogUFhvKnwecjb4AmM0CAI7wreePSrjpZ0Tuv87Jw5BH2N0GqEuOJp1MXB8LVxRIiOkQgLqxsAHiHyTv4dQI1u1cd_uVPozB_ekn', 'width': 3096}]",{'open_now': True},,https://www.google.com/maps/place/?q=place_id:ChIJRyYTl4LDaC4R5dcQyoxW2GQ
