business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,price_level,rating,reference,types,user_ratings_total,plus_code,permanently_closed,url
OPERATIONAL,"4P27+RQ9, Jl. Pasir Kunci, Pasirjati, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40616, Indonesia","{'location': {'lat': -6.8979672, 'lng': 107.7144935}, 'viewport': {'northeast': {'lat': -6.896615270107278, 'lng': 107.7157986798927}, 'southwest': {'lat': -6.899314929892721, 'lng': 107.7130990201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Wisata Pasir Kunci,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105288187390950186425"">agung nugraha</a>'], 'photo_reference': 'AUGGfZk84zhzih_iCCvtC48UzoMpAQ9xUPBJCnvvl1rpYLqqM2AqSM701tsR8QZi_PfndmvSMTEMYDd32gxhVNu4N_UwW0vxOnK5Rs5CPvmaXODWHzAiHkcebbPzyElsfrkA2GebN_Xr7C3ZBsv2I5tMkJC3hrx58kDRxs6GO_HtoHUWeb4v', 'width': 4000}]",ChIJ7dpWxB3daC4RnuFM5qZI9Q8,1.0,4.2,ChIJ7dpWxB3daC4RnuFM5qZI9Q8,"['tourist_attraction', 'point_of_interest', 'establishment']",457,,,https://www.google.com/maps/place/?q=place_id:ChIJ7dpWxB3daC4RnuFM5qZI9Q8
OPERATIONAL,"Alun Alun Ujung Berung, Jl. Cigending No.3, Cigending, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40611, Indonesia","{'location': {'lat': -6.9136931, 'lng': 107.7015511}, 'viewport': {'northeast': {'lat': -6.912526020107278, 'lng': 107.7027109298927}, 'southwest': {'lat': -6.915225679892722, 'lng': 107.7000112701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Ujung Berung City Square,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117213404732610702464"">Norman Athena</a>'], 'photo_reference': 'AUGGfZn7QLHZw5QqaV8zUgVd5samhv5XoHqkXLWBo1vb7t_3kcTjOwp1mufeK4xe-LZZJAwq3g8vAXMSAooYl7Ugd-e9qr3h7b4pCeQPs5pO1YpfcoKKYtR1TifEOSov5EyMhGHW7I-r5XWoKiX7oo0y0k_Dz1UQEra4fR_4fEk3Resx_Wnn', 'width': 4000}]",ChIJjV9SiDrdaC4RgtPHa6GNoQM,,4.5,ChIJjV9SiDrdaC4RgtPHa6GNoQM,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",7218,"{'compound_code': '3PP2+GJ Cigending, Bandung City, West Java, Indonesia', 'global_code': '6P593PP2+GJ'}",,https://www.google.com/maps/place/?q=place_id:ChIJjV9SiDrdaC4RgtPHa6GNoQM
OPERATIONAL,"Pasirjati, Ujung Berung, Bandung City, West Java 40624, Indonesia","{'location': {'lat': -6.905308900000001, 'lng': 107.7133615}, 'viewport': {'northeast': {'lat': -6.903967870107278, 'lng': 107.7147039798927}, 'southwest': {'lat': -6.906667529892722, 'lng': 107.7120043201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Melayani wisata budaya untuk Reunian Perpisahan, ilangtahun, Apresiasi Seni, Pelatiham Seni",{'open_now': False},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116676828031887662436"">A Google User</a>'], 'photo_reference': 'AUGGfZnoFoOgxtZ7EIicKz8IF6rri7CqkWPl_kaL0L2lvzbPLAqFEWPzBuYJDRfmlV_GAg0FkC47UflS922S_oU6gU3Yd-AaxUICNbuDycqkAQVHFlH-jhvxnciV28V4BW4n0coE50KQ1jPx24gvCNYurDljVoQrL1u9G4QIigjwNb6IoWa2', 'width': 2048}]",ChIJU5X67EbdaC4RxkNQmnt8OzQ,,0.0,ChIJU5X67EbdaC4RxkNQmnt8OzQ,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': '3PV7+V9 Pasirjati, Bandung City, West Java, Indonesia', 'global_code': '6P593PV7+V9'}",,https://www.google.com/maps/place/?q=place_id:ChIJU5X67EbdaC4RxkNQmnt8OzQ
OPERATIONAL,"Komplek Perumahan Villa Pasirwangi, Blk. F No.1 Kelurahan, Pasirwangi, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40618, Indonesia","{'location': {'lat': -6.8968763, 'lng': 107.7085632}, 'viewport': {'northeast': {'lat': -6.895536670107278, 'lng': 107.7099493798927}, 'southwest': {'lat': -6.898236329892722, 'lng': 107.7072497201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Saung VPW,,,ChIJS_NQe3ndaC4Rd9gZ9o_ySAo,,5.0,ChIJS_NQe3ndaC4Rd9gZ9o_ySAo,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"{'compound_code': '4P35+6C Pasirwangi, Bandung City, West Java, Indonesia', 'global_code': '6P594P35+6C'}",,https://www.google.com/maps/place/?q=place_id:ChIJS_NQe3ndaC4Rd9gZ9o_ySAo
OPERATIONAL,"Pasanggrahan, Ujung Berung, Bandung City, West Java 40616, Indonesia","{'location': {'lat': -6.9052985, 'lng': 107.7133142}, 'viewport': {'northeast': {'lat': -6.903969870107278, 'lng': 107.7146441798927}, 'southwest': {'lat': -6.906669529892723, 'lng': 107.7119445201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,LEMBUR KENDURI,{'open_now': False},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101039378117633446644"">A Google User</a>'], 'photo_reference': 'AUGGfZmzS7n8UZPK-bM8TrU_pod5RH8k1AsTr190R9XdcPxGJREfepkQAw1DIxyE_bfwJY2vDD5ijoG9rcgPGM0YXtA7OjljSdjZxLOcu4oQDKApso5nFxCr2Ks7RxuqqgFXkvbqbKX_f7k-G7GDsKmQC5Bzkd5iTi1saiEK_PJU5OboalIa', 'width': 4032}]",ChIJwTSYaRDdaC4RRbjuM_Id5cA,,4.1,ChIJwTSYaRDdaC4RRbjuM_Id5cA,"['tourist_attraction', 'point_of_interest', 'establishment']",7,"{'compound_code': '3PV7+V8 Pasanggrahan, Bandung City, West Java, Indonesia', 'global_code': '6P593PV7+V8'}",,https://www.google.com/maps/place/?q=place_id:ChIJwTSYaRDdaC4RRbjuM_Id5cA
OPERATIONAL,"Pasirjati, Ujung Berung, Bandung City, West Java 40624, Indonesia","{'location': {'lat': -6.905310699999999, 'lng': 107.7133637}, 'viewport': {'northeast': {'lat': -6.903963820107278, 'lng': 107.7147110798927}, 'southwest': {'lat': -6.906663479892722, 'lng': 107.7120114201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pengelolaan distinasi wisata,{'open_now': False},"[{'height': 1052, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113500894640361991862"">A Google User</a>'], 'photo_reference': 'AUGGfZmks7w_S9GSPQL12PBDmFaIPhZrVWYWCBazZu3dxPEY_J1KAbeeQaOFYrkbqcEKK2JbB4DU3xIKNKoJ0T_AoUSGZY70VIY_lfenojfn5xr_f99Yh95aFaV8n8Hcn1p9B4AsMlaD090tL0zFSs-659TeK73wOYlePkB27zAfkIpJMCOA', 'width': 592}]",ChIJuzuhjhPdaC4RusWXZSc0Xb8,,0.0,ChIJuzuhjhPdaC4RusWXZSc0Xb8,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': '3PV7+V9 Pasirjati, Bandung City, West Java, Indonesia', 'global_code': '6P593PV7+V9'}",,https://www.google.com/maps/place/?q=place_id:ChIJuzuhjhPdaC4RusWXZSc0Xb8
OPERATIONAL,"3PP8+V39, Jl. Pasanggrahan Indah, Pasanggrahan, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40617, Indonesia","{'location': {'lat': -6.9127175, 'lng': 107.7152708}, 'viewport': {'northeast': {'lat': -6.911382720107279, 'lng': 107.7166357298927}, 'southwest': {'lat': -6.914082379892723, 'lng': 107.7139360701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Wisata Boemi Benjang Oedjoengbroeng,{'open_now': False},,ChIJ024cUwDdaC4RK8lenYFJfcM,,0.0,ChIJ024cUwDdaC4RK8lenYFJfcM,"['tourist_attraction', 'point_of_interest', 'establishment']",0,,,https://www.google.com/maps/place/?q=place_id:ChIJ024cUwDdaC4RK8lenYFJfcM
OPERATIONAL,"Komplek Cipaganti Graha II Blok E No.7 Ujung Berung, Cigending, Ujung Berung, Bandung City, West Java 40611, Indonesia","{'location': {'lat': -6.9073642, 'lng': 107.6965756}, 'viewport': {'northeast': {'lat': -6.906022570107278, 'lng': 107.6979415298927}, 'southwest': {'lat': -6.908722229892722, 'lng': 107.6952418701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pondok Wisata,{'open_now': False},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104669037548334824175"">A Google User</a>'], 'photo_reference': 'AUGGfZlOmyhOv0aXZj2oTHGQxxwi2CYQpRs51TKRhKKdxtu1m54laiGjLkLsfe2gAyUGB7AL3UgeozDnZUEPqHF2Bwt8ypCk0DBHMQs_i1uS8hKWNxjTGJNbpJDB61ZEFXBzKZMmfkr3UEcLbLBPLBzwar7EkzHqZSHbkKowVdxgfDeXm9Ft', 'width': 1280}]",ChIJH3x58T7daC4Rp5aug8jACaY,,4.5,ChIJH3x58T7daC4Rp5aug8jACaY,"['tourist_attraction', 'point_of_interest', 'establishment']",41,"{'compound_code': '3MVW+3J Cigending, Bandung City, West Java, Indonesia', 'global_code': '6P593MVW+3J'}",,https://www.google.com/maps/place/?q=place_id:ChIJH3x58T7daC4Rp5aug8jACaY
OPERATIONAL,"Jl. Cikoang Kidul, Jatiendah, Kec. Ujung Berung, Kota Bandung, Jawa Barat, Indonesia","{'location': {'lat': -6.9082833, 'lng': 107.6998597}, 'viewport': {'northeast': {'lat': -6.906940220107278, 'lng': 107.7012081298927}, 'southwest': {'lat': -6.909639879892722, 'lng': 107.6985084701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pemancingan Sugih Mukti,{'open_now': False},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114222841276852545066"">ENDANG JUHANA</a>'], 'photo_reference': 'AUGGfZnBLV4rmOx0BKDNgs2hMopHfBwCEuAc2ED1Wa13xIrD13Mp301m8Q2CFcjpAAHC67vcoYlWqUYmCi6UHntNEMYQnuCrt7FjiSMLVv2okNnGyuiCHlUTMbnau1PZtKH1OsWSzUcQT03V-MjEKeXoH-uCvPpePbprUVxAmtTUYAO5Ztgb', 'width': 3264}]",ChIJV3wTFi3daC4RyToUz8_02tw,,0.0,ChIJV3wTFi3daC4RyToUz8_02tw,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': '3MRX+MW Jatiendah, Bandung Regency, West Java, Indonesia', 'global_code': '6P593MRX+MW'}",,https://www.google.com/maps/place/?q=place_id:ChIJV3wTFi3daC4RyToUz8_02tw
OPERATIONAL,"Pasirjati, Ujung Berung, Bandung City, West Java 40624, Indonesia","{'location': {'lat': -6.9054117, 'lng': 107.713166}, 'viewport': {'northeast': {'lat': -6.904041270107278, 'lng': 107.7144888298927}, 'southwest': {'lat': -6.906740929892722, 'lng': 107.7117891701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Budaya dan Kuliner,{'open_now': False},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105071451463681603076"">A Google User</a>'], 'photo_reference': 'AUGGfZmokj09Lh4y1zK2JLXwJC3MSU7K5v65zMYVvADbHOpGswp4P0rIwaYF5eNG3y4zy9a6k8RL-kdYeZ0FGZG9ninPaRHImhaUPOnNSfdExOprufhC7UlTTWWbuZoqhhBlQJlhGBaldEGuQQbGCR6J0O2twBffp9SLF2r-W0Z9iWta_ezX', 'width': 4032}]",ChIJ3VsfqZPdaC4RZ939hLz2wuE,,0.0,ChIJ3VsfqZPdaC4RZ939hLz2wuE,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"{'compound_code': '3PV7+R7 Pasirjati, Bandung City, West Java, Indonesia', 'global_code': '6P593PV7+R7'}",,https://www.google.com/maps/place/?q=place_id:ChIJ3VsfqZPdaC4RZ939hLz2wuE
