business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,opening_hours,price_level,plus_code,url
OPERATIONAL,"3MFW+W7F, Pakemitan, Cinambo, Bandung City, West Java 45474, Indonesia","{'location': {'lat': -6.925199, 'lng': 107.6956715}, 'viewport': {'northeast': {'lat': -6.923835720107277, 'lng': 107.6969907798927}, 'southwest': {'lat': -6.926535379892721, 'lng': 107.6942911201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Lansia,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117770169063827615372"">Ghanshyam Daiya</a>'], 'photo_reference': 'AUGGfZngUCIPvSSlNZ0T-pugHOUArbgzm5SxLVHeUxuBoQsizW621ANrEq-oQrqvedmYen7rDJ38X3cWm01KqzkOuuVdOZ39ZAU-xXxk0kdr_iAELV7V5UjdIhU8M94-kH4CGLZE6kbWgzsKuG4dAdpuJmbuGnwHMpOZJSr00pI2AFxIMmMD', 'width': 3264}]",ChIJ_3dZFCbDaC4RVmZYOZLE-40,4.3,ChIJ_3dZFCbDaC4RVmZYOZLE-40,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",4.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_3dZFCbDaC4RVmZYOZLE-40
OPERATIONAL,"4P27+RQ9, Jl. Pasir Kunci, Pasirjati, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40616, Indonesia","{'location': {'lat': -6.8979672, 'lng': 107.7144935}, 'viewport': {'northeast': {'lat': -6.896615270107278, 'lng': 107.7157986798927}, 'southwest': {'lat': -6.899314929892721, 'lng': 107.7130990201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kampung Wisata Pasir Kunci,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116085512719007941514"">rizki muhamad</a>'], 'photo_reference': 'AUGGfZksCu0wLR0p9C1fl2CfNgyUUw3JtUOm6197DQy3kLGAcyrYaaURd-7v5q0mdpMNyd31tOp7PgWPPqbdX56NETWAcneEhPyg7jUbJHSHnKSRENmSQLH27iwPqCf-rXx3HVdnv9DGl2wd-7de6lbim1zArviKm476zJ2Yt-dRus14jgwv', 'width': 4000}]",ChIJ7dpWxB3daC4RnuFM5qZI9Q8,4.2,ChIJ7dpWxB3daC4RnuFM5qZI9Q8,"['tourist_attraction', 'point_of_interest', 'establishment']",457.0,{'open_now': False},1.0,,https://www.google.com/maps/place/?q=place_id:ChIJ7dpWxB3daC4RnuFM5qZI9Q8
OPERATIONAL,"Jl. Rumah Sakit No.108, Pakemitan, Kec. Cinambo, Kota Bandung, Jawa Barat 45474, Indonesia","{'location': {'lat': -6.9204867, 'lng': 107.69722}, 'viewport': {'northeast': {'lat': -6.919157420107277, 'lng': 107.6985602298927}, 'southwest': {'lat': -6.921857079892721, 'lng': 107.6958605701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,MARKAS BESAR EMPET KRISTUS,,ChIJyeEsAwDdaC4RjJXffKR9Ke8,0.0,ChIJyeEsAwDdaC4RjJXffKR9Ke8,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",0.0,,,"{'compound_code': '3MHW+RV Pakemitan, Bandung City, West Java, Indonesia', 'global_code': '6P593MHW+RV'}",https://www.google.com/maps/place/?q=place_id:ChIJyeEsAwDdaC4RjJXffKR9Ke8
OPERATIONAL,"Alun Alun Ujung Berung, Jl. Cigending No.3, Cigending, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40611, Indonesia","{'location': {'lat': -6.9136931, 'lng': 107.7015511}, 'viewport': {'northeast': {'lat': -6.912526020107278, 'lng': 107.7027109298927}, 'southwest': {'lat': -6.915225679892722, 'lng': 107.7000112701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Ujung Berung City Square,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117213404732610702464"">Norman Athena</a>'], 'photo_reference': 'AUGGfZljOOVwzQ0YMIvV4aBcCFfJl3CpdtSq-b43kaMCrHNWbLLj5qcOarQKWvoeylqe2--m3HZiyJiVoPpgUPJAMnGtxMykdVtzakoZCi6JSpmSjk2VCplI5EEdZdhSzDKWw8X87wXUSSbi_fCiHxJEvNfsXcQFOzWg8MPGOCJGGS7TsFBo', 'width': 4000}]",ChIJjV9SiDrdaC4RgtPHa6GNoQM,4.5,ChIJjV9SiDrdaC4RgtPHa6GNoQM,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",7218.0,{'open_now': True},,"{'compound_code': '3PP2+GJ Cigending, Bandung City, West Java, Indonesia', 'global_code': '6P593PP2+GJ'}",https://www.google.com/maps/place/?q=place_id:ChIJjV9SiDrdaC4RgtPHa6GNoQM
OPERATIONAL,"Cibiru Wetan, Cileunyi, Bandung Regency, West Java 40625, Indonesia","{'location': {'lat': -6.8930812, 'lng': 107.7451856}, 'viewport': {'northeast': {'lat': -6.891743370107277, 'lng': 107.7465621298927}, 'southwest': {'lat': -6.894443029892721, 'lng': 107.7438624701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Batu Kuda,"[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116212802040506836075"">Gan gan Abdillah</a>'], 'photo_reference': 'AUGGfZmNmUiIAx5MWTgu9v1-BcO4uAOg78ixzhfSe8EKSpqIA8xZm-hKVqyzGqx78odugpUCmfinlAasn7cjsgY_wNtsLpuOGsKYdK8yjBTXQqNl-maTbkB2MPmtKwV7SbvRyX3P7xk9gEzQA5Pte1l73AuRO45X3eXjaDPYibwiNWVE_Xle', 'width': 4000}]",ChIJ_Rd4PpLcaC4RhcOYyolmwK4,4.5,ChIJ_Rd4PpLcaC4RhcOYyolmwK4,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",3460.0,{'open_now': False},,"{'compound_code': '4P4W+Q3 Cibiru Wetan, Bandung Regency, West Java, Indonesia', 'global_code': '6P594P4W+Q3'}",https://www.google.com/maps/place/?q=place_id:ChIJ_Rd4PpLcaC4RhcOYyolmwK4
OPERATIONAL,"3M6Q+68Q, Jl. Rancameong, Babakan Penghulu, Kec. Cinambo, Kota Bandung, Jawa Barat 40295, Indonesia","{'location': {'lat': -6.9394167, 'lng': 107.6883701}, 'viewport': {'northeast': {'lat': -6.937948120107277, 'lng': 107.6897568298927}, 'southwest': {'lat': -6.94064777989272, 'lng': 107.6870571701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/camping_pinlet,KONTRAKAN DEKAT MESJID NURUL HIKMAH,"[{'height': 2400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109483130355157797933"">Tedja Satria</a>'], 'photo_reference': 'AUGGfZm7NKEkJ8-ub6tl_K2GyFQR-ph7ttUufF7L9iAatsT1rVqIUeWZ6Q6h0F_H0kcEEPMA0Dy8bJGuJc4p71VLX9zdfSGa_WUEaOc84D4E8-FRTLZSrXbqY2_lB2D0lQqV2ZOiD--kY4Izc8CPL9lXGMIyJ9GUiV7glVip06f_68oBMOlE', 'width': 1080}]",ChIJv7xV8YHDaC4Rr1vVE5MyCKk,0.0,ChIJv7xV8YHDaC4Rr1vVE5MyCKk,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",0.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJv7xV8YHDaC4Rr1vVE5MyCKk
OPERATIONAL,"2MJX+F52, Rancabolang, Gedebage, Bandung City, West Java 40292, Indonesia","{'location': {'lat': -6.969168199999999, 'lng': 107.6974588}, 'viewport': {'northeast': {'lat': -6.967834470107278, 'lng': 107.6988108798927}, 'southwest': {'lat': -6.970534129892722, 'lng': 107.6961112201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,TEMPAT COD DAN ISTIRAHAT,,ChIJ5cufLQDDaC4RWZ5BtpFftI4,4.0,ChIJ5cufLQDDaC4RWZ5BtpFftI4,"['park', 'point_of_interest', 'establishment']",1.0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ5cufLQDDaC4RWZ5BtpFftI4
OPERATIONAL,"Jl. Gedebage Selatan No.42-29, Babakan Penghulu, Kec. Cinambo, Kota Bandung, Jawa Barat 40293, Indonesia","{'location': {'lat': -6.939684, 'lng': 107.6919929}, 'viewport': {'northeast': {'lat': -6.938351520107278, 'lng': 107.6934237798927}, 'southwest': {'lat': -6.941051179892722, 'lng': 107.6907241201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,PSTBR. Bandung,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108022575443036445275"">Hendar Saepudin</a>'], 'photo_reference': 'AUGGfZk0-jENg8nRamCjLoTMNuZ8WqMYS4qzINI8q4WjCSQcKQj1lCxOgETYCKe0Y17_mtocQIaM810COOjV3PduwwKmeXh47GsFN42O4njZO3FCZ8yOebEqh_NlAbNs72CaCaNAavon6oG4_ANxslZyvj6Dtmf174JnOxVMTvJ9o033ZPFC', 'width': 3264}]",ChIJL_qZT53DaC4RJfWEzp6ePHI,4.7,ChIJL_qZT53DaC4RJfWEzp6ePHI,"['lodging', 'point_of_interest', 'establishment']",3.0,{'open_now': True},,"{'compound_code': '3M6R+4Q Babakan Penghulu, Bandung City, West Java, Indonesia', 'global_code': '6P593M6R+4Q'}",https://www.google.com/maps/place/?q=place_id:ChIJL_qZT53DaC4RJfWEzp6ePHI
OPERATIONAL,"34WH+263, Cinambo, Ciranggem, Kec. Jatigede, Kabupaten Sumedang, Jawa Barat 45377, Indonesia","{'location': {'lat': -6.904999800000001, 'lng': 108.1280379}, 'viewport': {'northeast': {'lat': -6.903622270107277, 'lng': 108.1293960298927}, 'southwest': {'lat': -6.906321929892721, 'lng': 108.1266963701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Gardu Pandang Cinambo Lingkar Timur Jatigede,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113120131446207582350"">Andi First Media</a>'], 'photo_reference': 'AUGGfZmH1dCqfMOctonIriya5I4nQ96eRNINVaunRV6LN1bOQwEd37xwDSYKRaAv8BlHg93TRzWdO0TpfCmkIUQr1ghDyd-DmkC1tzcihEsvWF90B1N4rJrGelC9zX25ARioIS8qoEzQtySXGr1SEiCpq5pnqG23zfR04-70iLFmWrWJX3R4', 'width': 4160}]",ChIJTf10oywtby4RLLL86rQpPsA,4.4,ChIJTf10oywtby4RLLL86rQpPsA,"['tourist_attraction', 'point_of_interest', 'establishment']",59.0,{'open_now': False},,,https://www.google.com/maps/place/?q=place_id:ChIJTf10oywtby4RLLL86rQpPsA
OPERATIONAL,"Jl. Pinus Raya No.15, Babakan Penghulu, Kec. Cinambo, Kota Bandung, Jawa Barat 40293, Indonesia","{'location': {'lat': -6.9365108, 'lng': 107.6841782}, 'viewport': {'northeast': {'lat': -6.935146120107279, 'lng': 107.6855332298927}, 'southwest': {'lat': -6.937845779892723, 'lng': 107.6828335701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Bisnis,,ChIJsVOCfRbDaC4RFNJaZ88mqi0,0.0,ChIJsVOCfRbDaC4RFNJaZ88mqi0,"['lodging', 'point_of_interest', 'establishment']",0.0,,,"{'compound_code': '3M7M+9M Babakan Penghulu, Bandung City, West Java, Indonesia', 'global_code': '6P593M7M+9M'}",https://www.google.com/maps/place/?q=place_id:ChIJsVOCfRbDaC4RFNJaZ88mqi0
